index,Name,NACE code,Last avail. year,Year,Book Value per share USD,Capital expenditure per share USD,Cash flow USD,Current ratio (x),Dividends per share USD,Market capitalisation (mil) m USD,Market price - high USD,Market price - low USD,Market price - open USD,Market price - year end USD,Nominal value,Number of employees,Operating profit per share USD,Operating revenue (Turnover) USD,Operating revenue (Turnover) per share USD,P/L before tax USD,Net income,Profit margin (%),ROCE using P/L before tax (%),ROE using P/L before tax (%),Shareholders funds USD,Shares outstanding,Solvency ratio (Asset based) (%),Total assets USD,Working Capital per share USD,Market price - year(+1) end USD,Dividend yield,Return,logR,Ticker,Yf Market price,Yf Market price - year(+1),Yf Return,Yf logR
79517,AB VOLVO,2910,2018,2018,8.52,,4838771.0,1.21,1.38,21359.19,18.72,12.66,17.03,12.95,1.0,105175.0,2.33,43639044.0,26.45,3589469.0,2779862.0,8.23,12.1,25.55,14049597.0,1649824.0,26.51,52998259.0,2.3,,0.10656370656370656,,,VOLV-B.ST,152.25,144.0,-0.054187192118226604,-0.055710607014005833
79518,TELEFONAKTIEBOLAGET LM ERICSSON,2630,2018,2018,3.19,,199638.0,1.45,0.12,26730.21,9.56,5.48,6.05,8.7,5.0,95359.0,0.06,23593154.0,7.68,-163351.0,-729104.0,-0.69,0.07,-1.67,9799915.0,3072396.0,32.66,30008374.0,1.84,,0.013793103448275862,,,ERIC-B.ST,52.91999816894531,85.41999816894531,0.6141345639552904,0.4787989393310933
79519,HENNES & MAURITZ AB,4771,2018,2018,4.41,,2457154.0,1.39,1.22,26953.19,22.39,12.89,21.53,18.45,0.13,123283.0,1.17,23159309.0,15.86,1721428.0,1392641.0,7.43,21.17,26.71,6444320.0,1460672.0,49.29,13075543.0,2.81,,0.06612466124661248,,,HM-B.ST,125.18000030517578,155.0,0.23821696454806016,0.21367241298479547
79520,SKANSKA AB,4120,2018,2018,8.19,,720506.0,1.25,0.69,6299.99,20.12,15.05,19.04,15.74,3.0,37450.0,1.58,19174427.0,47.92,634867.0,510373.0,3.31,14.73,19.38,3276725.0,400170.0,25.24,12984971.0,1.47,,0.043837357052096564,,,SKA-B.ST,170.64999389648438,168.89999389648438,-0.010254908072610558,-0.010307851909541813
79521,AB ELECTROLUX,2751,2018,2018,8.07,,888212.0,0.94,0.91,6282.37,31.73,17.33,29.48,20.89,5.0,51798.0,1.98,13975124.0,46.47,545656.0,424845.0,3.9,14.15,22.47,2428374.0,300728.0,22.35,10865322.0,1.4,,0.043561512685495456,,,ELUX-B.ST,262.5,238.8999938964844,-0.08990478515625,-0.0942060532483269
79522,ESSITY AKTIEBOLAG (PUBL),4690,2018,2018,95.79,,1718921.0,1.01,7.05,1557.63,27.41,22.55,25.68,24.34,,47222.0,18.77,13231058.0,206.76,1072106.0,880507.0,8.1,9.31,17.49,6129720.0,63993.0,35.59,17224493.0,31.42,,0.2896466721446179,,,ESSITY-A.ST,232.0,267.5,0.15301724137931033,0.14238219466975122
79523,ICA GRUPPEN AB,4639,2018,2018,18.46,,606731.0,0.52,1.28,7114.99,37.49,29.51,33.26,35.37,2.5,22272.0,2.47,12918425.0,64.22,471964.0,405306.0,3.65,10.19,12.71,3712400.0,201147.0,41.23,9005047.0,-3.12,,0.03618886061634154,,,ICA.ST,295.3999938964844,373.0,0.2626946774098737,0.2332480702084037
79524,ATLAS COPCO AB,2813,2018,2018,5.65,,12291597.0,1.53,1.02,19728.51,42.84,22.53,39.53,23.5,0.42,36862.0,3.22,12483754.0,14.87,2651124.0,11853688.0,21.24,39.71,55.91,4742190.0,839394.0,43.94,10793640.0,2.54,,0.04340425531914894,,,ATCO-A.ST,274.82598876953125,249.6499938964844,-0.09160703827817183,-0.09607821677521436
79525,SANDVIK AB,2573,2018,2018,5.21,,1938769.0,2.43,0.47,17696.31,18.51,13.74,16.02,14.11,,41670.0,1.61,11417901.0,9.1,1937094.0,1418459.0,16.97,20.2,29.65,6533798.0,1254386.0,49.44,13214421.0,2.87,,0.03330970942593905,,,SAND.ST,152.4499969482422,151.0,-0.009511295357614677,-0.00955681660124927
79526,SECURITAS AB,8010,2018,2018,5.67,,554845.0,1.32,0.52,5525.9,18.32,15.04,15.96,15.88,,300313.0,1.43,11332518.0,32.57,449789.0,336739.0,3.97,12.5,22.82,1971439.0,347916.0,31.83,6193352.0,4.56,,0.0327455919395466,,,SECU-B.ST,141.75,150.25,0.0599647266313933,0.05823563080745561
