Date,Open,High,Low,Close,Volume
2017-11-10,92.77,92.77,90.34,90.78,15807.0
2017-11-13,91.22,91.22,89.01,89.9,13608.0
2017-11-14,89.9,90.34,89.9,90.34,6200.0
2017-11-15,90.34,90.34,90.12,90.12,994.0
2017-11-16,90.12,90.34,90.12,90.34,6328.0
2017-11-17,89.67,90.34,89.45,90.34,610.0
2017-11-20,90.34,90.34,90.34,90.34,100.0
2017-11-21,90.34,90.34,90.34,90.34,45.0
2017-11-22,89.67,91.45,89.67,91.45,3027.0
2017-11-23,90.12,90.12,89.9,89.9,1000.0
2017-11-24,90.12,90.34,90.12,90.34,900.0
2017-11-27,90.34,90.34,90.34,90.34,249.0
2017-11-28,90.34,90.78,89.01,89.01,2823.0
2017-11-29,89.45,89.45,89.45,89.45,300.0
2017-11-30,89.45,89.45,89.01,89.01,1082.0
2017-12-01,89.45,89.45,89.45,89.45,500.0
2017-12-04,89.45,90.78,89.01,90.34,12485.0
2017-12-05,90.34,90.34,89.01,89.01,11598.0
2017-12-06,89.01,89.45,89.01,89.45,45.0
2017-12-07,89.45,89.45,89.45,89.45,26.0
2017-12-08,89.23,89.45,89.01,89.01,6789.0
2017-12-11,89.01,89.01,89.01,89.01,0.0
2017-12-12,89.45,89.45,88.57,89.45,3525.0
2017-12-13,89.45,89.45,89.01,89.01,44.0
2017-12-14,89.01,89.01,89.01,89.01,1.0
2017-12-15,87.68,87.68,87.68,87.68,3010.0
2017-12-18,89.01,89.01,89.01,89.01,200.0
2017-12-19,87.24,89.01,87.24,89.01,4260.0
2017-12-20,89.45,89.45,87.9,87.9,882.0
2017-12-21,89.45,89.45,89.45,89.45,10.0
2017-12-22,89.45,89.45,87.68,89.23,641.0
2017-12-27,89.45,89.45,89.45,89.45,343.0
2017-12-28,89.45,89.45,89.45,89.45,1.0
2017-12-29,88.57,89.45,88.57,89.45,1050.0
2018-01-02,89.45,89.45,89.45,89.45,0.0
2018-01-03,89.45,89.9,89.45,89.9,1048.0
2018-01-04,89.9,90.34,89.9,90.34,705.0
2018-01-05,92.11,92.11,92.11,92.11,17.0
2018-01-08,92.11,92.11,89.45,91.22,960.0
2018-01-09,90.34,91.22,90.34,91.22,3651.0
2018-01-10,91.22,91.22,90.34,90.34,3664.0
2018-01-11,90.34,90.34,90.34,90.34,0.0
2018-01-12,90.34,90.34,90.34,90.34,384.0
2018-01-15,91.22,91.22,90.34,91.22,1150.0
2018-01-16,91.22,91.22,91.22,91.22,1175.0
2018-01-17,91.22,91.22,91.22,91.22,4500.0
2018-01-18,90.34,90.34,90.34,90.34,1405.0
2018-01-19,91.22,91.22,90.34,90.34,2447.0
2018-01-22,91.22,91.22,88.57,88.57,2098.0
2018-01-23,89.9,90.78,89.9,90.78,2200.0
2018-01-24,90.78,90.78,90.78,90.78,5.0
2018-01-25,90.34,90.34,90.34,90.34,500.0
2018-01-26,91.22,92.11,89.9,89.9,9836.0
2018-01-29,90.34,90.34,88.57,88.57,1006.0
2018-01-30,88.57,88.57,88.57,88.57,0.0
2018-01-31,89.01,89.01,88.57,88.57,873.0
2018-02-01,88.57,90.34,88.57,90.34,2790.0
2018-02-02,90.34,90.34,88.57,88.57,515.0
2018-02-05,89.45,89.45,89.01,89.01,1608.0
2018-02-06,87.68,89.01,87.68,88.57,2334.0
2018-02-07,88.57,88.57,88.57,88.57,387.0
2018-02-08,88.57,88.57,87.68,87.68,28362.0
2018-02-09,87.68,89.01,86.8,86.8,5190.0
2018-02-12,88.57,88.57,88.57,88.57,500.0
2018-02-13,90.34,90.34,89.45,89.45,2305.0
2018-02-14,89.9,89.9,89.45,89.45,3650.0
2018-02-15,89.45,89.9,89.45,89.9,2300.0
2018-02-16,89.9,89.9,89.45,89.9,975.0
2018-02-19,89.9,91.22,89.9,91.22,510.0
2018-02-20,91.22,91.22,90.34,90.34,710.0
2018-02-21,89.9,90.34,89.9,89.9,3751.0
2018-02-22,89.9,89.9,89.9,89.9,1000.0
2018-02-23,89.9,90.34,89.01,90.34,4809.0
2018-02-26,90.34,91.22,88.57,89.9,1327.0
2018-02-27,91.22,91.22,91.22,91.22,54.0
2018-02-28,91.22,91.22,90.34,90.34,8177.0
2018-03-01,90.34,90.34,89.9,90.34,7935.0
2018-03-05,90.34,90.34,89.9,89.9,3438.0
2018-03-06,89.9,90.34,89.9,89.9,13365.0
2018-03-07,89.9,89.9,89.9,89.9,0.0
2018-03-08,91.22,91.22,91.22,91.22,70.0
2018-03-09,91.22,91.22,91.22,91.22,126.0
2018-03-12,91.22,91.22,90.34,90.34,3540.0
2018-03-13,90.34,90.78,90.34,90.78,4606.0
2018-03-14,90.78,90.78,90.78,90.78,30.0
2018-03-15,90.34,90.34,89.9,90.34,8270.0
2018-03-16,91.22,91.22,91.22,91.22,39.0
2018-03-19,91.22,91.22,91.22,91.22,105.0
2018-03-20,91.22,91.22,91.22,91.22,1395.0
2018-03-21,91.22,91.22,91.22,91.22,961.0
2018-03-22,91.22,91.22,91.22,91.22,0.0
2018-03-23,92.99,92.99,92.99,92.99,31.0
2018-03-26,92.99,93.88,90.34,93.88,9187.0
2018-03-27,93.88,94.77,93.88,93.88,859.0
2018-03-28,94.77,94.77,94.77,94.77,852.0
2018-03-29,97.42,97.42,96.54,96.54,437.0
2018-04-03,96.98,101.85,96.54,98.31,5071.0
2018-04-04,100.11,100.56,99.21,99.21,403.0
2018-04-05,100.11,100.11,99.66,99.66,69.0
2018-04-06,98.31,98.31,96.51,98.31,541.0
2018-04-09,98.31,98.31,97.41,97.41,214.0
2018-04-10,98.31,98.31,97.86,97.86,1228.0
2018-04-11,97.86,97.86,97.41,97.86,1727.0
2018-04-12,97.86,97.86,97.41,97.41,258.0
2018-04-13,97.86,97.86,97.86,97.86,1005.0
2018-04-16,98.31,98.31,97.41,97.41,396.0
2018-04-17,98.31,98.31,97.41,97.41,202.0
2018-04-18,98.31,98.31,98.31,98.31,57.0
2018-04-19,98.31,98.31,96.96,97.41,1486.0
2018-04-20,97.41,97.41,96.96,96.96,776.0
2018-04-23,97.86,97.86,97.86,97.86,246.0
2018-04-24,98.31,98.31,97.86,97.86,556.0
2018-04-25,97.41,98.31,96.96,97.41,5481.0
2018-04-26,96.96,98.31,96.96,98.31,1740.0
2018-04-27,98.31,98.31,97.41,98.31,1854.0
2018-04-30,98.31,98.31,98.31,98.31,513.0
2018-05-02,98.31,98.76,97.86,97.86,2439.0
2018-05-03,100.11,100.11,96.96,97.41,1706.0
2018-05-04,97.41,97.41,97.41,97.41,1333.0
2018-05-07,97.41,98.31,97.41,97.41,2232.0
2018-05-08,97.41,98.31,96.96,98.31,234.0
2018-05-09,97.86,100.11,97.86,100.11,703.0
2018-05-11,100.11,103.72,100.11,103.72,1441.0
2018-05-14,102.82,102.82,102.37,102.82,1492.0
2018-05-15,102.82,102.82,101.47,101.92,1613.0
2018-05-16,102.37,102.37,101.92,101.92,1049.0
2018-05-17,102.37,102.37,101.92,101.92,143.0
2018-05-18,101.92,101.92,101.92,101.92,940.0
2018-05-21,100.11,102.37,100.11,102.37,55.0
2018-05-22,102.37,102.37,102.37,102.37,0.0
2018-05-23,102.82,102.82,101.47,101.47,675.0
2018-05-24,101.92,101.92,100.56,100.56,5522.0
2018-05-25,101.92,101.92,101.92,101.92,51.0
2018-05-28,101.92,101.92,100.11,101.92,989.0
2018-05-29,101.92,101.92,100.56,101.01,1675.0
2018-05-30,101.01,101.92,98.31,100.11,683.0
2018-05-31,101.92,101.92,101.92,101.92,16.0
2018-06-01,100.11,101.92,100.11,101.01,820.0
2018-06-04,101.92,101.92,100.11,101.92,26.0
2018-06-05,101.92,101.92,100.11,100.11,1054.0
2018-06-06,100.11,100.11,100.11,100.11,0.0
2018-06-07,101.01,101.01,100.11,100.11,20.0
2018-06-08,101.92,101.92,100.11,101.92,1294.0
2018-06-11,101.92,101.92,101.01,101.92,523.0
2018-06-12,101.92,101.92,101.01,101.01,449.0
2018-06-13,101.92,101.92,101.47,101.47,164.0
2018-06-14,101.92,101.92,101.47,101.47,263.0
2018-06-15,101.92,101.92,101.47,101.47,790.0
2018-06-18,101.47,102.82,100.11,102.82,1762.0
2018-06-19,102.82,102.82,97.41,97.41,2909.0
2018-06-20,101.92,101.92,99.21,99.21,453.0
2018-06-21,99.21,99.21,99.21,99.21,24.0
2018-06-22,99.21,99.21,99.21,99.21,0.0
2018-06-25,101.01,105.52,100.11,100.11,8220.0
2018-06-26,102.37,102.37,101.01,101.01,414.0
2018-06-27,101.92,104.62,101.92,102.82,861.0
2018-06-28,102.82,102.82,101.01,101.01,85.0
2018-06-29,101.01,102.37,101.01,102.37,232.0
2018-07-02,102.37,102.37,102.37,102.37,108.0
2018-07-03,104.62,104.62,102.82,103.27,1195.0
2018-07-04,104.17,104.17,102.82,102.82,4361.0
2018-07-05,103.27,103.27,103.27,103.27,1025.0
2018-07-06,103.27,103.72,102.82,102.82,2063.0
2018-07-09,104.2,104.2,103.28,103.28,1280.0
2018-07-10,103.28,103.28,102.36,103.28,2377.0
2018-07-11,104.2,104.2,102.82,103.28,428.0
2018-07-12,102.82,103.74,102.82,103.28,1659.0
2018-07-13,103.74,103.74,102.82,102.82,443.0
2018-07-16,102.82,103.28,102.82,103.28,170.0
2018-07-17,103.74,103.74,103.28,103.28,909.0
2018-07-18,103.28,103.74,103.28,103.28,602.0
2018-07-19,102.36,103.28,102.36,103.28,1928.0
2018-07-20,105.11,105.11,103.74,103.74,621.0
