Date,Open,High,Low,Close,Volume
2016-12-21,6.33,6.73,5.94,6.07,5449280.0
2016-12-22,6.12,6.95,5.77,6.95,1501696.0
2016-12-23,7.16,7.91,6.95,7.82,1762724.0
2016-12-27,7.91,8.74,7.64,7.86,1631738.0
2016-12-28,7.91,8.74,7.51,7.99,604520.0
2016-12-29,8.12,8.12,7.64,7.86,459626.0
2016-12-30,7.78,7.78,7.38,7.6,738283.0
2017-01-02,7.78,8.04,7.43,7.73,522183.0
2017-01-03,7.78,7.95,7.56,7.6,386456.0
2017-01-04,7.51,8.04,7.38,7.51,1403609.0
2017-01-05,7.69,7.69,7.25,7.47,195560.0
2017-01-09,7.47,7.47,6.86,7.08,483612.0
2017-01-10,7.12,7.12,6.77,6.99,354076.0
2017-01-11,6.99,7.12,6.25,7.08,609092.0
2017-01-12,7.16,7.16,6.77,6.99,352379.0
2017-01-13,6.99,7.43,6.9,7.34,1219247.0
2017-01-16,7.38,7.73,7.21,7.38,450047.0
2017-01-17,7.38,7.38,6.95,6.99,456132.0
2017-01-18,7.08,7.25,6.86,6.86,232200.0
2017-01-19,6.86,6.99,6.42,6.86,810669.0
2017-01-20,6.51,6.86,6.42,6.81,647335.0
2017-01-23,6.81,6.81,6.42,6.55,191564.0
2017-01-24,6.55,6.81,6.42,6.73,134367.0
2017-01-25,6.73,6.9,6.55,6.81,340380.0
2017-01-26,6.73,7.12,6.68,6.77,281864.0
2017-01-27,6.77,7.16,6.64,7.12,232078.0
2017-01-30,7.12,7.12,6.81,6.95,255931.0
2017-01-31,6.95,6.99,6.68,6.68,429711.0
2017-02-01,6.68,6.9,6.64,6.64,151860.0
2017-02-02,6.77,7.16,6.55,6.9,490045.0
2017-02-03,6.9,6.9,6.46,6.64,754324.0
2017-02-06,6.64,6.64,6.33,6.46,154189.0
2017-02-07,6.46,6.6,6.29,6.42,212843.0
2017-02-08,6.42,6.68,6.42,6.6,128733.0
2017-02-09,6.6,7.29,6.51,7.21,659959.0
2017-02-10,7.16,7.25,6.68,6.86,945279.0
2017-02-13,6.86,6.86,6.64,6.73,188123.0
2017-02-14,6.68,6.86,6.64,6.86,164870.0
2017-02-15,6.86,6.86,6.64,6.64,111323.0
2017-02-16,6.64,6.73,6.55,6.73,82897.0
2017-02-17,6.73,6.81,6.6,6.77,92623.0
2017-02-20,6.77,7.25,6.55,7.03,879899.0
2017-02-21,6.99,7.12,6.9,6.99,439131.0
2017-02-22,7.03,7.08,6.64,6.77,446866.0
2017-02-23,6.6,6.77,6.55,6.6,214795.0
2017-02-24,6.73,6.77,6.55,6.64,126318.0
2017-02-27,6.64,6.95,6.38,6.46,282931.0
2017-02-28,6.46,6.46,6.16,6.33,582575.0
2017-03-01,6.42,6.64,6.07,6.29,885718.0
2017-03-02,6.25,6.73,6.2,6.55,520118.0
2017-03-03,6.64,7.91,6.64,7.91,1019722.0
2017-03-06,7.91,8.52,7.6,7.73,1242502.0
2017-03-07,7.69,7.95,7.34,7.82,772487.0
2017-03-08,7.69,9.04,7.56,8.78,2778562.0
2017-03-09,8.95,9.17,7.34,7.38,6418500.0
2017-03-10,7.03,7.6,6.99,7.43,2169988.0
2017-03-13,7.51,7.69,7.12,7.16,1025743.0
2017-03-14,7.25,7.43,6.99,7.25,867637.0
2017-03-15,7.25,7.47,7.03,7.16,522286.0
2017-03-16,7.25,7.25,6.64,6.68,1656741.0
2017-03-17,6.81,6.99,6.68,6.99,547841.0
2017-03-20,6.9,6.95,6.73,6.86,207845.0
2017-03-21,6.86,7.03,6.46,6.55,1155965.0
2017-03-22,6.55,6.55,5.98,6.25,1572364.0
2017-03-23,6.25,6.38,6.12,6.16,271234.0
2017-03-24,6.16,6.25,5.94,6.2,724548.0
2017-03-27,6.25,6.25,5.9,6.03,466354.0
2017-03-28,5.94,6.03,5.85,5.85,291559.0
2017-03-29,5.85,6.2,5.85,5.98,390578.0
2017-03-30,5.94,5.98,5.81,5.94,199994.0
2017-03-31,5.94,6.16,5.85,6.12,197812.0
2017-04-03,6.12,6.29,5.85,5.94,303991.0
2017-04-04,6.03,6.07,5.77,5.94,271687.0
2017-04-05,5.94,6.12,5.77,5.85,402756.0
2017-04-06,5.85,5.94,5.68,5.81,209664.0
2017-04-07,5.85,5.94,5.68,5.85,211590.0
2017-04-10,5.85,6.12,5.77,5.94,57757.0
2017-04-11,6.03,6.12,5.85,5.98,94341.0
2017-04-12,6.03,6.03,5.81,5.94,135083.0
2017-04-13,5.94,5.94,5.72,5.72,92096.0
2017-04-18,5.72,5.77,5.46,5.55,621388.0
2017-04-19,5.55,5.55,5.33,5.42,303666.0
2017-04-20,5.42,5.72,5.37,5.5,309094.0
2017-04-21,5.5,5.59,5.37,5.5,169651.0
2017-04-24,5.42,5.63,5.37,5.46,168375.0
2017-04-25,5.42,5.46,5.29,5.42,351932.0
2017-04-26,5.46,5.72,5.33,5.68,421691.0
2017-04-27,5.68,6.38,5.59,6.25,611984.0
2017-04-28,6.33,6.55,6.12,6.25,516767.0
2017-05-02,6.25,6.42,6.2,6.2,190892.0
2017-05-03,6.2,6.33,5.85,6.03,515171.0
2017-05-04,6.12,6.16,5.9,6.03,204466.0
2017-05-05,6.12,6.12,5.68,5.77,395026.0
2017-05-08,5.77,5.77,5.33,5.42,423325.0
2017-05-09,5.37,5.55,5.33,5.46,563663.0
2017-05-10,5.5,5.81,5.46,5.77,294354.0
2017-05-11,5.72,5.72,5.5,5.55,220224.0
2017-05-12,5.55,5.59,5.37,5.55,190087.0
2017-05-15,5.46,5.5,5.42,5.46,181537.0
2017-05-16,5.46,5.5,5.33,5.42,233825.0
2017-05-17,5.42,5.42,5.24,5.24,297588.0
2017-05-18,5.29,5.29,5.07,5.15,211686.0
2017-05-19,5.24,5.42,5.15,5.33,165710.0
2017-05-22,5.33,5.37,5.2,5.33,106904.0
2017-05-23,5.29,5.29,5.07,5.11,876858.0
2017-05-24,4.8,4.89,4.5,4.72,1122419.0
2017-05-26,4.8,4.94,4.72,4.89,183551.0
2017-05-29,4.94,4.94,4.59,4.8,171232.0
2017-05-30,4.76,5.15,4.76,5.07,206456.0
2017-05-31,5.11,5.2,5.02,5.07,94516.0
2017-06-01,5.11,5.24,5.02,5.2,166093.0
2017-06-02,5.15,5.46,5.07,5.46,131865.0
2017-06-05,5.24,5.46,5.07,5.24,472513.0
2017-06-06,5.24,5.24,5.24,5.24,0.0
2017-06-07,5.24,5.24,4.8,4.98,417438.0
2017-06-08,4.94,5.15,4.72,4.85,218979.0
2017-06-09,4.85,5.02,4.72,4.94,233177.0
2017-06-12,4.94,4.94,4.54,4.63,504776.0
2017-06-13,4.67,4.72,4.5,4.59,227524.0
2017-06-14,4.59,4.63,4.2,4.32,743704.0
2017-06-15,4.32,4.36,4.08,4.18,356465.0
2017-06-16,4.01,4.46,3.99,4.41,173304.0
2017-06-19,4.37,4.59,4.32,4.36,176335.0
2017-06-20,4.37,4.37,4.08,4.19,294947.0
2017-06-21,4.32,4.32,4.08,4.15,119264.0
2017-06-22,4.28,4.28,4.12,4.24,79721.0
2017-06-23,4.24,4.24,4.24,4.24,0.0
2017-06-26,4.29,4.41,4.19,4.28,109816.0
2017-06-27,4.28,4.31,4.19,4.26,66546.0
2017-06-28,4.26,4.27,4.15,4.27,117475.0
2017-06-29,4.27,4.27,4.14,4.18,91713.0
2017-06-30,4.18,4.25,4.13,4.2,37492.0
2017-07-03,4.26,4.27,4.06,4.18,129192.0
2017-07-04,4.14,4.18,4.06,4.14,97309.0
2017-07-05,4.09,4.27,4.04,4.19,83002.0
2017-07-06,4.19,4.19,4.02,4.06,66290.0
2017-07-07,4.11,4.14,4.02,4.05,70298.0
2017-07-10,4.11,4.11,3.92,3.97,85950.0
2017-07-11,3.95,3.97,3.9,3.94,57157.0
2017-07-12,3.95,4.07,3.88,3.93,62307.0
2017-07-13,3.93,3.98,3.9,3.93,55398.0
2017-07-14,3.99,3.99,3.88,3.96,51070.0
2017-07-17,3.93,3.93,3.76,3.84,184919.0
2017-07-18,3.84,3.89,3.53,3.74,394898.0
2017-07-19,3.84,3.84,3.52,3.58,221697.0
2017-07-20,3.58,3.77,3.53,3.77,169210.0
2017-07-21,3.8,3.88,3.61,3.64,119492.0
2017-07-24,3.64,3.75,3.53,3.58,126317.0
2017-07-25,3.56,3.66,3.45,3.58,186551.0
2017-07-26,3.58,3.58,3.38,3.44,182704.0
2017-07-27,3.49,3.58,3.45,3.5,121171.0
2017-07-28,3.5,3.56,3.45,3.5,119106.0
2017-07-31,3.57,3.76,3.49,3.57,551472.0
2017-08-01,3.52,3.55,3.42,3.49,214352.0
2017-08-02,3.63,3.63,3.46,3.49,60635.0
2017-08-03,3.54,3.54,3.46,3.52,32303.0
2017-08-04,3.49,3.56,3.49,3.53,53112.0
2017-08-07,3.48,3.57,3.48,3.51,137101.0
2017-08-08,3.56,3.57,3.45,3.51,93445.0
2017-08-09,3.51,3.57,3.45,3.49,192759.0
2017-08-10,3.52,3.57,3.45,3.54,297029.0
2017-08-11,3.54,3.84,3.46,3.73,792124.0
2017-08-14,3.74,4.31,3.74,4.18,1031260.0
2017-08-15,4.25,4.54,4.0,4.23,702485.0
2017-08-16,4.28,4.32,4.04,4.16,436357.0
2017-08-17,4.19,4.26,3.78,3.85,279679.0
2017-08-18,3.85,3.85,3.64,3.67,227884.0
2017-08-21,3.69,3.83,3.65,3.72,211931.0
