Date,Open,High,Low,Close,Volume
2010-01-04,9.0,9.15,8.89,9.12,196674.0
2010-01-05,9.17,9.29,9.15,9.2,232992.0
2010-01-07,9.26,9.55,9.2,9.55,445398.0
2010-01-08,9.57,9.72,9.46,9.63,360252.0
2010-01-11,9.69,9.8,9.43,9.77,513414.0
2010-01-12,9.74,9.8,9.6,9.66,329832.0
2010-01-13,9.74,9.92,9.52,9.86,274554.0
2010-01-14,9.92,9.94,9.69,9.69,265404.0
2010-01-15,9.77,9.89,9.69,9.74,280680.0
2010-01-18,9.74,10.2,9.72,9.97,376146.0
2010-01-19,10.0,10.12,9.8,10.06,365040.0
2010-01-20,9.97,10.09,9.83,9.83,463488.0
2010-01-21,9.89,9.89,9.69,9.77,252786.0
2010-01-22,9.74,9.86,9.66,9.74,274806.0
2010-01-25,9.69,9.97,9.49,9.89,255336.0
2010-01-26,9.94,9.94,9.63,9.69,194514.0
2010-01-27,9.69,9.94,9.57,9.8,262866.0
2010-01-28,9.83,9.94,9.69,9.8,119238.0
2010-01-29,9.86,9.86,9.63,9.66,421146.0
2010-02-01,9.72,9.97,9.66,9.89,165912.0
2010-02-02,9.97,10.14,9.77,10.12,808902.0
2010-02-03,10.14,10.2,10.0,10.06,353028.0
2010-02-04,10.14,10.14,9.57,9.72,630246.0
2010-02-05,9.72,9.89,9.52,9.6,527400.0
2010-02-08,9.63,9.74,9.23,9.55,419718.0
2010-02-09,9.4,9.55,9.32,9.4,324576.0
2010-02-10,9.52,9.52,9.23,9.29,218346.0
2010-02-11,9.4,9.55,9.32,9.49,281016.0
2010-02-12,9.63,9.63,9.35,9.43,189714.0
2010-02-15,9.49,9.63,9.23,9.29,132792.0
2010-02-16,9.4,9.46,9.32,9.32,243336.0
2010-02-17,9.43,9.86,9.4,9.77,899568.0
2010-02-18,9.86,9.97,9.52,9.83,420600.0
2010-02-19,9.83,10.63,9.69,10.51,1879728.0
2010-02-22,10.57,10.97,10.51,10.94,833334.0
2010-02-23,11.0,11.2,10.6,10.77,725322.0
2010-02-24,10.71,11.03,10.71,10.83,423048.0
2010-02-25,10.83,11.0,10.71,10.77,353190.0
2010-02-26,10.68,10.91,10.63,10.83,448914.0
2010-03-01,10.88,10.94,10.68,10.83,198264.0
2010-03-02,10.83,11.34,10.74,11.23,939474.0
2010-03-03,11.34,11.68,11.06,11.57,1585044.0
2010-03-04,11.57,11.6,11.31,11.57,1054074.0
2010-03-05,11.57,11.6,11.25,11.31,451320.0
2010-03-08,11.34,11.48,11.14,11.17,381582.0
2010-03-09,11.17,11.34,11.08,11.28,597462.0
2010-03-10,11.4,11.4,11.14,11.37,237372.0
