Date,Open,High,Low,Close,Volume
2013-04-03,6.71,7.67,5.95,7.19,256681.0
2013-04-04,7.38,11.12,7.38,10.21,443353.0
2013-04-05,10.16,11.94,7.67,7.91,556540.0
2013-04-08,8.1,8.29,7.19,7.19,92091.0
2013-04-09,7.24,7.58,7.05,7.19,48271.0
2013-04-10,7.43,7.43,6.57,6.62,45779.0
2013-04-11,6.62,6.9,6.57,6.9,4047.0
2013-04-12,6.9,9.35,6.71,8.15,101186.0
2013-04-15,8.34,8.44,7.29,7.72,71245.0
2013-04-16,7.58,7.58,6.66,6.71,55643.0
2013-04-17,6.81,7.1,6.23,6.23,26271.0
2013-04-18,6.23,6.52,6.14,6.23,23746.0
2013-04-19,6.23,6.28,6.04,6.18,23287.0
2013-04-22,6.23,6.28,5.85,6.23,3650.0
2013-04-23,6.04,6.04,5.9,5.99,13609.0
2013-04-24,5.85,6.62,5.8,6.14,10695.0
2013-04-25,6.04,6.57,6.04,6.57,11848.0
2013-04-26,6.38,6.71,6.04,6.71,15107.0
2013-04-29,6.71,7.19,6.38,6.95,9412.0
2013-04-30,6.76,6.9,6.62,6.62,4745.0
2013-05-02,6.66,6.86,6.66,6.86,209.0
2013-05-03,6.81,6.86,6.81,6.86,4693.0
2013-05-06,6.71,6.71,6.04,6.04,12267.0
2013-05-07,5.99,6.04,5.75,6.04,7000.0
2013-05-08,5.71,5.9,5.61,5.75,17490.0
2013-05-13,5.85,5.99,5.75,5.99,5235.0
2013-05-14,5.95,6.33,5.95,6.33,3390.0
2013-05-15,6.33,6.33,6.33,6.33,0.0
2013-05-16,5.99,5.99,5.66,5.66,3728.0
2013-05-17,6.09,7.19,5.75,7.19,8988.0
2013-05-20,6.23,6.81,6.18,6.81,11952.0
2013-05-21,6.23,6.38,5.9,6.33,6820.0
2013-05-22,6.42,6.57,6.23,6.38,17052.0
2013-05-23,6.18,6.18,6.18,6.18,365.0
2013-05-24,6.38,6.38,6.04,6.09,5783.0
2013-05-27,6.28,6.71,6.28,6.47,1460.0
2013-05-28,6.38,6.38,6.33,6.38,618.0
2013-05-29,6.23,6.23,5.99,5.99,5319.0
2013-05-30,5.99,6.14,5.85,5.99,4669.0
2013-05-31,5.95,5.95,5.95,5.95,417.0
2013-06-03,6.04,6.23,5.9,6.23,2503.0
2013-06-04,5.9,6.23,5.9,6.23,1022.0
2013-06-05,5.85,6.42,5.85,6.42,3694.0
2013-06-07,6.62,6.71,5.61,5.95,5325.0
2013-06-10,5.8,5.8,5.56,5.56,2029.0
2013-06-11,5.9,5.95,5.75,5.75,1715.0
2013-06-12,5.75,6.28,5.75,6.28,2513.0
2013-06-13,5.95,6.42,5.95,6.42,1105.0
2013-06-14,6.18,6.18,6.18,6.18,104.0
2013-06-17,6.09,6.09,5.85,5.99,3243.0
2013-06-18,5.85,6.09,5.66,6.09,1110.0
2013-06-19,5.9,5.9,5.9,5.9,428.0
2013-06-20,6.04,6.04,6.04,6.04,1929.0
2013-06-24,6.04,6.18,5.47,5.99,5265.0
2013-06-25,5.99,5.99,5.99,5.99,0.0
2013-06-26,5.8,6.18,5.51,6.18,10637.0
2013-06-27,6.18,8.25,6.18,7.48,52867.0
2013-06-28,7.19,7.19,6.23,6.52,17916.0
2013-07-01,6.52,6.9,6.14,6.71,3129.0
2013-07-02,6.52,6.57,5.95,6.14,7938.0
2013-07-03,6.42,6.9,6.42,6.9,7908.0
2013-07-04,6.9,7.19,6.57,6.76,4443.0
2013-07-05,6.76,6.76,6.57,6.57,4017.0
2013-07-08,6.76,7.14,6.38,7.1,2248.0
2013-07-09,7.1,7.34,6.81,7.19,27083.0
2013-07-10,7.34,7.48,7.29,7.29,5070.0
2013-07-11,7.29,7.77,7.29,7.77,6775.0
2013-07-12,7.67,7.67,7.34,7.58,12347.0
2013-07-15,7.58,7.67,7.24,7.29,21723.0
2013-07-16,7.48,7.58,7.19,7.29,7915.0
2013-07-17,7.38,7.67,7.19,7.43,7209.0
2013-07-18,7.24,7.24,7.19,7.19,4818.0
2013-07-19,7.58,7.58,7.05,7.19,15774.0
2013-07-22,7.19,7.29,7.0,7.29,4960.0
2013-07-23,7.19,7.24,6.9,7.24,2294.0
2013-07-24,7.05,7.14,7.0,7.14,1825.0
2013-07-25,7.14,7.14,6.76,6.76,3598.0
2013-07-26,6.71,6.81,6.71,6.81,4025.0
2013-07-29,6.76,7.19,6.76,7.19,4954.0
2013-07-30,7.19,7.19,7.19,7.19,6257.0
2013-07-31,6.81,7.24,6.62,7.24,2044.0
2013-08-01,7.24,7.24,7.05,7.05,313.0
2013-08-02,7.24,7.24,6.9,7.19,3292.0
2013-08-05,7.58,7.58,7.05,7.48,1262.0
2013-08-06,7.34,7.34,6.86,7.29,9982.0
2013-08-07,7.1,7.29,7.1,7.29,1731.0
2013-08-08,7.24,7.24,7.19,7.19,797.0
2013-08-09,7.05,7.05,7.05,7.05,1702.0
2013-08-12,7.05,7.48,7.05,7.24,7237.0
2013-08-13,7.19,7.34,7.0,7.29,2985.0
2013-08-14,7.05,7.19,6.9,6.9,5818.0
2013-08-15,6.9,7.19,6.71,7.19,5837.0
2013-08-16,7.19,7.19,7.19,7.19,0.0
2013-08-19,7.19,7.19,7.1,7.1,6257.0
2013-08-20,6.76,6.76,6.71,6.71,2607.0
2013-08-21,7.29,7.29,7.0,7.0,5277.0
2013-08-22,7.1,7.1,6.71,6.9,14855.0
2013-08-23,7.0,7.1,7.0,7.1,1043.0
2013-08-26,6.9,7.1,6.76,7.1,14981.0
2013-08-27,6.9,7.1,6.81,7.1,3599.0
2013-08-28,7.1,7.1,7.1,7.1,0.0
2013-08-29,6.81,7.19,6.81,7.19,6799.0
2013-08-30,6.95,7.19,6.95,7.19,6371.0
2013-09-02,7.19,7.24,7.05,7.05,7404.0
2013-09-03,7.1,7.1,7.1,7.1,1043.0
2013-09-04,7.0,7.0,6.66,6.71,13974.0
2013-09-05,6.71,7.1,6.71,7.1,3233.0
2013-09-06,7.1,7.19,6.81,7.19,4922.0
2013-09-09,6.71,7.19,6.71,7.19,13348.0
2013-09-10,6.76,7.1,6.71,6.71,3777.0
2013-09-11,7.1,7.19,7.1,7.19,3963.0
2013-09-12,7.19,9.54,7.19,8.63,80349.0
2013-09-13,8.53,8.82,8.15,8.77,26217.0
2013-09-16,10.26,12.27,9.59,11.89,183189.0
2013-09-17,12.08,12.47,10.55,11.51,61236.0
2013-09-18,11.27,11.75,9.59,10.88,40102.0
2013-09-19,10.64,12.23,10.16,11.79,21320.0
2013-09-20,11.65,11.65,10.55,10.93,8948.0
2013-09-23,11.32,11.32,10.79,11.27,6068.0
2013-09-24,11.32,12.18,11.32,12.08,11336.0
2013-09-25,11.6,11.99,10.07,10.55,30017.0
2013-09-26,10.55,10.64,9.4,10.31,22662.0
2013-09-27,9.83,10.55,9.59,10.21,12699.0
2013-09-30,10.16,11.03,10.16,10.79,9668.0
2013-10-01,10.55,10.55,9.88,9.97,17618.0
2013-10-02,10.36,10.4,9.01,10.07,13800.0
2013-10-03,9.59,9.88,9.35,9.35,12457.0
2013-10-04,9.59,9.59,9.59,9.59,2247.0
2013-10-07,9.59,9.59,9.01,9.59,2065.0
2013-10-08,9.49,9.59,9.06,9.59,2608.0
2013-10-09,9.06,9.54,8.82,9.11,7394.0
2013-10-10,9.11,9.11,8.87,8.87,3970.0
2013-10-11,9.11,9.97,9.11,9.97,4464.0
2013-10-14,9.97,9.97,9.78,9.78,469.0
2013-10-15,9.78,9.78,9.11,9.11,1147.0
2013-10-16,9.11,9.11,9.11,9.11,1043.0
2013-10-17,9.11,9.11,9.11,9.11,521.0
2013-10-18,8.77,9.54,8.77,9.54,2425.0
2013-10-21,9.54,9.54,9.54,9.54,0.0
2013-10-22,9.97,10.26,9.59,10.07,4601.0
2013-10-23,10.07,10.07,10.07,10.07,4046.0
2013-10-24,10.07,10.07,10.07,10.07,0.0
2013-10-25,9.59,9.59,9.59,9.59,1043.0
2013-10-28,9.59,9.59,9.54,9.54,1825.0
2013-10-29,8.87,9.49,8.87,8.92,2049.0
2013-10-30,8.92,8.92,8.92,8.92,0.0
2013-10-31,9.01,9.06,9.01,9.06,190.0
2013-11-01,8.68,9.01,8.63,9.01,5548.0
2013-11-04,9.01,9.01,9.01,9.01,0.0
2013-11-05,8.73,9.01,8.53,8.87,5235.0
2013-11-06,9.11,9.54,9.01,9.01,4881.0
2013-11-07,9.01,9.3,9.01,9.25,4901.0
2013-11-08,9.11,9.4,9.11,9.11,2711.0
2013-11-11,9.4,9.4,9.11,9.11,1441.0
2013-11-12,8.97,9.25,8.97,9.25,793.0
2013-11-13,9.21,9.21,8.87,8.87,4432.0
2013-11-14,8.97,9.11,8.87,9.11,3212.0
2013-11-15,9.11,9.25,9.11,9.11,5913.0
2013-11-18,8.82,9.25,8.82,9.25,1361.0
2013-11-19,9.25,9.25,8.73,9.11,30946.0
2013-11-20,9.25,9.25,8.92,9.21,3017.0
2013-11-21,9.21,9.59,9.01,9.25,4860.0
2013-11-22,8.63,9.49,8.63,9.49,36346.0
2013-11-25,9.11,9.11,8.87,9.11,5110.0
2013-11-26,8.87,9.3,8.44,9.3,3027.0
2013-11-27,9.3,9.3,8.63,9.16,3301.0
2013-11-28,9.16,9.16,9.16,9.16,0.0
2013-11-29,8.87,8.92,8.87,8.92,2117.0
2013-12-03,9.11,9.11,9.11,9.11,209.0
2013-12-04,8.58,8.82,8.2,8.82,10665.0
2013-12-05,9.06,9.06,9.06,9.06,104.0
2013-12-06,8.82,9.06,8.82,9.06,1616.0
2013-12-09,8.87,9.11,8.29,8.29,13140.0
2013-12-10,8.29,8.77,8.29,8.77,1147.0
2013-12-11,8.53,8.73,7.67,8.73,5545.0
2013-12-12,8.63,8.63,8.63,8.63,282.0
2013-12-13,8.15,8.58,8.1,8.58,1563.0
2013-12-16,8.63,8.82,8.63,8.82,7217.0
2013-12-17,9.21,9.21,8.63,8.63,4065.0
2013-12-18,8.34,8.82,8.34,8.82,3942.0
2013-12-19,9.11,9.21,9.06,9.21,4881.0
2013-12-20,8.01,9.21,8.01,8.68,6495.0
2013-12-23,8.63,9.11,8.63,9.11,2403.0
2013-12-27,9.06,9.06,8.82,8.82,12110.0
2013-12-30,8.97,10.55,8.97,9.92,12170.0
2014-01-02,9.92,11.36,9.59,11.36,22322.0
2014-01-03,11.03,14.34,11.03,13.9,63705.0
2014-01-07,13.81,17.93,13.81,15.82,89019.0
2014-01-08,16.3,17.74,14.58,15.34,39883.0
2014-01-09,15.05,16.88,14.48,15.05,20822.0
2014-01-10,15.63,15.92,14.05,15.73,46175.0
2014-01-13,15.73,15.73,14.38,15.34,17016.0
2014-01-14,15.25,15.44,14.67,14.86,24301.0
2014-01-15,14.86,15.82,14.86,15.82,23882.0
2014-01-16,15.15,16.59,15.15,16.59,15847.0
2014-01-17,16.4,19.08,15.53,18.99,48116.0
2014-01-20,18.99,23.78,18.99,23.01,63078.0
2014-01-21,22.53,22.53,18.22,21.58,28709.0
2014-01-22,21.1,21.1,18.32,20.14,21220.0
2014-01-23,18.89,19.66,17.74,18.89,13915.0
2014-01-24,18.51,19.08,17.74,17.74,3634.0
2014-01-27,17.64,17.64,14.96,16.59,23186.0
2014-01-28,16.68,18.99,16.59,18.32,13421.0
2014-01-29,19.18,19.18,16.59,17.36,27433.0
2014-01-30,17.26,17.93,17.26,17.93,1470.0
2014-01-31,17.74,17.84,16.01,16.01,4406.0
2014-02-03,16.49,16.97,15.82,16.3,8401.0
2014-02-04,15.82,16.59,15.44,16.49,6361.0
2014-02-05,16.78,18.22,16.4,16.4,12160.0
2014-02-06,16.3,17.16,16.3,17.16,2702.0
2014-02-07,17.16,17.16,16.3,16.78,3285.0
2014-02-10,16.78,18.12,16.11,17.84,19337.0
2014-02-11,18.22,23.11,18.22,21.58,33561.0
2014-02-12,21.29,21.29,19.75,20.81,16695.0
2014-02-13,20.62,21.58,19.66,21.58,14217.0
2014-02-14,21.58,23.49,21.1,23.49,30075.0
2014-02-17,23.97,26.75,23.78,23.78,19425.0
2014-02-18,24.74,24.74,22.05,22.05,17393.0
2014-02-19,22.05,22.73,20.42,22.05,12796.0
2014-02-20,21.29,24.74,21.1,23.49,20823.0
2014-02-21,23.49,23.49,19.95,21.86,36360.0
2014-02-24,21.86,21.86,19.56,20.62,11501.0
2014-02-25,20.14,21.1,19.66,20.62,10498.0
2014-02-26,20.81,21.58,20.14,21.1,9680.0
2014-02-27,21.1,21.19,20.62,21.1,2435.0
2014-02-28,21.77,22.15,21.1,21.58,5214.0
2014-03-03,20.81,20.9,18.89,18.89,24029.0
