Date,Open,High,Low,Close,Volume
2017-12-11,29.5,34.2,29.2,33.8,5193601.0
2017-12-12,34.9,40.0,34.1,38.7,4545666.0
2017-12-13,38.8,40.7,36.2,36.2,3620243.0
2017-12-14,36.5,37.6,32.8,34.0,3119330.0
2017-12-15,34.4,34.4,31.5,31.5,669938.0
2017-12-18,31.7,33.2,31.5,32.0,504839.0
2017-12-19,32.0,32.7,29.7,30.0,611374.0
2017-12-20,30.0,30.5,27.5,27.8,1175863.0
2017-12-21,28.0,29.3,27.0,28.5,671944.0
2017-12-22,28.6,29.7,28.1,29.6,364412.0
2017-12-27,29.6,30.5,29.1,29.6,264788.0
2017-12-28,29.6,30.0,29.0,29.3,135986.0
2017-12-29,29.3,29.9,29.0,29.5,150921.0
2018-01-02,29.8,30.9,29.25,30.75,200602.0
2018-01-03,31.33,31.7,30.49,31.4,131169.0
2018-01-04,31.5,31.5,30.2,30.57,191024.0
2018-01-05,30.71,32.0,30.7,31.48,186499.0
2018-01-08,31.85,31.85,30.3,30.64,284565.0
2018-01-09,30.64,30.64,29.4,29.9,227975.0
2018-01-10,30.0,30.0,28.9,29.1,137521.0
2018-01-11,29.5,29.5,28.32,28.86,90702.0
2018-01-12,28.86,30.0,28.86,29.69,102989.0
2018-01-15,29.9,29.9,28.53,28.88,132057.0
2018-01-16,28.88,29.18,28.35,28.7,101431.0
2018-01-17,28.83,28.83,27.8,28.5,109137.0
2018-01-18,28.4,28.89,28.06,28.34,47900.0
2018-01-19,28.3,28.6,27.9,28.25,57353.0
2018-01-22,28.3,29.2,28.2,28.2,139793.0
2018-01-23,28.2,28.4,27.8,28.0,81788.0
2018-01-24,28.2,28.6,27.9,28.6,87312.0
2018-01-25,28.6,28.6,26.9,27.8,164425.0
2018-01-26,28.0,28.5,27.5,28.0,74888.0
2018-01-29,29.0,29.7,27.9,29.1,174945.0
2018-01-30,30.1,30.5,28.9,29.5,329793.0
2018-01-31,29.5,29.5,27.5,28.1,149055.0
2018-02-01,28.1,28.6,27.5,27.9,103792.0
2018-02-02,27.9,27.9,26.3,26.7,158741.0
2018-02-05,26.0,26.3,24.5,24.5,297694.0
2018-02-06,21.8,23.9,21.1,23.5,332740.0
2018-02-07,23.9,24.9,23.9,24.4,111778.0
2018-02-08,24.4,24.8,23.3,23.9,76924.0
2018-02-09,22.9,23.4,22.0,22.4,178885.0
2018-02-12,22.6,23.3,22.6,23.2,101493.0
2018-02-13,23.6,23.9,22.9,23.7,63330.0
2018-02-14,23.7,24.4,23.3,23.8,40150.0
2018-02-15,23.8,24.9,23.8,24.4,86023.0
2018-02-16,24.4,26.1,23.6,25.2,213116.0
2018-02-19,25.9,28.5,25.6,27.5,218002.0
2018-02-20,28.0,28.3,27.2,27.5,107282.0
2018-02-21,27.7,28.0,26.5,26.5,84918.0
2018-02-22,26.8,26.8,24.9,25.8,108605.0
2018-02-23,25.8,26.0,24.5,25.0,72384.0
2018-02-26,25.0,26.1,25.0,25.2,38868.0
2018-02-27,25.8,25.8,24.7,25.3,50390.0
2018-02-28,25.6,25.9,24.8,25.0,34678.0
2018-03-01,25.3,25.4,24.7,25.3,27163.0
2018-03-02,25.2,25.2,24.0,24.4,33645.0
2018-03-05,24.4,25.1,24.0,25.0,35124.0
2018-03-06,25.2,25.2,24.7,24.7,21843.0
2018-03-07,24.7,25.0,24.2,24.7,22451.0
2018-03-08,24.2,26.3,24.2,25.3,136744.0
2018-03-09,25.6,25.8,25.0,25.5,53061.0
2018-03-12,25.7,25.7,24.8,25.0,36381.0
2018-03-13,25.1,25.4,24.5,25.0,26572.0
2018-03-14,25.0,25.0,24.3,24.7,47930.0
2018-03-15,24.7,24.8,24.0,24.4,61230.0
2018-03-16,24.1,24.4,23.5,24.0,96388.0
2018-03-19,23.9,23.9,22.6,23.0,102430.0
2018-03-20,23.0,23.5,22.6,23.2,47929.0
2018-03-21,23.3,25.4,23.1,23.4,37854.0
2018-03-22,23.4,23.5,22.7,23.1,37471.0
2018-03-23,22.9,23.0,22.3,23.0,45716.0
2018-03-26,23.0,23.3,22.6,23.0,23565.0
2018-03-27,23.2,23.5,22.3,22.6,48726.0
2018-03-28,22.6,22.6,21.7,22.0,37778.0
2018-03-29,22.3,22.4,21.5,22.3,22489.0
2018-04-03,22.2,22.2,20.5,20.5,133475.0
2018-04-04,20.4,21.2,19.65,20.6,131023.0
2018-04-05,21.4,24.5,20.8,23.5,246267.0
2018-04-06,23.8,23.8,22.5,22.8,54038.0
2018-04-09,22.8,22.9,22.0,22.2,74414.0
2018-04-10,22.2,22.4,21.6,21.8,31249.0
2018-04-11,21.9,22.9,21.2,21.7,33249.0
2018-04-12,21.6,21.7,21.1,21.4,40159.0
2018-04-13,21.4,22.1,21.3,21.4,29676.0
2018-04-16,21.5,22.0,21.3,21.8,36515.0
2018-04-17,22.1,22.2,21.4,21.9,23788.0
2018-04-18,22.0,22.9,21.9,22.7,29368.0
2018-04-19,23.0,24.3,22.4,24.0,73607.0
2018-04-20,24.0,24.5,23.6,24.0,37897.0
2018-04-23,24.0,24.0,23.1,23.4,45508.0
2018-04-24,23.7,23.8,22.9,22.9,27243.0
2018-04-25,22.9,23.4,22.3,22.6,26322.0
2018-04-26,22.6,23.2,21.9,22.3,16996.0
2018-04-27,22.8,23.0,22.2,22.3,26193.0
2018-04-30,22.4,23.4,22.0,22.1,21719.0
2018-05-02,22.1,23.0,21.9,22.9,52646.0
2018-05-03,22.9,22.9,21.9,22.1,113371.0
