Date,Open,High,Low,Close,Volume
2019-04-10,26.2,26.5,25.5,25.6,39803.0
2019-04-11,25.9,26.0,25.0,25.7,26999.0
2019-04-12,25.5,25.7,24.6,25.3,69191.0
2019-04-15,25.1,25.1,23.5,24.2,62642.0
2019-04-16,24.2,24.7,23.6,23.6,36991.0
2019-04-17,23.5,23.5,22.0,22.7,54945.0
2019-04-18,22.6,22.6,22.3,22.6,9367.0
2019-04-23,22.6,22.6,21.0,21.4,65276.0
2019-04-24,21.4,21.4,20.2,20.6,46656.0
2019-04-25,20.6,20.6,18.9,19.2,130949.0
2019-04-26,19.1,20.6,18.9,19.2,88569.0
2019-04-29,19.5,20.4,18.9,20.0,50865.0
2019-04-30,20.0,22.2,20.0,21.4,44765.0
2019-05-02,21.6,22.6,21.2,21.8,68664.0
2019-05-03,21.8,22.2,20.6,21.0,33512.0
2019-05-06,21.2,22.0,20.0,20.8,39406.0
2019-05-07,20.8,21.0,19.8,20.4,17329.0
2019-05-08,21.0,21.4,19.7,20.6,35351.0
2019-05-09,20.0,20.4,19.7,20.0,8246.0
2019-05-10,20.0,20.4,19.7,20.4,13367.0
2019-05-13,20.4,20.6,19.8,20.4,20247.0
2019-05-14,20.0,20.6,19.0,20.0,24222.0
2019-05-15,19.6,20.4,19.0,20.4,33313.0
2019-05-16,19.9,20.0,19.4,20.0,14463.0
2019-05-17,20.0,20.0,19.4,19.8,7287.0
2019-05-20,19.8,20.0,19.2,19.8,9175.0
2019-05-21,19.8,20.8,19.7,20.6,23441.0
2019-05-22,20.2,20.6,19.6,20.6,7351.0
2019-05-23,20.4,20.4,19.7,20.4,37521.0
2019-05-24,20.0,20.6,19.7,20.2,21627.0
2019-05-27,20.6,20.6,19.8,20.2,2012.0
2019-05-28,20.0,22.6,19.7,20.6,45797.0
2019-05-29,21.2,21.6,20.4,21.6,7879.0
2019-05-31,21.6,23.8,20.6,23.8,67003.0
2019-06-03,23.6,24.0,22.6,22.8,51484.0
2019-06-04,22.8,23.0,22.0,23.0,12787.0
2019-06-05,23.0,23.0,21.6,22.2,10795.0
2019-06-07,22.2,23.0,22.0,22.4,4365.0
2019-06-11,22.6,22.6,20.4,21.4,78802.0
2019-06-12,21.2,21.2,20.2,20.6,20663.0
2019-06-13,20.8,21.8,20.2,21.2,41892.0
2019-06-14,21.2,21.6,20.6,21.6,12890.0
2019-06-18,20.4,20.8,19.8,20.8,47805.0
2019-06-19,20.8,21.2,20.2,20.8,21413.0
2019-06-20,20.8,21.0,20.2,20.4,10786.0
2019-06-24,20.4,21.0,19.9,20.2,5556.0
2019-06-25,20.2,20.6,20.0,20.2,7585.0
2019-06-26,20.4,20.4,20.0,20.0,10304.0
2019-06-27,20.4,20.4,20.0,20.0,7990.0
2019-06-28,20.4,20.4,19.8,19.8,12562.0
2019-07-01,19.9,20.0,19.5,19.7,13410.0
