Date,Open,High,Low,Close,Volume
2015-12-02,53.25,53.71,43.15,43.15,2133.0
2015-12-03,43.15,43.15,38.19,39.2,9793.0
2015-12-04,38.56,39.66,37.09,39.66,2558.0
2015-12-07,38.1,39.48,35.16,37.92,4433.0
2015-12-08,37.92,38.01,36.73,36.73,356.0
2015-12-09,36.17,36.73,36.17,36.73,114.0
2015-12-10,35.26,35.81,33.97,35.81,896.0
2015-12-11,34.43,34.43,33.97,34.43,800.0
2015-12-14,34.89,37.28,34.89,36.27,1283.0
2015-12-15,37.28,38.19,37.28,38.19,210.0
2015-12-16,36.73,37.18,36.73,37.18,1330.0
2015-12-17,38.19,39.2,38.19,38.84,1318.0
2015-12-18,37.64,38.1,36.63,38.1,700.0
2015-12-22,37.09,37.64,36.63,36.73,1713.0
2015-12-23,35.72,37.64,35.72,37.64,766.0
2015-12-28,37.64,37.64,37.09,37.09,880.0
2015-12-29,37.09,37.09,36.73,36.73,122.0
2015-12-30,36.27,36.27,36.27,36.27,380.0
2016-01-04,36.27,36.27,36.27,36.27,0.0
2016-01-05,35.26,35.35,34.43,35.35,511.0
2016-01-08,35.35,35.35,35.26,35.26,102.0
2016-01-11,35.26,35.26,35.26,35.26,0.0
2016-01-13,35.35,35.35,35.35,35.35,2.0
2016-01-14,35.81,35.81,35.81,35.81,385.0
2016-01-15,35.81,35.81,34.89,34.89,780.0
2016-01-18,34.89,34.89,34.89,34.89,0.0
2016-01-20,33.51,33.51,32.59,33.05,807.0
2016-01-21,32.5,32.5,32.5,32.5,437.0
2016-01-22,32.5,32.5,32.5,32.5,24.0
2016-01-25,32.5,32.5,31.22,31.22,263.0
2016-01-26,30.3,30.3,28.92,30.3,1524.0
2016-01-27,31.22,32.13,31.22,32.13,1131.0
2016-01-28,32.13,32.13,32.13,32.13,0.0
2016-02-01,32.13,33.05,32.13,33.05,1000.0
2016-02-02,33.05,33.05,33.05,33.05,0.0
2016-02-03,32.69,32.69,32.69,32.69,159.0
2016-02-04,32.69,32.69,32.69,32.69,0.0
2016-02-05,32.69,32.69,32.69,32.69,200.0
2016-02-08,32.69,32.69,32.69,32.69,20.0
2016-02-09,32.69,32.69,32.69,32.69,50.0
2016-02-10,33.97,41.04,33.97,41.04,1807.0
2016-02-11,41.13,41.13,39.02,40.4,462.0
2016-02-12,40.4,40.4,39.02,40.4,1122.0
2016-02-15,40.4,40.4,40.4,40.4,483.0
2016-02-16,39.85,39.85,38.84,38.84,505.0
2016-02-17,38.84,41.5,38.84,41.41,1168.0
2016-02-18,41.59,50.5,41.59,50.5,1232.0
2016-02-19,53.25,58.76,52.56,58.3,5951.0
2016-02-22,58.3,67.02,58.3,61.51,9743.0
2016-02-23,64.27,72.3,64.27,67.25,17467.0
2016-02-24,67.94,90.89,67.94,84.01,51883.0
2016-02-25,88.6,100.99,88.14,100.08,59547.0
2016-02-26,110.18,110.18,85.84,86.3,27982.0
2016-02-29,88.14,88.14,79.19,85.84,5440.0
2016-03-01,82.63,86.99,76.66,79.42,9344.0
2016-03-02,79.42,81.94,78.5,80.57,1731.0
2016-03-03,80.57,80.57,74.83,80.34,2907.0
2016-03-04,80.34,86.07,77.58,80.34,3616.0
2016-03-07,79.88,81.02,76.2,80.34,4970.0
2016-03-08,78.27,78.96,76.2,77.12,1727.0
2016-03-09,78.04,79.88,76.2,78.04,1917.0
2016-03-10,76.2,79.88,75.75,78.04,1762.0
2016-03-11,80.34,83.09,80.34,83.09,1361.0
2016-03-14,83.09,83.09,79.42,79.65,307.0
2016-03-15,79.42,80.8,77.35,80.11,4439.0
2016-03-16,80.34,81.25,79.88,81.25,974.0
2016-03-17,81.25,82.63,81.25,81.48,424.0
2016-03-18,82.63,82.63,80.34,82.63,1051.0
2016-03-21,82.63,82.63,78.96,79.88,2830.0
2016-03-22,80.11,84.47,80.11,84.47,2123.0
2016-03-23,82.63,84.47,82.63,84.47,653.0
2016-03-24,84.93,84.93,80.34,82.4,1648.0
2016-03-29,80.11,82.63,80.11,80.8,86.0
2016-03-30,79.42,84.93,79.42,84.47,3255.0
2016-03-31,83.55,83.55,80.34,83.55,1215.0
2016-04-01,83.55,83.55,80.8,83.32,3310.0
2016-04-04,83.32,83.32,78.96,80.8,921.0
2016-04-05,79.65,82.63,78.96,82.63,737.0
2016-04-06,79.42,80.8,79.42,80.8,174.0
2016-04-07,79.42,79.88,76.89,78.04,755.0
2016-04-08,77.35,78.04,77.12,78.04,932.0
2016-04-11,77.35,79.42,77.35,79.42,481.0
2016-04-12,77.12,77.35,77.12,77.12,1370.0
2016-04-13,77.58,81.25,77.58,81.25,1464.0
2016-04-14,83.55,86.76,80.34,82.63,2196.0
2016-04-15,84.24,84.47,81.48,84.47,384.0
2016-04-18,83.55,83.55,81.25,82.63,707.0
2016-04-19,84.01,89.52,82.63,82.63,1300.0
2016-04-20,83.55,83.55,81.25,82.63,455.0
2016-04-21,83.32,83.55,80.34,83.55,1693.0
2016-04-22,81.94,85.16,79.42,84.24,1133.0
2016-04-25,84.24,88.14,82.63,88.14,1882.0
2016-04-26,88.83,90.89,88.14,90.89,2557.0
2016-04-27,91.35,91.35,85.62,88.14,2777.0
2016-04-28,89.06,91.81,89.06,91.35,2826.0
2016-04-29,91.35,99.16,90.89,99.16,9175.0
2016-05-02,100.08,108.11,97.78,97.78,25787.0
2016-05-03,98.93,105.58,98.93,102.83,11979.0
2016-05-04,105.58,105.58,100.99,104.44,896.0
