Date,Open,High,Low,Close,Volume
2010-01-04,69.77,77.27,69.77,76.75,179956.0
2010-01-05,77.97,83.37,77.44,81.45,311469.0
2010-01-07,83.72,94.01,83.72,93.84,668506.0
2010-01-08,93.49,93.49,87.21,92.27,621733.0
2010-01-11,91.57,91.57,85.82,87.56,658065.0
2010-01-12,84.77,85.12,80.23,82.68,447593.0
2010-01-13,81.98,87.04,81.45,84.77,275432.0
2010-01-14,83.9,84.77,78.14,79.36,460943.0
2010-01-15,78.84,78.84,74.65,76.75,406866.0
2010-01-18,75.52,76.4,71.69,73.61,575062.0
2010-01-19,73.43,76.4,72.91,76.05,345420.0
2010-01-20,76.75,79.54,76.57,76.92,191130.0
2010-01-21,78.66,79.19,73.43,73.95,161710.0
2010-01-22,74.65,75.0,71.34,74.3,136100.0
2010-01-25,73.61,74.65,72.21,73.95,76299.0
2010-01-26,73.95,73.95,71.69,73.26,91941.0
2010-01-27,73.08,74.13,71.86,73.95,57221.0
2010-01-28,74.3,74.65,71.69,72.56,116676.0
2010-01-29,72.91,73.95,71.34,73.61,93714.0
2010-02-01,73.26,74.65,72.21,74.65,51029.0
2010-02-02,74.65,75.87,73.08,74.65,54606.0
2010-02-03,74.65,75.35,73.61,74.48,50319.0
2010-02-04,74.13,74.65,73.95,74.65,102301.0
2010-02-05,72.91,74.3,72.91,74.13,114011.0
2010-02-08,73.61,78.49,69.94,73.61,235841.0
2010-02-09,73.61,75.35,71.16,75.0,65838.0
2010-02-10,75.7,76.57,74.48,75.18,72768.0
2010-02-11,72.56,75.35,72.56,73.26,75131.0
2010-02-12,72.91,72.91,69.07,72.39,121695.0
2010-02-15,69.07,71.34,69.07,71.16,66753.0
2010-02-16,72.56,72.56,69.77,71.51,61416.0
2010-02-17,69.77,72.39,69.77,71.86,126896.0
2010-02-18,72.04,72.04,70.64,71.86,30005.0
2010-02-19,71.86,72.04,69.59,72.04,43574.0
2010-02-22,70.47,71.86,70.47,70.82,63556.0
2010-02-23,70.82,71.51,70.29,70.29,38249.0
2010-02-24,70.82,71.34,69.77,69.94,86579.0
2010-02-25,69.77,71.16,68.55,69.77,99912.0
2010-02-26,69.77,72.04,69.59,71.69,80407.0
2010-03-01,71.69,71.69,70.12,70.99,48109.0
2010-03-02,70.99,71.16,69.77,70.47,51565.0
2010-03-03,69.42,71.16,69.42,70.82,73140.0
2010-03-04,69.77,72.21,69.77,71.86,80335.0
2010-03-05,71.86,75.0,71.34,74.65,65365.0
2010-03-08,74.83,74.83,73.26,74.65,59204.0
2010-03-09,74.3,74.65,73.26,74.65,36234.0
2010-03-10,74.65,74.65,73.08,73.78,27449.0
2010-03-11,73.95,73.95,71.69,72.39,95476.0
2010-03-12,72.21,73.95,72.21,73.95,113876.0
2010-03-15,73.26,78.14,73.26,77.62,134790.0
2010-03-16,78.14,81.98,78.14,80.93,231516.0
2010-03-17,80.76,80.93,78.49,80.41,95159.0
2010-03-18,80.23,80.23,78.66,79.89,54132.0
2010-03-19,80.06,80.58,79.01,79.89,53652.0
2010-03-22,78.49,80.41,78.49,80.23,63100.0
2010-03-23,79.54,80.23,79.19,80.23,64472.0
2010-03-24,79.54,80.06,78.49,79.89,38780.0
2010-03-25,79.89,79.89,78.49,78.84,39877.0
2010-03-26,78.49,80.23,78.49,80.23,107889.0
2010-03-29,80.23,80.23,78.84,79.54,31841.0
2010-03-30,79.54,79.71,78.84,79.36,39598.0
2010-03-31,79.36,79.36,78.14,79.19,23281.0
2010-04-01,79.19,79.19,78.14,79.19,21435.0
2010-04-06,79.19,81.63,79.19,80.58,2182359.0
2010-04-07,80.93,84.42,80.93,83.72,207628.0
2010-04-08,83.72,83.72,81.11,82.33,87868.0
2010-04-09,82.33,82.85,81.98,82.15,28407.0
2010-04-12,82.15,82.33,79.71,80.41,69627.0
2010-04-13,79.89,79.89,74.65,79.54,109166.0
2010-04-14,78.84,80.06,78.49,79.19,110274.0
2010-04-15,78.14,87.21,77.62,82.33,167247.0
2010-04-16,81.63,82.33,77.44,78.66,134963.0
2010-04-19,69.07,80.06,69.07,80.06,140070.0
2010-04-20,78.84,80.58,78.84,80.58,94902.0
2010-04-21,80.93,81.11,79.54,80.41,52223.0
2010-04-22,79.89,80.93,78.84,79.54,89251.0
2010-04-23,80.58,80.58,78.84,80.23,31480.0
2010-04-26,81.11,81.11,77.09,80.23,91015.0
2010-04-27,80.23,80.23,77.79,79.01,70728.0
2010-04-28,79.19,79.19,75.18,77.09,150268.0
2010-04-29,76.92,77.62,74.83,76.75,74512.0
2010-04-30,76.75,77.09,76.05,76.05,23628.0
2010-05-03,76.57,76.57,75.0,75.35,29836.0
2010-05-04,76.05,76.05,73.26,74.48,51742.0
2010-05-05,73.26,73.95,69.94,72.91,150410.0
2010-05-06,71.86,73.26,68.02,69.42,104136.0
2010-05-07,66.98,69.07,63.14,66.28,173660.0
2010-05-10,68.37,73.26,68.37,73.26,115414.0
2010-05-11,73.26,73.26,69.77,70.99,66845.0
2010-05-12,71.86,72.56,70.47,72.39,40591.0
2010-05-14,72.39,72.39,69.94,69.94,25231.0
2010-05-17,69.94,72.56,68.2,70.64,142107.0
2010-05-18,70.64,74.65,70.64,73.78,138829.0
2010-05-19,74.48,74.48,70.99,74.13,59600.0
2010-05-20,75.35,75.87,71.86,73.08,209059.0
2010-05-21,73.26,73.26,69.94,69.94,101412.0
2010-05-24,70.64,73.95,70.64,73.95,85948.0
2010-05-25,74.13,74.3,71.16,73.95,132749.0
2010-05-26,73.95,80.23,73.95,78.49,479596.0
2010-05-27,79.54,86.34,79.19,83.72,283305.0
2010-05-28,83.72,85.64,81.45,84.77,267386.0
2010-05-31,84.77,88.96,84.59,88.96,808890.0
2010-06-01,87.21,89.65,85.12,86.34,430713.0
2010-06-02,85.47,89.3,84.25,88.61,125614.0
2010-06-03,87.21,89.3,87.21,88.61,108334.0
2010-06-04,87.56,89.13,87.21,88.96,107153.0
2010-06-07,87.91,88.61,84.07,85.47,145958.0
2010-06-08,85.99,86.34,78.14,82.68,220871.0
2010-06-09,83.72,84.42,79.54,81.45,75411.0
2010-06-10,81.8,84.94,76.22,83.02,170362.0
2010-06-11,84.25,84.25,79.54,80.41,81522.0
2010-06-14,80.93,80.93,76.92,78.14,135830.0
2010-06-15,78.32,80.23,76.92,79.54,114358.0
2010-06-16,79.19,79.19,77.27,78.66,56568.0
2010-06-17,79.01,79.36,77.27,79.01,38097.0
2010-06-18,78.49,78.49,75.35,76.75,68099.0
2010-06-21,77.97,77.97,75.7,76.57,32560.0
2010-06-22,76.4,76.4,73.43,74.13,48621.0
2010-06-23,73.95,73.95,71.86,72.39,86970.0
2010-06-24,72.39,74.65,69.77,74.65,256718.0
2010-06-28,74.83,74.83,72.21,74.13,58473.0
2010-06-29,74.13,74.13,71.86,72.56,205991.0
2010-06-30,72.21,73.95,72.04,73.78,51525.0
2010-07-01,73.61,73.61,70.47,71.16,38272.0
2010-07-02,72.56,72.56,70.12,70.12,17482.0
2010-07-05,70.47,73.08,70.47,72.56,30148.0
2010-07-06,72.73,75.0,72.73,75.0,133455.0
2010-07-07,75.35,75.35,73.95,74.48,41328.0
2010-07-08,75.35,75.35,73.08,73.08,31865.0
2010-07-09,72.91,73.26,71.86,72.21,30515.0
2010-07-12,71.69,72.56,71.51,72.04,21624.0
2010-07-13,71.86,73.78,71.86,72.91,34058.0
2010-07-14,73.78,73.78,71.51,72.56,17592.0
2010-07-15,72.56,72.91,71.69,72.21,17343.0
2010-07-16,72.91,72.91,71.16,71.16,4564.0
2010-07-19,71.51,71.86,69.94,70.47,30638.0
2010-07-20,69.94,72.91,69.94,70.47,24749.0
2010-07-21,70.99,72.73,70.99,72.21,14495.0
2010-07-22,72.91,72.91,71.16,71.16,17405.0
2010-07-23,70.82,71.86,70.12,70.12,29426.0
2010-07-26,70.47,72.39,70.47,71.51,18270.0
2010-07-27,71.86,72.04,71.16,72.04,13778.0
