Date,Open,High,Low,Close,Volume
2019-07-01,119.0,133.0,119.0,133.0,668728.0
2019-07-02,135.9,135.9,130.5,133.0,1285075.0
2019-07-03,133.0,133.5,120.0,128.0,392322.0
2019-07-04,128.0,129.0,123.0,125.0,760395.0
2019-07-05,126.0,127.0,124.0,124.0,133522.0
2019-07-08,127.0,127.0,125.0,125.0,13153.0
2019-07-09,127.0,127.0,125.0,125.0,14499.0
2019-07-10,125.0,128.0,125.0,128.0,34500.0
2019-07-11,129.0,129.0,122.0,124.0,54139.0
2019-07-12,123.0,124.0,114.0,118.0,35736.0
2019-07-15,119.0,120.0,117.0,119.0,1125374.0
2019-07-16,118.0,123.0,116.0,119.0,33456.0
2019-07-17,119.0,123.0,116.0,123.0,43368.0
2019-07-18,123.0,125.0,120.0,121.0,51229.0
2019-07-19,118.0,129.0,117.0,121.0,25608.0
2019-07-22,120.0,123.0,120.0,120.0,145253.0
2019-07-23,121.0,124.0,120.0,120.0,165437.0
2019-07-24,121.0,124.0,120.0,120.0,62895.0
2019-07-25,128.0,128.0,119.0,119.0,129278.0
2019-07-26,122.0,124.0,115.0,118.0,11018.0
2019-07-29,115.0,120.0,115.0,115.0,6266.0
2019-07-30,117.0,118.0,112.0,113.0,39921.0
2019-07-31,113.0,116.0,112.0,113.0,68745.0
2019-08-01,110.0,111.0,107.0,108.0,187367.0
2019-08-02,108.0,108.0,104.0,107.0,304675.0
2019-08-06,111.0,111.0,106.2,108.0,933511.0
2019-08-07,108.2,114.2,105.0,110.8,82862.0
2019-08-08,111.4,117.4,111.4,117.4,148601.0
2019-08-09,120.0,122.0,117.0,117.0,13092.0
2019-08-12,120.0,120.0,114.0,117.0,50755.0
2019-08-13,123.0,123.0,115.0,117.0,190904.0
2019-08-14,117.0,120.0,113.0,113.0,32056.0
2019-08-15,113.0,116.0,104.0,110.0,100459.0
2019-08-16,109.0,115.0,107.0,112.0,14985.0
2019-08-19,112.0,117.0,110.0,114.0,20181.0
2019-08-20,113.0,116.0,108.0,109.0,57869.0
2019-08-21,110.0,111.0,107.0,107.0,46575.0
2019-08-22,111.0,113.0,110.0,111.0,261417.0
2019-08-23,113.0,113.0,110.0,112.0,57961.0
2019-08-26,113.98,113.98,107.5,111.98,9222.0
2019-08-27,113.0,113.5,110.84,110.84,44478.0
2019-08-28,110.52,113.5,110.52,112.0,119215.0
2019-08-29,113.0,117.9,113.0,115.32,52840.0
