Date,Open,High,Low,Close,Volume
2016-12-01,9.01,11.31,9.01,11.26,833779.0
2016-12-02,11.26,11.46,10.28,10.97,204317.0
2016-12-05,11.75,14.3,11.46,14.15,592223.0
2016-12-06,14.1,17.14,12.54,16.06,557389.0
2016-12-07,15.48,15.87,13.71,14.15,231711.0
2016-12-08,13.86,15.08,13.03,14.79,145676.0
2016-12-09,14.2,15.57,13.91,15.18,72265.0
2016-12-12,15.67,15.77,14.25,15.08,94079.0
2016-12-13,15.08,15.18,14.3,15.08,50596.0
2016-12-14,15.08,15.08,13.86,14.64,30145.0
2016-12-15,14.5,14.99,14.1,14.69,35146.0
2016-12-16,14.55,14.55,14.15,14.35,12687.0
2016-12-19,14.35,14.45,13.96,14.01,20249.0
2016-12-20,13.71,13.91,13.13,13.71,22685.0
2016-12-21,13.71,13.81,13.32,13.42,6689.0
2016-12-22,13.22,13.22,12.73,13.03,41483.0
2016-12-23,13.03,13.62,12.54,13.42,43980.0
2016-12-27,13.42,13.42,12.78,13.22,9472.0
2016-12-28,13.42,13.71,12.93,13.52,10658.0
2016-12-29,13.52,14.01,13.47,14.01,40603.0
2016-12-30,14.01,14.69,13.81,14.2,38540.0
2017-01-02,13.76,14.69,13.47,14.69,42611.0
2017-01-03,14.89,15.67,14.69,15.28,69148.0
2017-01-04,15.57,16.16,14.99,15.77,68372.0
2017-01-05,15.87,16.16,15.38,15.67,16561.0
2017-01-09,15.67,15.97,14.79,14.99,37177.0
2017-01-10,15.38,15.48,15.08,15.28,19477.0
2017-01-11,15.48,15.48,14.89,15.28,22954.0
2017-01-12,14.99,15.67,14.45,15.57,52104.0
2017-01-13,15.57,17.04,15.57,16.85,86351.0
2017-01-16,16.65,18.12,15.87,17.44,57524.0
2017-01-17,17.44,17.44,15.97,16.06,65557.0
2017-01-18,16.06,17.53,16.06,17.24,12134.0
2017-01-19,17.24,17.44,16.85,17.04,25257.0
2017-01-20,17.04,17.14,16.06,16.65,72037.0
2017-01-23,16.65,16.95,16.36,16.65,26613.0
2017-01-24,16.46,17.14,16.46,16.75,27479.0
2017-01-25,16.75,16.75,16.46,16.75,11314.0
2017-01-26,16.75,16.75,15.57,16.16,29235.0
2017-01-27,15.87,16.65,15.87,16.26,15065.0
2017-01-30,16.26,16.26,15.38,15.38,63408.0
2017-01-31,15.38,15.48,14.69,15.18,33992.0
2017-02-01,14.89,15.08,14.64,14.69,25502.0
2017-02-02,14.69,15.48,14.64,15.18,4198.0
2017-02-03,15.18,15.38,15.18,15.18,3062.0
2017-02-06,15.18,15.18,14.79,14.89,2022.0
2017-02-07,15.18,15.18,14.69,14.69,3670.0
2017-02-08,14.89,14.89,14.69,14.69,11106.0
2017-02-09,14.69,14.89,14.69,14.69,6662.0
2017-02-10,14.69,14.99,14.69,14.69,5375.0
2017-02-13,14.69,14.99,14.69,14.69,16554.0
2017-02-14,14.89,14.89,14.2,14.3,6805.0
2017-02-15,14.25,14.59,14.2,14.3,5420.0
2017-02-16,14.3,14.69,13.86,14.69,8126.0
2017-02-17,14.69,15.18,14.69,15.08,13329.0
2017-02-20,15.38,15.38,14.69,14.99,10372.0
2017-02-21,15.18,15.18,14.79,15.18,2563.0
2017-02-22,14.99,15.08,14.69,14.99,6445.0
2017-02-23,14.99,14.99,14.89,14.89,442.0
2017-02-24,14.69,15.08,14.69,15.08,3664.0
2017-02-27,15.18,15.77,13.91,15.08,28947.0
2017-02-28,15.08,15.48,14.99,15.48,17271.0
2017-03-01,15.28,15.48,14.69,14.89,24351.0
2017-03-02,14.89,15.18,14.69,15.18,2495.0
2017-03-03,14.89,15.28,14.4,14.99,8540.0
2017-03-06,14.79,15.28,14.69,14.79,3153.0
2017-03-07,14.79,14.79,14.5,14.69,7436.0
2017-03-08,14.69,14.99,14.45,14.59,2144.0
2017-03-09,14.59,14.59,14.4,14.4,3012.0
2017-03-10,14.3,14.4,14.1,14.4,6946.0
2017-03-13,14.59,15.08,14.59,15.08,4331.0
2017-03-14,14.69,14.69,14.4,14.4,2335.0
2017-03-15,14.4,14.4,14.1,14.1,2232.0
2017-03-16,14.1,14.2,14.06,14.2,3250.0
2017-03-17,14.2,14.2,13.91,13.96,19309.0
2017-03-20,13.96,14.2,13.81,13.81,14131.0
