Date,Open,High,Low,Close,Volume
2010-01-04,17.23,17.46,17.23,17.42,21626.0
2010-01-05,17.5,17.69,17.42,17.69,10171.0
2010-01-07,17.69,17.89,17.62,17.89,50469.0
2010-01-08,18.2,18.2,17.89,18.04,60855.0
2010-01-11,18.27,18.27,18.16,18.27,32452.0
2010-01-12,18.23,18.35,18.2,18.27,50009.0
2010-01-13,18.27,18.27,17.73,18.04,16655.0
2010-01-14,18.04,18.12,17.66,18.12,26105.0
2010-01-15,18.12,18.12,17.73,17.73,12749.0
2010-01-18,17.89,17.96,17.77,17.89,20540.0
2010-01-19,17.77,17.77,17.54,17.58,57217.0
2010-01-20,17.69,17.69,17.27,17.27,16149.0
2010-01-21,17.69,18.2,17.69,18.04,167751.0
2010-01-22,18.2,18.35,18.04,18.04,61187.0
2010-01-25,18.2,18.27,17.89,18.27,14712.0
2010-01-26,18.27,18.27,18.04,18.12,15171.0
2010-01-27,18.35,18.35,17.96,17.96,19693.0
2010-01-28,18.04,18.08,17.89,18.08,89300.0
2010-01-29,18.12,18.12,17.73,17.81,26630.0
2010-02-01,18.12,18.12,17.66,17.93,30127.0
2010-02-02,18.04,18.16,18.04,18.12,24374.0
2010-02-03,18.35,18.66,18.27,18.5,136855.0
2010-02-04,18.74,19.28,18.74,19.12,32944.0
2010-02-05,19.12,19.28,18.89,19.12,5467.0
2010-02-08,19.12,19.12,18.58,18.66,137239.0
2010-02-09,18.66,18.89,18.58,18.89,11083.0
2010-02-10,18.89,18.93,18.66,18.66,22819.0
2010-02-11,18.7,18.97,18.7,18.7,6194.0
2010-02-12,18.62,18.81,18.35,18.35,19885.0
2010-02-15,18.35,18.54,16.96,18.2,8150.0
2010-02-16,18.12,18.35,17.5,17.73,49224.0
2010-02-17,17.73,18.35,17.73,17.81,273892.0
2010-02-18,17.89,17.89,17.58,17.58,219951.0
2010-02-19,17.58,17.89,17.58,17.89,31197.0
2010-02-22,18.0,18.35,18.0,18.35,16430.0
2010-02-23,17.96,18.5,17.96,18.5,7993.0
2010-02-24,18.2,18.35,18.0,18.0,5545.0
2010-02-25,18.0,18.0,17.77,17.77,7341.0
2010-02-26,17.77,18.0,17.73,17.96,18591.0
2010-03-01,17.89,17.89,17.58,17.58,10777.0
2010-03-02,17.73,17.89,17.58,17.73,13418.0
2010-03-03,17.89,17.89,17.73,17.77,4828.0
2010-03-04,17.77,17.81,17.58,17.58,507127.0
2010-03-05,17.58,17.85,17.27,17.85,25873.0
2010-03-08,17.81,17.81,17.58,17.73,21147.0
2010-03-09,17.73,17.73,17.58,17.73,28458.0
2010-03-10,17.85,17.89,17.58,17.58,11846.0
2010-03-11,17.89,17.89,17.58,17.58,163435.0
2010-03-12,17.73,18.04,17.69,17.69,187014.0
2010-03-15,17.42,18.2,17.42,18.0,296463.0
2010-03-16,18.27,18.27,18.0,18.0,37146.0
2010-03-17,18.23,18.23,17.85,18.16,4913.0
2010-03-18,18.2,18.35,18.2,18.35,474767.0
2010-03-19,18.35,18.35,18.12,18.35,35164.0
2010-03-22,18.35,18.54,18.12,18.54,60773.0
2010-03-23,18.66,18.97,18.66,18.97,120513.0
2010-03-24,18.97,18.97,18.66,18.66,12273.0
2010-03-25,18.66,18.93,18.66,18.89,20508.0
2010-03-26,18.97,18.97,18.54,18.74,31705.0
2010-03-29,18.81,18.97,18.66,18.66,55499.0
2010-03-30,18.81,19.12,18.81,18.81,90868.0
2010-03-31,19.12,19.2,18.77,18.77,14069.0
2010-04-01,19.2,19.2,18.81,18.81,407.0
2010-04-06,18.81,19.58,18.77,19.58,157258.0
2010-04-07,19.58,19.58,18.81,19.01,19090.0
2010-04-08,19.31,19.31,18.81,18.85,9633.0
2010-04-09,19.01,19.43,18.97,19.2,45752.0
2010-04-12,19.43,19.43,19.28,19.28,10581.0
2010-04-13,19.51,19.51,19.12,19.2,57963.0
2010-04-14,19.12,19.2,18.81,18.89,15846.0
2010-04-15,18.89,18.89,18.35,18.5,640096.0
2010-04-16,18.5,18.81,18.5,18.5,7410.0
2010-04-19,18.35,19.08,18.35,18.35,11869.0
2010-04-20,18.66,19.28,18.5,19.28,7449.0
2010-04-21,19.28,19.28,18.35,18.7,4645.0
2010-04-22,18.7,18.89,18.35,18.35,7556.0
2010-04-23,18.43,19.12,18.43,18.81,18379.0
2010-04-26,19.2,19.2,18.81,18.81,96257.0
2010-04-27,18.93,19.01,18.74,18.74,14943.0
2010-04-28,18.5,18.74,18.43,18.5,21554.0
2010-04-29,18.5,18.81,18.5,18.81,38306.0
2010-04-30,18.89,19.2,18.77,19.2,131062.0
2010-05-03,19.2,19.2,18.47,18.89,24234.0
2010-05-04,18.97,18.97,18.89,18.89,6213.0
2010-05-05,18.74,18.74,18.5,18.5,51590.0
2010-05-06,18.39,19.04,17.73,18.35,69793.0
2010-05-07,17.58,18.04,17.58,17.58,45260.0
2010-05-10,17.54,18.5,17.54,18.5,22959.0
2010-05-11,18.54,18.54,17.73,18.12,60959.0
2010-05-12,18.2,18.2,18.12,18.12,5708.0
2010-05-14,17.96,18.04,17.89,17.89,5405.0
2010-05-17,18.77,19.28,18.27,18.5,42163.0
2010-05-18,18.66,18.66,18.27,18.35,14203.0
2010-05-19,18.62,18.62,18.27,18.35,20198.0
2010-05-20,18.43,18.81,18.23,18.23,13479.0
2010-05-21,18.23,18.35,18.23,18.23,3749.0
