Date,Open,High,Low,Close,Volume
2014-09-18,15.44,15.44,9.74,11.77,67884.0
2014-09-19,11.58,11.58,9.84,10.18,78135.0
2014-09-22,10.27,10.9,10.27,10.52,32002.0
2014-09-23,10.52,10.52,9.98,10.03,18028.0
2014-09-24,9.84,9.84,8.3,8.78,99712.0
2014-09-25,8.49,8.49,7.28,7.62,114767.0
2014-09-26,7.62,8.68,7.38,8.63,77856.0
2014-09-29,8.88,9.45,8.73,9.16,38833.0
2014-09-30,9.16,9.36,8.73,9.21,17017.0
2014-10-01,9.16,9.16,8.49,8.59,20576.0
2014-10-02,8.59,9.02,8.2,8.2,15269.0
2014-10-03,9.07,9.07,8.2,8.3,21195.0
2014-10-06,9.02,9.02,8.39,8.39,8423.0
2014-10-07,8.34,8.39,7.91,7.91,13296.0
2014-10-08,8.06,8.06,7.38,7.72,20218.0
2014-10-09,7.72,8.01,7.72,7.72,3234.0
2014-10-10,7.48,7.52,7.24,7.38,20595.0
2014-10-13,7.38,7.52,7.38,7.43,10344.0
2014-10-14,7.43,7.43,7.24,7.38,17660.0
2014-10-15,7.33,7.62,7.28,7.43,11423.0
2014-10-16,7.24,7.33,6.75,6.99,21058.0
2014-10-17,6.95,7.24,6.95,7.14,11460.0
2014-10-20,7.24,7.72,7.24,7.62,5436.0
2014-10-21,7.62,8.01,7.62,8.01,7116.0
2014-10-22,8.01,8.2,7.86,7.91,21995.0
2014-10-23,8.06,8.2,7.62,8.2,4315.0
2014-10-24,8.01,8.01,7.48,7.96,13300.0
2014-10-27,7.81,7.81,7.24,7.38,9230.0
2014-10-28,7.24,7.24,6.99,6.99,17770.0
2014-10-29,6.85,6.95,6.51,6.61,33523.0
2014-10-30,6.61,6.8,6.56,6.75,12957.0
2014-10-31,6.56,6.75,6.56,6.75,6530.0
2014-11-03,6.75,6.75,6.08,6.46,30544.0
2014-11-04,6.27,6.51,6.17,6.46,12824.0
2014-11-05,6.51,6.7,6.42,6.7,35995.0
2014-11-06,6.66,6.75,6.61,6.75,19719.0
2014-11-07,6.75,6.9,6.46,6.75,21419.0
2014-11-10,6.75,6.75,6.75,6.75,3576.0
2014-11-11,6.66,7.04,6.66,7.04,14470.0
2014-11-12,6.9,6.99,6.9,6.99,4521.0
2014-11-13,6.85,6.9,6.46,6.66,16805.0
2014-11-14,6.56,6.66,6.46,6.66,11709.0
2014-11-17,6.66,6.85,6.61,6.8,8943.0
2014-11-18,6.8,6.8,6.61,6.61,15465.0
2014-11-19,6.51,6.66,6.51,6.61,10417.0
2014-11-20,6.7,6.7,6.51,6.7,1140.0
2014-11-21,6.56,6.66,6.51,6.51,10273.0
2014-11-24,6.51,6.61,6.51,6.61,12416.0
2014-11-25,6.51,6.75,6.46,6.75,10466.0
2014-11-26,6.75,6.75,6.61,6.61,2954.0
2014-11-27,6.56,6.56,6.22,6.56,13372.0
2014-11-28,6.56,6.66,6.56,6.66,3732.0
2014-12-01,6.56,6.56,6.13,6.13,44496.0
2014-12-02,6.13,6.13,5.98,5.98,15772.0
2014-12-03,5.88,5.88,5.45,5.6,32551.0
2014-12-04,5.21,5.55,5.11,5.45,45479.0
2014-12-05,5.45,5.69,5.45,5.6,11853.0
2014-12-08,5.06,5.45,5.06,5.45,21362.0
2014-12-09,5.35,5.45,5.26,5.45,27950.0
2014-12-10,5.26,5.4,5.21,5.4,27657.0
2014-12-11,5.26,5.31,5.11,5.11,11409.0
2014-12-12,5.11,5.31,5.11,5.31,11896.0
2014-12-15,5.26,5.31,5.16,5.31,8189.0
2014-12-16,5.21,5.35,5.16,5.31,22805.0
2014-12-17,5.16,5.26,5.11,5.21,11303.0
2014-12-18,5.21,5.31,5.11,5.31,11921.0
2014-12-19,5.4,5.79,5.4,5.79,56912.0
2014-12-22,5.79,6.66,5.79,6.46,46586.0
2014-12-23,6.37,6.75,6.22,6.7,29402.0
2014-12-29,6.7,7.09,6.66,6.85,45853.0
2014-12-30,6.85,6.95,6.56,6.7,24995.0
2015-01-02,6.9,7.48,6.9,7.09,44389.0
2015-01-05,7.19,7.19,6.95,7.04,16624.0
2015-01-07,7.04,7.04,6.7,6.75,30684.0
2015-01-08,6.75,6.85,6.75,6.75,9561.0
2015-01-09,6.66,6.95,6.46,6.66,16764.0
2015-01-12,6.66,6.66,6.22,6.56,42228.0
2015-01-13,6.37,6.99,6.13,6.7,22602.0
2015-01-14,6.7,6.7,6.46,6.66,19926.0
2015-01-15,6.61,6.61,6.46,6.46,1415.0
2015-01-16,6.51,6.51,6.37,6.37,33153.0
2015-01-19,6.37,6.56,6.37,6.51,6435.0
2015-01-20,6.51,6.56,6.46,6.46,14002.0
2015-01-21,6.27,6.46,6.27,6.32,6530.0
2015-01-22,6.42,6.51,6.37,6.37,15393.0
2015-01-23,6.51,6.51,6.27,6.27,6237.0
2015-01-26,6.27,6.56,6.27,6.51,14271.0
2015-01-27,6.56,6.56,6.32,6.32,9812.0
2015-01-28,6.22,6.32,6.17,6.27,20421.0
2015-01-29,6.17,6.22,6.17,6.22,5663.0
2015-01-30,6.46,7.43,6.46,7.04,35166.0
2015-02-02,7.33,7.33,6.75,6.75,8213.0
2015-02-03,6.56,6.9,6.56,6.8,3234.0
2015-02-04,6.85,6.99,6.85,6.95,9325.0
2015-02-05,7.33,7.33,6.32,6.46,38900.0
2015-02-06,6.56,6.56,6.37,6.42,7049.0
2015-02-09,6.32,6.51,6.32,6.51,5649.0
2015-02-10,6.46,7.09,6.42,7.09,21218.0
