Date,Open,High,Low,Close,Volume
2014-05-16,113.58,134.99,103.1,122.32,16472.0
2014-05-19,125.82,125.82,119.7,122.32,16715.0
2014-05-20,123.19,123.19,115.33,117.08,3464.0
2014-05-21,114.46,117.95,114.46,117.95,8750.0
2014-05-22,117.08,117.08,115.77,116.2,768.0
2014-05-23,117.95,117.95,117.52,117.52,945.0
2014-05-26,121.45,126.25,121.45,124.07,19675.0
2014-05-27,125.38,166.01,125.38,142.42,7567.0
2014-05-28,145.47,157.27,142.42,148.53,3613.0
2014-05-30,152.03,164.26,149.41,150.28,7575.0
2014-06-02,152.9,157.27,148.53,151.59,7682.0
2014-06-03,155.52,155.52,145.04,148.53,5963.0
2014-06-04,148.53,148.53,139.79,145.91,2761.0
2014-06-05,143.29,147.66,140.23,147.66,1651.0
2014-06-09,145.91,145.91,134.55,138.05,5579.0
2014-06-10,138.05,138.05,131.93,138.05,2985.0
2014-06-11,134.55,135.43,131.93,133.24,3220.0
2014-06-12,131.93,132.81,128.65,132.81,4536.0
2014-06-13,132.81,134.55,128.44,133.68,3875.0
2014-06-16,129.31,129.31,125.82,126.69,2024.0
2014-06-17,132.81,132.81,124.5,124.5,1645.0
2014-06-18,124.07,124.07,116.64,117.08,13282.0
2014-06-19,119.7,121.45,117.08,121.45,1844.0
2014-06-23,123.19,123.19,118.39,118.83,2379.0
2014-06-24,120.79,120.79,115.33,117.08,3226.0
2014-06-25,118.83,118.83,116.2,116.2,1190.0
2014-06-26,116.2,118.61,116.2,117.95,2010.0
2014-06-27,116.2,119.26,116.2,119.26,464.0
2014-06-30,117.95,117.95,116.2,116.2,1250.0
2014-07-01,116.2,117.08,116.2,116.64,341.0
2014-07-02,116.64,116.64,115.77,116.2,1250.0
2014-07-03,117.95,118.39,116.2,117.08,4685.0
2014-07-04,119.26,119.26,117.08,117.52,3452.0
2014-07-07,116.64,117.08,114.89,116.2,6710.0
2014-07-08,116.2,117.52,115.77,116.42,2547.0
2014-07-09,118.83,122.32,118.83,121.45,3261.0
2014-07-10,122.32,127.56,122.32,122.32,837.0
2014-07-11,122.32,122.32,122.32,122.32,0.0
2014-07-14,122.32,122.32,118.17,122.32,473.0
2014-07-15,118.39,118.39,117.95,117.95,363.0
2014-07-16,117.08,118.83,116.64,117.95,805.0
2014-07-17,118.83,118.83,116.64,117.95,720.0
2014-07-18,117.95,122.32,117.95,119.7,623.0
2014-07-21,119.7,122.32,119.7,122.32,164.0
2014-07-22,118.83,118.83,118.83,118.83,300.0
2014-07-23,122.32,122.32,122.32,122.32,100.0
2014-07-24,122.76,122.76,120.79,121.45,1000.0
2014-07-25,120.57,120.57,119.26,119.7,1341.0
2014-07-28,124.07,124.07,116.64,117.52,1972.0
2014-07-29,117.08,117.52,117.08,117.52,230.0
2014-07-30,117.08,117.08,116.42,117.08,299.0
2014-07-31,117.08,117.08,115.33,115.33,745.0
2014-08-01,117.52,117.52,113.58,117.08,1306.0
2014-08-04,111.18,112.27,111.18,111.84,805.0
2014-08-05,112.71,119.92,111.84,116.64,1810.0
2014-08-06,116.64,116.64,115.11,116.2,1120.0
2014-08-07,116.2,116.2,114.46,114.46,1040.0
2014-08-08,114.46,114.46,112.71,113.58,1087.0
2014-08-11,115.33,115.33,112.93,112.93,1225.0
2014-08-12,112.93,119.48,112.05,116.2,1908.0
2014-08-13,117.08,117.08,116.42,116.42,469.0
2014-08-14,117.08,117.08,115.33,115.33,1031.0
2014-08-15,115.33,117.95,115.33,116.2,800.0
2014-08-18,115.33,116.2,115.33,115.55,692.0
2014-08-19,115.77,116.2,114.89,116.2,3728.0
2014-08-20,115.33,116.2,115.33,115.33,6636.0
2014-08-21,116.2,116.2,116.2,116.2,821.0
2014-08-22,117.08,117.52,116.2,116.2,651.0
2014-08-25,115.33,117.52,115.33,117.08,2455.0
2014-08-26,117.08,118.83,117.08,118.83,410.0
2014-08-27,120.57,124.94,120.57,124.94,579.0
2014-08-28,124.94,127.13,124.94,125.38,1084.0
2014-08-29,125.82,126.69,125.82,125.82,1266.0
2014-09-01,125.6,125.6,125.6,125.6,84.0
2014-09-02,123.19,128.87,123.19,128.87,1442.0
2014-09-03,126.69,127.13,122.32,122.54,1378.0
2014-09-04,120.14,121.88,120.14,121.88,112.0
2014-09-05,117.08,117.08,114.46,117.08,3186.0
2014-09-08,115.33,115.33,113.8,113.8,300.0
2014-09-09,114.46,116.64,114.46,114.46,810.0
2014-09-10,116.2,117.08,113.58,115.77,1312.0
2014-09-11,115.77,115.77,111.84,114.02,607.0
2014-09-12,115.77,117.08,115.77,117.08,234.0
2014-09-15,110.96,117.73,110.96,117.3,360.0
2014-09-16,113.58,121.45,113.58,121.45,1320.0
2014-09-17,121.01,122.32,118.83,120.57,601.0
2014-09-18,120.57,120.57,117.08,119.26,1273.0
2014-09-19,117.95,117.95,112.71,117.08,4870.0
2014-09-22,117.08,117.08,117.08,117.08,0.0
2014-09-23,116.2,116.2,113.58,115.77,367.0
2014-09-24,113.58,115.77,112.93,115.77,1114.0
2014-09-25,115.77,116.2,115.33,116.2,3442.0
2014-09-26,113.15,116.2,113.15,116.2,217.0
2014-09-29,114.46,121.01,112.27,121.01,702.0
2014-09-30,117.52,117.52,113.58,116.2,1779.0
2014-10-01,113.15,116.2,112.71,112.71,11875.0
2014-10-02,111.84,112.27,109.65,112.27,1270.0
2014-10-03,112.27,113.15,110.09,112.71,755.0
2014-10-06,112.71,112.71,112.71,112.71,0.0
2014-10-07,110.96,112.71,107.47,111.84,1910.0
