Date,Open,High,Low,Close,Volume
2010-01-04,739.99,739.99,679.99,709.99,792.0
2010-01-05,709.99,709.99,699.99,709.99,133.0
2010-01-07,719.99,749.99,709.99,739.99,4659.0
2010-01-08,739.99,749.99,739.99,749.99,1656.0
2010-01-11,729.99,739.99,719.99,719.99,1720.0
2010-01-12,736.36,746.59,736.36,736.36,65.0
2010-01-13,744.03,744.03,733.84,733.84,266.0
2010-01-14,731.84,752.17,731.84,742.0,1127.0
2010-01-15,750.58,760.73,740.44,740.44,382.0
2010-01-18,747.61,757.72,727.41,757.72,500.0
2010-01-19,756.69,766.78,746.6,746.6,6645.0
2010-01-20,772.22,782.38,772.22,782.38,116.0
2010-01-21,0.75,0.75,0.75,0.75,126517.0
2010-01-22,767.32,777.55,767.32,767.32,1172.0
2010-01-25,778.49,809.22,768.25,768.25,593.0
2010-01-26,778.05,808.76,767.81,798.53,530.0
2010-01-27,797.69,818.15,777.24,787.47,577.0
2010-01-28,779.77,790.03,779.77,790.03,286.0
2010-01-29,783.02,783.02,777.9,777.9,1111.0
2010-02-01,0.76,0.76,0.76,0.76,12400.0
2010-02-02,797.4,807.49,777.21,807.49,248.0
2010-02-03,797.54,837.92,787.45,837.92,504.0
2010-02-04,847.1,857.3,836.89,857.3,77.0
2010-02-05,824.77,845.14,804.41,804.41,97.0
2010-02-08,806.99,806.99,746.46,746.46,201.0
2010-02-09,806.99,806.99,746.46,746.46,0.0
2010-02-10,806.99,806.99,746.46,746.46,16.0
2010-02-11,806.99,806.99,746.46,746.46,7.0
2010-02-12,806.99,806.99,746.46,746.46,55.0
2010-02-15,806.99,806.99,746.46,746.46,224.0
2010-02-16,806.99,806.99,746.46,746.46,1474.0
2010-02-17,806.99,806.99,746.46,746.46,121.0
2010-02-18,754.8,764.6,754.8,764.6,338.0
2010-02-19,775.75,785.57,746.29,746.29,132.0
2010-02-22,763.09,763.09,733.74,733.74,108.0
2010-02-23,736.46,736.46,687.37,707.01,401.0
2010-02-24,722.47,751.76,722.47,722.47,69.0
2010-02-25,740.12,749.86,740.12,749.86,255.0
2010-02-26,747.39,747.39,727.97,747.39,100.0
2010-03-01,759.06,759.06,729.87,749.33,46.0
2010-03-02,752.63,752.63,742.85,742.85,43.0
2010-03-03,763.23,763.23,753.45,753.45,168.0
2010-03-04,75.0,75.0,75.0,75.0,30.0
2010-03-05,726.77,736.46,717.08,726.77,999.0
2010-03-08,775.15,775.15,726.7,755.77,252.0
2010-03-09,757.13,757.13,728.01,728.01,0.0
2010-03-10,739.34,758.8,729.62,758.8,183.0
2010-03-11,749.73,759.46,739.99,759.46,178.0
2010-03-12,756.75,756.75,737.35,756.75,361.0
2010-03-15,739.47,758.93,739.47,758.93,6.0
2010-03-16,739.38,758.84,729.65,758.84,139.0
2010-03-17,729.16,758.32,729.16,758.32,93.0
2010-03-18,756.85,756.85,737.44,737.44,53.0
2010-03-19,757.44,757.44,728.3,757.44,267.0
2010-03-22,760.8,760.8,751.05,751.05,3.0
2010-03-23,738.12,767.25,738.12,767.25,779.0
2010-03-24,765.52,765.52,746.14,755.83,119.0
2010-03-25,744.57,754.24,734.9,754.24,242.0
2010-03-26,749.71,759.45,749.71,759.45,200.0
2010-03-29,0.78,0.78,0.78,0.78,6879.0
2010-03-30,761.04,790.31,751.29,780.56,2238.0
2010-03-31,770.41,780.16,770.41,780.16,74.0
2010-04-01,779.99,789.99,779.99,789.99,6.0
2010-04-06,743.1,762.4,743.1,762.4,221.0
2010-04-07,764.93,774.61,764.93,774.61,451.0
2010-04-08,0.79,0.79,0.79,0.79,10340.0
2010-04-09,775.48,785.17,775.48,785.17,303.0
2010-04-12,790.34,790.34,761.07,780.58,1094.0
2010-04-13,778.57,778.57,768.83,778.57,163.0
2010-04-14,0.8,0.8,0.8,0.8,111635.0
2010-04-15,765.54,775.23,765.54,775.23,32.0
2010-04-16,777.94,777.94,729.32,729.32,957.0
2010-04-19,0.79,0.79,0.79,0.79,13000.0
2010-04-20,749.29,749.29,739.68,749.29,150.0
2010-04-21,750.45,760.07,750.45,760.07,96.0
2010-04-22,779.99,789.99,769.99,789.99,9.0
2010-04-23,738.46,757.64,738.46,757.64,165.0
2010-04-26,737.03,746.6,737.03,737.03,303.0
2010-04-27,767.91,767.91,710.32,729.52,313.0
2010-04-28,721.67,721.67,692.8,712.05,63.0
2010-04-29,710.43,729.63,710.43,729.63,626.0
2010-04-30,0.75,0.75,0.75,0.75,2500.0
2010-05-03,749.99,749.99,681.69,739.99,230.0
2010-05-04,702.44,712.06,692.82,712.06,131.0
2010-05-05,719.64,719.64,661.29,690.46,1096.0
2010-05-06,687.22,726.49,657.77,716.67,169.0
2010-05-07,662.93,701.92,653.18,662.93,263.0
2010-05-10,712.76,712.76,654.97,654.97,0.0
2010-05-11,649.99,699.99,639.99,664.99,474.0
2010-05-12,664.99,664.99,639.99,649.99,255.0
2010-05-14,649.99,684.99,639.99,654.99,540.0
2010-05-17,579.99,649.99,579.99,649.99,320.0
2010-05-18,649.99,664.99,649.99,664.99,185.0
2010-05-19,659.99,659.99,634.99,659.99,362.0
2010-05-20,649.99,659.99,614.99,614.99,578.0
2010-05-21,649.99,659.99,639.99,649.99,567.0
2010-05-24,639.99,649.99,639.99,649.99,55.0
2010-05-25,624.99,624.99,624.99,624.99,5.0
2010-05-27,619.99,619.99,594.99,599.99,714.0
2010-05-28,614.99,619.99,604.99,609.99,308.0
2010-05-31,624.99,644.99,624.99,624.99,175.0
2010-06-01,619.99,619.99,599.99,604.99,252.0
2010-06-02,599.99,609.99,599.99,609.99,478.0
2010-06-03,614.99,614.99,604.99,604.99,723.0
2010-06-04,609.99,614.99,604.99,609.99,636.0
2010-06-07,599.99,609.99,599.99,609.99,283.0
2010-06-08,599.99,604.99,599.99,599.99,214.0
2010-06-09,609.99,609.99,599.99,599.99,102.0
2010-06-10,604.99,604.99,604.99,604.99,11.0
2010-06-11,604.99,604.99,559.99,559.99,323.0
2010-06-14,569.99,599.99,569.99,599.99,567.0
2010-06-15,589.99,589.99,589.99,589.99,20.0
2010-06-16,599.99,609.99,594.99,609.99,1232.0
2010-06-17,599.99,604.99,599.99,604.99,21.0
2010-06-18,599.99,599.99,589.99,599.99,6545.0
2010-06-21,599.99,599.99,589.99,589.99,87.0
2010-06-22,599.99,599.99,594.99,594.99,2.0
2010-06-23,589.99,589.99,589.99,589.99,1789.0
2010-06-24,599.99,599.99,579.99,579.99,0.0
2010-06-28,599.99,599.99,574.99,579.99,133.0
2010-06-29,579.99,579.99,569.99,569.99,500.0
2010-06-30,579.99,579.99,579.99,579.99,13.0
2010-07-01,579.99,579.99,569.99,569.99,0.0
2010-07-02,569.99,569.99,549.99,549.99,230.0
2010-07-05,564.99,599.99,564.99,579.99,250.0
2010-07-06,569.99,579.99,569.99,579.99,2250.0
2010-07-07,579.99,579.99,574.99,579.99,1819.0
2010-07-08,589.99,599.99,579.99,579.99,700.0
2010-07-09,579.99,579.99,569.99,579.99,1363.0
2010-07-12,584.99,584.99,579.99,579.99,426.0
2010-07-13,574.99,574.99,574.99,574.99,291.0
2010-07-14,574.99,579.99,569.99,569.99,750.0
2010-07-15,584.99,589.99,569.99,569.99,1656.0
2010-07-16,584.99,594.99,579.99,589.99,575.0
2010-07-19,594.99,599.99,584.99,584.99,100.0
2010-07-20,574.99,584.99,574.99,579.99,31.0
2010-07-21,589.99,589.99,589.99,589.99,246.0
2010-07-22,584.99,584.99,584.99,584.99,100.0
2010-07-23,589.99,589.99,579.99,579.99,481.0
2010-07-26,574.99,584.99,574.99,584.99,13.0
2010-07-27,584.99,584.99,584.99,584.99,8.0
2010-07-28,579.99,579.99,574.99,574.99,0.0
2010-07-29,579.99,584.99,574.99,579.99,326.0
2010-07-30,574.99,574.99,569.99,569.99,51.0
2010-08-02,574.99,579.99,574.99,579.99,65.0
2010-08-03,579.99,629.99,579.99,609.99,794.0
2010-08-04,604.99,669.99,594.99,634.99,2762.0
2010-08-05,634.99,669.99,634.99,659.99,1332.0
2010-08-06,679.99,684.99,594.99,614.99,5531.0
2010-08-09,629.99,629.99,604.99,629.99,712.0
2010-08-10,629.99,629.99,614.99,614.99,467.0
2010-08-11,619.99,629.99,609.99,619.99,844.0
2010-08-12,614.99,614.99,604.99,614.99,722.0
2010-08-13,604.99,609.99,599.99,609.99,120.0
2010-08-16,614.99,614.99,609.99,609.99,1050.0
2010-08-17,609.99,609.99,599.99,599.99,160.0
2010-08-18,604.99,604.99,604.99,604.99,41.0
2010-08-19,599.99,604.99,599.99,604.99,64.0
2010-08-20,604.99,609.99,599.99,609.99,102.0
2010-08-23,609.99,614.99,609.99,614.99,90.0
2010-08-24,614.99,614.99,604.99,604.99,330.0
2010-08-25,599.99,599.99,589.99,589.99,0.0
2010-08-26,599.99,599.99,599.99,599.99,1270.0
2010-08-27,599.99,599.99,589.99,589.99,695.0
2010-08-30,589.99,599.99,584.99,599.99,403.0
2010-08-31,584.99,594.99,579.99,594.99,614.0
2010-09-01,584.99,584.99,584.99,584.99,6190.0
2010-09-02,584.99,594.99,574.99,589.99,10844.0
2010-09-03,584.99,589.99,579.99,589.99,2037.0
2010-09-06,589.99,599.99,579.99,599.99,1076.0
2010-09-07,594.99,594.99,584.99,584.99,0.0
2010-09-09,589.99,589.99,579.99,589.99,126.0
2010-09-10,584.99,589.99,584.99,589.99,110.0
