Date,Open,High,Low,Close,Volume
2016-12-16,21.81,22.83,20.88,21.9,995771.0
2016-12-19,22.09,22.18,20.69,20.79,257247.0
2016-12-20,20.69,21.44,20.6,21.07,120074.0
2016-12-21,20.88,22.27,20.88,22.27,69665.0
2016-12-22,22.64,22.92,21.62,22.09,137733.0
2016-12-23,22.09,23.01,21.9,23.01,54121.0
2016-12-27,23.01,24.04,22.92,23.85,106322.0
2016-12-28,23.85,23.94,23.11,23.2,45148.0
2016-12-29,23.57,24.59,23.48,24.41,108699.0
2016-12-30,24.41,24.59,24.04,24.59,62335.0
2017-01-02,24.59,24.59,23.85,24.13,39246.0
2017-01-03,24.22,24.87,24.13,24.87,77673.0
2017-01-04,24.96,25.15,24.41,24.5,41246.0
2017-01-05,24.87,24.87,24.41,24.69,24993.0
2017-01-09,24.96,24.96,23.48,24.04,56884.0
2017-01-10,24.04,24.04,23.29,23.66,22052.0
2017-01-11,23.57,23.57,22.27,22.55,77150.0
2017-01-12,22.55,23.01,21.9,22.09,53229.0
2017-01-13,22.09,22.92,22.09,22.83,57542.0
2017-01-16,22.83,23.2,22.64,22.64,17527.0
2017-01-17,22.64,23.11,22.55,23.11,12780.0
2017-01-18,23.2,23.2,22.55,23.01,9319.0
2017-01-19,23.01,23.11,21.99,22.18,34942.0
2017-01-20,22.27,22.27,21.9,22.18,48522.0
2017-01-23,22.18,22.18,20.42,21.34,16940.0
2017-01-24,21.34,21.34,20.42,20.88,66102.0
2017-01-25,20.88,21.16,20.05,20.42,42523.0
2017-01-26,20.42,20.42,18.93,19.21,273122.0
2017-01-27,19.4,19.49,19.02,19.49,45134.0
2017-01-30,19.49,19.49,18.84,19.21,32796.0
2017-01-31,19.3,20.05,19.21,19.49,52721.0
2017-02-01,20.14,20.14,19.12,19.49,8147.0
2017-02-02,19.49,19.49,18.75,19.21,33331.0
2017-02-03,18.93,19.4,18.93,19.4,7016.0
2017-02-06,19.4,19.4,19.12,19.12,8821.0
2017-02-07,19.12,20.05,19.12,19.3,12551.0
2017-02-08,19.49,19.49,19.02,19.21,15397.0
2017-02-09,19.49,19.49,19.12,19.3,5948.0
2017-02-10,19.21,19.58,19.21,19.21,7933.0
2017-02-13,19.21,19.49,19.02,19.49,26080.0
2017-02-14,19.49,19.86,19.21,19.49,9961.0
2017-02-15,19.49,19.49,18.84,19.3,13384.0
2017-02-16,19.49,20.05,19.02,19.67,14072.0
2017-02-17,19.02,19.86,18.84,18.93,30373.0
2017-02-20,18.93,18.93,17.63,18.75,16301.0
2017-02-21,18.75,19.3,17.73,18.56,46950.0
2017-02-22,18.56,18.56,17.73,18.0,29318.0
2017-02-23,17.82,17.82,17.45,17.63,28271.0
2017-02-24,17.63,18.19,17.63,18.1,5410.0
2017-02-27,18.19,18.37,17.17,17.35,33658.0
2017-02-28,17.35,17.63,16.89,17.17,18974.0
2017-03-01,17.17,17.17,16.89,17.17,8751.0
2017-03-02,16.89,17.63,16.89,17.63,8058.0
2017-03-03,17.63,18.37,17.45,17.73,10091.0
2017-03-06,17.73,17.73,17.17,17.35,8502.0
2017-03-07,17.35,17.35,17.08,17.17,6864.0
2017-03-08,17.26,17.54,17.08,17.54,4284.0
2017-03-09,17.54,17.63,17.17,17.63,3691.0
2017-03-10,17.63,18.65,17.45,18.65,9569.0
2017-03-13,18.65,19.49,18.65,19.02,16378.0
2017-03-14,19.02,19.02,17.73,18.28,3694.0
2017-03-15,18.1,18.37,18.1,18.37,6586.0
2017-03-16,18.37,18.56,17.91,18.37,2253.0
2017-03-17,18.56,18.56,17.91,17.91,95.0
2017-03-20,18.1,18.1,17.82,17.82,2787.0
