Date,Open,High,Low,Close,Volume
2014-12-29,56.24,57.7,55.75,56.73,6580.0
2014-12-30,56.24,57.22,56.24,56.73,5144.0
2015-01-02,56.73,56.73,56.73,56.73,1595.0
2015-01-05,56.73,56.73,56.73,56.73,600.0
2015-01-07,55.75,55.75,55.75,55.75,2400.0
2015-01-08,55.75,57.46,55.75,57.46,5433.0
2015-01-09,57.7,57.7,57.46,57.46,1547.0
2015-01-12,56.73,57.22,56.73,57.22,7120.0
2015-01-13,57.22,57.7,57.22,57.22,10123.0
2015-01-14,56.97,56.97,56.73,56.73,1470.0
2015-01-15,56.24,56.73,54.77,56.73,11021.0
2015-01-16,56.73,56.73,56.73,56.73,0.0
2015-01-20,56.48,56.73,56.48,56.73,200.0
2015-01-21,55.26,56.73,55.26,56.73,810.0
2015-01-22,56.73,56.73,56.73,56.73,470.0
2015-01-23,56.97,57.95,56.97,57.95,7395.0
2015-01-26,57.7,57.95,57.7,57.95,1000.0
2015-01-27,57.95,57.95,57.95,57.95,0.0
2015-01-28,56.73,56.73,56.73,56.73,1000.0
2015-01-29,56.73,56.97,56.73,56.97,1874.0
2015-01-30,57.7,57.7,57.46,57.7,20281.0
2015-02-02,57.46,57.7,57.46,57.7,589.0
2015-02-03,57.46,57.7,57.46,57.7,510.0
2015-02-04,57.22,57.7,56.73,57.7,2410.0
2015-02-05,56.73,57.7,56.73,57.7,1670.0
2015-02-06,56.97,57.7,56.97,57.7,700.0
2015-02-09,56.73,57.7,56.73,57.22,19200.0
2015-02-10,57.7,57.7,57.7,57.7,99.0
2015-02-11,57.7,57.7,56.73,56.97,3496.0
2015-02-12,58.19,58.19,56.97,56.97,400.0
2015-02-13,57.22,57.7,57.22,57.7,1030.0
2015-02-16,58.68,58.68,57.7,58.19,3540.0
2015-02-17,57.7,57.7,57.7,57.7,240.0
2015-02-18,57.95,58.19,57.22,57.22,1170.0
2015-02-19,57.22,57.22,56.97,56.97,2050.0
2015-02-20,57.22,57.46,56.48,57.22,3906.0
2015-02-23,57.22,57.22,56.73,57.22,1110.0
2015-02-24,56.73,57.46,56.48,57.46,1830.0
2015-02-25,57.46,57.7,57.46,57.7,1000.0
2015-02-26,56.48,57.46,56.24,57.46,365.0
2015-02-27,57.7,57.7,57.22,57.22,4061.0
2015-03-02,57.7,57.7,56.97,57.7,7550.0
