Date,Open,High,Low,Close,Volume
2016-03-16,107.32,119.06,87.2,92.23,894535.0
2016-03-17,95.58,109.2,87.2,97.26,52996.0
2016-03-18,98.1,100.61,92.65,92.65,21232.0
2016-03-21,91.39,93.9,88.03,89.71,13392.0
2016-03-22,89.71,92.86,88.66,89.29,26621.0
2016-03-23,88.45,90.55,87.2,88.87,42538.0
2016-03-24,88.03,90.34,88.03,88.66,58911.0
2016-03-29,87.2,92.44,87.2,91.39,19390.0
2016-03-30,89.71,92.44,89.71,90.55,18259.0
2016-03-31,90.55,93.69,90.55,90.55,9002.0
2016-04-01,90.97,94.32,90.97,92.23,10077.0
2016-04-04,94.32,95.37,93.06,95.16,10845.0
2016-04-05,93.31,100.7,93.31,94.24,20637.0
2016-04-06,99.09,104.17,97.01,97.47,165938.0
2016-04-07,97.93,101.17,97.01,100.24,3834.0
2016-04-08,101.63,102.55,98.63,102.55,716924.0
2016-04-11,103.24,104.86,102.78,104.4,9610.0
2016-04-12,102.78,103.94,101.17,103.94,8705.0
2016-04-13,100.7,103.48,99.78,100.7,8740.0
2016-04-14,100.7,101.63,95.85,99.09,30943.0
2016-04-15,97.01,100.7,97.01,99.09,17278.0
2016-04-18,100.93,100.93,93.31,95.62,46822.0
2016-04-19,96.32,101.17,92.62,97.93,129362.0
2016-04-20,98.39,98.63,94.01,95.85,13554.0
2016-04-21,96.08,98.63,92.39,96.32,37728.0
2016-04-22,97.47,99.55,96.32,96.55,23376.0
2016-04-25,94.47,96.32,94.47,94.93,10499.0
2016-04-26,95.16,96.32,94.24,95.16,7467.0
2016-04-27,94.24,95.39,94.24,94.47,3358.0
2016-04-28,93.78,94.93,93.08,94.24,4448.0
2016-04-29,92.62,94.93,92.39,93.78,2133.0
2016-05-02,93.78,96.55,93.78,95.16,25672.0
2016-05-03,94.47,95.39,92.85,93.08,16474.0
2016-05-04,93.08,95.16,92.85,95.16,108015.0
2016-05-06,95.16,95.16,93.31,94.24,17874.0
2016-05-09,92.62,95.16,92.62,94.24,119605.0
2016-05-10,95.16,95.39,94.47,95.16,25157.0
2016-05-11,94.47,97.01,94.24,95.16,23490.0
2016-05-12,96.08,99.78,95.85,99.32,66876.0
2016-05-13,101.86,102.78,97.93,97.93,14999.0
2016-05-16,100.7,105.56,100.7,103.01,5126.0
2016-05-17,103.48,104.86,99.32,100.93,1615.0
2016-05-18,100.47,100.7,98.16,98.39,1973.0
2016-05-19,97.7,99.09,96.08,96.08,2951.0
2016-05-20,97.01,100.7,95.39,95.85,10771.0
2016-05-23,95.62,97.7,93.78,95.16,3325.0
2016-05-24,95.62,99.78,95.62,97.01,7623.0
2016-05-25,99.78,99.78,97.47,98.16,3600.0
2016-05-26,97.93,97.93,96.08,96.55,4471.0
2016-05-27,96.08,99.32,95.39,97.01,14089.0
2016-05-30,97.24,97.24,96.32,96.32,2454.0
2016-05-31,96.08,97.47,96.08,96.32,2388.0
2016-06-01,96.55,97.24,94.47,95.85,9771.0
2016-06-02,96.08,97.24,94.24,96.08,10212.0
2016-06-03,96.32,97.93,93.78,95.39,5713.0
2016-06-07,94.24,97.01,94.24,96.32,6338.0
2016-06-08,95.85,97.7,95.85,97.7,6860.0
2016-06-09,97.47,97.47,96.55,97.01,2526.0
2016-06-10,95.62,96.55,94.24,96.08,2348.0
2016-06-13,93.08,95.39,93.08,93.31,22520.0
2016-06-14,93.08,98.86,92.85,98.63,5286.0
2016-06-15,94.93,96.78,93.08,94.93,8502.0
2016-06-16,95.16,95.16,93.08,93.08,1327.0
2016-06-17,93.31,94.24,93.31,93.31,2281.0
2016-06-20,94.47,97.24,93.31,97.24,31022.0
2016-06-21,97.93,97.93,94.47,95.16,1617.0
2016-06-22,94.47,97.93,94.47,94.7,1620.0
2016-06-23,94.47,96.08,94.24,94.24,18583.0
2016-06-27,89.62,95.16,89.62,95.16,9276.0
2016-06-28,95.16,96.32,93.08,96.32,47.0
2016-06-29,97.01,97.01,93.31,94.24,2279.0
2016-06-30,94.24,96.55,94.24,94.24,3811.0
2016-07-01,94.7,98.86,94.7,98.63,7536.0
2016-07-04,98.63,98.86,95.16,98.63,1417.0
2016-07-05,99.09,101.63,98.86,101.4,22057.0
2016-07-06,99.78,102.09,99.78,101.63,12146.0
2016-07-07,101.63,103.71,97.47,103.71,11924.0
2016-07-08,103.71,104.86,98.39,98.86,876.0
2016-07-11,104.86,104.86,99.78,100.93,662.0
2016-07-12,102.32,103.48,101.63,101.86,1936.0
2016-07-13,101.4,101.74,101.4,101.63,568020.0
2016-07-14,103.24,103.24,99.09,99.09,420.0
2016-07-15,103.24,103.48,99.78,101.63,3406.0
2016-07-18,104.86,109.71,104.86,108.33,14382.0
2016-07-19,109.02,109.71,106.02,106.71,5318.0
2016-07-20,107.4,108.33,107.17,107.17,8991.0
2016-07-21,109.02,113.87,108.79,112.48,6305.0
2016-07-22,112.25,115.49,111.79,115.02,10571.0
2016-07-25,117.33,121.26,115.95,116.87,2488.0
2016-07-26,116.41,119.87,115.95,119.87,1014.0
2016-07-27,117.8,118.26,114.79,115.49,3579.0
2016-07-28,116.41,117.33,114.79,116.41,864.0
2016-07-29,116.41,116.41,114.56,116.18,1211.0
2016-08-01,116.41,117.1,115.26,117.1,753.0
2016-08-02,117.33,136.74,117.33,124.73,8017.0
2016-08-03,124.26,126.57,121.49,122.42,2474.0
2016-08-04,123.34,127.04,123.34,126.57,3890.0
2016-08-05,126.57,132.58,126.57,130.04,4892.0
2016-08-08,131.19,133.96,129.35,132.58,6997.0
2016-08-09,133.04,140.89,131.89,140.43,13822.0
2016-08-10,142.28,145.05,138.58,142.28,69131.0
2016-08-11,143.2,143.67,136.74,136.74,2581.0
2016-08-12,136.74,136.74,129.35,133.5,7066.0
2016-08-15,132.12,135.35,129.58,135.35,216532.0
2016-08-16,135.81,135.81,133.27,133.27,2063.0
2016-08-17,136.27,138.35,134.2,135.35,1940.0
2016-08-18,136.74,136.74,135.81,136.27,1242.0
2016-08-19,137.66,141.82,135.58,135.58,7217.0
2016-08-22,138.58,138.58,131.42,136.27,4721.0
2016-08-23,135.81,135.81,129.35,131.89,27894.0
2016-08-24,131.65,131.65,127.5,129.11,5881.0
2016-08-25,128.42,132.12,127.96,127.96,5330.0
2016-08-26,132.81,132.81,125.88,132.12,5020.0
2016-08-29,132.12,132.58,129.35,130.5,3216.0
2016-08-30,127.5,133.04,127.5,132.12,238426.0
2016-08-31,133.73,133.73,127.96,127.96,521613.0
2016-09-01,127.96,130.27,127.96,130.27,530.0
2016-09-02,130.27,130.27,127.5,127.73,1444.0
2016-09-05,125.65,126.8,124.26,124.73,2448.0
2016-09-06,127.04,127.04,124.03,124.73,1689.0
2016-09-07,124.26,124.26,121.95,123.57,2346.0
2016-09-08,123.34,123.34,122.42,122.42,354.0
2016-09-09,123.8,124.96,123.8,124.73,989.0
2016-09-12,124.73,125.65,121.26,121.49,1663.0
2016-09-13,124.73,125.88,122.88,123.34,7464.0
2016-09-14,123.34,124.96,123.34,124.26,4616.0
2016-09-15,124.73,124.73,123.11,123.8,1683.0
2016-09-16,123.8,132.81,121.95,132.81,8130.0
2016-09-19,133.04,133.04,127.27,132.12,252692.0
2016-09-20,132.12,132.12,129.35,129.35,389901.0
2016-09-21,129.35,130.04,129.35,129.35,961.0
2016-09-22,130.04,130.73,129.35,130.73,14669.0
2016-09-23,131.19,131.19,129.35,129.35,1087.0
2016-09-26,128.42,130.73,127.5,130.73,569.0
2016-09-27,131.19,131.19,129.35,129.35,1149.0
2016-09-28,129.58,129.58,125.65,129.35,54933.0
2016-09-29,129.35,129.35,126.57,127.5,805.0
2016-09-30,126.57,127.5,126.11,126.34,4546.0
2016-10-03,126.57,129.11,126.57,127.96,34555.0
2016-10-04,127.96,127.96,124.26,124.73,29588.0
2016-10-05,125.88,125.88,124.26,125.88,3377.0
2016-10-06,126.34,127.5,126.11,127.5,37351.0
2016-10-07,128.42,129.35,127.5,128.42,4323.0
2016-10-10,129.35,136.74,129.35,129.81,5205.0
2016-10-11,131.89,131.89,129.35,129.35,1757.0
2016-10-12,129.58,129.58,126.57,127.27,5624.0
2016-10-13,132.35,132.58,127.96,127.96,74355.0
2016-10-14,133.04,133.04,125.88,128.19,18194.0
2016-10-17,128.19,128.88,122.88,124.96,3542.0
2016-10-18,125.19,128.88,124.03,125.19,1229.0
2016-10-19,124.26,124.73,123.8,123.8,2280.0
2016-10-20,124.03,125.65,123.57,123.8,753.0
2016-10-21,124.73,124.73,122.42,124.49,2919.0
2016-10-24,126.57,126.57,126.11,126.57,1092.0
2016-10-25,127.5,131.42,127.5,131.19,4565.0
2016-10-26,131.65,131.89,131.19,131.89,45741.0
2016-10-27,132.12,132.12,125.19,127.5,179581.0
2016-10-28,131.19,131.89,127.5,127.5,43005.0
2016-10-31,131.89,131.89,127.73,128.88,12909.0
2016-11-01,130.27,130.96,128.88,130.96,3408.0
2016-11-02,129.58,131.89,129.58,131.89,5775.0
2016-11-03,131.89,134.89,129.81,132.12,58991.0
2016-11-04,132.58,132.58,127.73,131.65,28915.0
2016-11-07,131.65,132.12,126.8,132.12,3726.0
2016-11-08,127.73,134.66,127.73,134.66,2952.0
2016-11-09,133.96,134.66,131.65,133.96,5000.0
2016-11-10,132.12,132.12,127.5,127.96,4711.0
2016-11-11,128.88,130.27,124.26,124.26,6267.0
2016-11-14,126.57,129.11,126.34,126.57,864.0
2016-11-15,126.8,126.8,122.42,123.57,5143.0
2016-11-16,121.03,122.65,121.03,122.65,3446.0
2016-11-17,121.95,122.65,121.03,121.03,1744.0
2016-11-18,122.42,122.88,121.72,121.72,361.0
2016-11-21,121.95,124.03,120.57,122.88,2524.0
2016-11-22,123.8,128.88,123.8,124.49,1080.0
2016-11-23,127.73,130.04,126.8,128.42,3983.0
2016-11-24,128.42,128.65,126.34,128.42,1359.0
2016-11-25,127.96,131.19,127.96,129.35,2119.0
2016-11-28,129.35,132.12,129.35,132.12,64537.0
2016-11-29,132.12,133.04,126.8,126.8,2676.0
2016-11-30,132.35,132.35,130.27,130.27,1472.0
2016-12-01,130.27,132.58,130.27,130.96,26491.0
2016-12-02,132.58,137.66,132.58,137.66,5840.0
2016-12-05,138.58,138.58,135.12,136.97,704.0
2016-12-06,134.89,134.89,130.27,130.73,8269.0
2016-12-07,130.27,130.27,129.35,129.35,1807.0
