Date,Open,High,Low,Close,Volume
2015-06-17,82.37,87.89,80.67,85.98,6643335.0
2015-06-18,86.19,86.19,83.01,84.92,658926.0
2015-06-22,86.83,87.47,83.22,83.22,469001.0
2015-06-23,83.86,83.86,81.95,82.16,233743.0
2015-06-24,83.43,83.43,80.67,81.52,220067.0
2015-06-25,82.16,83.86,81.52,82.8,310832.0
2015-06-26,83.22,85.35,81.52,81.52,136493.0
2015-06-29,80.67,83.22,78.98,81.52,150313.0
2015-06-30,81.52,83.22,80.67,81.52,105702.0
2015-07-01,83.22,84.07,81.52,81.74,41356.0
2015-07-02,81.74,82.16,81.31,82.16,5487.0
2015-07-03,81.52,83.22,81.52,82.16,27926.0
2015-07-06,80.89,83.22,80.67,81.52,20290.0
2015-07-07,81.52,82.16,81.52,81.74,34449.0
2015-07-08,81.74,82.16,80.25,80.67,285287.0
2015-07-09,79.19,81.52,79.19,80.89,477504.0
2015-07-10,82.37,85.56,79.83,85.56,55881.0
2015-07-13,84.5,86.62,83.22,84.07,89364.0
2015-07-14,84.92,84.92,83.22,83.65,10788.0
2015-07-15,85.35,85.35,82.37,82.37,385357.0
2015-07-16,81.74,85.35,81.74,85.35,54961.0
2015-07-17,85.13,85.13,81.95,84.5,10463.0
2015-07-20,84.71,84.92,83.22,84.07,32171.0
2015-07-21,84.07,84.5,82.37,82.8,47255.0
2015-07-22,83.22,84.5,82.16,84.28,28593.0
2015-07-23,83.65,84.28,82.37,82.37,9382.0
2015-07-24,82.37,83.65,81.52,81.52,682072.0
2015-07-27,81.52,81.74,80.89,81.1,12663.0
2015-07-28,83.22,84.5,80.67,82.37,97280.0
2015-07-29,83.65,85.35,83.65,84.71,329070.0
2015-07-30,86.41,86.62,83.86,84.71,180780.0
2015-07-31,85.77,85.77,82.8,84.5,16224.0
2015-08-03,86.19,86.19,84.07,84.5,22917.0
2015-08-04,84.71,84.71,83.01,83.22,54219.0
2015-08-05,83.22,83.65,83.01,83.01,71650.0
2015-08-06,83.65,83.86,81.95,82.16,22783.0
2015-08-07,84.71,84.71,81.95,82.59,34149.0
2015-08-10,82.37,83.65,82.37,82.8,61254.0
2015-08-11,82.8,83.65,82.8,83.65,101343.0
2015-08-12,83.65,84.5,82.37,83.22,364645.0
2015-08-13,84.71,84.71,81.95,81.95,30800.0
2015-08-14,82.59,83.65,82.37,82.37,28724.0
2015-08-17,82.37,83.86,81.95,82.37,45004.0
2015-08-18,83.01,83.01,81.95,82.59,187605.0
2015-08-19,82.59,82.59,80.67,80.67,119908.0
2015-08-20,80.67,81.1,77.07,77.91,39537.0
2015-08-21,77.49,77.91,73.88,77.91,96384.0
2015-08-24,77.28,79.4,73.88,79.19,211475.0
2015-08-25,79.19,81.52,78.55,80.67,121964.0
2015-08-26,81.31,81.31,77.28,78.55,265077.0
2015-08-27,80.89,81.52,78.55,79.61,59875.0
2015-08-28,79.61,79.61,77.28,77.7,22605.0
2015-08-31,78.13,80.04,78.13,78.98,24774.0
2015-09-01,78.98,78.98,76.43,78.55,728343.0
2015-09-02,78.13,78.13,76.0,76.43,18593.0
2015-09-03,76.43,78.98,76.43,78.55,61171.0
2015-09-04,76.43,78.98,76.43,77.91,26727.0
2015-09-07,78.13,78.76,77.07,77.28,10992.0
2015-09-08,77.07,77.91,73.88,77.07,385227.0
2015-09-09,81.31,81.31,79.61,79.61,124760.0
2015-09-10,81.31,81.31,78.55,78.55,80078.0
2015-09-11,78.55,79.83,78.55,79.19,46128.0
2015-09-14,80.67,81.52,79.4,79.61,54344.0
2015-09-15,79.83,80.67,78.76,78.76,26150.0
2015-09-16,78.98,79.83,77.49,77.7,33529.0
2015-09-17,77.7,78.76,76.85,77.07,29323.0
2015-09-18,79.83,79.83,76.64,77.28,62887.0
2015-09-21,77.28,77.7,76.64,77.07,28133.0
2015-09-22,77.07,77.7,74.09,74.09,62616.0
2015-09-23,74.31,76.64,73.03,76.43,143101.0
2015-09-24,75.58,76.43,75.15,75.58,26272.0
2015-09-25,77.28,77.28,74.94,76.0,42205.0
2015-09-28,76.43,76.43,73.88,73.88,57639.0
2015-09-29,72.18,74.31,70.7,70.91,50378.0
2015-09-30,71.33,73.88,71.33,73.03,158097.0
2015-10-01,73.88,74.94,72.18,73.03,24407.0
2015-10-02,75.58,75.58,72.39,72.82,33562.0
2015-10-05,73.03,74.09,71.97,73.24,44488.0
2015-10-06,73.46,74.73,72.18,74.52,130899.0
2015-10-07,74.73,77.28,74.52,75.79,32831.0
2015-10-08,77.28,77.28,74.31,74.31,8316.0
2015-10-09,74.31,77.49,74.31,77.28,28223.0
2015-10-12,74.94,77.07,74.73,74.73,14587.0
2015-10-13,74.73,76.43,73.03,74.73,28114.0
2015-10-14,73.03,75.58,72.18,72.18,30562.0
2015-10-15,72.39,73.67,71.97,71.97,111667.0
2015-10-16,71.97,72.61,70.7,71.12,91945.0
2015-10-19,71.33,72.18,68.36,69.0,48690.0
2015-10-20,69.21,70.7,68.57,69.21,46155.0
2015-10-21,69.63,70.48,68.79,69.63,100616.0
2015-10-22,70.91,72.18,69.63,72.18,39412.0
2015-10-23,72.39,74.94,69.42,69.63,178919.0
2015-10-26,70.48,71.97,69.63,70.48,89944.0
2015-10-27,71.33,71.33,70.06,70.48,154941.0
2015-10-28,70.91,72.82,70.91,71.33,30356.0
2015-10-29,72.18,72.39,70.91,71.76,51798.0
2015-10-30,72.61,73.03,71.76,72.39,47439.0
2015-11-02,73.03,73.67,72.18,73.03,278441.0
2015-11-03,73.03,76.64,73.03,76.0,49401.0
2015-11-04,76.0,79.4,76.0,79.4,78060.0
2015-11-05,79.4,79.4,77.28,79.19,45502.0
2015-11-06,79.19,79.19,75.37,76.64,38235.0
2015-11-09,76.85,77.07,74.31,74.73,64024.0
2015-11-10,74.94,75.58,74.31,74.52,52359.0
2015-11-11,75.15,75.15,73.46,73.46,124102.0
2015-11-12,73.46,73.46,71.33,71.76,40744.0
2015-11-13,72.39,75.37,71.76,73.88,52665.0
2015-11-17,73.24,78.76,73.24,78.76,66088.0
2015-11-18,78.76,80.46,76.64,80.46,81501.0
2015-11-19,79.83,80.25,78.13,79.61,68323.0
2015-11-20,78.98,79.61,77.49,79.61,14673.0
2015-11-24,76.43,79.19,75.37,76.85,46305.0
2015-11-25,76.43,76.85,75.15,76.22,123482.0
2015-11-26,75.58,76.0,74.94,74.94,40712.0
2015-11-27,75.58,77.28,74.73,77.28,46323.0
2015-12-01,78.13,78.55,76.0,76.43,160796.0
2015-12-02,75.58,76.43,75.58,75.79,50984.0
2015-12-03,75.15,75.37,74.09,74.09,101950.0
2015-12-04,73.88,75.15,73.24,74.09,400660.0
2015-12-08,75.37,75.37,72.39,72.82,50112.0
2015-12-09,73.67,74.52,71.33,73.03,99799.0
2015-12-10,73.24,73.24,71.76,72.18,54176.0
2015-12-11,73.03,73.03,70.27,70.91,22039.0
2015-12-15,70.91,70.91,69.21,69.85,47676.0
2015-12-16,69.63,70.27,69.21,70.06,25640.0
2015-12-17,71.12,72.18,70.27,71.97,117354.0
2015-12-18,71.76,73.03,71.76,71.97,94849.0
2015-12-21,71.97,74.94,71.97,73.88,42749.0
2015-12-22,74.52,75.15,72.61,74.94,47236.0
2015-12-28,75.15,75.79,73.24,75.37,60637.0
2015-12-29,73.88,75.79,73.03,73.46,53586.0
2015-12-30,73.88,74.73,72.18,72.61,29798.0
2016-01-04,72.18,72.39,70.91,71.12,25024.0
2016-01-05,71.33,72.61,71.33,71.33,8218.0
2016-01-07,70.7,70.7,64.54,70.48,45418.0
2016-01-08,69.63,71.12,68.79,68.79,133092.0
2016-01-11,69.21,69.21,66.88,66.88,174367.0
2016-01-12,66.88,67.3,63.48,65.6,115158.0
2016-01-13,65.6,66.66,65.18,65.39,24209.0
2016-01-14,65.81,67.09,65.39,66.88,56650.0
2016-01-15,67.09,67.09,61.99,62.84,63839.0
2016-01-18,60.72,62.63,60.72,61.36,39743.0
2016-01-19,62.84,62.84,61.14,61.78,159292.0
2016-01-20,61.57,64.54,60.29,60.51,84682.0
2016-01-21,60.08,63.27,59.87,62.63,94652.0
2016-01-22,64.54,65.81,63.69,64.54,380718.0
2016-01-25,65.39,66.66,63.69,65.18,42369.0
2016-01-26,65.18,66.45,63.69,65.18,89478.0
2016-01-27,65.18,65.39,63.9,64.33,74465.0
2016-01-28,63.9,66.88,63.9,65.39,132561.0
2016-01-29,65.39,68.79,63.69,67.94,26596.0
2016-02-01,69.85,72.39,69.85,72.39,113131.0
2016-02-02,72.39,72.39,68.79,69.63,23217.0
2016-02-03,70.48,70.91,66.66,66.88,34812.0
2016-02-04,67.94,69.85,65.39,65.81,35864.0
2016-02-05,65.81,66.88,63.69,64.12,136792.0
2016-02-08,64.12,64.96,61.78,62.84,108400.0
2016-02-09,62.84,63.69,60.51,60.72,74628.0
2016-02-10,61.14,62.42,60.29,61.57,48124.0
2016-02-11,62.84,62.84,60.51,60.72,186808.0
2016-02-12,63.27,63.27,60.29,61.36,20199.0
2016-02-15,61.36,64.33,60.72,64.12,21277.0
2016-02-16,64.96,65.18,63.05,63.69,27316.0
2016-02-17,64.54,66.66,64.12,65.81,17350.0
2016-02-18,67.51,67.51,65.18,67.51,26260.0
2016-02-19,67.51,69.0,67.51,68.57,27117.0
2016-02-22,68.79,70.48,68.79,70.06,42693.0
2016-02-23,70.06,70.91,68.79,69.63,21184.0
2016-02-24,71.55,71.55,68.15,69.21,14108.0
2016-02-25,71.33,73.88,69.42,70.27,48195.0
2016-02-26,70.27,70.27,66.88,67.09,34813.0
2016-02-29,66.88,67.09,63.48,64.12,70125.0
2016-03-01,63.69,63.69,61.36,62.63,60090.0
2016-03-02,62.84,64.12,62.84,63.27,23903.0
2016-03-03,63.69,64.96,62.84,64.75,53555.0
2016-03-04,64.54,66.66,63.27,66.66,37135.0
2016-03-07,66.24,69.63,65.18,69.42,32487.0
2016-03-08,67.94,69.21,66.88,67.72,39505.0
2016-03-09,69.63,70.27,65.39,66.24,87432.0
2016-03-10,66.88,69.63,66.03,66.03,55060.0
2016-03-11,67.72,68.79,64.96,66.03,58200.0
2016-03-14,67.09,67.72,64.75,65.81,192731.0
2016-03-15,65.81,66.03,64.96,65.18,42496.0
2016-03-16,65.6,67.09,65.18,65.39,55343.0
2016-03-17,66.87,66.87,64.33,64.96,17850.0
2016-03-18,66.03,66.24,64.33,66.24,53614.0
2016-03-21,66.24,70.48,66.24,69.0,32342.0
2016-03-22,68.79,69.0,66.66,69.0,15856.0
2016-03-23,69.63,69.85,67.3,69.21,19181.0
2016-03-24,69.21,69.21,67.51,68.36,8448.0
2016-03-29,68.36,70.91,68.15,70.91,20544.0
2016-03-30,70.91,71.33,69.85,70.7,24268.0
2016-03-31,70.7,71.12,69.42,70.48,6845.0
2016-04-01,69.42,71.12,69.42,71.12,10220.0
2016-04-04,71.76,71.76,69.63,70.7,17496.0
2016-04-05,68.79,70.91,68.79,70.27,6613.0
2016-04-06,69.63,70.91,68.36,69.21,29580.0
2016-04-07,68.36,70.27,67.3,67.94,11984.0
2016-04-08,67.94,68.15,66.88,67.09,27767.0
2016-04-11,67.72,68.36,67.3,67.72,142071.0
2016-04-12,67.94,69.42,67.72,67.94,29823.0
2016-04-13,68.79,69.42,68.36,69.21,10354.0
2016-04-14,68.79,69.63,67.3,68.36,20072.0
2016-04-15,68.79,68.79,67.09,67.3,36581.0
2016-04-18,67.51,68.36,67.3,68.15,19796.0
2016-04-19,67.94,69.21,67.94,68.36,14195.0
2016-04-20,69.21,69.21,67.94,68.57,69210.0
2016-04-21,69.21,69.85,68.15,69.85,245587.0
2016-04-22,68.57,70.48,68.15,69.0,28269.0
2016-04-25,70.91,70.91,69.21,69.21,12861.0
2016-04-26,70.06,70.06,68.79,68.79,10308.0
2016-04-27,70.06,70.06,68.36,68.36,20608.0
2016-04-28,68.57,70.06,66.03,66.24,38728.0
2016-04-29,66.03,66.03,64.12,64.33,42978.0
2016-05-02,66.03,66.24,64.96,66.24,964516.0
2016-05-03,67.09,67.09,65.39,66.45,32986.0
2016-05-04,67.09,67.3,64.96,66.24,18666.0
2016-05-06,67.94,67.94,65.6,65.81,29063.0
2016-05-09,66.03,67.94,66.03,66.88,170635.0
