Date,Open,High,Low,Close,Volume
2015-11-25,13.45,14.28,12.1,12.87,736617.0
2015-11-26,13.36,13.36,11.66,12.05,227545.0
2015-11-27,12.53,12.53,11.23,12.1,167383.0
2015-11-30,12.24,12.83,12.1,12.34,140439.0
2015-12-01,12.15,12.29,11.42,11.81,75108.0
2015-12-02,12.0,13.55,11.95,12.05,123352.0
2015-12-03,11.95,12.24,11.52,11.62,68925.0
2015-12-04,11.62,11.62,11.23,11.52,36931.0
2015-12-07,11.66,11.66,10.74,11.13,67510.0
2015-12-08,11.03,11.62,10.74,11.52,59679.0
2015-12-09,11.42,11.81,11.13,11.28,33080.0
2015-12-10,11.62,11.62,10.16,11.13,39784.0
2015-12-11,10.21,11.03,10.21,10.55,48126.0
2015-12-14,10.89,10.89,10.16,10.16,19918.0
2015-12-15,10.16,10.41,9.29,10.16,62162.0
2015-12-16,10.6,10.99,10.21,10.55,52780.0
2015-12-17,10.36,10.74,10.16,10.74,32762.0
2015-12-18,10.74,11.62,10.55,11.13,66045.0
2015-12-21,11.23,11.81,11.13,11.62,24226.0
2015-12-22,12.1,12.1,10.26,11.08,75285.0
2015-12-23,11.08,11.13,10.65,10.84,11830.0
2015-12-28,10.84,10.84,10.16,10.41,23229.0
2015-12-29,11.03,11.03,10.16,10.6,32158.0
2015-12-30,10.21,10.94,10.21,10.94,18141.0
2016-01-04,10.89,10.99,10.31,10.99,11586.0
2016-01-05,10.99,11.23,10.36,10.89,20249.0
2016-01-07,10.55,12.0,10.07,11.76,133237.0
2016-01-08,10.99,13.07,10.99,12.39,78033.0
2016-01-11,12.39,12.44,11.62,12.05,21467.0
2016-01-12,12.05,12.58,11.03,12.44,48100.0
2016-01-13,12.39,12.39,11.13,11.86,36981.0
2016-01-14,11.13,11.66,10.74,11.37,5434.0
2016-01-15,11.13,12.49,9.39,9.58,81356.0
2016-01-18,9.58,9.87,8.71,9.58,14857.0
2016-01-19,10.6,10.6,8.81,9.49,27612.0
2016-01-20,8.81,9.44,8.57,9.05,24568.0
2016-01-21,8.71,9.87,8.57,8.95,54658.0
2016-01-22,9.68,9.68,9.0,9.1,23227.0
2016-01-25,9.53,9.63,9.24,9.24,12374.0
2016-01-26,9.29,9.39,8.76,9.1,8294.0
2016-01-27,9.1,9.49,8.95,9.0,8227.0
2016-01-28,9.1,9.2,9.05,9.1,12728.0
2016-01-29,9.24,9.49,9.2,9.2,10479.0
2016-02-01,9.29,10.16,9.29,9.29,12645.0
2016-02-02,9.87,10.16,9.53,9.92,22652.0
2016-02-03,9.78,9.97,9.49,9.49,16809.0
2016-02-04,10.16,10.65,9.49,9.53,28467.0
2016-02-05,9.24,9.58,9.2,9.49,8306.0
2016-02-08,9.15,9.68,9.05,9.44,26953.0
2016-02-09,9.2,9.2,8.66,8.86,27912.0
2016-02-10,8.71,9.58,8.71,9.44,1565.0
2016-02-11,9.05,9.68,9.05,9.68,10600.0
2016-02-12,9.44,9.44,9.29,9.29,7518.0
2016-02-15,10.11,10.11,9.24,9.24,18225.0
2016-02-16,9.29,9.29,9.05,9.1,1550.0
