Date,Open,High,Low,Close,Volume
2017-03-31,69.79,72.41,69.57,71.97,6051641.0
2017-04-03,72.41,72.41,71.1,71.75,774119.0
2017-04-04,71.75,72.19,69.79,70.44,326408.0
2017-04-05,70.23,71.54,68.92,71.1,221287.0
2017-04-06,71.1,71.54,68.92,70.23,627715.0
2017-04-07,69.79,70.66,69.57,70.23,325996.0
2017-04-10,69.79,72.19,69.14,71.75,534316.0
2017-04-11,71.1,73.93,70.23,73.28,271481.0
2017-04-12,73.72,74.15,72.41,72.84,78775.0
2017-04-13,72.84,74.59,72.63,74.15,57000.0
2017-04-18,74.15,74.15,72.84,73.28,324279.0
2017-04-19,73.28,73.28,72.41,72.63,37658.0
2017-04-20,72.41,72.41,70.44,70.66,252030.0
2017-04-21,70.88,71.97,70.66,70.66,214463.0
2017-04-24,70.66,71.54,69.79,70.44,247137.0
2017-04-25,70.44,71.54,70.44,71.1,202178.0
2017-04-26,71.1,71.1,70.23,70.66,17934.0
2017-04-27,70.66,71.54,70.23,71.1,68721.0
2017-04-28,70.23,71.97,70.23,71.1,56864.0
2017-05-02,70.88,71.54,69.79,71.32,64096.0
2017-05-03,70.66,71.97,70.66,71.97,26379.0
2017-05-04,71.97,72.19,70.66,72.19,30704.0
2017-05-05,72.41,75.02,72.19,74.15,338941.0
2017-05-08,75.02,75.02,73.5,74.59,78270.0
2017-05-09,75.24,75.24,73.72,74.81,258237.0
2017-05-10,77.64,78.51,76.33,77.42,260835.0
2017-05-11,77.86,79.17,77.64,78.95,199759.0
2017-05-12,78.95,81.35,78.95,80.26,53812.0
2017-05-15,81.13,81.13,78.73,78.95,45295.0
2017-05-16,79.82,80.26,76.55,77.21,50484.0
2017-05-17,79.82,80.26,77.86,78.51,250612.0
2017-05-18,78.3,78.51,76.22,78.3,217634.0
2017-05-19,75.9,78.08,75.02,77.42,245169.0
2017-05-22,78.3,78.3,76.77,77.42,48042.0
2017-05-23,77.42,78.51,76.33,76.33,105667.0
2017-05-24,76.33,76.77,76.33,76.33,86340.0
2017-05-26,76.12,76.33,75.02,75.9,98983.0
2017-05-29,75.68,76.33,75.24,75.68,64406.0
2017-05-30,75.9,78.51,75.9,78.51,61682.0
2017-05-31,78.51,83.09,77.64,80.04,1510449.0
2017-06-01,79.82,81.35,79.82,80.26,42954.0
2017-06-02,80.26,82.0,78.51,80.91,123997.0
2017-06-05,80.91,81.79,79.39,80.7,22336.0
2017-06-06,80.7,80.7,80.7,80.7,0.0
2017-06-07,80.7,82.66,80.48,81.13,40818.0
2017-06-08,81.13,81.79,80.7,80.91,41014.0
2017-06-09,80.04,82.0,79.39,81.13,37299.0
2017-06-12,80.7,81.57,79.82,81.13,29983.0
2017-06-13,81.57,81.57,79.39,80.7,47754.0
2017-06-14,80.48,82.88,78.95,80.91,48120.0
2017-06-15,80.7,82.0,80.26,80.91,27063.0
2017-06-16,80.48,80.91,79.82,79.82,15577.0
2017-06-19,79.39,80.7,79.39,80.48,15765.0
2017-06-20,80.7,82.66,79.6,82.66,20371.0
2017-06-21,83.75,85.49,83.75,84.62,33698.0
2017-06-22,85.28,85.49,83.31,84.62,30659.0
2017-06-23,84.62,84.62,84.62,84.62,0.0
2017-06-26,85.28,85.49,83.97,85.49,13537.0
2017-06-27,85.28,90.95,84.62,85.71,73510.0
2017-06-28,85.28,87.24,83.97,85.93,161601.0
2017-06-29,85.93,85.93,85.06,85.93,28014.0
2017-06-30,85.93,86.8,82.88,83.75,176556.0
