Date,Open,High,Low,Close,Volume
2010-01-04,38.01,38.01,37.53,37.53,11140.0
2010-01-05,39.29,39.29,38.41,38.49,3500.0
2010-01-07,37.53,39.29,37.37,39.29,32267.0
2010-01-08,37.93,38.89,37.69,38.49,6175.0
2010-01-11,38.89,38.89,37.53,38.33,19350.0
2010-01-12,37.29,38.17,37.13,38.17,11685.0
2010-01-13,38.09,38.33,37.29,38.33,4618.0
2010-01-14,37.77,38.41,37.77,38.33,12491.0
2010-01-15,37.77,37.77,36.64,36.64,17590.0
2010-01-18,38.09,38.09,37.69,37.69,3932.0
2010-01-19,38.09,38.09,37.69,38.09,4509.0
2010-01-20,38.09,38.41,37.69,37.69,8000.0
2010-01-21,38.17,38.81,37.69,37.69,12301.0
2010-01-22,38.01,38.41,36.96,38.01,9271.0
2010-01-25,37.37,37.93,37.37,37.93,6100.0
2010-01-26,37.93,38.25,37.05,37.85,1838.0
2010-01-27,37.85,37.85,37.61,37.85,8767.0
2010-01-28,38.41,38.41,38.01,38.33,3161.0
2010-01-29,37.29,38.33,37.29,38.33,3210.0
2010-02-01,37.45,37.53,36.16,37.29,26200.0
2010-02-02,37.05,37.93,37.05,37.45,11908.0
2010-02-03,37.45,38.17,36.88,38.09,84444.0
2010-02-04,38.25,38.25,37.05,38.01,5370.0
2010-02-05,37.45,37.93,36.96,37.85,2850.0
2010-02-08,37.69,37.77,37.13,37.69,7235.0
2010-02-09,37.29,37.69,37.05,37.69,1596.0
2010-02-10,37.45,37.69,37.29,37.69,340.0
2010-02-11,37.69,37.85,37.37,37.85,4482.0
2010-02-12,37.85,37.85,37.69,37.85,2295.0
2010-02-15,37.05,37.05,36.88,36.96,9030.0
2010-02-16,36.0,38.49,36.0,38.49,4455.0
2010-02-17,36.96,36.96,36.48,36.48,10931.0
2010-02-18,36.32,36.72,36.24,36.72,2510.0
2010-02-19,36.72,36.72,35.68,36.64,1520.0
2010-02-22,36.08,36.48,35.04,36.48,7321.0
2010-02-23,36.08,36.08,34.8,35.76,5780.0
2010-02-24,35.84,35.84,35.52,35.68,2680.0
2010-02-25,35.28,35.28,34.64,34.64,3900.0
2010-02-26,34.64,35.28,34.56,35.28,8185.0
2010-03-01,35.28,35.28,34.56,35.2,2714.0
2010-03-02,34.88,36.08,34.88,36.08,9526.0
2010-03-03,36.8,36.88,36.08,36.8,6607.0
2010-03-04,38.41,38.41,36.8,36.8,3761.0
2010-03-05,38.01,38.01,36.88,37.53,4235.0
2010-03-08,37.53,37.53,37.53,37.53,410.0
2010-03-09,37.29,37.29,36.4,37.29,3650.0
2010-03-10,36.88,37.29,36.4,36.64,4000.0
2010-03-11,36.88,37.69,36.48,36.88,4800.0
2010-03-12,36.48,37.29,36.48,36.96,23490.0
2010-03-15,36.48,36.88,36.32,36.48,6140.0
2010-03-16,36.48,36.88,36.48,36.88,5376.0
2010-03-17,36.64,36.64,36.64,36.64,1315.0
2010-03-18,36.88,36.88,36.08,36.08,1840.0
2010-03-19,36.08,36.08,32.55,33.28,40777.0
2010-03-22,33.36,34.48,33.36,34.48,4941.0
2010-03-23,34.48,34.48,34.48,34.48,1225.0
2010-03-24,34.48,35.12,34.08,34.48,1715.0
2010-03-25,34.08,34.48,33.92,34.32,2181.0
2010-03-26,34.4,34.4,34.08,34.08,1510.0
2010-03-29,33.76,34.32,33.28,33.44,7112.0
2010-03-30,33.6,33.6,32.72,33.2,8295.0
