Date,Open,High,Low,Close,Volume
2017-11-13,320.12,343.44,277.72,310.58,10194.0
2017-11-14,322.24,326.48,290.44,299.98,4870.0
2017-11-15,299.98,366.76,298.92,364.64,7849.0
2017-11-16,366.76,375.24,322.24,345.56,3803.0
2017-11-17,345.56,349.8,318.0,328.6,2353.0
2017-11-20,328.6,328.6,296.8,309.52,2892.0
2017-11-21,313.76,326.48,303.16,326.48,2133.0
2017-11-22,326.48,326.48,303.16,306.34,1160.0
2017-11-23,306.34,306.34,290.44,293.62,2815.0
2017-11-24,298.92,298.92,288.32,293.62,626.0
2017-11-27,289.38,290.44,277.72,279.84,1095.0
2017-11-28,275.6,291.5,269.24,285.14,894.0
2017-11-29,279.84,295.74,275.6,276.66,602.0
2017-11-30,276.66,277.72,265.0,273.48,1542.0
2017-12-01,273.48,287.26,271.36,271.36,1167.0
2017-12-04,270.3,271.36,266.06,269.24,445.0
2017-12-05,269.24,288.32,269.24,277.72,1594.0
2017-12-06,277.72,284.08,269.24,270.3,704.0
2017-12-07,270.3,274.54,265.0,269.24,561.0
2017-12-08,263.94,273.48,254.4,260.76,1010.0
2017-12-11,260.76,263.94,245.92,259.7,3139.0
2017-12-12,259.7,265.0,250.16,251.22,1287.0
2017-12-13,246.98,252.28,244.86,252.28,1579.0
2017-12-14,252.28,261.82,248.04,254.4,909.0
2017-12-15,254.4,254.4,237.44,250.16,826.0
2017-12-18,250.16,288.32,250.16,258.64,1320.0
2017-12-19,258.64,267.12,245.92,254.4,1006.0
2017-12-20,259.7,266.06,250.16,250.16,1759.0
2017-12-21,245.92,298.92,245.92,272.42,1111.0
2017-12-22,286.2,286.2,248.04,248.04,2771.0
2017-12-27,248.04,249.1,231.08,235.32,1896.0
2017-12-28,235.32,238.5,223.66,233.2,1892.0
2017-12-29,233.2,237.44,218.36,231.08,2748.0
2018-01-02,228.96,286.2,224.72,263.94,1824.0
2018-01-03,267.12,286.16,260.76,273.44,778.0
2018-01-04,273.44,275.6,265.04,275.6,212.0
2018-01-05,281.96,288.32,271.36,288.32,1271.0
2018-01-08,284.08,284.08,256.52,263.94,524.0
2018-01-09,262.88,302.1,257.58,265.0,1281.0
2018-01-10,275.6,288.32,265.0,283.02,583.0
2018-01-11,283.02,292.35,283.02,286.41,435.0
2018-01-12,284.12,284.72,281.96,281.96,295.0
2018-01-15,286.16,286.16,265.0,272.42,778.0
