Date,Open,High,Low,Close,Volume
2018-09-24,30.16,38.0,29.01,37.2,361870.0
2018-09-25,37.2,37.25,33.05,33.46,161997.0
2018-09-26,33.7,34.99,33.56,33.69,65963.0
2018-09-27,33.69,35.0,30.5,31.95,42268.0
2018-09-28,31.94,32.99,31.11,31.5,22617.0
2018-10-01,31.5,33.68,31.0,32.74,39567.0
2018-10-02,32.74,33.65,30.11,31.0,22482.0
2018-10-03,30.5,31.3,29.5,30.98,43672.0
2018-10-04,30.98,31.88,30.1,31.86,9420.0
2018-10-05,30.48,31.99,30.17,30.43,29115.0
2018-10-08,30.43,30.7,30.35,30.35,28329.0
2018-10-09,30.34,30.99,28.56,30.99,18308.0
2018-10-10,31.0,32.1,30.0,30.3,32547.0
2018-10-11,30.0,30.0,28.0,29.2,11499.0
2018-10-12,29.25,31.3,29.1,29.5,16305.0
2018-10-15,29.8,31.0,29.5,29.5,13722.0
2018-10-16,29.6,31.15,29.5,30.4,6213.0
2018-10-17,32.0,32.74,30.45,32.0,20611.0
2018-10-18,32.01,32.01,31.3,31.5,5985.0
2018-10-19,31.4,31.99,30.5,31.13,2837.0
2018-10-22,31.19,31.9,30.5,30.6,5414.0
2018-10-23,30.6,31.4,29.0,29.0,57067.0
2018-10-24,28.11,31.95,28.1,31.95,5171.0
2018-10-25,31.5,31.5,28.0,30.0,11761.0
2018-10-26,29.4,30.49,29.0,30.49,2424.0
2018-10-29,30.45,31.0,30.0,30.89,5064.0
2018-10-30,31.25,31.25,30.02,30.43,1692.0
2018-10-31,31.0,31.45,30.15,31.3,11477.0
2018-11-01,30.1,30.5,30.0,30.5,5169.0
2018-11-02,30.62,30.62,30.5,30.5,543.0
2018-11-05,29.8,30.5,29.8,30.5,2530.0
2018-11-06,29.81,30.5,29.81,30.5,2542.0
2018-11-07,30.2,30.45,28.1,30.39,3324.0
2018-11-08,30.0,30.48,28.0,28.8,5759.0
2018-11-09,28.1,30.04,28.0,30.04,25443.0
2018-11-12,29.92,29.92,28.71,29.0,2439.0
2018-11-13,28.0,30.0,28.0,30.0,10098.0
2018-11-14,29.95,29.95,28.5,29.0,123193.0
2018-11-15,28.01,29.5,28.0,29.0,16139.0
2018-11-16,29.2,30.5,29.0,29.73,5041.0
2018-11-19,30.0,30.0,29.1,29.5,1140.0
2018-11-20,29.5,29.5,28.0,29.0,8190.0
2018-11-21,29.0,29.0,28.0,28.83,13514.0
2018-11-22,28.44,29.0,28.25,28.5,2716.0
2018-11-23,29.46,29.46,25.52,26.5,54029.0
2018-11-26,26.5,27.0,26.5,27.0,3399.0
2018-11-27,26.75,29.0,26.75,28.0,4896.0
2018-11-28,27.0,27.55,26.5,27.25,5310.0
2018-11-29,27.0,27.18,27.0,27.15,1187.0
2018-11-30,27.0,27.9,26.5,27.0,2254.0
2018-12-03,26.5,27.5,26.5,27.5,12950.0
2018-12-04,27.5,27.5,26.7,26.7,1823.0
2018-12-05,26.15,26.15,26.0,26.0,2720.0
2018-12-06,26.0,26.0,25.0,25.0,1829.0
2018-12-07,25.0,25.1,25.0,25.1,2700.0
2018-12-10,25.5,27.53,25.5,26.0,673.0
2018-12-11,26.16,27.5,26.16,27.0,2121.0
2018-12-12,25.5,27.5,25.5,27.5,2328.0
2018-12-13,27.5,27.5,27.5,27.5,0.0
2018-12-14,25.0,26.0,25.0,26.0,425.0
2018-12-17,26.0,26.0,25.08,25.75,3394.0
2018-12-18,26.0,26.89,25.8,26.0,816.0
2018-12-19,26.0,26.1,26.0,26.1,310.0
2018-12-20,26.0,26.0,25.0,25.95,3791.0
2018-12-21,23.5,25.89,22.51,25.84,906.0
2018-12-27,25.69,25.69,25.69,25.69,100.0
2018-12-28,23.0,25.0,23.0,25.0,17346.0
2019-01-02,25.0,25.49,24.25,24.5,7027.0
2019-01-03,24.0,25.5,24.0,25.0,8588.0
2019-01-04,25.75,25.75,25.1,25.69,2577.0
2019-01-07,25.69,26.89,25.67,26.0,6531.0
2019-01-08,26.0,26.3,26.0,26.0,5354.0
2019-01-09,26.0,26.75,25.5,26.0,3450.0
2019-01-10,26.0,26.5,26.0,26.0,1733.0
2019-01-11,26.0,26.75,25.75,26.75,3111.0
2019-01-14,26.75,28.0,26.75,27.71,2050.0
2019-01-15,27.71,27.71,26.75,27.7,3373.0
2019-01-16,27.0,27.75,26.5,27.0,6345.0
2019-01-17,26.0,27.0,26.0,27.0,155.0
2019-01-18,25.32,26.99,25.32,26.25,8410.0
2019-01-21,26.26,26.26,26.0,26.1,65760.0
2019-01-22,25.31,25.6,25.3,25.6,8555.0
2019-01-23,25.7,25.8,25.01,25.01,19879.0
2019-01-24,25.01,26.0,25.01,26.0,435003.0
2019-01-25,26.99,26.99,25.85,26.8,28392.0
2019-01-28,27.48,27.48,26.25,27.05,4991.0
2019-01-29,27.0,27.05,26.0,26.0,8085.0
2019-01-30,27.0,27.02,27.0,27.0,1482.0
2019-01-31,26.0,26.77,26.0,26.77,10997.0
2019-02-01,27.35,28.0,27.35,27.5,5609.0
2019-02-04,28.0,29.46,26.5,28.0,5660.0
2019-02-05,29.45,29.59,27.3,29.4,28885.0
2019-02-06,29.8,29.8,28.5,29.29,4638.0
2019-02-07,27.41,28.5,27.41,28.31,3568.0
2019-02-08,27.75,28.95,27.3,28.0,28730.0
2019-02-11,28.0,28.5,27.3,27.8,5510.0
2019-02-12,27.91,28.79,27.8,27.8,4347.0
2019-02-13,27.31,28.0,27.31,28.0,7664.0
2019-02-14,28.0,28.0,27.3,27.34,8783.0
2019-02-15,27.4,28.15,26.6,27.5,11458.0
2019-02-18,27.0,27.0,26.0,26.5,35851.0
2019-02-19,26.7,27.0,26.7,26.7,3304.0
2019-02-20,27.0,28.43,26.7,27.0,6162.0
2019-02-21,27.05,27.45,26.99,27.05,2744.0
2019-02-22,27.05,28.48,26.16,27.4,6409.0
2019-02-25,27.0,27.41,26.51,27.41,4746.0
2019-02-26,27.1,28.0,27.0,27.5,14896.0
2019-02-27,27.65,28.8,27.5,28.8,13287.0
2019-02-28,28.0,29.5,27.72,29.5,18926.0
2019-03-01,28.8,30.49,28.8,30.1,11356.0
2019-03-04,30.08,30.25,28.6,30.0,4653.0
2019-03-05,30.0,30.0,28.0,29.0,7120.0
2019-03-06,29.0,29.0,28.19,28.3,858.0
2019-03-07,28.3,29.0,27.2,28.0,733.0
2019-03-08,28.0,28.0,26.2,28.0,3122.0
2019-03-11,28.15,29.5,26.02,26.5,9986.0
2019-03-12,27.9,27.9,26.2,27.0,4645.0
2019-03-13,27.79,27.79,26.26,27.06,3887.0
2019-03-14,27.0,27.75,27.0,27.5,4518.0
2019-03-15,27.5,28.3,27.5,28.3,14225.0
2019-03-18,28.49,28.5,28.3,28.3,1943.0
2019-03-19,29.0,29.0,28.25,28.41,5926.0
2019-03-20,28.41,29.09,27.5,27.5,10654.0
2019-03-21,28.0,28.8,28.0,28.0,1018.0
2019-03-22,28.0,28.5,27.8,28.5,3952.0
2019-03-25,29.0,29.99,28.8,29.99,3764.0
2019-03-26,29.99,29.99,29.0,29.05,698.0
2019-03-27,29.0,29.8,29.0,29.5,5800.0
2019-03-28,29.0,29.2,29.0,29.2,218.0
2019-03-29,29.05,29.3,29.05,29.3,1672.0
2019-04-01,29.5,30.1,29.2,29.6,17832.0
2019-04-02,31.6,32.4,29.6,31.0,18221.0
2019-04-03,30.8,31.8,30.0,30.6,5298.0
2019-04-04,31.0,31.0,30.5,30.5,5650.0
2019-04-05,30.3,30.3,30.0,30.1,315.0
2019-04-08,30.1,30.1,30.1,30.1,200.0
2019-04-09,31.4,31.4,29.7,29.7,820.0
2019-04-10,29.8,31.9,28.6,29.9,94853.0
2019-04-11,31.7,31.7,29.1,29.4,18871.0
2019-04-12,29.4,30.1,29.0,30.0,2513.0
2019-04-15,29.2,29.9,27.0,27.0,26352.0
2019-04-16,27.0,27.2,26.8,27.0,10693.0
2019-04-17,27.0,28.5,25.7,26.9,4248.0
2019-04-18,27.5,27.5,26.0,27.4,3886.0
2019-04-23,27.5,27.7,26.9,27.4,3380.0
2019-04-24,27.5,28.0,27.5,27.6,2231.0
2019-04-25,27.6,27.6,27.1,27.4,1820.0
2019-04-26,27.4,28.0,27.0,28.0,1338.0
2019-04-29,28.0,28.0,26.6,26.9,3712.0
2019-04-30,27.2,27.5,27.0,27.5,7559.0
2019-05-02,27.5,27.5,27.5,27.5,143.0
2019-05-03,27.5,27.9,27.1,27.9,1777.0
2019-05-06,27.9,27.9,26.5,27.0,1436.0
2019-05-07,26.1,27.1,26.1,27.1,1450.0
2019-05-08,26.9,27.3,26.0,27.3,23318.0
2019-05-09,27.6,27.6,27.0,27.4,6400.0
2019-05-10,26.7,26.9,26.4,26.8,16935.0
2019-05-13,26.4,27.2,26.0,26.0,3943.0
2019-05-14,26.0,26.8,26.0,26.1,1075.0
2019-05-15,26.2,26.9,26.0,26.0,2400.0
2019-05-16,26.0,26.5,25.8,26.1,2301.0
2019-05-17,25.7,26.3,25.5,26.1,22336.0
2019-05-20,26.7,26.7,25.7,26.4,9351.0
2019-05-21,26.0,26.5,25.7,26.1,3204.0
2019-05-22,26.3,26.3,25.6,25.6,6834.0
2019-05-23,26.6,26.6,24.9,25.0,10532.0
2019-05-24,25.2,26.4,25.0,25.1,12235.0
2019-05-27,25.8,25.8,24.3,24.5,2970.0
2019-05-28,24.6,24.6,24.6,24.6,1000.0
2019-05-29,25.3,25.3,24.6,24.9,2170.0
2019-05-31,24.9,25.3,23.5,25.3,11254.0
2019-06-03,25.4,25.4,25.4,25.4,1039.0
2019-06-04,24.8,24.9,24.8,24.8,4882.0
2019-06-05,26.9,26.9,24.6,24.6,5985.0
2019-06-07,24.6,25.2,24.6,25.2,1116.0
2019-06-11,25.0,26.9,25.0,26.9,1743.0
2019-06-12,27.0,28.8,27.0,28.4,26172.0
2019-06-13,28.6,29.5,28.5,28.5,8058.0
2019-06-14,29.4,30.0,28.1,28.6,25162.0
2019-06-18,30.0,30.0,28.5,28.8,3338.0
2019-06-19,28.8,28.8,28.2,28.4,2322.0
2019-06-20,28.2,28.2,28.2,28.2,826.0
2019-06-24,28.0,28.0,26.6,27.4,2808.0
2019-06-25,27.4,27.4,27.0,27.0,2243.0
2019-06-26,27.2,27.8,27.2,27.8,266.0
2019-06-27,27.9,27.9,27.8,27.9,722.0
2019-06-28,27.0,27.7,27.0,27.7,1379.0
2019-07-01,27.7,28.4,26.6,28.4,2530.0
2019-07-02,28.4,28.4,28.4,28.4,10.0
2019-07-03,28.3,28.3,28.2,28.2,564.0
2019-07-04,28.4,28.4,27.9,27.9,44.0
2019-07-05,27.5,27.5,27.0,27.0,3370.0
2019-07-08,28.0,28.0,26.5,26.6,2025.0
2019-07-09,28.2,31.6,26.6,27.8,62521.0
2019-07-10,27.8,27.8,26.0,26.7,6318.0
2019-07-11,26.6,27.5,26.6,27.4,3042.0
2019-07-12,27.3,27.8,27.0,27.8,3600.0
2019-07-15,28.1,28.1,25.7,26.8,5378.0
2019-07-16,27.0,28.0,27.0,27.0,7274.0
2019-07-17,27.1,27.1,26.0,26.5,3574.0
2019-07-18,26.5,27.1,26.0,26.0,4120.0
2019-07-19,26.0,26.6,25.5,25.5,7044.0
2019-07-22,25.9,26.0,25.8,26.0,1634.0
2019-07-23,25.7,26.9,25.7,26.9,1403.0
2019-07-24,25.6,25.8,25.5,25.8,6978.0
2019-07-25,26.0,26.0,25.5,25.8,2716.0
2019-07-26,26.6,26.6,26.6,26.6,60.0
2019-07-29,25.7,26.6,25.7,26.6,363.0
2019-07-30,26.5,26.9,25.5,26.9,23085.0
2019-07-31,27.0,27.3,26.3,27.0,9627.0
2019-08-01,26.5,26.8,26.4,26.8,202.0
2019-08-02,26.7,26.7,26.7,26.7,1000.0
2019-08-06,25.5,26.3,25.5,26.1,1776.0
2019-08-07,26.0,26.0,25.5,26.0,3684.0
2019-08-08,26.5,27.0,25.9,26.0,1141.0
2019-08-09,25.1,26.8,25.1,26.7,308.0
2019-08-12,26.7,26.7,26.7,26.7,500.0
2019-08-13,26.0,26.5,26.0,26.5,457.0
2019-08-14,26.5,26.5,24.6,25.5,5469.0
2019-08-15,25.6,26.8,24.1,25.7,33149.0
2019-08-16,25.9,25.9,24.6,25.5,9521.0
2019-08-19,25.4,25.8,25.3,25.8,2618.0
2019-08-20,25.8,26.3,25.7,26.3,6118.0
2019-08-21,25.8,25.8,25.4,25.7,2539.0
2019-08-22,26.6,26.6,24.7,25.2,3666.0
2019-08-23,25.2,26.5,25.2,26.5,585.0
2019-08-26,25.4,26.3,25.4,26.1,1841.0
2019-08-27,27.1,27.6,26.3,26.8,22032.0
2019-08-28,26.8,27.9,26.4,27.4,9716.0
2019-08-29,27.2,27.2,26.4,26.9,1134.0
2019-08-30,26.8,26.9,25.6,26.0,8195.0
2019-09-02,26.9,26.9,25.8,26.0,1444.0
2019-09-03,26.0,26.0,25.8,25.8,695.0
2019-09-04,26.9,26.9,26.0,26.0,550.0
2019-09-05,25.3,26.1,25.3,25.9,2316.0
2019-09-06,26.7,26.7,25.5,25.9,78637.0
2019-09-09,25.8,25.9,25.2,25.7,11863.0
2019-09-10,26.0,26.0,24.7,24.9,6307.0
2019-09-11,24.9,24.9,24.9,24.9,100.0
2019-09-12,25.0,25.8,24.7,25.8,1871.0
2019-09-13,25.8,25.8,24.6,25.7,1118.0
2019-09-16,24.5,25.0,24.0,24.3,5835.0
2019-09-17,24.3,24.5,23.5,24.5,3745.0
2019-09-18,24.9,24.9,24.5,24.5,2289.0
2019-09-19,25.0,25.0,25.0,25.0,394.0
2019-09-20,25.5,25.5,25.3,25.3,280.0
2019-09-23,25.3,25.3,24.6,24.6,1015.0
2019-09-24,25.7,25.7,25.0,25.5,2811.0
2019-09-25,25.0,25.4,24.6,25.4,1825.0
2019-09-26,25.5,25.5,25.0,25.4,3145.0
2019-09-27,25.4,25.5,24.8,24.9,5162.0
2019-09-30,25.0,25.0,24.9,24.9,924.0
2019-10-01,24.9,26.8,24.9,25.4,17633.0
2019-10-02,26.0,26.0,24.9,25.7,3140.0
2019-10-03,25.0,25.0,24.6,24.8,10820.0
2019-10-04,24.2,25.6,23.5,25.6,11077.0
2019-10-07,25.1,25.1,24.5,24.5,3733.0
2019-10-08,23.0,24.1,23.0,24.1,10397.0
2019-10-09,24.0,24.4,23.0,24.1,7701.0
2019-10-10,25.6,25.6,23.2,24.0,6835.0
2019-10-11,24.0,24.0,24.0,24.0,175.0
2019-10-14,24.0,25.5,23.2,25.5,1077.0
2019-10-15,23.6,24.4,23.2,24.4,86922.0
2019-10-16,24.6,24.9,24.6,24.9,2567.0
2019-10-17,24.5,24.5,23.1,23.4,5299.0
2019-10-18,23.4,23.4,22.5,23.1,5899.0
