Date,Open,High,Low,Close,Volume
2017-04-07,49.0,51.91,48.51,49.48,1713660.0
2017-04-10,49.48,50.46,49.0,49.24,110017.0
2017-04-11,49.24,49.24,48.76,48.76,290207.0
2017-04-12,49.0,49.24,48.51,49.0,176383.0
2017-04-13,48.76,49.24,48.76,49.0,43119.0
2017-04-18,49.0,49.24,49.0,49.0,89552.0
2017-04-19,49.0,49.24,49.0,49.0,26547.0
2017-04-20,49.0,49.24,49.0,49.0,16340.0
2017-04-21,49.0,49.73,49.0,49.48,112502.0
2017-04-24,49.0,49.48,49.0,49.24,57979.0
2017-04-25,49.0,49.24,49.0,49.24,23333.0
2017-04-26,49.0,49.24,49.0,49.0,31352.0
2017-04-27,49.0,49.24,49.0,49.0,9709.0
2017-04-28,49.0,49.0,48.76,49.0,48176.0
2017-05-02,48.76,49.0,48.51,48.51,18106.0
2017-05-03,48.51,48.51,44.92,47.06,103339.0
2017-05-04,47.06,48.22,46.57,48.22,14752.0
2017-05-05,47.54,49.0,47.54,49.0,34128.0
2017-05-08,46.77,48.32,46.77,47.06,23766.0
2017-05-09,46.67,47.54,46.67,46.87,22794.0
2017-05-10,46.87,48.42,46.87,48.42,10356.0
2017-05-11,48.51,48.51,47.06,48.51,20029.0
2017-05-12,48.51,49.0,47.54,49.0,40852.0
2017-05-15,49.0,49.0,47.64,48.03,13815.0
2017-05-16,47.64,48.51,47.64,48.22,11622.0
2017-05-17,48.13,48.13,47.25,47.25,78155.0
2017-05-18,48.76,50.46,48.76,50.21,160263.0
2017-05-19,50.46,50.46,49.24,49.97,19113.0
2017-05-22,49.97,50.21,49.24,50.21,32352.0
2017-05-23,50.21,52.64,49.97,51.91,140109.0
2017-05-24,51.91,51.91,50.94,51.91,22370.0
2017-05-26,51.43,52.4,50.46,50.94,16900.0
2017-05-29,50.94,51.91,50.94,51.18,10156.0
2017-05-30,51.18,51.43,50.21,50.94,10640.0
2017-05-31,52.15,52.4,50.46,50.46,30233.0
2017-06-01,50.7,51.43,50.46,50.94,72071.0
2017-06-02,50.94,51.43,48.51,51.43,31737.0
2017-06-05,50.46,51.43,50.46,50.46,16616.0
2017-06-06,50.46,50.46,50.46,50.46,0.0
2017-06-07,50.7,50.7,49.24,49.48,25476.0
2017-06-08,49.48,49.73,48.51,49.0,7516.0
2017-06-09,49.0,49.0,48.51,49.0,5545.0
2017-06-12,49.0,49.0,48.42,48.42,3116.0
2017-06-13,48.42,49.48,48.42,49.24,10823.0
2017-06-14,48.51,49.48,48.22,49.0,15132.0
2017-06-15,49.24,50.46,49.24,49.73,114493.0
2017-06-16,49.73,49.73,48.51,49.0,162113.0
2017-06-19,49.0,49.0,48.22,48.51,11012.0
2017-06-20,49.24,49.24,48.51,49.0,27472.0
2017-06-21,49.48,49.48,48.13,49.24,4940.0
2017-06-22,49.0,49.0,48.03,48.51,7321.0
2017-06-23,48.51,48.51,48.51,48.51,0.0
2017-06-26,47.74,48.51,47.06,47.16,21162.0
2017-06-27,47.06,47.74,47.06,47.54,2852.0
2017-06-28,47.54,47.54,45.6,46.57,33436.0
2017-06-29,47.45,48.03,46.57,47.54,6798.0
2017-06-30,47.54,47.54,46.48,47.06,6544.0
2017-07-03,46.57,47.45,46.09,47.16,5519.0
2017-07-04,47.16,47.45,47.16,47.25,5095.0
2017-07-05,47.06,47.54,46.57,47.06,12509.0
2017-07-06,45.12,47.06,45.12,45.89,24592.0
2017-07-07,45.89,46.57,45.22,45.99,5524.0
2017-07-10,46.09,47.06,46.09,46.57,4127.0
2017-07-11,46.19,47.35,46.19,46.57,4063.0
2017-07-12,45.31,47.45,45.31,46.57,2306.0
2017-07-13,47.06,47.45,46.57,46.57,2235.0
2017-07-14,45.7,47.25,45.7,47.25,1670.0
2017-07-17,44.25,46.96,44.25,46.28,2720.0
2017-07-18,47.06,47.06,46.09,46.57,3863.0
2017-07-19,45.8,46.28,45.7,45.89,6112.0
2017-07-20,45.7,45.89,45.7,45.89,8975.0
2017-07-21,45.6,45.7,44.63,45.12,9483.0
2017-07-24,44.63,45.12,44.34,44.44,9510.0
2017-07-25,44.44,44.92,44.34,44.54,6788.0
2017-07-26,44.63,45.6,44.34,45.02,2015.0
2017-07-27,45.6,46.28,44.63,45.41,2686.0
2017-07-28,45.41,46.28,44.54,44.54,6265.0
2017-07-31,44.54,46.38,44.25,44.25,3415.0
2017-08-01,44.34,45.41,43.66,43.76,2134.0
