Date,Open,High,Low,Close,Volume
2010-01-04,6.78,6.89,6.59,6.59,18033.0
2010-01-05,6.61,6.78,6.61,6.72,11620.0
2010-01-07,6.72,7.08,6.72,6.86,35433.0
2010-01-08,6.91,7.51,6.91,7.49,104868.0
2010-01-11,7.62,7.62,7.27,7.4,49005.0
2010-01-12,7.4,7.4,7.05,7.21,58315.0
2010-01-13,7.38,7.38,7.19,7.32,16076.0
2010-01-14,7.35,7.38,7.27,7.35,101696.0
2010-01-15,7.35,7.76,7.21,7.49,114106.0
2010-01-18,7.65,7.92,7.49,7.92,53103.0
2010-01-19,7.98,8.06,7.87,7.87,33372.0
2010-01-20,8.17,8.74,7.87,8.74,138205.0
2010-01-21,8.74,9.56,8.47,8.96,164617.0
2010-01-22,9.24,9.84,8.63,9.45,547953.0
2010-01-25,9.56,9.84,9.51,9.78,262313.0
2010-01-26,9.78,9.84,9.18,9.4,114132.0
2010-01-27,9.51,9.56,9.02,9.13,72616.0
2010-01-28,9.24,9.56,9.24,9.29,52332.0
2010-01-29,9.45,9.51,9.02,9.51,20976.0
2010-02-01,9.56,9.56,9.24,9.34,25570.0
2010-02-02,9.34,9.34,9.07,9.18,26139.0
2010-02-03,9.24,9.29,8.96,9.29,21409.0
2010-02-04,8.91,9.24,8.8,9.18,29913.0
2010-02-05,9.02,9.18,9.02,9.18,28106.0
2010-02-08,9.07,9.29,8.96,9.13,30540.0
2010-02-09,9.24,9.24,9.13,9.18,9910.0
2010-02-10,9.13,9.18,9.13,9.13,18290.0
2010-02-11,9.02,9.13,8.96,8.96,27829.0
2010-02-12,9.07,9.51,8.96,9.51,17694.0
2010-02-15,9.56,9.56,9.34,9.56,19069.0
2010-02-16,9.56,9.67,9.34,9.4,21675.0
2010-02-17,9.73,9.73,9.18,9.34,22997.0
2010-02-18,9.67,10.88,9.29,10.66,213464.0
2010-02-19,10.66,11.42,10.06,10.22,205301.0
2010-02-22,10.38,11.04,10.38,10.71,130244.0
2010-02-23,10.66,10.66,9.29,9.56,273446.0
2010-02-24,9.67,10.06,9.45,9.84,79543.0
2010-02-25,10.0,10.0,9.62,9.62,13884.0
2010-02-26,9.62,9.95,9.62,9.89,19700.0
2010-03-01,9.84,9.84,9.4,9.62,31056.0
2010-03-02,9.29,9.67,9.29,9.67,26070.0
2010-03-03,9.51,9.51,9.29,9.45,49298.0
2010-03-04,9.51,9.56,9.34,9.34,30072.0
2010-03-05,9.34,9.45,9.24,9.4,38452.0
2010-03-08,9.29,9.29,9.02,9.24,36007.0
2010-03-09,9.24,9.24,8.74,8.96,82441.0
2010-03-10,9.02,9.4,8.96,9.24,60989.0
2010-03-11,9.18,9.29,8.96,9.24,39840.0
2010-03-12,9.24,9.29,9.07,9.18,27127.0
2010-03-15,9.13,9.18,8.85,8.91,31518.0
2010-03-16,8.96,9.13,8.74,8.91,33604.0
2010-03-17,9.02,9.51,8.96,9.29,59680.0
2010-03-18,9.24,9.29,9.13,9.24,17485.0
2010-03-19,9.29,9.34,9.24,9.34,19079.0
2010-03-22,9.45,9.45,8.96,8.96,18223.0
2010-03-23,9.02,10.33,9.02,10.27,253780.0
2010-03-24,10.38,10.6,9.95,10.49,123269.0
2010-03-25,10.55,10.6,10.06,10.38,65595.0
2010-03-26,10.16,10.38,9.78,10.06,139059.0
2010-03-29,10.16,10.16,9.73,9.84,42141.0
2010-03-30,9.84,10.11,9.67,9.95,35867.0
2010-03-31,10.6,10.66,10.0,10.11,97830.0
2010-04-01,10.16,10.16,10.16,10.16,0.0
2010-04-06,10.16,10.16,9.84,10.06,16838.0
2010-04-07,10.22,10.38,9.84,10.38,104883.0
2010-04-08,10.38,11.09,10.22,10.82,133601.0
2010-04-09,10.93,10.98,10.38,10.49,97790.0
2010-04-12,10.55,10.66,10.33,10.44,58111.0
2010-04-13,10.38,10.49,10.16,10.38,25199.0
2010-04-14,10.55,10.55,10.27,10.44,19866.0
2010-04-15,10.49,10.71,10.44,10.44,33718.0
2010-04-16,10.38,10.55,10.33,10.44,38917.0
2010-04-19,10.6,11.2,10.44,10.93,165185.0
2010-04-20,10.98,11.2,10.93,11.15,38770.0
2010-04-21,11.31,11.75,11.15,11.64,129005.0
2010-04-22,11.59,11.59,11.59,11.59,0.0
2010-04-23,11.48,11.97,11.2,11.91,55611.0
2010-04-26,12.19,12.19,11.86,11.91,60203.0
2010-04-27,11.97,12.02,11.48,11.91,68150.0
2010-04-28,11.69,11.91,11.04,11.37,93303.0
2010-04-29,11.04,11.97,10.49,11.48,67257.0
2010-04-30,11.48,11.48,10.55,10.93,87396.0
2010-05-03,10.93,10.93,10.33,10.6,91932.0
2010-05-04,10.6,10.6,10.16,10.33,76358.0
2010-05-05,10.16,10.16,9.51,9.67,161887.0
2010-05-06,9.29,9.56,9.07,9.18,97939.0
2010-05-07,9.02,9.18,8.74,8.96,131127.0
2010-05-10,8.96,9.84,8.96,9.78,75762.0
2010-05-11,9.78,9.78,9.34,9.51,42142.0
2010-05-12,9.51,9.67,9.51,9.62,6093.0
2010-05-14,9.62,9.78,9.24,9.34,39870.0
2010-05-17,9.02,9.4,8.96,9.29,32734.0
2010-05-18,9.07,9.4,9.02,9.24,16512.0
2010-05-19,9.07,9.29,8.91,9.29,31699.0
2010-05-20,9.4,9.4,8.96,9.07,16710.0
2010-05-21,8.91,9.18,8.91,9.18,38560.0
