Date,Open,High,Low,Close,Volume
2010-04-01,1.26,1.26,1.26,1.26,0.0
2010-04-22,0.87,0.87,0.87,0.87,100.0
2010-05-24,0.81,0.81,0.81,0.81,100.0
2011-01-05,0.58,0.58,0.58,0.58,1000.0
2011-02-15,0.59,0.59,0.59,0.59,40.0
2011-02-17,0.64,0.68,0.64,0.68,30000.0
2011-02-25,0.69,0.69,0.69,0.69,10067.0
2011-02-28,0.69,0.69,0.69,0.69,4000.0
2011-03-04,0.68,0.68,0.68,0.68,1000.0
2011-04-21,0.68,0.68,0.68,0.68,0.0
2011-06-01,1.14,1.17,1.12,1.17,9000.0
2011-11-04,1.2,1.2,1.2,1.2,467.0
2011-12-23,0.92,0.92,0.91,0.91,15000.0
2011-12-30,1.08,1.08,1.08,1.08,12000.0
2012-02-24,1.08,1.08,1.08,1.08,0.0
2012-02-28,1.0,1.0,1.0,1.0,12500.0
2012-02-29,0.95,0.95,0.95,0.95,13001.0
2012-03-01,0.92,0.92,0.92,0.92,14000.0
2012-03-02,0.88,0.93,0.88,0.93,18470.0
2012-03-05,0.93,0.93,0.93,0.93,0.0
2012-03-12,0.94,0.94,0.94,0.94,14151.0
2012-03-13,0.94,0.94,0.94,0.94,0.0
2012-03-27,0.92,0.92,0.92,0.92,10839.0
2012-03-28,0.89,0.89,0.89,0.89,40.0
2012-03-29,0.89,0.89,0.89,0.89,0.0
2012-04-03,0.93,1.04,0.93,1.04,35019.0
2012-04-04,1.13,1.21,1.04,1.04,32000.0
2012-04-05,1.08,1.17,1.08,1.13,26000.0
2012-04-10,1.17,1.17,1.17,1.17,1500.0
2012-04-11,1.17,1.17,1.17,1.17,0.0
2012-04-13,1.16,1.16,1.04,1.1,14300.0
2012-04-16,1.1,1.1,1.1,1.1,0.0
2012-04-24,1.06,1.06,1.06,1.06,1000.0
2012-04-25,1.04,1.04,1.0,1.0,25000.0
2012-04-26,0.95,0.95,0.95,0.95,4000.0
2012-04-27,0.95,0.95,0.91,0.91,10924.0
2012-04-30,0.95,0.95,0.95,0.95,5000.0
2012-05-02,0.95,0.95,0.95,0.95,0.0
2012-05-08,0.91,0.91,0.91,0.91,290.0
