Date,Open,High,Low,Close,Volume
2012-02-20,4.76,4.76,4.5,4.5,10111.0
2012-02-21,4.5,4.5,4.5,4.5,5180.0
2012-02-22,4.11,4.11,3.86,3.86,4511.0
2012-02-23,3.86,3.86,3.86,3.86,10889.0
2012-02-24,3.92,4.69,3.86,3.86,8820.0
2012-02-27,3.86,3.86,3.86,3.86,3889.0
2012-02-28,3.86,3.86,3.76,3.76,7778.0
2012-02-29,4.18,4.18,4.18,4.18,311.0
2012-03-01,4.08,4.08,3.54,3.54,622.0
2012-03-02,4.15,4.15,4.15,4.15,327.0
2012-03-05,4.15,4.37,4.15,4.37,4667.0
2012-03-06,3.38,4.18,3.34,3.34,10111.0
2012-03-07,3.99,4.47,3.79,4.15,19983.0
2012-03-08,3.83,3.95,3.83,3.95,8951.0
2012-03-09,3.86,3.86,3.86,3.86,4667.0
2012-03-12,3.76,3.76,3.73,3.73,7000.0
2012-03-14,3.99,3.99,3.92,3.92,9504.0
2012-03-30,4.02,4.05,4.02,4.05,6222.0
2012-04-02,4.05,4.05,4.02,4.02,14078.0
2012-04-03,4.05,4.05,4.05,4.05,21370.0
2012-04-04,4.05,4.05,4.05,4.05,3111.0
2012-04-05,4.05,4.05,4.05,4.05,3422.0
2012-04-12,3.99,3.99,3.99,3.99,4667.0
2012-04-16,3.99,3.99,3.99,3.99,7778.0
2012-04-17,3.99,3.99,3.99,3.99,3111.0
2012-04-18,4.11,4.11,4.11,4.11,7778.0
2012-04-19,4.18,4.18,4.18,4.18,7778.0
2012-04-24,4.11,4.11,4.11,4.11,467.0
2012-04-30,4.11,4.11,4.11,4.11,3.0
2012-05-02,3.95,3.95,3.95,3.95,778.0
2012-05-07,4.05,4.05,4.05,4.05,1556.0
2012-05-23,4.11,4.11,4.11,4.11,1571.0
2012-05-25,4.18,4.18,4.18,4.18,311.0
2012-06-01,4.18,4.18,4.18,4.18,1867.0
2012-06-04,3.86,3.86,3.86,3.86,1556.0
2012-06-05,3.54,3.54,3.25,3.25,1711.0
2012-06-14,2.71,2.71,2.71,2.71,1556.0
2012-06-18,3.5,3.5,3.5,3.5,1556.0
2012-06-19,3.54,3.86,3.54,3.86,3859.0
2012-06-20,3.86,3.86,3.86,3.86,0.0
2012-06-21,3.86,3.86,3.86,3.86,0.0
2012-06-25,3.86,3.86,3.86,3.86,0.0
2012-06-26,3.86,3.86,3.86,3.86,0.0
2012-06-27,3.95,3.95,3.95,3.95,3.0
2012-06-28,3.95,3.95,3.95,3.95,0.0
2012-06-29,3.95,3.95,3.95,3.95,0.0
2012-07-02,3.95,3.95,3.95,3.95,0.0
2012-07-03,3.95,3.95,3.95,3.95,0.0
2012-07-04,3.95,3.95,3.95,3.95,0.0
2012-07-05,3.95,3.95,3.95,3.95,0.0
2012-07-06,3.21,3.21,3.21,3.21,526.0
2012-07-09,3.21,3.21,3.21,3.21,0.0
2012-07-10,4.02,4.02,4.02,4.02,2.0
2012-07-11,3.86,3.86,3.86,3.86,1556.0
2012-07-12,3.86,3.86,3.86,3.86,0.0
2012-07-13,3.86,3.86,3.86,3.86,0.0
2012-07-16,3.86,3.86,3.86,3.86,0.0
2012-07-17,3.86,3.86,3.86,3.86,0.0
2012-07-18,3.86,3.86,3.86,3.86,0.0
2012-07-19,3.86,3.86,3.86,3.86,0.0
2012-07-20,3.86,3.86,3.86,3.86,0.0
2012-07-23,3.86,3.86,3.86,3.86,0.0
2012-07-24,3.86,3.86,3.86,3.86,0.0
2012-07-25,3.86,3.86,3.86,3.86,0.0
2012-07-26,3.86,3.86,3.86,3.86,0.0
2012-07-27,3.86,3.86,3.86,3.86,0.0
2012-07-30,3.86,3.86,3.86,3.86,0.0
2012-07-31,3.86,3.86,3.86,3.86,0.0
2012-08-01,3.86,3.86,3.86,3.86,0.0
2012-08-02,3.86,3.86,3.86,3.86,0.0
2012-08-03,3.86,3.86,3.86,3.86,0.0
2012-08-06,3.21,3.21,3.21,3.21,1089.0
2012-08-07,3.21,3.21,3.21,3.21,0.0
2012-08-08,3.21,3.21,3.21,3.21,0.0
2012-08-09,3.21,3.21,3.21,3.21,0.0
2012-08-10,3.21,3.21,3.21,3.21,0.0
2012-08-13,3.28,3.28,3.28,3.28,1209.0
2012-08-14,3.28,3.28,3.28,3.28,0.0
2012-08-15,3.18,3.25,2.86,3.25,2487.0
2012-08-16,2.89,2.89,2.89,2.89,3111.0
2012-08-17,2.89,2.89,2.89,2.89,0.0
2012-08-20,3.28,3.28,3.28,3.28,348.0
