Date,Open,High,Low,Close,Volume
2018-09-06,34.0,36.5,32.0,33.5,22183.0
2018-09-07,33.7,34.7,28.0,33.3,11093.0
2018-09-10,33.3,36.0,31.2,31.6,23736.0
2018-09-11,31.6,33.8,29.1,33.8,10488.0
2018-09-12,33.7,33.7,29.4,31.4,11268.0
2018-09-13,30.0,31.4,30.0,30.5,575.0
2018-09-14,30.5,31.5,30.1,31.5,4002.0
2018-09-17,31.7,32.9,28.5,29.5,13773.0
2018-09-18,29.5,29.5,25.4,28.8,10427.0
2018-09-19,28.8,28.8,27.0,27.3,3507.0
2018-09-20,27.1,29.3,26.5,28.0,8466.0
2018-09-21,28.0,30.0,26.8,28.7,6554.0
2018-09-24,27.0,27.3,26.0,27.3,9187.0
2018-09-25,27.4,27.5,26.4,26.6,1945.0
2018-09-26,26.6,27.1,26.3,26.3,3061.0
2018-09-27,26.8,27.4,26.6,27.4,1006.0
2018-09-28,26.2,27.1,26.1,27.1,6453.0
2018-10-01,26.5,27.4,24.8,26.0,5676.0
2018-10-02,25.6,27.0,25.6,27.0,2459.0
2018-10-03,26.0,26.1,26.0,26.0,2625.0
2018-10-04,26.0,29.9,24.7,25.6,10664.0
2018-10-05,26.0,28.0,25.8,26.6,9370.0
2018-10-08,26.0,26.2,25.1,25.1,2833.0
2018-10-09,25.1,26.2,25.1,25.1,974.0
2018-10-10,25.1,25.8,25.0,25.0,1220.0
2018-10-11,25.1,25.1,22.7,24.0,12283.0
2018-10-12,23.4,25.6,23.4,25.2,2763.0
2018-10-15,25.6,25.6,24.0,25.3,1308.0
2018-10-16,24.2,25.0,24.0,24.0,2243.0
2018-10-17,24.0,24.9,23.2,24.9,2663.0
2018-10-18,25.0,25.0,24.5,24.5,624.0
2018-10-19,24.0,25.5,24.0,25.5,1303.0
2018-10-22,23.9,25.0,23.9,23.9,1379.0
2018-10-23,23.1,23.6,22.9,22.9,5990.0
2018-10-24,22.2,23.0,22.2,23.0,954.0
2018-10-25,22.5,22.7,21.0,22.4,3326.0
2018-10-26,21.7,23.2,21.7,22.6,7294.0
2018-10-29,22.6,23.5,21.1,22.1,2717.0
2018-10-30,22.0,22.0,21.6,21.7,4128.0
2018-10-31,21.2,22.0,21.0,21.9,4813.0
2018-11-01,22.2,24.5,21.5,23.6,11469.0
2018-11-02,23.6,24.8,23.2,23.2,2714.0
2018-11-05,23.8,25.0,23.1,25.0,4007.0
2018-11-06,25.0,25.7,23.6,24.0,1775.0
2018-11-07,24.2,25.4,24.0,24.0,818.0
2018-11-08,25.2,25.2,24.0,24.0,1776.0
2018-11-09,23.9,24.9,23.9,24.9,896.0
2018-11-12,23.1,24.9,23.1,24.8,1602.0
2018-11-13,24.8,24.8,22.6,23.8,4981.0
2018-11-14,22.5,24.0,22.5,22.9,5343.0
2018-11-15,23.7,23.7,22.3,22.8,2538.0
2018-11-16,23.0,23.0,22.1,22.9,3125.0
2018-11-19,22.0,23.3,22.0,23.3,2587.0
2018-11-20,22.3,24.0,22.3,24.0,2602.0
2018-11-21,22.2,24.0,22.2,23.9,2654.0
2018-11-22,23.9,27.5,23.5,24.0,9454.0
2018-11-23,23.0,23.9,23.0,23.9,2933.0
2018-11-26,23.3,23.5,22.5,22.5,2229.0
2018-11-27,23.0,23.0,22.0,22.0,1384.0
2018-11-28,22.2,23.4,21.6,22.2,4862.0
2018-11-29,22.2,22.2,22.2,22.2,100.0
2018-11-30,21.8,24.0,21.7,22.0,4862.0
2018-12-03,22.3,23.1,22.2,22.8,1065.0
2018-12-04,21.8,23.4,21.5,21.7,1344.0
2018-12-05,21.8,22.3,21.0,22.3,2628.0
2018-12-06,22.3,22.5,21.0,22.5,1851.0
2018-12-07,21.3,22.3,21.3,22.3,103.0
2018-12-10,21.4,21.4,19.05,20.5,9570.0
2018-12-11,20.6,20.6,19.2,19.95,4748.0
2018-12-12,19.95,21.0,19.9,20.0,665.0
2018-12-13,19.25,20.8,19.25,20.8,162.0
2018-12-14,19.6,20.9,19.25,20.9,1271.0
2018-12-17,19.7,20.6,19.7,20.6,442.0
2018-12-18,20.6,20.6,20.6,20.6,0.0
2018-12-19,19.2,19.9,19.0,19.5,3798.0
2018-12-20,19.0,19.9,19.0,19.0,1100.0
2018-12-21,18.5,18.85,17.15,18.7,2066.0
2018-12-27,17.5,18.7,17.5,18.7,3958.0
2018-12-28,17.7,19.0,17.5,17.5,3582.0
2019-01-02,17.6,20.9,17.6,20.8,6877.0
2019-01-03,20.4,20.4,20.4,20.4,5.0
2019-01-04,19.05,21.0,19.05,20.5,6445.0
2019-01-07,19.7,20.9,19.15,20.8,2281.0
2019-01-08,20.5,20.5,19.25,19.55,3423.0
2019-01-09,19.2,19.2,17.95,18.1,26319.0
2019-01-10,18.4,18.85,18.4,18.45,861.0
2019-01-11,18.0,18.25,17.0,17.9,3576.0
2019-01-14,17.5,18.85,17.5,17.9,3745.0
2019-01-15,17.9,18.0,17.75,17.95,1646.0
2019-01-16,18.05,19.4,18.05,19.2,3241.0
2019-01-17,19.2,19.2,18.75,18.75,894.0
2019-01-18,19.6,19.95,19.6,19.95,25.0
2019-01-21,17.95,19.45,17.95,19.45,3140.0
2019-01-22,18.3,19.5,18.3,19.5,5500.0
2019-01-23,18.4,18.7,18.4,18.7,2884.0
2019-01-24,18.5,19.0,18.5,18.65,1730.0
2019-01-25,19.0,20.3,18.35,18.85,6463.0
2019-01-28,18.05,18.85,18.05,18.5,812.0
2019-01-29,18.45,19.0,18.45,18.9,1859.0
2019-01-30,19.45,19.45,18.9,19.05,1226.0
2019-01-31,19.6,20.6,18.8,19.1,6527.0
2019-02-01,19.25,20.3,19.25,20.2,2411.0
2019-02-04,20.2,20.2,19.15,19.65,1545.0
2019-02-05,19.55,20.0,19.55,20.0,1606.0
2019-02-06,20.0,21.0,20.0,21.0,870.0
2019-02-07,21.0,21.0,19.5,19.55,1594.0
2019-02-08,19.55,19.95,19.1,19.95,1097.0
2019-02-11,19.8,19.8,19.8,19.8,216.0
2019-02-12,19.2,20.0,19.2,20.0,2700.0
2019-02-13,19.4,19.95,19.4,19.95,25.0
2019-02-14,19.35,19.95,19.35,19.95,169.0
2019-02-15,19.35,19.95,19.3,19.95,533.0
2019-02-18,19.35,19.35,19.0,19.0,898.0
2019-02-19,19.0,19.35,18.15,19.15,2251.0
2019-02-20,18.0,19.9,18.0,19.75,6197.0
2019-02-21,18.5,19.75,18.5,18.9,1060.0
2019-02-22,19.0,19.0,18.65,18.65,1930.0
2019-02-25,18.2,19.05,18.15,18.6,3798.0
2019-02-26,18.65,22.6,18.6,21.5,22552.0
2019-02-27,20.6,21.4,20.5,20.6,4510.0
2019-02-28,19.8,21.5,17.55,18.4,14016.0
2019-03-01,18.4,18.4,17.4,17.5,6934.0
2019-03-04,16.95,17.95,16.95,17.85,2507.0
2019-03-05,17.05,17.8,16.25,17.4,1721.0
2019-03-06,17.5,17.95,17.5,17.95,1081.0
2019-03-07,17.95,17.95,17.95,17.95,2000.0
