Date,Open,High,Low,Close,Volume
2010-01-04,4.07,4.23,4.07,4.21,294630.0
2010-01-05,4.21,4.31,4.2,4.31,105760.0
2010-01-07,4.31,4.41,4.28,4.41,204950.0
2010-01-08,4.44,4.51,4.41,4.41,251995.0
2010-01-11,4.44,4.46,4.38,4.4,174290.0
2010-01-12,4.45,4.45,4.29,4.33,204815.0
2010-01-13,4.33,4.34,4.28,4.31,116145.0
2010-01-14,4.32,4.39,4.32,4.37,106125.0
2010-01-15,4.39,4.4,4.31,4.35,71975.0
2010-01-18,4.38,4.38,4.32,4.35,80030.0
2010-01-19,4.38,4.43,4.37,4.4,171845.0
2010-01-20,4.44,4.49,4.37,4.4,503825.0
2010-01-21,4.41,4.61,4.4,4.47,464490.0
2010-01-22,4.43,4.52,4.43,4.46,405280.0
2010-01-25,4.5,4.52,4.45,4.45,411985.0
2010-01-26,4.46,4.49,4.38,4.41,149920.0
2010-01-27,4.41,4.47,4.35,4.41,122570.0
2010-01-28,4.44,4.52,4.44,4.45,145955.0
2010-01-29,4.46,4.49,4.43,4.43,201170.0
2010-02-01,4.45,4.45,4.41,4.41,42760.0
2010-02-02,4.45,4.45,4.41,4.43,112960.0
2010-02-03,4.46,4.47,4.43,4.43,53725.0
2010-02-04,4.44,4.47,4.39,4.39,106550.0
2010-02-05,4.39,4.39,4.23,4.32,175195.0
2010-02-08,4.38,4.39,4.23,4.28,125955.0
2010-02-09,4.28,4.37,4.28,4.31,40565.0
2010-02-10,4.33,4.4,4.32,4.33,106125.0
2010-02-11,4.4,4.4,4.32,4.33,298940.0
2010-02-12,4.37,4.38,4.21,4.22,178780.0
2010-02-15,4.23,4.25,4.2,4.2,117670.0
2010-02-16,4.2,4.29,4.2,4.23,81805.0
2010-02-17,4.27,4.33,4.25,4.25,272305.0
2010-02-18,4.26,4.26,4.19,4.22,232430.0
2010-02-19,4.21,4.31,4.21,4.29,119070.0
2010-02-22,4.33,4.33,4.25,4.25,71635.0
2010-02-23,4.26,4.34,4.26,4.29,257365.0
2010-02-24,4.32,4.32,4.27,4.28,63465.0
2010-02-25,4.31,4.32,4.26,4.26,45150.0
2010-02-26,4.26,4.31,4.26,4.31,20425.0
2010-03-01,4.31,4.32,4.25,4.29,130285.0
2010-03-02,4.32,4.37,4.27,4.32,124215.0
2010-03-03,4.34,4.38,4.28,4.37,86880.0
2010-03-04,4.37,4.45,4.34,4.4,207755.0
2010-03-05,4.44,4.47,4.41,4.45,128650.0
2010-03-08,4.45,4.47,4.45,4.46,64495.0
2010-03-09,4.46,4.47,4.43,4.43,95910.0
2010-03-10,4.46,4.46,4.44,4.44,56955.0
2010-03-11,4.47,4.47,4.43,4.44,113055.0
2010-03-12,4.43,4.47,4.43,4.45,172795.0
2010-03-15,4.45,4.46,4.38,4.41,115805.0
2010-03-16,4.44,4.46,4.4,4.46,73950.0
2010-03-17,4.46,4.55,4.44,4.5,114170.0
2010-03-18,4.5,4.53,4.47,4.47,105025.0
2010-03-19,4.49,4.51,4.46,4.47,55495.0
2010-03-22,4.47,4.5,4.41,4.43,201080.0
2010-03-23,4.47,4.47,4.41,4.44,112795.0
2010-03-24,4.43,4.45,4.38,4.41,256495.0
2010-03-25,4.43,4.44,4.38,4.38,310900.0
2010-03-26,4.38,4.47,4.38,4.45,163920.0
2010-03-29,4.45,4.5,4.45,4.45,87590.0
2010-03-30,4.46,4.52,4.46,4.49,112935.0
2010-03-31,4.49,4.52,4.49,4.5,120740.0
2010-04-01,4.5,4.57,4.5,4.57,48920.0
2010-04-06,4.57,4.64,4.57,4.64,224565.0
2010-04-07,4.69,4.76,4.67,4.76,289395.0
