Date,Open,High,Low,Close,Volume
2018-12-10,16.48,16.48,10.26,11.61,2275648.0
2018-12-11,11.98,12.43,10.73,11.46,297957.0
2018-12-12,11.61,11.61,10.86,11.18,254347.0
2018-12-13,11.23,11.23,9.82,10.68,597342.0
2018-12-14,10.71,10.86,10.26,10.86,1668055.0
2018-12-17,11.23,11.23,10.16,10.93,88937.0
2018-12-18,11.15,11.15,9.86,10.52,103524.0
2018-12-19,10.34,10.48,9.47,9.59,204423.0
2018-12-20,9.7,9.74,8.99,9.35,111983.0
2018-12-21,9.25,9.7,8.99,9.7,56706.0
2018-12-27,9.7,9.72,8.91,9.32,60281.0
2018-12-28,9.32,9.36,8.54,9.16,130723.0
2019-01-02,9.16,9.74,9.16,9.74,16926.0
2019-01-03,9.74,10.86,9.62,10.41,26591.0
2019-01-04,10.41,10.93,10.41,10.92,25171.0
2019-01-07,10.92,11.01,9.73,10.19,82426.0
2019-01-08,10.34,10.49,9.36,9.81,87669.0
2019-01-09,9.44,9.81,9.14,9.52,79515.0
2019-01-10,9.52,10.78,9.52,10.19,594261.0
2019-01-11,10.37,11.06,10.19,10.57,251019.0
2019-01-14,10.86,10.97,10.34,10.62,101938.0
2019-01-15,10.49,10.97,10.11,10.44,34264.0
2019-01-16,10.44,10.44,8.99,10.11,38006.0
2019-01-17,10.11,10.26,9.57,10.07,31230.0
2019-01-18,10.26,10.26,9.74,10.1,72351.0
2019-01-21,10.19,10.19,9.89,9.95,36046.0
2019-01-22,10.11,10.11,10.0,10.04,4892.0
2019-01-23,10.04,10.11,9.81,9.95,41249.0
2019-01-24,10.11,10.11,9.89,9.92,118341.0
2019-01-25,9.89,9.96,9.65,9.83,15452.0
2019-01-28,9.83,10.14,9.83,9.87,180692.0
2019-01-29,9.88,9.92,9.87,9.87,94146.0
2019-01-30,10.15,10.15,9.74,9.88,19851.0
2019-01-31,9.88,9.88,9.45,9.74,20157.0
2019-02-01,9.74,9.88,9.66,9.88,19327.0
2019-02-04,9.89,9.89,9.59,9.89,35627.0
2019-02-05,9.89,9.89,9.02,9.66,21082.0
2019-02-06,9.66,9.66,8.67,9.35,35268.0
2019-02-07,9.36,9.74,9.26,9.33,20210.0
2019-02-08,9.73,9.74,9.29,9.66,71164.0
2019-02-11,9.66,9.74,9.66,9.7,32560.0
2019-02-12,9.74,10.07,9.7,10.06,70721.0
2019-02-13,10.07,10.15,9.75,9.89,43682.0
2019-02-14,9.96,10.04,9.44,9.59,8437.0
2019-02-15,9.59,9.62,9.45,9.62,13988.0
2019-02-18,10.04,10.07,9.63,9.67,5027.0
2019-02-19,9.74,9.81,9.44,9.7,11502.0
2019-02-20,9.74,9.74,9.51,9.51,22915.0
2019-02-21,9.81,9.81,9.51,9.74,24369.0
2019-02-22,9.74,9.74,9.51,9.51,18389.0
2019-02-25,9.53,9.53,9.14,9.29,32159.0
2019-02-26,9.36,9.44,9.29,9.36,17480.0
2019-02-27,9.36,9.44,9.14,9.29,21522.0
2019-02-28,9.29,9.29,8.61,8.76,43460.0
2019-03-01,8.76,8.99,8.31,8.39,62630.0
2019-03-04,8.39,8.46,7.75,8.26,34503.0
2019-03-05,7.79,8.24,7.64,8.18,36804.0
2019-03-06,8.18,8.18,7.87,8.16,9361.0
2019-03-07,7.86,7.86,7.56,7.75,12980.0
2019-03-08,7.91,8.13,7.76,8.11,16529.0
2019-03-11,8.11,8.13,7.6,7.9,38078.0
2019-03-12,7.76,7.76,7.26,7.26,46170.0
2019-03-13,7.48,7.48,6.53,6.67,30364.0
2019-03-14,6.67,7.05,6.67,6.93,15590.0
2019-03-15,6.93,7.49,6.93,7.06,40563.0
2019-03-18,7.44,8.24,7.44,7.86,11354.0
2019-03-19,8.09,8.76,7.94,8.24,58057.0
2019-03-20,8.76,8.76,7.49,8.1,11239.0
2019-03-21,8.85,8.85,7.49,8.24,18990.0
2019-03-22,8.24,8.24,7.57,8.24,32760.0
2019-03-25,8.24,8.24,7.6,7.6,22763.0
2019-03-26,7.61,8.91,7.61,8.88,115202.0
2019-03-27,9.3,11.95,9.3,9.89,353198.0
2019-03-28,10.34,11.62,10.15,11.16,225964.0
2019-03-29,11.9,12.73,11.53,12.62,393781.0
2019-04-01,13.11,14.14,12.78,13.86,385507.0
2019-04-02,14.9,16.29,14.9,15.77,548222.0
2019-04-03,15.77,16.29,12.73,13.99,450085.0
2019-04-04,14.23,14.83,12.36,13.11,241817.0
2019-04-05,13.11,13.99,13.11,13.33,99777.0
2019-04-08,13.42,13.42,11.68,12.31,159509.0
2019-04-09,12.64,12.64,11.09,11.38,97976.0
2019-04-10,11.38,12.18,11.38,12.18,68144.0
2019-04-11,12.21,12.21,11.76,12.18,20696.0
2019-04-12,12.21,12.49,12.0,12.48,41557.0
2019-04-15,12.61,13.39,12.61,12.81,55129.0
2019-04-16,13.26,13.41,12.82,12.94,79355.0
2019-04-17,12.99,13.08,12.34,12.61,24201.0
2019-04-18,12.72,13.08,12.61,12.66,8354.0
2019-04-23,12.69,13.33,12.66,12.73,65807.0
2019-04-24,12.73,12.73,11.98,12.31,69504.0
2019-04-25,12.31,12.7,12.03,12.46,19986.0
2019-04-26,12.75,12.75,12.07,12.27,47260.0
2019-04-29,12.58,12.72,12.01,12.51,27851.0
2019-04-30,12.43,12.51,12.1,12.49,15701.0
2019-05-02,12.49,12.58,12.21,12.36,45879.0
2019-05-03,12.34,12.36,11.61,11.61,28768.0
2019-05-06,11.61,11.68,10.62,11.2,74585.0
2019-05-07,11.2,12.3,11.2,11.83,44245.0
2019-05-08,11.98,12.43,11.76,12.03,33754.0
2019-05-09,12.01,12.01,11.23,11.23,48094.0
2019-05-10,11.31,11.53,11.31,11.35,9824.0
2019-05-13,11.62,11.76,11.23,11.68,44404.0
2019-05-14,11.91,13.11,11.91,12.66,233478.0
2019-05-15,12.73,13.86,12.73,13.03,122436.0
2019-05-16,13.03,13.78,13.03,13.48,200398.0
2019-05-17,13.48,15.73,13.48,14.68,187094.0
2019-05-20,14.67,15.69,13.48,13.71,99913.0
2019-05-21,13.71,14.26,13.48,14.08,42716.0
2019-05-22,14.23,14.9,14.16,14.16,131571.0
2019-05-23,14.44,14.83,14.17,14.17,102613.0
2019-05-24,14.23,14.89,14.23,14.71,26138.0
2019-05-27,15.09,15.28,13.48,13.62,112269.0
2019-05-28,13.63,14.16,13.63,14.05,56591.0
2019-05-29,14.04,14.74,13.47,13.48,28596.0
2019-05-31,13.48,13.48,12.36,12.93,70103.0
2019-06-03,13.02,13.33,12.36,13.26,74738.0
2019-06-04,13.27,13.48,13.18,13.18,44730.0
2019-06-05,13.18,13.33,12.96,13.18,37888.0
2019-06-07,13.18,13.18,12.78,13.09,20154.0
2019-06-11,13.33,13.33,12.9,13.11,27864.0
2019-06-12,13.32,13.33,12.73,13.24,36314.0
2019-06-13,13.32,13.32,12.79,12.96,23907.0
2019-06-14,12.88,13.3,12.36,13.15,77526.0
2019-06-18,12.73,13.11,12.73,12.73,16411.0
2019-06-19,12.94,13.08,12.54,12.54,45481.0
2019-06-20,12.54,12.54,11.98,12.34,33158.0
2019-06-24,12.36,12.96,12.33,12.75,35621.0
2019-06-25,12.39,13.09,12.39,13.02,11095.0
2019-06-26,12.81,12.81,12.36,12.69,9621.0
2019-06-27,12.69,12.73,12.4,12.43,13828.0
2019-06-28,12.45,12.82,11.98,12.63,34693.0
2019-07-01,12.63,12.81,12.58,12.66,33703.0
2019-07-02,12.66,12.81,12.36,12.42,24751.0
2019-07-03,12.36,12.36,11.98,12.06,39093.0
2019-07-04,12.06,12.66,11.38,12.36,33806.0
2019-07-05,12.81,12.81,11.91,12.19,17707.0
2019-07-08,12.19,12.7,11.83,11.83,17804.0
2019-07-09,11.83,11.83,11.23,11.56,28580.0
2019-07-10,11.76,12.3,11.76,12.25,19102.0
2019-07-11,12.25,12.25,11.98,12.03,25235.0
2019-07-12,12.36,12.42,12.07,12.36,15712.0
2019-07-15,12.36,13.18,12.36,13.11,77667.0
2019-07-16,13.11,13.14,12.73,13.11,25115.0
2019-07-17,13.11,13.11,12.81,13.03,32846.0
2019-07-18,13.11,13.11,12.88,12.96,18023.0
2019-07-19,12.96,12.96,12.36,12.96,22039.0
2019-07-22,12.96,14.31,12.96,14.04,101789.0
2019-07-23,13.86,14.04,13.48,13.84,39009.0
2019-07-24,13.84,14.01,13.5,13.77,31943.0
2019-07-25,13.77,13.93,13.41,13.74,38617.0
2019-07-26,13.71,13.92,13.44,13.44,20478.0
2019-07-29,13.44,13.86,12.73,13.15,40079.0
2019-07-30,13.18,13.18,12.58,12.73,35452.0
2019-07-31,12.73,13.11,12.61,12.88,19086.0
2019-08-01,12.88,13.84,12.61,13.26,26157.0
2019-08-02,13.26,13.41,12.67,12.73,42305.0
2019-08-06,12.73,13.11,12.66,12.73,22530.0
2019-08-07,12.73,12.73,12.37,12.43,24325.0
2019-08-08,12.43,12.73,12.43,12.72,23163.0
2019-08-09,12.85,12.85,12.28,12.43,14625.0
2019-08-12,12.51,12.72,11.98,11.98,35519.0
2019-08-13,11.98,12.28,11.23,11.28,48031.0
2019-08-14,12.19,12.36,11.7,12.16,19250.0
2019-08-15,12.06,12.06,10.86,11.46,50209.0
2019-08-16,11.23,11.82,11.11,11.74,33109.0
2019-08-19,11.74,12.6,11.74,12.0,19689.0
2019-08-20,12.0,12.58,12.0,12.0,11557.0
2019-08-21,12.0,12.84,11.38,12.12,45236.0
2019-08-22,11.97,12.04,11.32,11.77,54580.0
2019-08-23,11.98,12.27,11.77,11.83,21453.0
2019-08-26,11.61,11.61,11.46,11.49,27114.0
