Date,Open,High,Low,Close,Volume
2014-06-19,38.5,38.5,31.2,31.5,4327257.0
2014-06-23,32.6,33.4,31.0,32.2,905181.0
2014-06-24,32.6,33.9,32.3,33.3,815216.0
2014-06-25,33.8,33.8,32.7,32.8,195647.0
2014-06-26,33.5,33.5,32.8,33.5,129360.0
2014-06-27,33.8,34.5,33.5,33.9,111035.0
2014-06-30,34.0,34.7,33.9,34.0,104650.0
2014-07-01,34.2,34.2,33.4,33.8,64226.0
2014-07-02,33.3,33.5,32.5,32.5,285500.0
2014-07-03,32.0,32.1,31.6,31.9,161253.0
2014-07-04,31.4,31.4,29.0,29.9,380252.0
2014-07-07,29.5,29.7,28.0,28.7,154061.0
2014-07-08,28.7,29.0,28.2,28.5,66329.0
2014-07-09,28.5,29.5,28.2,28.9,33084.0
2014-07-10,29.5,30.4,29.0,30.1,14027.0
2014-07-11,30.5,30.5,29.4,30.4,6790.0
2014-07-14,29.6,29.9,29.3,29.9,22588.0
2014-07-15,29.3,29.8,29.2,29.2,30030.0
2014-07-16,29.2,29.8,28.2,28.5,60261.0
2014-07-17,28.9,29.0,28.3,28.7,28600.0
2014-07-18,28.7,28.7,27.3,27.9,21683.0
2014-07-21,27.3,27.4,26.3,26.5,35464.0
2014-07-22,27.0,27.0,25.9,26.0,26465.0
2014-07-23,27.0,27.0,25.0,25.0,25743.0
2014-07-24,24.6,26.6,24.6,26.2,23003.0
2014-07-25,26.2,26.6,25.3,26.0,64408.0
2014-07-28,27.0,27.0,25.9,26.0,36415.0
2014-07-29,26.1,26.1,25.0,25.1,52109.0
2014-07-30,25.7,25.7,25.0,25.3,12564.0
2014-07-31,25.2,25.2,24.1,24.5,28190.0
2014-08-01,24.4,24.5,23.7,24.4,13629.0
2014-08-04,25.0,25.9,25.0,25.3,19528.0
2014-08-05,25.3,25.7,25.1,25.6,16431.0
2014-08-06,25.6,25.6,23.9,25.0,37657.0
2014-08-07,25.0,25.0,24.6,24.6,11772.0
2014-08-08,23.7,24.9,23.7,24.5,11098.0
2014-08-11,24.0,25.7,23.3,24.1,24927.0
2014-08-12,23.9,24.9,23.9,24.5,32522.0
2014-08-13,24.5,24.5,23.8,24.5,11536.0
2014-08-14,24.0,24.7,23.2,24.5,40668.0
2014-08-15,24.0,24.2,22.8,23.8,44425.0
2014-08-18,23.0,26.4,23.0,26.3,229386.0
2014-08-19,26.3,27.5,26.2,26.2,53413.0
2014-08-20,26.2,26.9,26.0,26.5,15987.0
2014-08-21,26.5,27.5,25.6,27.1,66977.0
2014-08-22,27.9,28.4,27.7,28.2,60877.0
2014-08-25,28.6,28.7,28.3,28.5,99059.0
2014-08-26,28.9,29.0,28.2,28.2,33408.0
2014-08-27,28.3,29.9,28.3,29.8,107136.0
2014-08-28,29.8,29.8,28.7,28.7,38627.0
2014-08-29,28.7,29.8,28.5,29.0,45060.0
2014-09-01,30.3,31.0,30.0,31.0,63946.0
2014-09-02,31.9,32.0,31.1,31.3,67714.0
2014-09-03,31.4,31.5,29.0,29.1,107962.0
2014-09-04,28.9,28.9,28.0,28.2,26363.0
2014-09-05,28.2,28.4,28.0,28.0,8818.0
2014-09-08,28.3,28.9,28.1,28.2,4027.0
2014-09-09,29.2,29.2,28.5,28.5,7129.0
2014-09-10,29.0,29.0,28.3,28.3,12632.0
2014-09-11,28.0,28.6,27.8,28.6,13383.0
