Date,Open,High,Low,Close,Volume
2010-01-28,12.85,13.24,12.85,12.93,1266414.0
2010-02-02,13.24,13.39,12.93,12.93,47430.0
2010-02-03,13.09,13.24,12.85,13.09,29334.0
2010-02-09,12.78,13.47,12.78,13.39,77964.0
2010-02-12,13.09,13.32,12.93,13.09,21660.0
2010-02-17,12.62,13.05,12.62,13.05,15690.0
2010-03-10,14.89,14.89,14.82,14.89,114300.0
2010-04-13,16.32,16.47,16.09,16.4,4368.0
2010-04-23,15.39,15.55,15.24,15.55,39108.0
2010-05-05,14.78,15.01,14.24,14.62,132294.0
2010-05-14,14.74,15.55,14.28,14.86,93216.0
2010-06-10,14.78,16.01,14.78,15.21,24810.0
2010-07-13,15.39,15.83,15.39,15.83,102222.0
2010-07-28,15.83,16.01,15.39,15.7,117450.0
2010-07-29,15.7,15.7,15.52,15.58,34800.0
2010-08-20,16.75,17.12,16.75,17.0,45490.0
2010-09-01,17.0,17.0,16.75,16.93,32898.0
2010-10-27,21.86,21.92,21.55,21.92,383528.0
2010-11-12,21.06,21.06,20.01,20.81,164414.0
2010-11-18,21.06,21.18,20.75,21.0,403128.0
2010-11-29,21.86,22.04,21.55,21.74,243308.0
2010-12-07,21.86,22.48,21.55,22.11,227360.0
2010-12-17,26.48,26.54,25.12,26.11,418300.0
2011-01-19,29.87,29.87,28.2,28.33,170824.0
2011-02-07,27.28,27.28,26.79,27.09,126747.0
2011-02-10,27.03,27.03,26.72,26.79,157626.0
2011-02-17,27.09,27.09,26.48,26.6,95702.0
2011-04-13,29.5,29.62,29.31,29.5,41590.0
2011-05-25,27.99,30.02,27.99,29.74,240828.0
2011-05-26,29.93,29.93,28.26,28.91,154693.0
2011-05-27,29.0,30.48,29.0,29.83,273193.0
2011-05-30,30.39,31.04,29.74,30.94,207912.0
2011-05-31,31.13,32.33,30.76,31.31,1140797.0
2011-06-01,31.31,31.31,30.67,31.04,85601.0
2011-06-03,30.57,30.94,29.65,29.74,123195.0
2011-06-07,29.83,30.11,29.1,29.1,93590.0
2011-06-08,29.19,29.19,28.63,28.91,72155.0
2011-06-09,28.82,30.11,28.82,29.65,1194775.0
2011-06-10,29.93,30.02,28.73,29.0,151732.0
2011-06-13,29.19,29.19,28.91,28.91,228173.0
2011-06-14,28.91,29.37,28.91,29.1,130093.0
2011-06-15,29.1,29.46,28.63,28.91,361040.0
2011-06-16,28.73,28.73,28.26,28.36,221323.0
2011-06-17,28.17,28.63,26.32,28.08,114499.0
2011-06-20,27.62,28.08,27.25,27.99,99409.0
2011-06-21,27.71,29.65,27.71,29.56,246693.0
2011-06-22,29.56,29.56,28.26,28.82,92946.0
2011-06-23,28.73,29.0,28.26,29.0,57632.0
2011-06-27,29.0,29.0,28.63,28.73,29555.0
2011-06-28,28.73,29.0,28.26,28.73,30715.0
2011-06-29,29.19,30.2,29.1,30.2,65791.0
2011-06-30,30.2,30.57,28.54,29.28,323971.0
2011-07-01,29.56,29.56,28.63,29.56,48546.0
2011-07-04,29.93,30.2,29.56,30.02,61298.0
2011-07-05,30.3,30.3,29.74,29.83,109901.0
2011-07-06,29.83,29.93,28.82,29.19,180258.0
2011-07-07,29.37,29.93,29.0,29.74,98629.0
2011-07-08,29.93,30.02,29.46,29.56,82027.0
2011-07-11,29.37,29.56,28.36,28.54,51085.0
2011-07-12,28.54,29.56,28.45,29.46,89362.0
2011-07-13,28.63,29.37,28.54,28.91,104326.0
2011-07-14,28.63,28.82,28.26,28.26,51105.0
2011-07-15,28.63,28.63,26.79,27.25,72079.0
2011-07-18,27.25,27.43,26.23,26.69,144944.0
2011-07-19,26.79,27.34,26.79,26.97,16866.0
2011-07-20,26.97,27.53,26.69,26.88,47816.0
2011-07-21,27.25,27.34,25.86,26.69,92396.0
2011-07-22,27.34,27.34,26.32,26.88,28847.0
2011-07-25,27.06,27.16,26.42,27.16,43626.0
2011-07-26,26.79,26.88,26.42,26.6,106081.0
2011-07-27,26.97,26.97,26.79,26.97,33823.0
2011-07-28,26.6,26.6,25.86,26.51,212619.0
2011-07-29,25.86,26.79,25.49,26.79,107828.0
2011-08-01,26.79,26.79,25.22,25.4,112885.0
2011-08-02,25.4,26.6,23.74,23.74,100713.0
2011-08-03,23.65,23.65,21.98,22.63,303961.0
2011-08-04,22.63,23.92,21.24,22.26,403365.0
2011-08-05,20.51,22.08,19.58,20.78,388010.0
2011-08-08,19.4,20.51,18.94,19.58,352339.0
2011-08-09,19.03,19.95,17.83,19.77,756875.0
2011-08-10,20.78,21.71,19.49,20.6,289321.0
2011-08-11,20.78,21.8,20.41,21.24,410651.0
2011-08-12,21.89,23.74,21.15,22.45,300294.0
2011-08-15,23.55,24.29,23.37,23.55,275858.0
2011-08-16,24.02,24.11,22.35,22.35,205050.0
2011-08-17,23.37,23.65,22.45,23.55,280702.0
2011-08-18,23.37,23.55,22.63,22.72,161149.0
2011-08-19,22.35,22.45,20.6,22.08,236937.0
2011-08-22,22.17,23.0,22.08,22.54,101843.0
2011-08-23,22.91,23.46,22.54,22.91,113330.0
2011-08-24,23.0,23.0,22.35,22.63,77429.0
2011-08-25,23.09,23.09,22.63,22.63,41752.0
2011-08-26,22.26,23.18,22.26,22.81,96581.0
2011-08-29,23.28,24.38,23.28,23.55,124479.0
2011-08-30,24.2,24.38,23.46,23.46,188331.0
2011-08-31,23.92,24.66,23.92,24.57,301712.0
2011-09-01,25.12,25.31,24.48,24.94,203480.0
