Date,Open,High,Low,Close,Volume
2010-01-04,387.4,396.95,383.92,391.74,45168.0
2010-01-05,395.22,398.69,388.27,395.22,20015.0
2010-01-07,403.9,410.85,400.43,405.64,72652.0
2010-01-08,404.77,408.25,400.43,406.51,55445.0
2010-01-11,413.46,415.19,408.25,412.59,47637.0
2010-01-12,413.46,414.33,399.56,403.9,82530.0
2010-01-13,399.56,416.93,396.95,416.06,60058.0
2010-01-14,419.54,424.75,408.25,413.46,42418.0
2010-01-15,416.06,422.14,409.11,412.59,35389.0
2010-01-18,412.59,412.59,399.56,408.25,31818.0
2010-01-19,405.64,412.59,396.95,411.72,24911.0
2010-01-20,410.85,411.72,394.35,396.95,55035.0
2010-01-21,398.69,405.64,386.53,392.61,28936.0
2010-01-22,387.4,399.56,386.53,392.61,21378.0
2010-01-25,392.61,400.43,386.53,396.95,11607.0
2010-01-26,396.08,396.08,386.53,390.0,27312.0
2010-01-27,390.0,397.82,383.06,391.74,25016.0
2010-01-28,396.08,401.3,383.92,386.53,21048.0
2010-01-29,386.53,402.16,386.53,396.08,16778.0
2010-02-01,395.22,401.3,389.14,400.43,13997.0
2010-02-02,402.16,406.51,397.82,401.3,15439.0
2010-02-03,406.51,406.51,400.43,400.43,10839.0
2010-02-04,406.51,406.51,383.06,384.79,25978.0
2010-02-05,383.06,383.06,364.82,374.37,23689.0
2010-02-08,383.06,383.06,357.87,362.21,26143.0
2010-02-09,363.95,374.37,358.73,370.03,16294.0
2010-02-10,370.9,370.9,342.23,350.05,74358.0
2010-02-11,355.26,359.6,352.65,356.13,36511.0
2010-02-12,359.6,363.08,348.31,363.08,78057.0
2010-02-15,363.95,364.82,340.49,340.49,117514.0
2010-02-16,343.1,350.92,341.36,350.05,21924.0
2010-02-17,356.13,363.08,353.52,362.21,25924.0
2010-02-18,363.95,363.95,352.65,357.87,12670.0
2010-02-19,361.34,361.34,349.18,352.65,31536.0
2010-02-22,352.65,357.87,351.79,352.65,13989.0
2010-02-23,352.65,358.73,352.65,356.13,32980.0
2010-02-24,356.13,359.6,350.92,357.0,33397.0
2010-02-25,361.34,361.34,355.26,359.6,13186.0
2010-02-26,359.6,368.29,357.0,363.08,16385.0
2010-03-01,365.68,377.84,363.08,375.24,27623.0
2010-03-02,375.24,385.66,370.9,382.19,37108.0
2010-03-03,384.79,384.79,374.37,382.19,20325.0
2010-03-04,380.45,382.19,371.76,378.71,13266.0
2010-03-05,379.58,386.53,379.58,386.53,27421.0
2010-03-08,389.14,395.22,381.32,384.79,14300.0
2010-03-09,388.27,390.0,375.24,389.14,15467.0
2010-03-10,390.87,393.48,385.66,390.0,37196.0
2010-03-11,390.0,397.82,388.27,391.74,28683.0
2010-03-12,396.95,396.95,388.27,396.95,40267.0
2010-03-15,395.22,395.22,384.79,387.4,16110.0
2010-03-16,386.53,391.74,377.84,382.19,30875.0
2010-03-17,387.4,389.14,383.06,384.79,17222.0
2010-03-18,386.53,387.4,377.84,378.71,36063.0
2010-03-19,377.84,384.79,377.84,384.79,19414.0
2010-03-22,382.19,386.53,375.24,386.53,37292.0
2010-03-23,382.19,397.82,382.19,397.82,30422.0
2010-03-24,398.69,406.51,398.69,405.64,48887.0
2010-03-25,405.64,425.62,405.64,423.88,84384.0
2010-03-26,423.88,427.35,410.85,425.62,44707.0
2010-03-29,425.62,427.35,415.19,416.06,18330.0
2010-03-30,415.19,422.14,408.25,409.11,13799.0
2010-03-31,409.11,417.8,404.77,415.19,20713.0
2010-04-01,416.93,440.82,416.93,434.3,52150.0
2010-04-06,442.99,451.68,434.3,447.33,44447.0
2010-04-07,447.33,451.68,442.99,447.33,42668.0
2010-04-08,449.5,449.5,436.48,442.99,28671.0
2010-04-09,442.99,447.33,430.83,445.16,40542.0
2010-04-12,451.68,451.68,434.3,438.65,40777.0
2010-04-13,436.48,436.48,423.01,429.96,28357.0
2010-04-14,430.83,440.82,430.83,434.3,26709.0
2010-04-15,434.3,447.33,434.3,447.33,38649.0
2010-04-16,447.33,458.19,442.99,451.68,53705.0
2010-04-19,449.5,460.36,440.82,456.02,49422.0
2010-04-20,456.02,477.73,456.02,469.05,61989.0
2010-04-21,477.73,477.73,469.05,475.56,91783.0
2010-04-22,477.73,482.08,464.7,471.22,40323.0
2010-04-23,479.91,479.91,471.22,475.56,21244.0
2010-04-26,486.42,497.28,482.08,495.11,44958.0
2010-04-27,499.45,501.62,460.36,469.05,75429.0
2010-04-28,466.88,484.25,438.65,479.91,71578.0
2010-04-29,484.25,484.25,466.88,469.05,52103.0
2010-04-30,469.05,473.39,456.02,456.02,8207.0
2010-05-03,462.53,464.7,458.19,462.53,19101.0
2010-05-04,469.05,492.93,453.85,458.19,80025.0
2010-05-05,453.85,458.19,434.3,447.33,59420.0
2010-05-06,434.3,445.16,425.62,426.49,84153.0
2010-05-07,406.51,420.41,399.56,408.25,96770.0
2010-05-10,434.3,460.36,434.3,453.85,115165.0
2010-05-11,453.85,453.85,440.82,451.68,57775.0
2010-05-12,456.02,458.19,449.5,449.5,22199.0
2010-05-14,458.19,458.19,438.65,440.82,13911.0
2010-05-17,421.27,449.5,421.27,436.48,23581.0
2010-05-18,440.82,442.99,432.57,436.48,13391.0
2010-05-19,434.3,434.3,413.46,420.41,18509.0
2010-05-20,423.01,428.22,386.53,397.82,26668.0
2010-05-21,391.74,417.8,387.4,415.19,33677.0
2010-05-24,425.62,428.22,406.51,416.93,19439.0
2010-05-25,401.3,401.3,384.79,386.53,52264.0
2010-05-26,394.35,403.9,393.48,394.35,27926.0
2010-05-27,395.22,408.25,395.22,405.64,37779.0
2010-05-28,412.59,436.48,411.72,425.62,57249.0
2010-05-31,425.62,438.65,423.88,423.88,22461.0
2010-06-01,425.62,431.7,414.33,417.8,27525.0
2010-06-02,417.8,429.09,413.46,420.41,52130.0
2010-06-03,432.57,438.65,429.09,433.43,20260.0
2010-06-04,438.65,438.65,417.8,427.35,25651.0
2010-06-07,416.93,425.62,404.77,407.38,17665.0
2010-06-08,411.72,416.06,397.82,406.51,19705.0
2010-06-09,408.25,414.33,400.43,410.85,12718.0
2010-06-10,412.59,428.22,404.77,425.62,16187.0
2010-06-11,426.49,426.49,419.54,426.49,10680.0
2010-06-14,434.3,440.82,429.09,438.65,20356.0
2010-06-15,438.65,442.99,432.57,434.3,14473.0
2010-06-16,436.48,442.99,424.75,432.57,28274.0
2010-06-17,432.57,432.57,420.41,425.62,10088.0
2010-06-18,421.27,424.75,416.93,420.41,13687.0
2010-06-21,421.27,432.57,420.41,425.62,15762.0
2010-06-22,422.14,428.22,418.67,422.14,7293.0
2010-06-23,419.54,428.22,416.93,417.8,10082.0
2010-06-24,420.41,425.62,396.08,404.77,15645.0
2010-06-28,407.38,407.38,396.95,400.43,18858.0
2010-06-29,402.16,402.16,384.79,386.53,17680.0
2010-06-30,383.06,393.48,379.58,385.66,10883.0
2010-07-01,382.19,382.19,368.29,376.11,32780.0
2010-07-02,376.98,385.66,373.5,378.71,12809.0
2010-07-05,383.92,385.66,376.98,379.58,7361.0
2010-07-06,376.11,403.9,376.11,403.9,7988.0
2010-07-07,402.16,403.03,388.27,400.43,7484.0
2010-07-08,409.98,414.33,398.69,398.69,16124.0
2010-07-09,409.98,409.98,399.56,401.3,7279.0
2010-07-12,407.38,407.38,399.56,403.03,6962.0
2010-07-13,399.56,410.85,397.82,409.11,19456.0
2010-07-14,409.11,409.98,401.3,408.25,18778.0
2010-07-15,409.11,418.67,395.22,396.08,45087.0
2010-07-16,396.08,396.08,379.58,382.19,50931.0
2010-07-19,382.19,382.19,367.42,370.03,35351.0
2010-07-20,373.5,373.5,363.08,365.68,27224.0
2010-07-21,368.29,369.16,364.82,364.82,18592.0
2010-07-22,364.82,372.63,364.82,370.03,11363.0
2010-07-23,370.9,372.63,365.68,365.68,7210.0
2010-07-26,369.16,375.24,369.16,371.76,8172.0
2010-07-27,372.63,375.24,366.55,367.42,11116.0
2010-07-28,366.55,370.9,355.26,364.82,49043.0
2010-07-29,364.82,372.63,361.34,367.42,12462.0
2010-07-30,366.55,372.63,362.21,370.03,12358.0
2010-08-02,368.29,375.24,368.29,375.24,14887.0
2010-08-03,373.5,384.79,370.03,384.79,9763.0
2010-08-04,383.92,387.4,380.45,383.06,6415.0
2010-08-05,384.79,388.27,382.19,383.06,21342.0
2010-08-06,383.92,386.53,374.37,381.32,9448.0
2010-08-09,381.32,383.92,371.76,373.5,17982.0
2010-08-10,370.03,373.5,365.68,367.42,8817.0
