Date,Open,High,Low,Close,Volume
2010-01-04,28.83,29.09,28.83,29.09,1243.0
2010-01-05,29.09,29.09,29.09,29.09,1040.0
2010-01-07,29.09,29.52,29.09,29.52,1660.0
2010-01-08,29.73,30.05,29.09,29.09,11890.0
2010-01-11,29.09,29.46,29.09,29.46,2067.0
2010-01-12,29.09,29.09,28.45,29.09,9286.0
2010-01-13,28.67,28.67,28.45,28.45,0.0
2010-01-14,28.56,29.73,28.56,29.3,6827.0
2010-01-15,29.57,29.73,29.3,29.3,19736.0
2010-01-18,29.3,30.15,29.3,30.05,6923.0
2010-01-19,29.73,30.05,29.3,29.83,6551.0
2010-01-20,29.68,29.83,29.68,29.83,2914.0
2010-01-21,29.83,29.94,29.3,29.94,3803.0
2010-01-22,29.73,29.73,29.09,29.09,8022.0
2010-01-25,27.6,29.09,27.6,28.77,1905.0
2010-01-26,28.67,28.67,28.67,28.67,1212.0
2010-01-27,28.45,28.67,28.45,28.56,386.0
2010-01-28,28.56,28.67,28.56,28.67,2142.0
2010-01-29,28.51,28.51,28.29,28.51,3534.0
2010-02-01,27.92,28.67,27.92,28.67,782.0
2010-02-02,27.98,27.98,27.98,27.98,703.0
2010-02-03,27.98,28.08,27.87,27.87,24686.0
2010-02-04,28.45,28.51,27.87,28.29,90483.0
2010-02-05,28.29,28.29,28.29,28.29,14.0
2010-02-08,28.24,28.24,28.19,28.24,2480.0
2010-02-09,28.03,28.03,28.03,28.03,754.0
2010-02-10,28.03,28.08,27.6,27.6,20284.0
2010-02-11,27.98,27.98,27.66,27.66,14866.0
2010-02-12,27.71,27.71,27.71,27.71,344.0
2010-02-15,28.4,28.4,27.55,27.55,5215.0
2010-02-16,27.6,28.19,27.6,28.19,2941.0
2010-02-17,28.03,28.51,28.03,28.51,3079.0
2010-02-18,29.04,29.04,29.04,29.04,1033.0
2010-02-19,29.52,29.52,28.67,28.67,0.0
2010-02-22,29.3,29.3,29.04,29.04,4564.0
2010-02-23,29.09,29.09,28.83,28.83,58040.0
2010-02-24,29.04,29.09,28.98,29.09,2755.0
2010-02-25,29.09,29.09,29.09,29.09,7.0
2010-02-26,29.09,29.2,28.67,29.09,7612.0
2010-03-01,28.98,28.98,28.67,28.67,5876.0
2010-03-02,28.14,28.67,28.14,28.45,9751.0
2010-03-03,28.03,28.08,28.03,28.03,6561.0
2010-03-04,28.88,28.88,28.88,28.88,689.0
2010-03-05,28.45,28.61,28.19,28.61,16405.0
2010-03-08,28.67,28.88,28.67,28.88,26160.0
2010-03-09,28.88,28.88,28.88,28.88,26521.0
2010-03-10,28.88,29.3,28.83,28.93,25550.0
2010-03-11,28.93,29.3,28.93,29.3,565.0
2010-03-12,29.3,29.94,29.3,29.94,16068.0
2010-03-15,29.94,30.37,29.94,29.94,5311.0
2010-03-16,29.57,29.57,28.98,28.98,7233.0
2010-03-17,29.73,29.73,28.88,29.52,44115.0
2010-03-18,28.88,29.73,28.88,29.73,692.0
2010-03-19,29.73,29.73,28.88,28.88,3789.0
2010-03-22,29.78,29.78,29.78,29.78,344.0
2010-03-23,30.15,30.26,29.52,30.26,5866.0
2010-03-24,30.26,30.26,29.73,29.83,4898.0
2010-03-25,30.26,30.26,29.62,29.62,2742.0
2010-03-26,29.73,29.73,28.77,28.77,6344.0
2010-03-29,29.73,29.73,29.52,29.52,41356.0
2010-03-30,29.52,29.73,29.52,29.52,51741.0
2010-03-31,29.73,29.73,29.52,29.52,0.0
2010-04-01,29.73,29.73,29.52,29.52,1305.0
2010-04-06,29.94,29.94,29.3,29.3,2948.0
2010-04-07,29.3,29.3,29.3,29.3,69.0
2010-04-08,30.05,30.05,29.62,29.62,1233.0
2010-04-09,29.73,29.73,29.73,29.73,6617.0
2010-04-12,29.73,29.94,29.73,29.94,4030.0
2010-04-13,29.94,30.15,29.94,30.15,689.0
2010-04-14,30.05,30.05,30.05,30.05,152.0
2010-04-15,30.05,30.05,29.94,29.94,699.0
2010-04-16,29.83,30.15,29.83,30.15,2160.0
2010-04-19,30.58,31.21,30.37,30.79,27221.0
2010-04-20,31.21,31.21,30.79,31.0,8755.0
2010-04-21,31.21,32.38,31.21,32.06,15871.0
2010-04-22,31.85,32.06,31.21,31.43,9258.0
2010-04-23,32.06,32.06,31.64,31.85,15964.0
2010-04-26,31.85,32.91,30.79,32.91,85533.0
2010-04-27,35.89,35.89,35.19,35.31,11032.0
2010-04-28,34.73,35.43,34.49,34.49,12844.0
2010-04-29,33.68,34.96,33.68,34.49,11301.0
2010-04-30,35.08,35.08,34.73,34.73,1440.0
2010-05-03,36.24,37.06,36.24,36.82,45923.0
2010-05-04,37.06,37.29,36.24,36.24,11370.0
2010-05-05,36.01,36.12,35.19,35.19,14105.0
2010-05-06,35.19,35.19,33.79,34.26,26790.0
2010-05-07,34.03,34.03,31.93,32.28,24128.0
2010-05-10,33.79,34.96,33.79,34.32,37829.0
2010-05-11,34.61,34.61,33.33,33.33,16636.0
2010-05-12,34.38,34.38,33.62,33.62,13726.0
2010-05-14,33.62,34.03,33.09,33.09,25151.0
2010-05-17,34.03,34.61,33.62,33.79,30589.0
2010-05-18,34.26,34.26,33.56,33.56,26556.0
2010-05-19,33.79,33.79,32.74,32.8,14025.0
2010-05-20,33.79,33.79,31.7,31.81,12424.0
2010-05-21,31.81,32.16,31.58,31.7,13481.0
2010-05-24,32.16,33.09,31.46,32.4,12775.0
2010-05-25,32.28,32.28,31.35,31.93,4319.0
2010-05-26,31.58,32.8,31.58,32.8,4839.0
2010-05-27,32.63,32.98,32.63,32.63,2928.0
2010-05-28,33.39,33.44,32.63,32.63,5414.0
2010-05-31,33.91,33.91,33.56,33.56,2831.0
2010-06-01,33.33,33.33,32.63,33.09,4777.0
2010-06-02,33.21,33.21,33.21,33.21,3896.0
2010-06-03,33.68,33.79,32.86,33.44,12913.0
2010-06-04,32.69,33.44,32.69,33.44,7671.0
2010-06-07,31.87,32.98,31.87,32.86,4247.0
2010-06-08,32.8,32.8,32.22,32.51,10361.0
2010-06-09,32.74,32.86,32.45,32.74,6827.0
2010-06-10,33.09,33.09,32.74,33.09,10185.0
2010-06-11,33.56,33.56,33.09,33.33,3203.0
2010-06-14,32.98,33.79,32.98,33.79,1343.0
2010-06-15,33.79,33.79,33.44,33.56,3358.0
2010-06-16,33.21,33.74,33.21,33.74,1309.0
2010-06-17,33.56,33.56,33.56,33.56,121.0
2010-06-18,33.33,33.33,33.33,33.33,455.0
2010-06-21,33.33,33.68,33.21,33.68,2204.0
2010-06-22,33.09,33.27,32.86,33.27,3444.0
2010-06-23,33.27,33.27,32.8,32.8,2480.0
2010-06-24,32.86,32.98,32.74,32.74,1774.0
2010-06-28,33.21,33.21,32.4,32.4,499.0
2010-06-29,32.86,32.86,32.28,32.28,1037.0
2010-06-30,32.98,32.98,32.28,32.28,0.0
2010-07-01,31.46,32.16,31.46,32.16,3141.0
2010-07-02,33.09,33.09,32.63,32.63,0.0
2010-07-05,32.16,32.63,32.16,32.63,444.0
2010-07-06,32.63,32.63,32.63,32.63,344.0
2010-07-07,32.63,32.63,32.63,32.63,14122.0
2010-07-08,32.57,32.63,32.16,32.16,5855.0
2010-07-09,31.93,32.92,31.93,32.92,6968.0
2010-07-12,33.09,33.33,33.09,33.33,2755.0
2010-07-13,33.33,33.79,33.33,33.79,13088.0
2010-07-14,33.79,33.79,32.28,33.33,5941.0
2010-07-15,33.27,33.27,32.8,32.8,0.0
2010-07-16,33.21,33.21,32.51,32.51,0.0
2010-07-19,32.74,32.74,32.4,32.4,0.0
2010-07-20,32.28,32.28,32.28,32.28,24599.0
2010-07-21,32.51,32.51,31.99,32.28,3940.0
2010-07-22,31.81,32.4,31.81,32.4,5411.0
2010-07-23,32.4,32.4,32.1,32.1,2910.0
2010-07-26,32.16,32.28,31.93,32.28,3448.0
2010-07-27,32.16,32.34,31.93,32.34,1832.0
2010-07-28,32.16,32.16,32.05,32.05,0.0
2010-07-30,32.16,32.16,32.16,32.16,344.0
2010-08-02,31.75,32.4,31.75,32.05,1378.0
2010-08-03,32.16,32.16,31.93,31.93,2807.0
2010-08-04,31.93,31.93,31.93,31.93,69.0
2010-08-05,32.05,32.28,31.81,32.28,2411.0
2010-08-06,32.34,32.86,32.34,32.86,17015.0
2010-08-09,32.98,32.98,32.63,32.63,5139.0
2010-08-10,32.63,32.63,32.63,32.63,9989.0
2010-08-11,32.4,32.4,32.4,32.4,22733.0
2010-08-12,32.4,32.4,32.22,32.28,16543.0
2010-08-13,32.28,33.09,32.28,33.09,7619.0
2010-08-16,32.98,33.33,32.98,33.33,14521.0
2010-08-17,34.96,37.17,34.96,37.06,77377.0
2010-08-18,37.29,37.41,35.89,36.82,29401.0
2010-08-19,36.82,36.82,35.08,35.66,10423.0
2010-08-20,35.43,35.66,34.61,35.19,13175.0
2010-08-23,34.96,35.43,34.96,34.96,3958.0
2010-08-24,34.96,34.96,34.14,34.26,7853.0
2010-08-25,34.26,34.73,33.79,34.2,5129.0
2010-08-26,34.2,34.32,34.03,34.03,6372.0
2010-08-27,34.03,34.14,33.79,33.79,3513.0
2010-08-30,34.61,34.61,33.79,34.14,2325.0
2010-08-31,33.44,34.03,33.44,34.03,2721.0
2010-09-01,34.03,34.49,34.03,34.49,1412.0
2010-09-02,34.96,34.96,34.96,34.96,172.0
2010-09-03,35.19,35.19,34.84,34.84,2015.0
2010-09-06,34.9,36.59,34.9,36.12,3644.0
2010-09-07,36.12,36.12,36.12,36.12,1584.0
2010-09-08,36.01,36.01,35.54,35.54,26866.0
2010-09-09,35.89,37.06,35.77,36.59,19894.0
2010-09-10,36.36,36.71,36.36,36.36,14787.0
2010-09-13,36.36,36.82,36.36,36.82,44570.0
2010-09-14,36.47,36.59,36.24,36.24,3720.0
2010-09-15,35.89,36.12,34.73,36.12,6775.0
2010-09-16,35.89,35.89,35.43,35.43,2411.0
2010-09-17,35.43,36.24,35.43,36.24,2790.0
2010-09-20,36.36,36.36,36.24,36.36,1491.0
2010-09-21,36.24,36.24,35.54,35.89,1512.0
2010-09-22,35.77,35.77,35.77,35.77,858.0
2010-09-23,35.54,35.54,35.54,35.54,703.0
2010-09-24,35.66,36.12,35.66,36.12,54420.0
2010-09-27,36.36,36.59,36.36,36.59,4722.0
2010-09-28,36.59,36.82,36.36,36.82,6885.0
2010-09-29,37.06,37.06,36.59,37.06,4922.0
2010-09-30,37.29,37.52,37.06,37.52,23387.0
2010-10-01,37.64,37.76,37.41,37.52,18596.0
2010-10-04,37.52,37.76,36.94,36.94,30548.0
2010-10-05,36.94,37.29,36.71,36.71,5101.0
2010-10-06,37.06,37.52,36.94,37.52,4336.0
2010-10-07,36.82,36.82,36.82,36.82,7.0
2010-10-08,37.06,37.06,37.06,37.06,344.0
2010-10-11,37.64,37.64,37.29,37.29,1612.0
2010-10-12,37.52,37.64,37.29,37.64,1154.0
2010-10-13,38.22,38.45,38.22,38.34,7760.0
2010-10-14,38.45,38.45,37.76,37.76,9162.0
2010-10-15,37.76,37.76,37.64,37.76,4822.0
2010-10-18,37.87,38.92,37.87,38.92,22967.0
2010-10-19,40.32,41.95,39.97,40.09,78589.0
2010-10-20,40.09,40.2,39.27,40.2,24558.0
2010-10-21,40.09,40.44,39.97,40.44,13243.0
2010-10-22,40.32,40.44,39.97,40.44,8149.0
2010-10-25,40.09,40.09,39.62,39.85,10891.0
2010-10-26,39.74,39.85,39.62,39.85,55123.0
2010-10-27,39.62,39.97,39.62,39.85,6751.0
2010-10-28,40.09,40.2,40.09,40.09,14638.0
2010-10-29,40.09,40.09,39.97,40.09,2824.0
2010-11-01,40.09,40.32,40.09,40.09,6417.0
2010-11-02,40.09,40.2,39.62,40.09,14294.0
2010-11-03,40.2,40.2,39.85,39.85,11366.0
2010-11-04,40.2,40.55,39.85,40.09,44783.0
2010-11-05,40.09,40.32,39.97,39.97,6131.0
2010-11-08,40.32,40.44,40.09,40.32,28168.0
2010-11-09,41.72,41.72,40.32,40.44,32222.0
2010-11-10,40.79,40.9,39.97,39.97,24544.0
2010-11-11,39.85,40.09,39.74,39.74,8904.0
2010-11-12,40.09,40.9,40.09,40.9,4485.0
2010-11-15,40.9,40.9,40.79,40.79,1257.0
2010-11-16,40.32,41.02,40.2,40.32,7781.0
2010-11-17,40.32,40.32,40.2,40.32,1216.0
2010-11-18,40.44,41.02,40.32,40.32,35511.0
2010-11-19,40.44,40.55,40.44,40.55,5718.0
2010-11-22,40.79,41.13,40.79,41.13,3961.0
2010-11-23,41.02,41.25,40.55,40.55,34275.0
2010-11-24,40.79,40.9,40.2,40.55,44639.0
2010-11-25,40.79,40.79,39.39,39.39,36837.0
2010-11-26,39.15,40.09,38.57,39.97,42327.0
2010-11-29,40.09,40.09,39.15,39.15,7526.0
2010-11-30,39.5,40.09,39.5,39.85,10936.0
2010-12-01,39.62,41.02,39.62,40.79,33489.0
2010-12-02,40.9,41.48,40.79,41.13,14046.0
2010-12-03,41.13,41.25,41.02,41.13,11935.0
2010-12-06,41.48,41.48,40.9,41.37,10030.0
2010-12-07,40.79,41.25,40.55,41.02,10925.0
2010-12-08,41.02,41.02,40.67,40.67,8118.0
2010-12-09,40.67,41.02,40.67,41.02,6548.0
2010-12-10,40.79,41.48,40.55,41.13,11425.0
2010-12-13,41.25,41.48,41.25,41.48,5652.0
2010-12-14,41.25,41.25,40.9,41.25,9458.0
2010-12-15,41.48,41.72,41.48,41.72,7498.0
2010-12-16,41.95,43.12,41.95,43.12,26659.0
2010-12-17,43.12,43.82,43.12,43.82,12940.0
2010-12-20,43.47,44.75,43.47,44.51,30403.0
2010-12-21,44.51,46.26,44.51,46.26,11511.0
2010-12-22,46.84,47.31,46.26,46.5,28281.0
2010-12-23,46.26,47.54,46.26,47.54,9871.0
2010-12-27,47.08,47.78,47.08,47.78,19874.0
2010-12-28,47.78,47.78,47.31,47.78,6107.0
2010-12-29,47.78,48.94,47.78,48.01,8294.0
2010-12-30,47.89,49.53,47.89,49.53,8769.0
2011-01-03,49.41,50.57,48.59,48.59,31392.0
2011-01-04,48.48,48.48,47.31,48.01,35046.0
2011-01-05,47.66,47.66,46.96,46.96,3530.0
2011-01-07,46.96,47.78,46.96,47.08,7412.0
2011-01-10,47.54,47.54,47.54,47.54,344.0
2011-01-11,47.78,48.71,47.78,48.48,15007.0
2011-01-12,48.01,48.48,48.01,48.48,9892.0
2011-01-13,48.59,50.11,48.59,50.11,20635.0
2011-01-14,49.18,50.57,49.18,50.34,13853.0
2011-01-17,50.34,50.57,49.64,49.76,25333.0
2011-01-18,49.64,49.64,48.48,49.18,9207.0
2011-01-19,48.36,48.71,47.78,47.78,13777.0
2011-01-20,47.78,47.78,46.61,46.61,6200.0
2011-01-21,46.61,48.36,46.61,48.36,4774.0
2011-01-24,48.59,48.59,48.01,48.24,5966.0
2011-01-25,48.48,48.48,48.24,48.24,8308.0
2011-01-26,48.24,48.71,48.24,48.71,49309.0
2011-01-27,48.48,49.29,48.48,48.94,5549.0
2011-01-28,48.71,48.71,47.78,48.48,12899.0
2011-01-31,48.24,48.24,47.54,48.24,1212.0
2011-02-01,47.89,47.89,47.08,47.78,2173.0
2011-02-02,47.54,47.78,46.61,47.43,4974.0
2011-02-03,47.43,47.54,46.73,46.73,6613.0
