Date,Open,High,Low,Close,Volume
2010-01-04,39.83,40.65,39.63,40.65,10441.0
2010-01-05,40.65,40.96,40.45,40.76,18520.0
2010-01-07,41.07,41.78,40.86,41.78,36552.0
2010-01-08,41.37,42.71,41.37,42.71,44664.0
2010-01-11,43.02,44.35,43.02,43.94,58578.0
2010-01-12,43.94,43.94,41.89,43.12,28698.0
2010-01-13,42.71,43.53,42.5,43.53,36706.0
2010-01-14,43.84,43.94,43.02,43.94,15448.0
2010-01-15,43.94,44.15,43.12,44.15,21645.0
2010-01-18,43.94,44.97,43.32,44.97,28350.0
2010-01-19,44.76,46.1,43.94,46.1,65175.0
2010-01-20,45.17,45.17,42.71,43.53,80111.0
2010-01-21,43.32,43.43,41.99,43.32,116199.0
2010-01-22,43.12,43.53,42.3,43.53,85588.0
2010-01-25,43.12,43.12,41.78,42.91,156316.0
2010-01-26,42.3,42.3,41.68,42.3,141151.0
2010-01-27,41.89,43.02,41.89,43.02,24207.0
2010-01-28,43.12,43.73,42.71,43.12,14597.0
2010-01-29,42.81,42.91,41.48,41.99,54203.0
2010-02-01,41.99,42.81,41.17,42.81,10398.0
2010-02-02,42.3,43.12,42.19,43.12,34924.0
2010-02-03,42.81,43.73,42.81,43.73,95261.0
2010-02-04,43.63,43.84,43.43,43.43,20722.0
2010-02-05,43.32,45.17,42.3,43.32,21672.0
2010-02-08,43.43,44.86,42.71,43.12,33951.0
2010-02-09,44.66,44.66,42.91,44.66,30810.0
2010-02-10,44.56,45.17,44.25,44.35,23481.0
2010-02-11,45.07,45.07,44.56,44.76,15554.0
2010-02-12,44.76,45.17,43.53,44.35,4487.0
2010-02-15,43.94,44.86,42.5,43.53,10619.0
2010-02-16,43.12,43.94,42.4,43.32,8525.0
2010-02-17,45.07,45.07,43.12,43.53,15400.0
2010-02-18,44.35,44.45,41.17,43.32,34316.0
2010-02-19,43.12,43.12,41.48,42.61,61460.0
2010-02-22,42.61,43.73,41.48,41.89,25832.0
2010-02-23,41.48,41.99,40.14,40.65,26529.0
