Date,Open,High,Low,Close,Volume
2018-03-27,48.0,48.0,41.0,42.0,6945118.0
2018-03-28,42.0,42.4,41.0,41.0,1851905.0
2018-03-29,41.96,42.8,41.8,42.49,277816.0
2018-04-03,42.4,42.4,41.4,41.8,438636.0
2018-04-04,42.37,42.37,37.0,39.0,1068726.0
2018-04-05,40.47,41.99,39.04,41.09,1260434.0
2018-04-06,41.01,41.25,39.6,40.0,238810.0
2018-04-09,40.06,40.75,39.9,40.0,212706.0
2018-04-10,39.31,40.2,38.69,38.7,440630.0
2018-04-11,39.0,39.1,37.24,37.47,145584.0
2018-04-12,37.9,38.62,36.0,36.25,353625.0
2018-04-13,36.99,37.0,33.8,34.68,622590.0
2018-04-16,35.7,36.78,35.19,35.7,243510.0
2018-04-17,36.5,37.5,36.0,36.8,361168.0
2018-04-18,36.8,37.38,36.5,37.0,28228.0
2018-04-19,36.7,37.9,36.7,37.79,282624.0
2018-04-20,37.7,37.7,36.62,36.9,305312.0
2018-04-23,37.31,37.5,36.5,36.6,170050.0
2018-04-24,35.9,37.08,35.9,36.49,180094.0
2018-04-25,36.5,36.5,35.45,35.8,215555.0
2018-04-26,35.81,37.67,35.7,37.01,223887.0
2018-04-27,39.0,40.5,38.22,39.9,1235709.0
2018-04-30,39.78,40.1,38.01,38.3,71834.0
2018-05-02,38.51,40.7,38.51,40.12,424643.0
2018-05-03,40.12,41.5,40.08,40.08,101710.0
2018-05-04,40.5,40.5,39.23,39.23,85275.0
2018-05-07,41.01,43.5,40.08,43.25,213802.0
2018-05-08,43.25,43.25,41.21,41.5,243928.0
2018-05-09,41.51,42.33,39.74,40.69,176021.0
2018-05-11,40.69,44.0,40.69,43.4,340126.0
2018-05-14,43.4,43.4,41.25,41.5,109299.0
2018-05-15,41.74,41.74,39.5,39.5,109662.0
2018-05-16,39.51,41.26,39.51,40.5,258574.0
2018-05-17,40.51,41.5,40.5,40.5,98422.0
2018-05-18,40.51,41.4,40.5,40.95,227196.0
2018-05-21,41.5,41.62,41.0,41.2,86577.0
2018-05-22,41.78,41.78,41.2,41.2,145674.0
2018-05-23,40.8,41.44,40.8,41.3,42644.0
2018-05-24,41.5,41.8,41.2,41.6,104849.0
2018-05-25,42.0,42.0,41.3,41.3,209237.0
2018-05-28,41.3,41.3,40.0,40.48,27854.0
2018-05-29,40.48,41.49,40.0,40.2,40235.0
2018-05-30,40.2,40.75,40.0,40.5,6346.0
2018-05-31,40.6,41.82,40.5,41.82,225648.0
2018-06-01,41.85,41.96,40.74,41.07,769022.0
2018-06-04,41.0,41.2,40.25,41.2,35664.0
2018-06-05,41.17,42.9,40.12,42.9,1476024.0
2018-06-06,42.9,42.9,42.9,42.9,0.0
2018-06-07,42.9,45.0,42.9,43.97,147312.0
2018-06-08,43.97,44.2,42.5,42.51,86778.0
2018-06-11,42.51,43.49,42.51,43.49,19684.0
2018-06-12,43.47,43.47,42.5,43.47,15974.0
2018-06-13,42.0,43.4,42.0,43.4,53744.0
2018-06-14,43.4,43.4,42.0,42.76,12943.0
2018-06-15,42.76,45.0,42.47,45.0,347469.0
2018-06-18,45.0,45.0,44.24,45.0,9173.0
2018-06-19,45.0,46.0,44.18,46.0,23003.0
2018-06-20,45.8,47.0,44.45,46.5,49620.0
2018-06-21,46.5,46.5,43.79,43.79,24999.0
2018-06-22,43.79,43.79,43.79,43.79,0.0
2018-06-25,43.79,43.79,40.33,41.3,187884.0
2018-06-26,42.5,42.5,41.0,41.38,437904.0
2018-06-27,41.38,42.97,40.0,41.1,82359.0
2018-06-28,42.81,42.81,40.0,40.5,42282.0
2018-06-29,42.8,43.49,40.51,41.83,30740.0
2018-07-02,43.33,43.33,40.59,41.5,17530.0
2018-07-03,41.7,42.34,39.0,39.0,105715.0
2018-07-04,40.06,41.0,39.01,40.0,54067.0
2018-07-05,39.6,39.6,38.14,38.31,30701.0
2018-07-06,39.5,39.5,38.35,38.4,14408.0
2018-07-09,38.1,38.99,37.25,37.25,65034.0
2018-07-10,37.25,38.12,37.25,37.51,17912.0
2018-07-11,37.75,37.75,36.6,37.0,130918.0
2018-07-12,36.5,37.19,36.5,36.5,40297.0
2018-07-13,36.02,37.0,36.02,36.6,18053.0
2018-07-16,36.5,37.38,36.15,36.5,32668.0
2018-07-17,36.3,37.26,36.01,36.86,12065.0
2018-07-18,36.01,37.88,36.01,37.42,30657.0
2018-07-19,36.21,37.5,36.21,36.46,46989.0
2018-07-20,36.99,39.0,36.99,38.17,184351.0
2018-07-23,38.01,38.8,37.5,37.64,181938.0
2018-07-24,38.99,38.99,37.71,38.59,17413.0
2018-07-25,38.59,39.9,38.0,39.8,149407.0
2018-07-26,39.9,40.0,38.6,38.6,21050.0
2018-07-27,38.7,39.74,38.7,39.5,3607.0
2018-07-30,40.48,40.48,38.51,38.7,14558.0
2018-07-31,38.6,39.8,38.35,38.65,22221.0
2018-08-01,40.47,40.47,38.5,38.7,7053.0
2018-08-02,38.5,38.69,38.35,38.69,10763.0
2018-08-03,38.69,39.49,38.12,38.5,9483.0
2018-08-06,38.35,38.53,38.35,38.35,46285.0
2018-08-07,38.3,39.99,38.3,38.6,3946.0
2018-08-08,39.0,39.9,38.4,39.9,21345.0
2018-08-09,39.89,39.89,38.5,39.0,35591.0
2018-08-10,39.0,39.4,38.55,38.9,17995.0
2018-08-13,38.5,38.8,38.31,38.42,14840.0
2018-08-14,38.31,39.6,38.3,39.6,27767.0
2018-08-15,39.6,39.6,38.51,38.6,15884.0
2018-08-16,39.4,39.79,38.6,39.79,6195.0
2018-08-17,39.6,39.6,39.0,39.5,28684.0
2018-08-20,39.4,39.4,38.8,39.4,17005.0
2018-08-21,39.22,39.4,39.2,39.4,6285.0
2018-08-22,37.5,39.87,37.5,39.87,18724.0
2018-08-23,37.5,39.5,37.5,39.5,15945.0
2018-08-24,39.4,39.69,37.5,39.69,33198.0
2018-08-27,39.6,39.6,38.01,39.0,18024.0
2018-08-28,39.01,39.21,38.01,39.01,11307.0
2018-08-29,39.49,39.49,38.5,39.01,6502.0
2018-08-30,38.85,39.7,37.81,39.7,8431.0
2018-08-31,38.6,39.9,38.6,39.9,13904.0
2018-09-03,38.81,39.89,38.81,39.05,20023.0
2018-09-04,38.8,39.85,37.6,37.83,6860.0
