Date,Open,High,Low,Close,Volume
2010-01-04,29.93,30.21,29.22,29.93,761110.0
2010-01-05,29.93,30.07,29.51,29.79,402564.0
2010-01-07,30.07,30.07,29.51,29.79,562587.0
2010-01-08,29.79,29.93,29.37,29.79,756060.0
2010-01-11,29.65,30.07,29.51,29.79,521845.0
2010-01-12,29.79,29.79,28.52,28.52,1025748.0
2010-01-13,28.52,28.8,28.38,28.66,469759.0
2010-01-14,28.94,29.51,28.8,29.37,493743.0
2010-01-15,29.65,29.65,29.08,29.22,475778.0
2010-01-18,29.51,30.07,29.22,29.65,495802.0
2010-01-19,29.65,29.65,28.8,29.37,437254.0
2010-01-20,29.51,29.51,28.52,28.66,323753.0
2010-01-21,28.8,29.22,28.52,28.52,355748.0
2010-01-22,28.24,28.38,27.37,27.82,425264.0
2010-01-25,27.37,28.38,26.75,27.54,311962.0
2010-01-26,27.43,28.38,26.25,28.04,1016748.0
2010-01-27,27.88,28.38,27.2,28.1,441031.0
2010-01-28,28.8,29.37,28.38,28.52,612704.0
2010-01-29,28.66,28.94,28.1,28.66,400331.0
2010-02-01,28.66,29.93,28.38,29.93,463805.0
2010-02-02,29.93,30.21,29.65,30.21,503154.0
2010-02-03,30.21,30.21,29.08,29.37,365086.0
2010-02-04,29.37,29.65,28.24,28.38,353574.0
2010-02-05,28.1,28.38,27.43,27.99,584971.0
2010-02-08,28.1,28.38,26.75,27.59,405677.0
2010-02-09,27.09,28.52,27.09,27.93,402468.0
2010-02-10,27.99,28.38,27.48,28.1,286237.0
2010-02-11,28.1,30.07,27.99,28.38,944173.0
2010-02-12,28.8,29.22,27.54,27.82,632312.0
2010-02-15,28.1,28.1,26.81,26.92,373840.0
2010-02-16,27.09,27.82,26.81,27.65,521975.0
2010-02-17,28.1,28.94,27.76,28.52,403559.0
2010-02-18,28.8,29.79,28.52,29.79,662088.0
2010-02-19,29.65,29.65,28.94,29.08,601376.0
2010-02-22,29.37,29.93,29.08,29.79,573779.0
2010-02-23,29.79,29.79,29.08,29.08,264993.0
2010-02-24,29.08,29.37,28.38,28.52,280282.0
2010-02-25,28.66,28.66,27.76,27.99,505450.0
2010-02-26,28.24,28.38,27.93,28.24,267429.0
2010-03-01,28.24,28.52,27.76,28.1,535539.0
2010-03-02,28.1,28.38,27.99,28.24,469985.0
2010-03-03,28.1,28.52,27.93,28.24,515402.0
2010-03-04,28.24,28.24,27.76,27.76,752570.0
2010-03-05,28.1,29.37,28.04,29.22,1154121.0
2010-03-08,29.37,29.65,29.08,29.65,567271.0
2010-03-09,29.37,29.65,28.94,29.65,282117.0
2010-03-10,29.79,30.35,29.79,30.35,670297.0
2010-03-11,30.35,30.63,29.79,30.49,690703.0
2010-03-12,30.49,31.47,30.35,31.05,983566.0
2010-03-15,31.19,31.47,30.91,31.33,621993.0
2010-03-16,31.33,32.32,31.33,32.32,925502.0
2010-03-17,32.32,33.3,32.03,32.03,891726.0
2010-03-18,31.89,33.44,31.33,33.02,1145962.0
2010-03-19,33.16,33.3,32.18,32.18,731962.0
2010-03-22,32.18,32.74,31.47,32.6,540676.0
2010-03-23,32.74,33.02,32.18,32.32,311018.0
2010-03-24,32.32,32.74,31.61,32.6,643760.0
2010-03-25,32.32,33.3,32.32,33.3,566096.0
2010-03-26,33.44,33.44,32.6,33.16,722986.0
2010-03-29,33.44,34.14,33.02,33.3,704214.0
2010-03-30,33.58,33.72,32.88,32.88,682646.0
2010-03-31,33.16,33.44,32.74,33.02,241974.0
2010-04-01,33.02,33.44,33.02,33.44,113037.0
2010-04-06,33.44,33.72,33.3,33.72,1034996.0
2010-04-07,33.58,35.97,33.58,35.97,1167474.0
2010-04-08,35.41,35.55,35.13,35.41,275872.0
2010-04-09,35.55,36.25,35.13,35.41,289477.0
2010-04-12,35.41,35.55,34.56,35.13,461722.0
2010-04-13,34.7,34.84,33.58,34.28,530145.0
2010-04-14,34.42,34.7,34.28,34.42,359627.0
2010-04-15,34.28,35.13,34.14,34.28,594922.0
2010-04-16,33.86,34.56,33.44,34.14,639836.0
2010-04-19,32.88,33.3,32.46,32.88,744160.0
2010-04-20,33.16,34.28,33.16,34.14,646884.0
2010-04-21,34.28,34.56,33.86,34.42,334586.0
2010-04-22,34.28,34.28,33.16,33.44,287591.0
2010-04-23,33.58,34.14,33.02,34.0,303622.0
2010-04-26,33.86,34.14,33.44,33.72,335414.0
2010-04-27,34.56,35.27,33.16,33.58,615642.0
2010-04-28,34.14,34.14,31.75,32.32,631329.0
2010-04-29,32.6,33.3,30.21,31.33,1029761.0
2010-04-30,31.75,32.46,31.47,32.18,387516.0
2010-05-03,31.75,32.03,31.05,31.75,383561.0
2010-05-04,31.47,31.75,29.51,29.65,1000033.0
2010-05-05,29.57,29.57,28.15,29.0,1899141.0
2010-05-06,28.32,28.58,27.01,27.35,1795722.0
2010-05-07,26.05,27.07,24.91,25.93,1712213.0
2010-05-10,27.58,29.0,27.24,28.44,1252055.0
2010-05-11,28.58,28.58,27.41,27.87,575352.0
2010-05-12,27.92,28.72,27.64,28.44,174145.0
2010-05-14,28.86,28.86,27.35,27.58,618089.0
2010-05-17,27.01,27.75,26.16,26.67,934863.0
2010-05-18,27.13,28.58,27.13,27.87,967415.0
2010-05-19,27.7,27.87,26.16,26.5,913761.0
2010-05-20,26.79,27.07,25.36,26.33,772997.0
2010-05-21,25.76,26.56,25.36,26.44,1109925.0
2010-05-24,26.79,27.24,26.5,26.84,597612.0
2010-05-25,26.33,26.33,25.08,25.42,1336344.0
2010-05-26,26.22,27.01,25.88,26.79,671711.0
2010-05-27,26.84,27.87,26.56,27.81,595259.0
2010-05-28,28.44,28.72,27.53,27.64,616608.0
2010-05-31,27.87,29.15,27.87,28.72,514638.0
2010-06-01,28.58,28.58,27.47,28.32,893050.0
2010-06-02,28.21,28.86,27.87,28.72,381138.0
2010-06-03,29.57,29.57,29.0,29.29,507955.0
2010-06-04,29.57,29.57,28.09,28.38,610404.0
2010-06-07,27.47,28.72,27.41,28.09,559322.0
2010-06-08,28.32,28.58,27.41,27.58,796438.0
2010-06-09,27.75,28.09,27.41,28.04,469478.0
2010-06-10,27.98,29.57,27.58,29.29,811204.0
2010-06-11,29.43,30.14,28.86,29.29,720507.0
2010-06-14,29.43,30.14,29.43,30.14,513396.0
2010-06-15,30.0,30.28,29.72,30.14,865015.0
2010-06-16,30.28,30.43,29.43,29.86,334790.0
2010-06-17,29.72,30.14,29.0,29.15,417568.0
2010-06-18,29.15,29.43,28.58,28.86,636076.0
2010-06-21,29.29,30.43,29.29,30.14,626495.0
2010-06-22,29.57,30.43,29.57,30.43,560752.0
2010-06-23,30.14,30.14,29.29,29.43,490411.0
2010-06-24,29.86,29.86,28.15,28.44,589009.0
2010-06-28,28.72,28.72,27.81,28.09,396245.0
2010-06-29,27.81,27.81,26.22,26.67,684200.0
2010-06-30,26.44,27.7,26.22,27.01,475486.0
2010-07-01,26.62,26.84,25.93,26.5,895502.0
2010-07-02,26.62,26.84,25.82,25.88,413279.0
2010-07-05,25.93,26.05,25.31,25.59,407219.0
2010-07-06,25.65,26.84,25.65,26.16,396555.0
2010-07-07,26.22,26.9,25.71,26.62,494349.0
2010-07-08,26.79,27.01,25.99,25.99,654835.0
2010-07-09,26.5,27.01,26.22,26.96,304543.0
2010-07-12,27.07,27.13,26.16,26.39,385947.0
2010-07-13,26.39,27.41,26.39,27.07,338886.0
2010-07-14,27.58,27.75,26.79,27.35,339209.0
2010-07-15,27.18,27.58,26.84,26.96,299786.0
2010-07-16,27.18,27.18,26.16,26.33,319000.0
2010-07-19,26.67,26.73,25.71,26.39,390209.0
2010-07-20,26.67,26.67,26.1,26.33,355789.0
2010-07-21,26.5,27.35,26.5,27.3,512222.0
2010-07-22,27.41,27.64,26.73,27.13,898346.0
2010-07-23,27.24,27.3,26.67,26.79,596350.0
2010-07-26,26.96,27.24,26.67,26.84,737558.0
2010-07-27,26.9,27.13,26.67,26.73,527901.0
2010-07-28,26.9,26.9,26.27,26.62,396655.0
2010-07-29,26.62,26.73,26.5,26.56,318061.0
2010-07-30,26.62,26.62,26.22,26.56,397928.0
2010-08-02,26.73,27.07,26.62,26.73,556312.0
2010-08-03,26.73,26.9,26.62,26.73,418663.0
2010-08-04,26.73,26.96,26.67,26.73,1341761.0
2010-08-05,26.79,27.13,26.79,26.79,875633.0
2010-08-06,26.79,27.01,26.67,26.79,871248.0
2010-08-09,27.01,27.13,26.79,26.96,526746.0
2010-08-10,26.96,26.96,26.39,26.39,326297.0
2010-08-11,26.44,26.44,25.36,25.36,592622.0
2010-08-12,25.19,25.71,24.51,24.68,730648.0
2010-08-13,25.02,25.02,24.51,24.85,330177.0
2010-08-16,25.02,25.25,24.57,25.02,273281.0
2010-08-17,25.19,25.71,24.85,25.54,481201.0
2010-08-18,25.36,25.99,25.36,25.76,426624.0
2010-08-19,25.76,26.05,24.97,25.02,567151.0
2010-08-20,25.02,25.02,23.89,23.89,809742.0
2010-08-23,23.89,24.4,23.6,24.28,578880.0
2010-08-24,24.11,24.11,23.32,23.49,563712.0
2010-08-25,23.66,23.83,22.52,23.26,763880.0
2010-08-26,23.43,23.72,23.32,23.66,417243.0
2010-08-27,23.6,24.06,23.54,23.94,390282.0
2010-08-30,24.34,24.34,23.66,24.06,160830.0
2010-08-31,23.72,24.11,23.49,24.11,550002.0
2010-09-01,23.94,25.25,23.94,25.25,587335.0
2010-09-02,25.25,26.05,25.08,25.71,677832.0
2010-09-03,25.59,26.33,25.59,26.27,686087.0
2010-09-06,26.1,26.39,26.05,26.33,402861.0
2010-09-07,26.22,26.33,25.65,25.71,412805.0
2010-09-08,25.59,25.93,25.42,25.71,259808.0
2010-09-09,25.71,26.27,25.42,26.16,421031.0
2010-09-10,26.16,26.5,25.99,26.16,388276.0
2010-09-13,26.33,26.5,26.05,26.1,260410.0
2010-09-14,25.88,26.39,25.76,26.33,530875.0
2010-09-15,26.5,27.3,26.44,27.07,819758.0
2010-09-16,26.79,27.81,26.79,26.96,1154180.0
2010-09-17,27.35,28.32,27.35,27.92,1254017.0
2010-09-20,27.92,29.29,27.92,29.29,2327722.0
2010-09-21,29.0,29.15,28.44,28.86,1838582.0
2010-09-22,28.86,29.15,27.64,27.87,1906042.0
2010-09-23,28.09,28.26,27.3,27.81,952350.0
2010-09-24,27.81,28.58,27.64,28.38,436824.0
2010-09-27,28.58,29.29,28.32,28.32,378926.0
2010-09-28,28.32,29.29,28.09,29.29,895030.0
2010-09-29,29.15,29.57,28.58,28.72,569697.0
2010-09-30,28.72,29.0,28.44,29.0,387538.0
2010-10-01,29.0,29.15,28.58,29.0,464058.0
2010-10-04,28.86,29.0,28.15,28.38,304484.0
2010-10-05,28.21,28.86,28.15,28.72,320291.0
2010-10-06,28.72,29.0,28.38,28.44,563179.0
2010-10-07,29.0,29.57,28.72,29.43,1321414.0
2010-10-08,29.57,29.72,29.15,29.29,248397.0
2010-10-11,29.57,29.72,29.29,29.43,225091.0
2010-10-12,29.43,29.43,28.72,29.15,334005.0
2010-10-13,29.15,29.57,29.15,29.29,322480.0
2010-10-14,29.43,29.43,29.0,29.15,598189.0
2010-10-15,29.15,29.29,28.58,29.0,273269.0
2010-10-18,28.72,28.86,28.44,28.86,211409.0
2010-10-19,28.58,29.72,28.58,29.43,588590.0
2010-10-20,29.29,29.86,29.15,29.72,374705.0
2010-10-21,29.86,30.28,29.57,30.0,588584.0
2010-10-22,30.28,30.43,30.0,30.14,149128.0
2010-10-25,30.14,30.43,29.86,30.43,288168.0
2010-10-26,30.57,30.71,30.28,30.71,174595.0
2010-10-27,30.71,30.99,30.28,30.85,413922.0
2010-10-28,30.85,30.99,29.29,30.57,747747.0
2010-10-29,30.85,31.56,29.72,30.57,963421.0
2010-11-01,30.99,31.56,30.85,31.14,744138.0
2010-11-02,31.14,31.56,30.99,31.42,443614.0
2010-11-03,31.56,31.85,31.28,31.85,541743.0
2010-11-04,31.85,32.13,31.14,31.56,551980.0
2010-11-05,31.99,31.99,31.56,31.99,340697.0
2010-11-08,31.99,33.98,31.85,33.7,908114.0
2010-11-09,33.84,34.12,33.13,33.55,570133.0
