Date,Open,High,Low,Close,Volume
2018-03-14,22.94,23.33,22.54,22.94,8372.0
2018-03-15,22.94,23.33,21.76,23.33,7914.0
2018-03-16,23.33,23.33,22.74,23.33,10735.0
2018-03-19,23.33,24.31,21.76,22.94,42256.0
2018-03-20,23.92,23.92,22.15,22.74,41782.0
2018-03-21,23.33,23.33,21.76,22.35,50805.0
2018-03-22,22.35,22.35,20.58,21.17,17645.0
2018-03-23,21.17,21.17,20.19,20.97,23011.0
2018-03-26,20.78,20.97,20.19,20.97,8333.0
2018-03-27,20.97,20.97,19.99,20.58,17334.0
2018-03-28,20.39,20.97,19.99,20.78,5628.0
2018-03-29,20.78,21.17,20.58,20.97,3806.0
2018-04-03,20.78,20.78,19.99,20.58,27540.0
2018-04-04,20.58,20.97,20.58,20.97,8846.0
2018-04-05,20.78,21.37,20.39,21.17,8859.0
2018-04-06,21.76,22.35,21.76,21.95,2061.0
2018-04-09,21.95,22.15,21.76,21.76,918.0
2018-04-10,21.37,21.37,21.37,21.37,73.0
2018-04-11,21.17,22.15,21.17,22.15,353738.0
2018-04-12,21.95,23.33,21.56,21.56,98924.0
2018-04-13,23.13,23.13,21.95,22.54,597724.0
2018-04-16,22.94,23.52,22.94,23.13,24601.0
2018-04-17,23.33,23.33,23.13,23.33,937.0
2018-04-18,21.56,26.27,21.56,24.5,9675.0
2018-04-19,25.09,25.09,23.92,24.5,21150.0
2018-04-20,24.11,24.5,24.11,24.5,5040.0
2018-04-23,24.5,24.5,22.54,24.5,9107.0
2018-04-24,24.5,24.5,23.33,24.11,1355.0
2018-04-25,23.52,25.09,23.52,24.5,13393.0
2018-04-26,25.88,29.01,24.7,25.09,118249.0
2018-04-27,25.68,25.68,24.9,25.29,134389.0
2018-04-30,25.29,25.29,24.5,25.29,51365.0
2018-05-02,25.48,25.48,24.5,25.29,60441.0
2018-05-03,24.7,24.7,24.11,24.5,48083.0
2018-05-04,24.11,24.11,23.33,23.52,32101.0
2018-05-07,23.72,23.72,23.33,23.52,1008862.0
2018-05-08,24.5,25.68,24.5,25.09,23727.0
2018-05-09,25.09,25.48,25.09,25.29,4230.0
2018-05-11,25.68,26.07,24.9,25.48,18420.0
2018-05-14,26.46,26.46,23.52,26.46,25960.0
