Date,Open,High,Low,Close,Volume
2009-12-03,68.96,69.17,67.71,67.71,18623.0
2009-12-04,68.13,69.17,68.13,68.75,13696.0
2009-12-07,68.54,69.17,67.71,68.75,12273.0
2009-12-08,68.54,68.75,67.71,68.75,12458.0
2009-12-09,68.75,68.96,67.71,68.54,10985.0
2009-12-10,67.92,68.75,67.71,68.54,13282.0
2009-12-11,68.96,68.96,67.08,67.08,9251.0
2009-12-14,67.71,68.54,67.71,68.33,7502.0
2009-12-15,68.33,68.54,66.24,68.54,22563.0
2009-12-16,66.87,69.17,66.87,68.54,63585.0
2009-12-17,67.29,68.54,67.29,68.54,19334.0
2009-12-18,68.13,68.54,67.29,67.5,9107.0
2009-12-21,67.29,68.54,66.45,67.71,19098.0
2009-12-22,67.71,67.92,66.87,66.87,20714.0
2009-12-23,67.29,67.29,66.45,66.87,7324.0
2009-12-28,66.66,66.66,65.2,66.04,19885.0
2009-12-29,65.41,65.62,63.74,64.15,53039.0
2009-12-30,64.15,66.87,63.53,66.87,36206.0
2010-01-04,66.87,69.38,66.87,69.38,29228.0
2010-01-05,69.38,69.8,67.5,69.17,11241.0
2010-01-07,68.54,70.22,67.92,70.01,16526.0
2010-01-08,69.38,69.8,68.75,69.38,17508.0
2010-01-11,69.17,71.89,68.54,71.05,50619.0
2010-01-12,71.05,71.05,69.59,70.84,14693.0
2010-01-13,70.01,71.47,70.01,71.05,51111.0
2010-01-14,71.05,71.89,70.42,71.05,58173.0
2010-01-15,71.05,71.05,69.59,70.84,12880.0
2010-01-18,70.84,71.26,69.17,71.05,22245.0
2010-01-19,71.05,74.39,71.05,73.56,59088.0
2010-01-20,73.35,74.81,72.72,74.19,44474.0
2010-01-21,73.77,74.19,72.51,72.72,20599.0
2010-01-22,71.89,73.35,71.47,71.47,12812.0
2010-01-25,72.72,72.72,71.68,72.3,16987.0
2010-01-26,72.3,72.72,71.26,71.89,4384.0
2010-01-27,71.89,72.51,71.05,71.89,6593.0
2010-01-28,71.68,73.35,71.68,72.93,16184.0
2010-01-29,73.14,73.77,72.3,73.77,35400.0
2010-02-01,72.51,75.02,72.51,75.02,41736.0
2010-02-02,75.23,75.23,73.56,75.23,45825.0
2010-02-03,74.81,74.81,73.77,74.39,11854.0
2010-02-04,73.98,75.23,73.14,74.81,34628.0
2010-02-05,72.3,74.81,72.3,74.81,22261.0
2010-02-08,74.81,75.65,72.72,75.23,43152.0
2010-02-09,74.39,78.37,73.56,77.53,36754.0
2010-02-10,76.07,77.32,76.07,77.11,13516.0
2010-02-11,77.32,78.16,75.65,78.16,35229.0
2010-02-12,77.74,78.37,74.39,75.23,34838.0
2010-02-15,75.44,76.9,73.56,75.23,18826.0
2010-02-16,74.6,77.32,72.93,76.9,24918.0
2010-02-17,75.23,77.74,75.23,76.9,11454.0
2010-02-18,77.32,77.53,73.77,74.81,21445.0
2010-02-19,75.23,77.95,73.77,74.39,61366.0
2010-02-22,77.32,79.2,75.23,76.28,73130.0
2010-02-23,75.65,77.74,75.44,75.44,17370.0
2010-02-24,75.44,76.9,73.35,74.81,21096.0
2010-02-25,73.35,74.81,72.72,72.72,22934.0
2010-02-26,74.39,74.81,71.89,71.89,20327.0
2010-03-01,74.39,77.11,73.56,75.44,41931.0
2010-03-02,76.48,76.9,75.65,76.9,13742.0
2010-03-03,76.9,82.13,76.9,80.87,111685.0
2010-03-04,81.08,82.34,78.57,82.34,51447.0
2010-03-05,81.92,82.75,81.08,82.34,18091.0
2010-03-08,82.34,86.93,82.34,85.26,75907.0
2010-03-09,85.26,87.98,84.63,85.26,29266.0
2010-03-10,85.89,87.77,85.26,86.93,40473.0
2010-03-11,86.93,86.93,84.22,85.47,30957.0
2010-03-12,85.68,85.68,83.17,84.01,52709.0
2010-03-15,85.68,85.89,83.8,84.01,9708.0
2010-03-16,84.01,85.26,83.8,85.26,7413.0
2010-03-17,85.26,85.47,83.59,85.26,24608.0
2010-03-18,85.26,89.23,85.26,85.26,35569.0
2010-03-19,86.1,86.52,85.26,85.68,20835.0
2010-03-22,85.26,86.52,84.43,86.1,44431.0
2010-03-23,84.84,86.1,84.84,85.26,8084.0
2010-03-24,85.26,85.68,84.01,85.26,17530.0
2010-03-25,84.43,85.26,83.59,83.8,22244.0
2010-03-26,83.8,85.26,83.59,85.26,14863.0
2010-03-29,83.8,85.26,83.38,83.59,15301.0
2010-03-30,83.38,85.05,83.38,84.84,12896.0
2010-03-31,85.26,86.1,84.43,86.1,26810.0
2010-04-01,86.1,86.31,85.68,85.68,30204.0
2010-04-06,86.93,91.95,86.93,91.11,52322.0
2010-04-07,91.11,91.95,89.86,89.86,13320.0
2010-04-08,91.53,91.95,88.19,89.02,25927.0
2010-04-09,88.6,88.6,86.93,86.93,32915.0
2010-04-12,87.77,87.77,85.89,85.89,12868.0
2010-04-13,85.68,86.93,85.68,86.93,18598.0
2010-04-14,86.1,88.6,86.1,87.77,24985.0
2010-04-15,87.77,88.19,86.1,87.56,19495.0
2010-04-16,86.93,86.93,83.8,84.43,32541.0
2010-04-19,84.01,85.68,82.75,82.75,40318.0
2010-04-20,85.05,85.05,83.59,83.59,16705.0
2010-04-21,84.84,85.26,82.75,82.75,27247.0
2010-04-22,83.59,84.43,79.83,82.13,35244.0
2010-04-23,82.13,87.77,82.13,83.17,51702.0
2010-04-26,82.96,85.47,81.71,83.59,29698.0
2010-04-27,83.38,84.63,82.75,83.38,36020.0
2010-04-28,83.17,83.38,79.83,80.04,36863.0
2010-04-29,80.04,82.13,79.83,82.13,11575.0
2010-04-30,81.92,83.17,81.92,83.17,10892.0
