Date,Open,High,Low,Close,Volume
2010-01-04,4.95,5.05,4.95,5.02,112661
2010-01-05,5.09,5.09,4.92,5.02,125480
2010-01-07,5.09,5.12,4.92,5.02,135222
2010-01-08,5.05,5.3,5.02,5.26,274960
2010-01-11,5.36,5.5,5.3,5.33,201393
2010-01-12,5.36,5.36,5.23,5.3,109777
2010-01-13,5.33,5.33,5.19,5.3,52021
2010-01-14,5.3,5.36,5.23,5.3,113370
2010-01-15,5.43,5.43,5.26,5.3,172114
2010-01-18,5.47,5.47,5.26,5.3,219269
2010-01-19,5.33,5.33,5.19,5.33,245637
2010-01-20,5.33,5.36,5.26,5.33,224334
2010-01-21,5.33,5.4,5.23,5.3,291347
2010-01-22,5.33,5.33,5.09,5.23,111059
2010-01-25,5.23,5.3,5.12,5.23,80434
2010-01-26,5.3,5.3,5.02,5.12,102547
2010-01-27,5.12,5.16,5.02,5.12,44867
2010-01-28,5.16,5.16,5.02,5.02,188974
2010-01-29,5.02,5.16,5.02,5.09,67501
2010-02-01,5.09,5.16,4.99,5.16,107658
2010-02-02,5.16,5.16,5.02,5.09,136377
2010-02-03,5.05,5.16,4.99,5.09,80262
2010-02-04,5.12,5.12,4.95,4.99,87592
2010-02-05,5.05,5.05,4.92,4.92,92574
2010-02-08,5.02,5.05,4.81,4.95,148077
2010-02-09,5.02,5.02,4.85,4.85,41371
2010-02-10,4.85,5.02,4.85,4.88,22929
2010-02-11,4.88,5.05,4.68,4.92,268621
2010-02-12,4.99,4.99,4.71,4.71,83176
2010-02-15,4.81,4.81,4.57,4.64,174806
2010-02-16,4.68,4.78,4.4,4.64,119653
2010-02-17,4.81,4.81,4.64,4.81,116397
2010-02-18,4.81,4.85,4.64,4.78,83302
2010-02-19,4.78,4.92,4.71,4.81,84795
2010-02-22,4.99,4.99,4.75,4.75,152431
2010-02-23,4.81,4.81,4.71,4.81,52675
2010-02-24,4.71,4.85,4.71,4.85,38271
2010-02-25,4.81,4.88,4.75,4.75,64450
2010-02-26,4.71,4.88,4.71,4.85,98190
2010-03-01,4.71,4.92,4.71,4.81,107028
2010-03-02,4.81,4.88,4.75,4.88,40861
2010-03-03,4.88,4.88,4.78,4.78,59370
2010-03-04,4.78,4.81,4.78,4.81,122657
2010-03-05,4.78,4.92,4.78,4.81,64573
2010-03-08,4.85,4.85,4.75,4.78,81485
2010-03-09,4.71,4.78,4.68,4.75,125046
2010-03-10,4.71,4.85,4.68,4.68,113084
2010-03-11,4.75,4.88,4.75,4.88,170676
2010-03-12,4.85,4.88,4.78,4.85,140661
2010-03-15,4.81,4.81,4.75,4.75,25655
2010-03-16,4.75,4.81,4.71,4.81,83223
2010-03-17,4.85,4.85,4.71,4.78,89721
2010-03-18,4.68,4.78,4.68,4.78,99899
2010-03-19,4.71,4.81,4.71,4.75,76010
2010-03-22,4.71,4.81,4.68,4.68,210900
2010-03-23,4.68,4.81,4.68,4.68,166196
2010-03-24,4.78,4.78,4.68,4.71,190489
2010-03-25,4.78,4.81,4.71,4.78,354582
2010-03-26,4.78,4.81,4.68,4.75,180966
2010-03-29,4.75,4.81,4.71,4.75,196534
2010-03-30,4.81,5.12,4.81,5.12,671156
2010-03-31,5.16,5.16,5.02,5.16,165968
2010-04-01,5.16,5.16,4.95,4.99,70666
2010-04-06,5.02,5.09,4.99,5.09,279587
2010-04-07,5.02,5.05,4.99,4.99,153428
2010-04-08,5.02,5.23,4.99,4.99,380581
2010-04-09,4.99,5.12,4.95,4.95,200116
2010-04-12,4.95,5.09,4.95,5.05,248151
2010-04-13,4.95,5.05,4.95,4.95,123428
2010-04-14,4.92,5.02,4.92,5.02,10000
2010-04-15,4.99,5.02,4.95,4.99,130382
2010-04-16,4.92,5.05,4.92,4.92,76217
2010-04-19,4.88,4.95,4.85,4.95,139363
2010-04-20,4.95,4.99,4.95,4.95,50170
2010-04-21,4.92,5.23,4.92,5.09,266843
2010-04-22,4.99,4.99,4.88,4.95,51229
2010-04-23,4.95,5.02,4.85,5.02,214844
2010-04-26,5.02,5.05,4.88,4.92,138395
2010-04-27,4.92,5.05,4.85,4.95,161157
2010-04-28,4.95,4.95,4.78,4.92,201135
2010-04-29,4.81,5.16,4.78,4.99,404753
2010-04-30,5.16,5.16,5.02,5.06,2373491
2010-05-03,5.13,5.2,5.02,5.2,107411
2010-05-04,5.27,5.27,5.13,5.2,282337
2010-05-05,5.09,5.16,4.95,5.09,148541
2010-05-06,4.95,5.09,4.88,4.99,152922
2010-05-07,4.88,4.92,4.74,4.74,298430
