Date,Open,High,Low,Close,Volume
2018-01-02,12.0,12.1,11.6,11.8,10081.0
2018-01-03,12.0,12.45,11.5,11.5,5265.0
2018-01-04,11.55,12.5,11.55,11.85,2886.0
2018-01-05,12.4,12.4,11.9,12.35,1692.0
2018-01-08,12.35,13.25,12.35,12.6,22277.0
2018-01-09,12.9,12.9,12.3,12.8,7495.0
2018-01-10,12.4,12.4,12.05,12.3,8744.0
2018-01-11,12.15,12.5,12.0,12.45,5856.0
2018-01-12,12.0,12.4,11.95,12.4,2273.0
2018-01-15,12.35,12.35,11.7,12.0,1917.0
2018-01-16,11.75,11.95,11.75,11.95,352.0
2018-01-17,12.05,12.05,12.0,12.0,5631.0
2018-01-18,12.0,12.0,11.3,11.4,12991.0
2018-01-19,11.65,11.7,11.6,11.65,4812.0
2018-01-22,11.65,11.65,11.05,11.65,15478.0
2018-01-23,11.6,11.6,11.3,11.6,5963.0
2018-01-24,11.6,12.0,11.6,11.9,7440.0
2018-01-25,12.0,12.0,12.0,12.0,105.0
2018-01-26,12.0,12.0,11.6,11.85,2028.0
2018-01-29,11.6,11.85,11.4,11.75,9872.0
2018-01-30,11.8,11.85,11.15,11.4,4265.0
2018-01-31,11.4,11.4,11.1,11.4,394.0
2018-02-01,11.15,12.0,10.9,11.25,5750.0
2018-02-02,11.45,11.45,11.0,11.0,2383.0
2018-02-05,11.1,11.4,11.05,11.2,2728.0
2018-02-06,10.9,11.0,10.45,11.0,41997.0
2018-02-07,10.7,12.4,10.7,11.35,13783.0
2018-02-08,10.7,10.9,10.65,10.75,4270.0
2018-02-09,10.55,10.55,10.1,10.3,12217.0
2018-02-12,10.55,10.55,10.1,10.5,14711.0
2018-02-13,10.9,10.9,10.9,10.9,187.0
2018-02-14,10.15,10.95,10.15,10.95,2540.0
2018-02-15,11.25,11.25,10.45,10.85,3973.0
2018-02-16,10.75,11.0,10.75,11.0,5003.0
2018-02-19,10.8,11.0,10.8,10.85,549.0
2018-02-20,10.85,11.2,10.6,11.2,5726.0
2018-02-21,11.2,11.2,11.2,11.2,0.0
2018-02-22,11.15,11.75,10.7,11.0,9066.0
2018-02-23,10.85,11.05,10.7,10.75,3603.0
2018-02-26,11.05,11.25,10.8,11.25,10050.0
2018-02-27,11.15,11.15,10.75,11.05,2116.0
2018-02-28,11.05,11.05,11.05,11.05,451.0
2018-03-01,11.05,11.05,11.05,11.05,0.0
2018-03-02,10.55,10.85,10.15,10.55,17368.0
2018-03-05,10.9,10.9,10.7,10.75,725.0
2018-03-06,10.7,10.8,10.7,10.8,251.0
2018-03-07,10.9,10.9,10.3,10.6,8047.0
2018-03-08,10.6,10.9,10.6,10.65,6450.0
2018-03-09,10.6,10.65,10.45,10.5,4591.0
2018-03-12,10.5,10.5,10.35,10.4,809.0
2018-03-13,10.55,10.9,10.5,10.9,1603.0
2018-03-14,11.0,11.0,10.45,10.9,320.0
2018-03-15,10.35,10.6,9.6,10.5,17312.0
2018-03-16,10.75,10.75,10.6,10.6,516.0
2018-03-19,10.6,10.6,10.6,10.6,0.0
2018-03-20,11.0,11.0,10.45,10.8,16420.0
2018-03-21,9.78,11.3,9.78,10.75,8264.0
2018-03-22,10.55,10.55,10.2,10.2,1761.0
2018-03-23,10.4,11.4,10.25,11.0,13330.0
2018-03-26,11.0,11.0,10.5,10.95,1132.0
2018-03-27,11.5,11.5,11.0,11.0,87.0
2018-03-28,11.0,12.4,11.0,11.15,17903.0
2018-03-29,11.15,11.45,11.15,11.35,1558.0
2018-04-03,11.0,11.25,11.0,11.25,618.0
2018-04-04,10.75,11.15,10.75,11.15,830.0
2018-04-05,11.25,11.3,10.95,11.2,3190.0
2018-04-06,10.6,11.25,10.6,11.25,3463.0
2018-04-09,12.5,12.5,11.2,11.2,252.0
2018-04-10,11.1,11.1,11.1,11.1,40.0
2018-04-11,11.05,11.7,10.0,10.95,18975.0
2018-04-12,10.95,10.95,10.95,10.95,75.0
2018-04-13,10.95,10.95,9.98,10.0,16584.0
2018-04-16,10.15,10.25,10.0,10.2,4085.0
2018-04-17,10.85,11.45,10.55,10.95,4160.0
2018-04-18,10.95,10.95,10.05,10.45,2044.0
2018-04-19,10.2,10.2,9.26,9.68,158167.0
2018-04-20,9.92,9.92,9.5,9.72,15034.0
2018-04-23,9.7,10.0,9.24,9.84,11536.0
2018-04-24,9.98,10.0,9.7,9.72,27027.0
2018-04-25,9.82,9.82,9.04,9.54,24684.0
2018-04-26,9.54,9.98,8.64,9.48,31044.0
2018-04-27,9.48,9.52,8.82,9.52,36608.0
2018-04-30,9.52,9.52,8.9,9.18,20264.0
2018-05-02,9.2,9.36,9.18,9.18,6539.0
2018-05-03,9.18,9.3,8.64,9.0,12736.0
2018-05-04,9.04,9.28,9.0,9.06,773.0
2018-05-07,8.5,9.0,8.5,9.0,3797.0
2018-05-08,9.02,9.2,8.58,8.98,2380.0
2018-05-09,8.96,8.96,8.56,8.76,2896.0
2018-05-11,8.76,9.02,8.6,8.74,10815.0
2018-05-14,9.0,9.48,8.7,8.7,3509.0
2018-05-15,9.0,9.02,8.7,8.7,2170.0
2018-05-16,8.96,9.62,8.7,9.56,5534.0
2018-05-17,9.54,10.8,9.02,9.3,26495.0
2018-05-18,9.3,9.34,9.0,9.32,4592.0
2018-05-21,9.48,9.48,8.98,9.34,15355.0
2018-05-22,9.16,9.24,8.74,8.74,12279.0
2018-05-23,8.9,9.26,8.68,8.72,2810.0
2018-05-24,9.0,9.0,8.68,8.7,13840.0
2018-05-25,8.6,8.9,8.56,8.8,7645.0
2018-05-28,8.8,9.18,8.58,8.66,8126.0
2018-05-29,8.66,8.66,8.56,8.6,5706.0
2018-05-30,8.66,8.66,8.6,8.6,4195.0
2018-05-31,8.64,8.9,8.58,8.58,8965.0
2018-06-01,8.58,9.3,8.5,9.3,12100.0
2018-06-04,9.2,9.2,8.72,8.98,12799.0
2018-06-05,9.12,9.12,8.7,8.96,1468.0
2018-06-06,8.96,8.96,8.96,8.96,0.0
2018-06-07,8.9,9.34,8.9,9.0,16227.0
2018-06-08,10.45,10.45,8.96,9.06,17800.0
2018-06-11,9.1,9.78,9.0,9.2,18344.0
2018-06-12,9.2,9.28,9.04,9.28,2102.0
2018-06-13,9.04,9.8,9.04,9.3,10058.0
2018-06-14,9.28,9.3,9.26,9.3,505.0
2018-06-15,9.3,9.3,9.26,9.26,16027.0
2018-06-18,9.22,10.25,9.22,10.25,1055.0
2018-06-19,10.25,10.25,9.7,10.25,7855.0
2018-06-20,10.15,10.25,10.15,10.25,845.0
2018-06-21,10.2,10.2,9.7,9.94,7866.0
2018-06-22,9.94,9.94,9.94,9.94,0.0
2018-06-25,9.7,9.9,9.26,9.54,11360.0
2018-06-26,9.4,9.52,9.4,9.4,2600.0
2018-06-27,9.4,9.4,9.4,9.4,2236.0
2018-06-28,9.4,9.4,9.4,9.4,100.0
2018-06-29,9.42,10.1,9.4,9.5,4854.0
2018-07-02,9.58,10.25,9.4,10.25,6537.0
2018-07-03,9.98,9.98,9.98,9.98,25.0
2018-07-04,9.94,9.94,9.5,9.74,711.0
2018-07-05,9.76,9.78,9.52,9.78,650.0
2018-07-06,9.4,9.4,8.62,9.16,32372.0
2018-07-09,8.66,8.98,8.66,8.76,825.0
2018-07-10,8.74,8.74,8.58,8.6,13490.0
2018-07-11,8.8,8.8,8.5,8.6,5134.0
2018-07-12,8.56,8.58,8.24,8.56,2991.0
2018-07-13,8.56,8.6,8.48,8.6,104815.0
2018-07-16,8.7,8.72,8.6,8.6,5320.0
2018-07-17,8.64,8.66,8.5,8.6,11049.0
2018-07-18,8.6,8.62,8.5,8.52,19338.0
2018-07-19,8.4,8.4,8.02,8.24,4811.0
2018-07-20,8.28,8.4,8.08,8.4,7599.0
2018-07-23,8.5,8.92,8.5,8.92,5573.0
2018-07-24,8.92,8.92,8.92,8.92,50.0
2018-07-25,8.9,8.9,8.4,8.5,4841.0
2018-07-26,8.5,8.6,8.4,8.5,35303.0
2018-07-27,8.6,8.6,8.4,8.5,4608.0
2018-07-30,8.4,8.6,8.4,8.52,3462.0
2018-07-31,8.78,8.78,8.4,8.42,2688.0
2018-08-01,8.4,9.4,8.4,9.38,2100.0
2018-08-02,9.38,9.38,9.38,9.38,0.0
2018-08-03,8.6,8.9,8.6,8.9,10610.0
2018-08-06,8.8,8.8,8.12,8.72,12110.0
2018-08-07,8.72,8.72,8.22,8.42,2270.0
2018-08-08,8.36,8.4,8.12,8.36,1533.0
2018-08-09,8.36,8.98,8.36,8.7,7281.0
2018-08-10,8.7,8.88,8.14,8.68,10294.0
2018-08-13,8.42,8.66,8.42,8.66,920.0
2018-08-14,8.66,8.66,8.4,8.66,18980.0
2018-08-15,8.74,9.3,8.74,9.14,29469.0
2018-08-16,9.14,9.2,8.66,9.12,41875.0
2018-08-17,9.32,9.8,8.7,9.16,3475.0
2018-08-20,8.9,9.16,8.9,9.0,2095.0
2018-08-21,9.0,9.0,8.44,8.98,3255.0
2018-08-22,8.9,9.6,8.4,9.04,25039.0
2018-08-23,9.0,9.58,8.6,8.98,23051.0
2018-08-24,8.98,8.98,8.72,8.96,9100.0
2018-08-27,9.48,12.5,9.46,10.7,227621.0
2018-08-28,11.0,11.2,10.5,11.0,26669.0
2018-08-29,11.2,11.2,10.1,10.7,28812.0
2018-08-30,10.75,10.9,10.25,10.3,17517.0
2018-08-31,10.35,10.35,9.82,10.0,15030.0
2018-09-03,10.0,11.2,10.0,10.3,11265.0
2018-09-04,10.25,10.95,10.0,10.25,9346.0
2018-09-05,10.25,10.25,9.92,10.2,4355.0
2018-09-06,9.92,10.25,9.92,10.25,17194.0
2018-09-07,9.92,11.0,9.9,10.15,60546.0
2018-09-10,10.2,10.95,10.15,10.5,4187.0
2018-09-11,10.9,11.75,10.7,10.85,71068.0
2018-09-12,11.0,11.15,10.25,10.75,29132.0
2018-09-13,10.75,10.75,10.0,10.5,47642.0
2018-09-14,10.5,10.5,10.0,10.35,12975.0
2018-09-17,10.9,10.9,9.9,10.0,38941.0
2018-09-18,10.0,10.5,9.92,10.35,37204.0
2018-09-19,10.5,10.75,10.1,10.45,8795.0
2018-09-20,10.85,11.0,10.45,10.55,9583.0
2018-09-21,10.95,10.95,9.9,10.4,33269.0
2018-09-24,10.4,10.9,10.35,10.4,10476.0
2018-09-25,11.0,11.0,10.2,10.5,10869.0
2018-09-26,10.4,10.4,10.2,10.25,5562.0
2018-09-27,10.2,10.2,9.84,10.2,22600.0
2018-09-28,10.55,10.55,10.15,10.4,33736.0
2018-10-01,10.9,10.95,10.1,10.4,47899.0
2018-10-02,10.4,10.65,10.15,10.2,39041.0
2018-10-03,10.75,10.75,10.25,10.55,29605.0
2018-10-04,10.6,10.75,10.1,10.4,29370.0
2018-10-05,10.4,10.6,10.4,10.4,3440.0
2018-10-08,10.1,10.25,9.78,9.9,21977.0
2018-10-09,10.0,10.0,9.7,9.88,8838.0
2018-10-10,9.98,10.0,9.0,9.1,29753.0
2018-10-11,9.18,9.36,8.6,8.96,9400.0
2018-10-12,8.74,8.98,8.72,8.92,9451.0
2018-10-15,8.92,8.92,8.92,8.92,580.0
