Date,Open,High,Low,Close,Volume
2017-12-14,13.6,15.14,10.8,12.06,9015387.0
2017-12-15,12.06,12.1,10.03,10.13,1882913.0
2017-12-18,10.27,10.42,9.31,9.36,1406025.0
2017-12-19,9.55,9.74,9.21,9.45,621879.0
2017-12-20,9.45,9.45,8.87,8.97,580352.0
2017-12-21,8.97,9.4,8.97,9.36,164748.0
2017-12-22,9.5,9.79,9.21,9.5,416818.0
2017-12-27,9.64,9.69,9.16,9.36,127277.0
2017-12-28,9.45,9.55,9.16,9.26,146068.0
2017-12-29,9.4,9.98,9.31,9.5,503941.0
2018-01-02,9.84,9.84,9.31,9.38,157718.0
2018-01-03,9.38,9.84,9.32,9.84,157471.0
2018-01-04,9.84,10.03,9.67,9.93,115085.0
2018-01-05,9.98,10.13,9.86,10.03,53442.0
2018-01-08,10.03,10.03,9.55,9.77,107253.0
2018-01-09,9.77,9.82,9.43,9.46,106898.0
2018-01-10,9.55,9.64,9.4,9.55,107887.0
2018-01-11,9.64,9.64,9.36,9.63,47951.0
2018-01-12,9.64,9.64,9.41,9.64,42215.0
2018-01-15,9.64,9.64,9.07,9.36,62698.0
2018-01-16,9.36,9.45,9.17,9.44,95737.0
2018-01-17,9.44,9.45,9.16,9.44,37328.0
2018-01-18,9.44,9.44,9.17,9.36,46935.0
2018-01-19,9.21,9.36,9.11,9.25,69627.0
2018-01-22,9.26,9.45,9.09,9.26,46293.0
2018-01-23,9.26,9.39,9.1,9.39,27533.0
2018-01-24,9.39,9.39,9.03,9.16,38325.0
2018-01-25,9.16,9.16,8.72,8.78,66115.0
2018-01-26,8.78,8.8,8.64,8.78,38744.0
2018-01-29,8.78,9.05,8.41,8.87,59891.0
2018-01-30,8.97,8.97,8.39,8.58,92848.0
2018-01-31,8.49,8.58,8.24,8.45,91042.0
2018-02-01,8.45,8.58,8.22,8.22,65553.0
2018-02-02,8.39,8.39,8.1,8.27,54850.0
2018-02-05,8.2,8.2,7.83,7.93,47453.0
2018-02-06,7.33,7.68,6.87,7.54,112930.0
2018-02-07,8.0,8.29,7.62,8.1,34673.0
2018-02-08,8.1,8.1,7.23,7.54,98673.0
2018-02-09,7.33,7.52,7.23,7.39,35855.0
2018-02-12,7.31,7.7,7.21,7.6,32235.0
2018-02-13,7.33,7.7,7.33,7.62,5985.0
2018-02-14,7.33,7.6,7.04,7.6,20475.0
2018-02-15,7.6,7.68,7.23,7.68,49382.0
2018-02-16,7.68,8.2,7.68,8.02,118577.0
2018-02-19,8.16,8.16,7.81,8.08,55160.0
2018-02-20,8.14,8.54,7.83,8.54,121505.0
2018-02-21,8.58,8.58,7.95,8.26,108753.0
2018-02-22,8.49,8.49,7.91,8.26,31474.0
2018-02-23,8.47,8.49,8.1,8.39,74467.0
2018-02-26,8.39,8.56,8.29,8.39,23387.0
2018-02-27,8.39,8.53,8.2,8.39,10975.0
2018-02-28,8.39,8.54,8.29,8.29,10440.0
2018-03-01,8.51,8.53,7.97,8.49,43840.0
2018-03-02,8.49,8.49,7.6,8.33,36499.0
2018-03-05,8.31,8.31,7.85,8.18,66867.0
2018-03-06,8.18,8.29,7.85,8.2,40119.0
2018-03-07,8.1,8.2,7.85,8.04,21040.0
2018-03-08,7.87,8.18,7.81,8.12,22234.0
2018-03-09,7.91,8.0,7.83,7.99,26327.0
2018-03-12,7.99,8.0,7.72,8.0,27114.0
2018-03-13,7.91,7.99,7.72,7.89,14519.0
2018-03-14,7.97,8.0,7.77,8.0,7267.0
2018-03-15,7.91,8.0,7.91,7.95,13062.0
2018-03-16,7.97,8.12,7.81,7.99,29313.0
2018-03-19,8.16,8.16,7.81,7.91,19627.0
2018-03-20,7.81,8.12,7.81,7.99,15173.0
2018-03-21,7.99,8.08,7.81,7.81,11391.0
2018-03-22,7.81,8.06,7.62,7.72,28270.0
2018-03-23,7.79,7.83,7.1,7.73,12762.0
2018-03-26,7.7,7.91,7.66,7.66,16354.0
2018-03-27,7.23,7.72,7.23,7.72,16707.0
2018-03-28,7.72,7.72,7.35,7.5,25607.0
2018-03-29,7.56,7.7,7.5,7.7,5122.0
2018-04-03,7.62,7.89,7.52,7.6,20042.0
2018-04-04,7.62,7.62,7.43,7.6,7995.0
2018-04-05,7.6,7.87,7.6,7.85,12780.0
2018-04-06,7.85,7.91,7.56,7.91,18423.0
2018-04-09,7.91,7.91,7.62,7.89,4771.0
2018-04-10,7.62,7.62,7.46,7.5,3643.0
2018-04-11,7.52,7.52,7.45,7.48,28838.0
2018-04-12,7.85,8.78,7.85,8.51,118556.0
2018-04-13,8.76,8.87,8.2,8.58,21064.0
2018-04-16,8.66,9.05,8.54,8.78,55161.0
2018-04-17,8.89,9.03,8.78,8.87,57018.0
2018-04-18,8.97,8.97,8.2,8.78,8167.0
2018-04-19,8.78,8.78,8.24,8.49,16679.0
2018-04-20,8.31,8.31,7.81,8.04,37368.0
2018-04-23,8.0,8.02,7.72,8.0,32326.0
2018-04-24,8.08,8.08,7.73,7.99,19256.0
