Date,Open,High,Low,Close,Volume
2010-06-02,34.29,35.01,33.93,34.65,3226790.0
2010-06-03,35.72,35.72,34.93,35.01,850762.0
2010-06-04,35.36,35.65,34.79,34.86,195224.0
2010-06-07,34.86,35.01,34.08,34.72,407585.0
2010-06-08,34.72,35.01,34.43,34.43,211888.0
2010-06-09,34.86,34.86,34.08,34.29,523770.0
2010-06-10,34.29,34.29,33.79,33.79,139499.0
2010-06-11,33.93,35.01,33.93,34.29,225897.0
2010-06-14,35.01,35.01,34.22,34.22,46934.0
2010-06-15,34.29,34.29,33.58,33.58,110899.0
2010-06-16,33.65,33.79,33.01,33.58,87067.0
2010-06-17,33.58,33.58,33.08,33.36,62833.0
2010-06-18,32.86,33.22,32.86,33.22,309456.0
2010-06-21,33.08,33.58,33.01,33.01,256084.0
2010-06-22,33.22,33.43,32.86,32.86,123401.0
2010-06-23,32.86,33.08,32.22,32.79,634381.0
2010-06-24,32.86,32.93,32.15,32.15,33498.0
2010-06-28,32.15,32.86,31.22,31.65,265849.0
2010-06-29,31.65,32.15,31.08,31.43,71189.0
2010-06-30,32.15,32.51,30.72,32.51,458385.0
2010-07-01,32.86,32.86,31.79,32.86,149389.0
2010-07-02,33.58,33.58,31.86,32.86,22437.0
2010-07-05,32.86,32.86,31.43,32.22,213163.0
2010-07-06,32.79,33.72,32.79,33.72,114561.0
2010-07-07,33.36,34.08,32.86,34.08,50141.0
2010-07-08,33.93,34.22,33.58,34.01,49382.0
2010-07-09,34.01,34.01,32.86,33.58,39986.0
2010-07-12,33.72,34.65,33.58,34.58,314977.0
2010-07-13,34.58,34.58,34.29,34.36,38400.0
2010-07-14,34.36,34.51,34.22,34.29,31089.0
2010-07-15,34.15,34.29,33.79,33.93,42449.0
2010-07-16,33.93,34.43,33.93,34.29,108062.0
2010-07-19,34.36,34.36,33.93,34.29,133161.0
2010-07-20,34.29,34.65,32.58,33.22,21304.0
2010-07-21,33.36,34.22,33.36,33.93,149283.0
2010-07-22,33.93,34.29,33.65,33.65,464711.0
2010-07-23,33.58,33.93,33.58,33.86,116914.0
2010-07-26,34.01,34.08,33.86,33.93,6999.0
2010-07-27,33.93,35.51,33.93,35.51,134062.0
2010-07-28,35.51,35.51,34.79,34.79,293129.0
2010-07-29,34.79,35.65,34.79,35.65,26647.0
2010-07-30,35.65,35.65,35.36,35.36,129031.0
2010-08-02,35.72,36.43,35.58,36.08,108600.0
2010-08-03,36.43,38.94,36.08,37.86,283483.0
2010-08-04,37.86,38.4,37.15,37.33,404426.0
2010-08-05,38.04,38.04,37.33,37.33,28636.0
2010-08-06,38.04,38.22,37.33,37.33,73456.0
2010-08-09,37.33,38.22,37.33,37.86,390650.0
2010-08-10,38.22,38.22,37.33,37.69,44907.0
2010-08-11,37.69,37.86,37.33,37.86,158847.0
2010-08-12,37.86,37.86,37.51,37.69,15001.0
2010-08-13,37.15,37.86,37.15,37.69,74946.0
2010-08-16,38.58,38.58,38.04,38.58,53563.0
2010-08-17,38.58,40.01,38.58,39.65,82574.0
2010-08-18,39.65,42.15,39.47,40.72,177441.0
2010-08-19,41.44,41.97,40.54,40.54,152176.0
2010-08-20,40.54,40.72,39.83,40.01,68597.0
2010-08-23,40.01,41.26,39.47,40.72,31728.0
2010-08-24,40.72,40.9,39.47,40.01,40073.0
2010-08-25,39.65,39.65,37.51,38.58,181844.0
2010-08-26,38.76,39.65,38.76,39.29,30746.0
2010-08-27,39.29,39.29,38.58,38.58,350670.0
2010-08-30,38.94,39.65,38.58,38.58,11064.0
2010-08-31,39.29,39.29,38.58,39.29,26477.0
2010-09-01,40.01,40.01,38.58,38.94,142790.0
2010-09-02,39.29,39.29,38.76,38.76,33043.0
2010-09-03,39.29,39.47,37.86,37.86,45991.0
2010-09-06,39.11,39.29,38.22,38.94,14832.0
2010-09-07,39.29,39.29,38.58,38.76,11056.0
2010-09-08,39.29,39.29,38.58,38.94,114478.0
2010-09-09,38.58,39.11,38.22,38.22,28477.0
2010-09-10,38.58,38.94,37.86,38.58,394551.0
2010-09-13,38.58,39.11,38.4,38.94,140286.0
2010-09-14,39.11,40.72,38.58,40.19,109600.0
2010-09-15,40.36,40.36,39.29,40.01,179249.0
2010-09-16,40.01,40.72,39.65,40.72,36270.0
2010-09-17,40.72,41.08,40.72,41.08,230178.0
2010-09-20,41.26,41.61,40.72,40.72,251234.0
2010-09-21,41.08,41.61,40.72,41.44,101294.0
2010-09-22,41.44,41.44,40.36,40.9,201642.0
2010-09-23,41.08,41.44,40.72,41.08,48096.0
2010-09-24,41.44,41.44,40.72,41.08,38530.0
2010-09-27,41.26,41.61,40.9,41.08,26301.0
2010-09-28,41.26,43.58,41.26,42.69,118265.0
2010-09-29,42.15,42.15,41.44,41.44,15904.0
2010-09-30,41.44,41.44,40.72,41.08,29597.0
2010-10-01,41.08,41.79,40.72,41.26,72162.0
2010-10-04,41.61,43.94,41.61,42.86,231935.0
2010-10-05,42.86,43.58,42.69,42.69,87334.0
2010-10-06,42.86,43.58,42.33,43.58,309178.0
2010-10-07,43.58,44.29,42.86,43.58,41351.0
2010-10-08,43.94,44.29,43.04,43.4,30106.0
2010-10-11,43.58,43.94,42.15,42.51,462401.0
2010-10-12,42.15,42.86,41.61,41.97,148836.0
2010-10-13,42.51,42.86,42.33,42.86,227050.0
2010-10-14,41.97,43.22,41.97,43.22,124030.0
2010-10-15,43.22,43.58,41.79,43.22,68413.0
2010-10-18,43.4,44.29,43.22,43.4,68781.0
2010-10-19,43.4,43.4,42.86,42.86,96686.0
2010-10-20,42.86,43.94,42.86,43.04,126593.0
2010-10-21,42.86,43.94,42.15,42.86,138904.0
2010-10-22,43.58,43.58,42.86,42.86,39509.0
2010-10-25,44.47,44.47,40.36,40.72,323930.0
2010-10-26,40.72,41.44,39.29,39.83,884487.0
2010-10-27,39.83,39.83,39.29,39.65,125818.0
2010-10-28,39.47,39.65,38.22,38.22,111386.0
2010-10-29,38.22,38.94,38.22,38.4,333356.0
2010-11-01,38.4,39.83,38.4,39.29,455738.0
2010-11-02,40.01,40.54,39.29,39.65,1055716.0
2010-11-03,39.65,39.83,39.47,39.83,38413.0
2010-11-04,39.83,40.54,39.47,39.83,284510.0
2010-11-05,40.01,40.01,39.65,39.83,8896.0
2010-11-08,39.83,40.54,39.47,39.47,102932.0
2010-11-09,39.65,40.54,39.47,40.36,141969.0
2010-11-10,40.54,40.72,40.01,40.01,26011.0
2010-11-11,40.36,42.86,40.36,40.9,57237.0
2010-11-12,41.08,41.08,40.19,40.19,186011.0
2010-11-15,40.19,40.54,39.65,40.01,28093.0
2010-11-16,40.01,40.01,38.94,38.94,165326.0
