Date,Open,High,Low,Close,Volume
2010-01-04,66.69,69.21,66.69,68.74,4222285
2010-01-05,69.21,71.59,69.14,71.59,4189637
2010-01-07,71.48,76.06,71.27,74.69,8814532
2010-01-08,74.91,75.48,73.47,74.62,5426963
2010-01-11,75.48,76.49,74.26,74.48,4606570
2010-01-12,74.62,74.76,71.92,72.31,6187927
2010-01-13,72.1,73.47,71.37,72.1,4909987
2010-01-14,73.9,73.9,72.24,72.53,3719247
2010-01-15,72.82,73.39,72.24,73.11,4307976
2010-01-18,73.61,76.85,73.61,76.64,7253795
2010-01-19,76.49,78.37,75.56,78.22,5773022
2010-01-20,78.3,78.3,75.05,75.2,8153135
2010-01-21,76.28,77.21,73.68,73.97,7626785
2010-01-22,73.61,75.41,72.6,74.48,8107425
2010-01-25,73.97,76.93,73.39,74.4,6830352
2010-01-26,72.53,72.53,72.53,72.53,6378659
2010-01-27,71.92,74.48,71.12,72.89,9063814
2010-01-28,74.33,74.33,70.08,70.51,9187935
2010-01-29,71.37,72.67,69.86,71.99,9143247
2010-02-01,71.74,73.54,70.47,73.54,5931006
2010-02-02,74.4,75.48,72.96,74.76,6440756
2010-02-03,76.85,76.85,76.85,76.85,8069513
2010-02-04,75.41,75.41,71.09,71.09,11639103
2010-02-05,70.98,70.98,67.81,69.36,15451594
2010-02-08,70.65,71.63,66.62,68.67,9875627
2010-02-09,68.85,71.63,68.42,70.65,7002195
2010-02-10,72.1,72.74,68.67,69.39,6279889
2010-02-11,70.44,70.91,68.27,69.39,6168301
2010-02-12,70.44,71.48,62.18,63.52,18625323
2010-02-15,64.17,64.2,61.28,62.0,9120520
2010-02-16,62.72,64.2,61.57,63.44,13273690
2010-02-17,64.81,65.57,64.24,64.71,6683005
2010-02-18,64.53,65.43,63.26,65.43,6463934
2010-02-19,64.13,64.96,63.3,64.89,8254298
2010-02-22,65.39,66.15,64.85,65.14,4780516
2010-02-23,65.75,65.75,62.87,62.98,6916822
2010-02-24,62.87,63.19,61.68,62.72,5703322
2010-02-25,62.29,63.37,61.53,61.75,5333246
2010-02-26,62.36,63.01,61.93,62.9,3007220
2010-03-01,64.71,66.22,64.67,66.04,6534739
2010-03-02,65.82,67.63,65.35,67.41,6444133
2010-03-03,67.37,69.0,67.05,68.56,6453532
2010-03-04,68.13,70.01,67.73,69.64,7847988
2010-03-05,70.26,70.98,69.82,70.76,5353950
2010-03-08,71.12,71.59,70.33,70.69,3807499
2010-03-09,70.29,70.58,69.43,70.01,3282640
2010-03-10,69.97,71.01,69.64,70.98,3493218
2010-03-11,70.76,71.23,69.61,70.15,4958947
2010-03-12,70.29,71.01,70.19,70.58,3474610
2010-03-15,70.44,70.69,69.03,69.21,4137265
2010-03-16,69.72,70.22,69.21,70.19,2696142
2010-03-17,70.58,71.09,69.79,69.86,3775670
2010-03-18,69.25,69.68,68.71,68.85,3290629
2010-03-19,69.57,69.86,68.2,68.31,4400961
2010-03-22,68.38,68.92,66.83,68.71,4163407
2010-03-23,68.82,69.72,68.78,69.57,3498722
2010-03-24,69.68,70.29,68.49,69.36,3264140
2010-03-25,69.36,70.62,69.03,70.51,2827471
2010-03-26,70.47,71.19,70.22,70.98,3099039
2010-03-29,71.48,72.6,71.45,72.24,4211341
2010-03-30,72.67,73.83,72.6,73.11,4631528
2010-03-31,73.18,74.4,72.67,74.4,5488338
2010-04-01,74.98,77.86,74.62,77.58,4933574
2010-04-06,77.72,80.53,77.65,80.53,6335103
2010-04-07,80.96,80.96,79.45,79.81,3661313
2010-04-08,79.16,79.23,77.5,78.73,5135904
2010-04-09,79.23,80.75,79.16,80.75,3090562
2010-04-12,81.47,81.9,80.96,81.18,2973245
2010-04-13,79.74,79.74,78.58,79.31,5528766
2010-04-14,80.24,81.47,79.88,81.47,4288727
2010-04-15,81.61,81.83,80.31,81.32,3733265
2010-04-16,81.04,82.12,79.88,80.24,5774084
2010-04-19,78.58,79.16,77.65,78.58,7413170
2010-04-20,79.23,80.82,79.02,80.24,3971418
2010-04-21,80.39,80.89,78.08,78.22,4008869
2010-04-22,78.22,79.59,76.64,77.65,4567406
2010-04-23,77.43,79.74,76.49,79.67,4865285
2010-04-26,79.88,81.54,79.88,80.75,4168129
2010-04-27,80.75,80.82,73.25,73.25,14136704
2010-04-28,73.55,74.59,70.98,72.43,11637114
2010-04-29,73.55,76.52,72.1,75.92,5922818
2010-04-30,76.07,77.19,74.51,74.96,2998530
2010-05-03,73.7,73.92,72.21,72.47,4493086
2010-05-04,72.73,72.92,69.13,69.46,6919135
2010-05-05,68.68,70.2,66.79,68.2,10002069
2010-05-06,66.86,69.98,65.78,66.64,7948109
2010-05-07,63.18,67.23,63.18,65.3,13203945
2010-05-10,68.35,71.17,68.35,70.31,7785750
2010-05-11,69.98,69.98,67.79,68.94,6228309
2010-05-12,69.61,71.17,68.53,70.39,4161919
2010-05-14,70.39,71.39,68.64,68.9,5589604
2010-05-17,67.75,70.13,67.23,67.94,5390236
2010-05-18,68.35,69.42,68.01,68.46,3897360
2010-05-19,67.53,67.53,64.3,65.19,6728090
2010-05-20,65.63,66.15,60.66,62.4,8940578
2010-05-21,62.11,64.89,61.29,64.74,10126012
2010-05-24,65.89,66.71,64.22,65.82,5053080
2010-05-25,63.03,64.33,62.77,64.19,8064041
2010-05-26,65.67,67.68,65.41,67.23,21190681
2010-05-27,68.23,70.46,67.97,70.39,6468663
2010-05-28,71.32,71.69,69.61,70.02,4488886
2010-05-31,70.05,70.91,69.5,70.2,1646695
2010-06-01,69.24,70.05,67.34,69.24,6672315
2010-06-02,68.53,69.76,67.38,69.65,5781687
2010-06-03,70.83,71.58,69.76,70.02,4333980
2010-06-04,70.02,70.17,67.27,67.75,5979513
2010-06-07,66.04,67.23,64.71,65.37,6427315
2010-06-08,66.01,66.67,64.11,65.6,5443397
2010-06-09,66.38,66.75,64.78,66.3,5225361
2010-06-10,66.3,69.01,65.6,68.46,5640618
2010-06-11,69.13,69.39,67.53,69.01,5063191
2010-06-14,69.57,70.91,69.57,70.76,2852311
2010-06-15,70.2,72.06,69.87,71.62,3593046
2010-06-16,72.47,72.8,70.98,72.14,4051274
2010-06-17,71.8,72.95,71.5,72.28,4035050
