Date,Open,High,Low,Close,Volume
2015-07-03,81.56,81.56,79.21,79.6,39002.0
2015-07-06,79.99,79.99,79.99,79.99,1900.0
2015-07-07,79.99,79.99,79.21,79.99,2914.0
2015-07-08,79.21,79.21,78.42,78.42,5750.0
2015-07-09,79.6,79.6,79.6,79.6,40.0
2015-07-10,79.21,79.21,78.42,78.42,11250.0
2015-07-13,78.82,78.82,78.82,78.82,20000.0
2015-07-14,78.82,78.82,78.42,78.42,4200.0
2015-07-15,78.42,78.42,78.23,78.42,2572.0
2015-07-16,78.42,78.62,78.42,78.42,3300.0
2015-07-17,78.42,78.42,78.42,78.42,2000.0
2015-07-20,78.42,78.42,78.42,78.42,0.0
2015-07-22,78.42,78.42,78.42,78.42,1500.0
2015-07-23,78.42,78.42,78.42,78.42,373.0
2015-07-28,77.64,77.64,77.64,77.64,2500.0
2015-07-29,78.23,78.23,76.86,76.86,4820.0
2015-07-30,78.03,78.03,76.07,77.25,8816.0
2015-07-31,78.03,78.23,78.03,78.23,15713.0
2015-08-03,78.23,78.23,78.23,78.23,629.0
2015-08-04,78.23,78.23,78.23,78.23,0.0
2015-08-05,78.23,78.42,78.03,78.42,21671.0
2015-08-06,78.62,78.82,78.62,78.82,8700.0
2015-08-07,78.42,78.42,78.42,78.42,1000.0
2015-08-11,78.42,78.42,78.42,78.42,8000.0
2015-08-18,77.64,77.64,77.64,77.64,2000.0
2015-08-19,78.42,78.42,78.42,78.42,100.0
2015-09-01,77.64,77.64,77.64,77.64,8000.0
2015-09-02,77.64,77.64,77.64,77.64,0.0
2015-09-07,78.42,78.42,78.42,78.42,6.0
2015-09-11,77.84,77.84,77.84,77.84,1320.0
2015-09-14,77.64,77.64,77.64,77.64,1500.0
2015-09-17,78.03,78.03,77.84,77.84,7500.0
2015-09-18,77.84,77.84,77.84,77.84,500.0
2015-09-21,78.23,78.23,78.03,78.03,3671.0
2015-09-22,78.23,78.23,77.84,77.84,20929.0
2015-09-23,77.84,77.84,77.84,77.84,0.0
2015-09-24,77.84,77.84,77.84,77.84,2500.0
