Date,Open,High,Low,Close,Volume
2018-01-02,104.0,106.27,104.0,105.82,110971.0
2018-01-03,105.18,107.09,105.18,107.0,119648.0
2018-01-04,107.18,110.19,106.91,110.1,144073.0
2018-01-05,110.19,111.1,109.82,110.46,96120.0
2018-01-08,110.46,110.92,110.19,110.55,113958.0
2018-01-09,110.55,112.65,110.19,112.01,639949.0
2018-01-10,112.19,112.65,109.91,110.28,294121.0
2018-01-11,110.01,110.55,108.55,110.37,143984.0
2018-01-12,110.28,111.28,109.09,110.55,78154.0
2018-01-15,110.55,112.28,109.64,110.37,125286.0
2018-01-16,109.73,110.64,107.91,110.01,208759.0
2018-01-17,109.91,109.91,106.73,107.82,186952.0
2018-01-18,107.36,107.64,105.82,106.18,216146.0
2018-01-19,106.18,106.91,105.54,106.09,142474.0
2018-01-22,106.09,106.09,104.54,105.0,186974.0
2018-01-23,105.63,107.18,105.18,107.18,212841.0
2018-01-24,107.0,107.73,106.91,107.36,106891.0
2018-01-25,107.27,107.46,105.63,106.18,148796.0
2018-01-26,105.63,109.37,105.09,109.09,145866.0
2018-01-29,107.18,107.91,105.0,105.63,140067.0
2018-01-30,104.0,104.54,101.72,104.18,355103.0
2018-01-31,103.63,104.36,101.08,102.26,253556.0
2018-02-01,101.63,107.18,101.63,106.82,250879.0
2018-02-02,106.36,108.82,105.09,107.73,267846.0
2018-02-05,106.64,107.0,103.36,106.09,237967.0
2018-02-06,101.99,106.09,99.17,105.0,288417.0
2018-02-07,105.82,108.73,104.72,108.37,167875.0
2018-02-08,108.37,109.19,106.55,107.55,236207.0
2018-02-09,106.91,106.91,103.63,105.63,240133.0
2018-02-12,106.55,109.09,105.91,108.82,137747.0
2018-02-13,108.82,108.82,106.18,107.64,86219.0
2018-02-14,107.64,109.09,107.09,108.55,149327.0
2018-02-15,108.28,109.55,108.09,109.19,67218.0
2018-02-16,109.64,110.64,109.19,110.01,70377.0
2018-02-19,109.64,110.28,108.55,109.28,80931.0
2018-02-20,109.37,110.19,109.09,109.64,138856.0
2018-02-21,108.91,110.19,108.55,109.73,91555.0
