Date,Open,High,Low,Close,Volume
2017-05-31,71.0,79.5,70.75,77.5,9429442.0
2017-06-01,78.25,83.75,75.5,80.0,1772657.0
2017-06-02,80.75,82.0,78.25,79.0,338885.0
2017-06-05,80.5,80.5,79.0,80.25,316418.0
2017-06-06,80.25,80.25,80.25,80.25,0.0
2017-06-07,79.75,80.0,75.5,79.25,372783.0
2017-06-08,79.25,79.75,76.75,76.75,115227.0
2017-06-09,76.75,80.5,76.75,80.5,243678.0
2017-06-12,81.5,82.0,78.75,80.0,69781.0
2017-06-13,80.0,88.0,79.75,83.5,237806.0
2017-06-14,85.75,88.75,84.0,86.75,241720.0
2017-06-15,87.5,89.0,85.5,86.5,183620.0
2017-06-16,88.0,88.0,82.5,84.75,115598.0
2017-06-19,86.5,86.5,83.0,85.5,122600.0
2017-06-20,86.0,86.75,80.0,80.0,161735.0
2017-06-21,79.5,80.75,77.75,78.0,288629.0
2017-06-22,78.5,79.0,77.0,77.75,59095.0
2017-06-23,77.75,77.75,77.75,77.75,0.0
2017-06-26,79.0,79.0,76.0,76.5,127863.0
2017-06-27,76.0,79.0,75.25,79.0,146746.0
2017-06-28,79.0,82.5,79.0,82.0,73110.0
2017-06-29,82.0,84.0,80.0,82.5,55851.0
2017-06-30,81.75,83.0,79.5,83.0,104989.0
2017-07-03,83.0,83.25,79.75,81.75,182763.0
2017-07-04,82.0,82.5,78.75,80.0,46270.0
2017-07-05,80.0,82.25,80.0,80.5,24451.0
2017-07-06,80.5,82.0,80.5,81.75,62620.0
2017-07-07,81.75,81.75,80.25,81.0,98119.0
2017-07-10,81.0,82.0,81.0,81.75,27076.0
2017-07-11,81.25,82.0,79.5,79.5,161866.0
2017-07-12,79.75,80.75,77.25,78.0,54280.0
2017-07-13,78.25,80.5,77.0,80.0,46864.0
2017-07-14,80.0,81.5,79.5,80.5,45908.0
2017-07-17,81.75,81.75,80.25,81.0,18699.0
2017-07-18,81.0,82.0,80.25,80.25,46141.0
2017-07-19,80.25,82.0,80.0,80.75,61146.0
2017-07-20,80.75,81.75,80.0,80.5,20002.0
2017-07-21,80.25,81.25,79.0,79.25,39047.0
2017-07-24,79.25,79.25,77.5,78.5,72595.0
2017-07-25,79.0,80.25,77.75,78.0,26311.0
2017-07-26,78.25,79.75,78.25,78.75,142424.0
2017-07-27,78.75,79.5,78.25,78.75,11590.0
2017-07-28,78.75,79.25,78.25,78.25,5380.0
2017-07-31,78.25,80.25,78.0,78.25,52557.0
2017-08-01,78.25,80.0,78.0,79.0,59047.0
2017-08-02,79.0,79.25,78.25,79.0,42999.0
2017-08-03,79.25,81.0,79.0,81.0,42854.0
2017-08-04,80.75,82.25,80.25,82.0,43824.0
2017-08-07,81.5,82.0,79.25,80.5,106702.0
2017-08-08,80.5,81.75,80.0,80.25,45167.0
2017-08-09,80.0,81.75,79.75,81.75,50761.0
2017-08-10,81.75,81.75,80.5,80.75,37852.0
2017-08-11,80.25,80.5,79.75,79.75,33011.0
2017-08-14,80.0,82.0,80.0,82.0,24919.0
2017-08-15,82.0,82.0,80.25,80.25,10353.0
2017-08-16,80.5,81.0,80.25,80.75,41529.0
2017-08-17,80.25,81.0,79.5,81.0,12055.0
2017-08-18,80.75,80.75,79.0,79.25,89439.0
2017-08-21,80.0,80.0,77.5,77.75,13017.0
2017-08-22,77.75,79.75,76.75,79.5,31988.0
2017-08-23,80.0,80.0,79.25,79.5,21959.0
2017-08-24,79.25,79.25,75.25,76.0,235901.0
2017-08-25,76.25,76.5,75.5,76.0,101965.0
2017-08-28,76.0,76.75,75.5,75.75,437690.0
2017-08-29,75.75,77.0,72.25,72.5,83518.0
2017-08-30,73.0,74.25,72.0,73.0,74833.0
2017-08-31,74.5,74.75,72.5,74.5,118800.0
2017-09-01,74.75,76.5,74.0,75.75,63539.0
2017-09-04,75.5,75.5,75.0,75.25,32407.0
2017-09-05,75.0,76.75,75.0,75.25,34969.0
2017-09-06,75.25,76.0,75.0,75.5,21809.0
2017-09-07,76.25,76.25,75.5,75.5,7368.0
2017-09-08,75.75,76.0,75.5,75.75,39143.0
2017-09-11,76.0,77.0,75.5,76.0,155565.0
2017-09-12,77.0,77.25,75.75,75.75,249412.0
2017-09-13,76.0,77.0,75.5,76.25,84288.0
2017-09-14,76.75,78.25,76.0,76.0,34130.0
2017-09-15,76.0,76.5,74.0,74.5,241938.0
2017-09-18,75.25,75.25,72.25,72.5,206162.0
2017-09-19,72.5,73.5,71.25,72.0,153872.0
2017-09-20,74.75,74.75,70.5,71.5,370708.0
2017-09-21,71.5,73.5,71.25,73.25,51383.0
2017-09-22,73.5,74.0,72.5,72.5,19415.0
2017-09-25,72.75,73.5,72.5,72.75,25192.0
2017-09-26,73.0,73.75,73.0,73.5,168119.0
2017-09-27,73.5,74.0,73.0,73.75,95501.0
2017-09-28,73.75,74.25,72.5,73.75,44575.0
2017-09-29,73.75,74.25,73.25,74.25,28239.0
2017-10-02,74.5,75.25,73.5,73.75,42265.0
2017-10-03,74.0,75.0,73.75,74.5,36730.0
2017-10-04,74.5,75.25,73.75,75.0,25440.0
2017-10-05,74.5,74.75,73.75,73.75,39592.0
2017-10-06,73.25,74.75,73.25,74.75,16425.0
2017-10-09,75.25,75.25,72.5,72.75,128251.0
2017-10-10,73.0,73.5,72.25,72.5,36624.0
2017-10-11,72.5,73.25,72.0,72.5,66107.0
2017-10-12,72.5,73.25,67.0,70.0,93439.0
2017-10-13,71.25,72.5,70.75,72.0,78517.0
2017-10-16,73.5,73.75,71.0,71.5,23480.0
2017-10-17,71.75,71.75,68.5,71.0,106456.0
2017-10-18,71.0,71.0,69.25,70.0,27974.0
2017-10-19,70.0,70.0,68.0,68.5,89426.0
2017-10-20,68.5,69.0,67.0,67.25,70276.0
2017-10-23,67.5,68.0,66.0,67.25,22256.0
2017-10-24,67.25,67.25,65.5,66.5,70208.0
2017-10-25,66.0,66.25,62.75,63.0,130301.0
2017-10-26,63.0,66.0,62.0,64.0,69023.0
2017-10-27,64.25,66.0,63.0,64.5,24847.0
2017-10-30,65.0,67.5,64.0,64.25,46545.0
2017-10-31,64.25,66.75,64.25,64.5,33271.0
2017-11-01,65.25,67.75,63.25,66.0,138484.0
2017-11-02,66.25,66.5,65.5,66.0,77369.0
2017-11-03,66.75,66.75,65.5,66.5,12379.0
2017-11-06,68.0,68.75,64.75,65.5,55532.0
2017-11-07,66.0,66.5,64.5,65.75,17533.0
2017-11-08,65.75,66.25,65.5,65.75,19932.0
2017-11-09,65.75,65.75,64.5,64.5,32044.0
2017-11-10,64.25,65.5,64.25,64.75,7141.0
2017-11-13,65.5,66.0,64.0,64.5,85720.0
2017-11-14,64.5,65.75,62.0,62.0,114772.0
2017-11-15,62.0,62.5,61.0,61.25,220595.0
2017-11-16,61.25,62.25,61.0,61.5,54197.0
2017-11-17,61.5,61.75,60.0,61.0,51116.0
2017-11-20,61.25,65.5,61.25,61.75,21739.0
2017-11-21,62.0,64.0,61.25,62.0,40875.0
2017-11-22,63.5,71.5,63.5,68.75,918823.0
2017-11-23,70.75,71.25,65.5,66.0,122278.0
2017-11-24,67.5,67.5,65.75,66.25,136484.0
2017-11-27,66.0,68.0,64.5,66.25,76145.0
2017-11-28,66.25,66.25,65.5,65.75,73469.0
2017-11-29,66.75,68.5,65.5,68.5,409333.0
2017-11-30,68.5,71.5,66.75,70.5,132522.0
2017-12-01,68.0,71.0,68.0,71.0,5204055.0
2017-12-04,72.75,74.0,70.25,73.5,78143.0
2017-12-05,73.25,74.0,71.5,72.0,185666.0
2017-12-06,71.75,71.75,69.75,71.0,27955.0
2017-12-07,71.0,71.5,69.0,69.5,223897.0
2017-12-08,70.25,70.25,68.25,68.5,31589.0
2017-12-11,68.0,70.5,68.0,69.75,186817.0
2017-12-12,70.0,72.25,68.75,71.25,146248.0
2017-12-13,71.5,72.25,71.5,71.75,50918.0
2017-12-14,71.5,72.5,71.5,72.5,21495.0
2017-12-15,72.0,73.75,72.0,72.25,38087.0
2017-12-18,73.0,73.0,70.5,72.0,71760.0
2017-12-19,73.0,73.25,71.25,71.25,32531.0
2017-12-20,71.5,73.75,71.5,73.75,106763.0
2017-12-21,73.75,74.0,72.5,73.5,322415.0
2017-12-22,73.5,73.75,72.75,73.0,70992.0
2017-12-27,73.25,75.0,72.75,73.0,31668.0
2017-12-28,73.0,74.0,73.0,73.0,21489.0
2017-12-29,73.0,74.0,73.0,73.25,15239.0
2018-01-02,73.7,77.0,73.5,75.0,74185.0
2018-01-03,75.0,76.4,74.6,76.0,116303.0
2018-01-04,76.5,76.5,74.6,75.0,77766.0
2018-01-05,76.0,76.0,75.2,75.5,20161.0
2018-01-08,76.4,76.6,74.4,75.8,158216.0
2018-01-09,75.1,77.0,75.1,76.3,80807.0
2018-01-10,76.4,76.8,76.0,76.8,90353.0
2018-01-11,77.4,77.4,75.6,77.2,30837.0
2018-01-12,77.6,78.6,76.7,78.0,98049.0
2018-01-15,78.4,78.4,77.2,77.9,54665.0
2018-01-16,78.4,78.9,77.4,78.8,94890.0
2018-01-17,78.8,79.5,77.4,77.4,132418.0
2018-01-18,77.4,79.6,76.7,79.3,107972.0
2018-01-19,79.2,81.0,79.0,80.4,165884.0
2018-01-22,81.0,84.0,80.0,82.4,222199.0
2018-01-23,82.2,83.2,81.5,82.9,46151.0
2018-01-24,83.5,85.0,80.8,84.1,129675.0
2018-01-25,84.0,84.8,82.4,84.3,93963.0
2018-01-26,84.6,85.7,83.8,85.3,79604.0
2018-01-29,85.1,85.1,84.5,84.9,99308.0
2018-01-30,85.0,85.9,84.2,85.6,80562.0
2018-01-31,85.9,86.5,85.4,85.9,290110.0
