Date,Open,High,Low,Close,Volume
2010-01-04,1.52,1.52,1.42,1.52,42821.0
2010-01-05,1.42,1.63,1.42,1.52,41155.0
2010-01-07,1.63,1.73,1.52,1.63,166537.0
2010-01-08,1.73,1.73,1.52,1.52,166622.0
2010-01-11,1.63,1.73,1.63,1.63,180079.0
2010-01-12,1.73,1.73,1.63,1.63,141092.0
2010-01-13,1.73,1.93,1.73,1.73,699461.0
2010-01-14,1.73,1.73,1.63,1.63,220276.0
2010-01-15,1.73,1.83,1.73,1.73,169844.0
2010-01-18,1.63,1.93,1.63,1.83,621438.0
2010-01-19,1.83,1.93,1.63,1.63,766378.0
2010-01-20,1.73,1.73,1.63,1.63,131849.0
2010-01-21,1.63,1.63,1.52,1.52,164730.0
2010-01-22,1.63,1.63,1.52,1.52,146315.0
2010-01-25,1.42,1.52,1.42,1.42,150067.0
2010-01-26,1.52,1.52,1.42,1.42,70515.0
2010-01-27,1.42,1.52,1.42,1.42,58311.0
2010-01-28,1.52,1.52,1.32,1.42,74667.0
2010-01-29,1.32,1.42,1.32,1.42,48620.0
2010-02-01,1.42,1.52,1.42,1.42,5181.0
2010-02-02,1.42,1.52,1.32,1.52,75260.0
2010-02-03,1.52,1.52,1.42,1.42,2707.0
2010-02-04,1.42,1.52,1.42,1.42,26505.0
2010-02-05,1.52,1.52,1.32,1.32,148832.0
2010-02-08,1.42,1.42,1.32,1.42,91269.0
2010-02-09,1.42,1.42,1.32,1.42,25462.0
2010-02-10,1.42,1.42,1.32,1.42,29620.0
2010-02-11,1.42,1.42,1.32,1.42,66220.0
2010-02-12,1.42,1.42,1.32,1.32,75329.0
2010-02-15,1.32,1.42,1.32,1.32,625.0
2010-02-16,1.32,1.32,1.32,1.32,10006.0
2010-02-17,1.32,1.42,1.22,1.42,116463.0
2010-02-18,1.32,1.32,1.22,1.32,80346.0
2010-02-19,1.32,1.32,1.22,1.22,43789.0
2010-02-22,1.32,1.42,1.22,1.22,136253.0
2010-02-23,1.12,1.32,1.12,1.22,190413.0
2010-02-24,1.22,1.22,1.12,1.12,28832.0
2010-02-25,1.12,1.12,1.02,1.12,42207.0
2010-02-26,1.12,1.22,1.12,1.22,47553.0
2010-03-01,1.12,1.12,1.12,1.12,199.0
2010-03-02,1.22,1.22,1.22,1.22,2952.0
2010-03-03,1.12,1.22,1.12,1.22,25767.0
2010-03-04,1.22,1.32,1.22,1.32,143937.0
2010-03-05,1.32,1.32,1.12,1.12,43383.0
2010-03-08,1.12,1.12,1.12,1.12,80121.0
2010-03-09,1.02,1.32,1.02,1.32,317282.0
2010-03-10,1.32,1.32,1.22,1.22,171203.0
2010-03-11,1.22,1.22,1.12,1.22,40977.0
2010-03-12,1.22,1.22,1.12,1.12,32352.0
2010-03-15,1.12,1.22,1.12,1.12,87301.0
2010-03-16,1.12,1.22,1.12,1.22,13091.0
2010-03-17,1.12,1.12,1.12,1.12,1773.0
2010-03-18,1.12,1.22,1.12,1.22,23051.0
2010-03-19,1.12,1.22,1.12,1.22,29376.0
2010-03-22,1.22,1.22,1.12,1.22,21108.0
2010-03-23,1.22,1.22,1.02,1.02,436598.0
2010-03-24,1.02,1.12,0.91,1.02,500144.0
2010-03-25,1.02,1.02,0.91,1.02,87754.0
2010-03-26,1.02,1.02,0.91,1.02,147736.0
2010-03-29,1.02,1.02,0.81,0.91,516951.0
2010-03-30,1.02,1.02,0.91,1.02,22043.0
2010-03-31,1.02,1.12,0.81,1.02,542082.0
2010-04-01,0.91,1.02,0.91,1.02,13945.0
2010-04-06,1.02,1.02,0.91,1.02,57327.0
2010-04-07,1.02,1.02,0.91,0.91,38962.0
2010-04-08,0.91,1.02,0.91,0.91,14012.0
2010-04-09,0.91,1.02,0.91,1.02,36257.0
2010-04-12,1.02,1.02,0.91,0.91,10206.0
2010-04-13,0.91,0.91,0.91,0.91,20603.0
2010-04-14,0.91,1.02,0.91,0.91,35633.0
2010-04-15,1.02,1.12,1.02,1.12,93322.0
2010-04-16,1.02,1.12,1.02,1.02,26560.0
2010-04-19,1.12,1.12,1.02,1.12,201913.0
2010-04-20,1.12,1.12,1.12,1.12,117480.0
2010-04-21,1.12,1.22,1.12,1.22,191557.0
2010-04-22,1.12,1.22,1.12,1.12,39530.0
2010-04-23,1.12,1.22,1.12,1.22,7290.0
2010-04-26,1.22,1.22,1.12,1.22,29356.0
2010-04-27,1.22,1.22,1.12,1.12,127188.0
2010-04-28,1.12,1.22,1.12,1.22,35052.0
2010-04-29,1.22,1.22,1.12,1.22,11756.0
2010-04-30,1.22,1.22,1.12,1.12,26867.0
