Date,Open,High,Low,Close,Volume
2011-06-23,10.09,10.09,9.29,9.66,39812.0
2011-06-27,9.16,9.51,9.16,9.51,5636.0
2011-06-28,9.16,9.16,8.57,9.06,56540.0
2011-06-29,9.06,9.06,8.77,8.85,49056.0
2011-06-30,8.85,9.02,8.85,8.94,23340.0
2011-07-01,8.85,9.68,8.85,9.68,119412.0
2011-07-04,9.47,9.88,9.47,9.88,27476.0
2011-07-05,10.09,10.5,10.09,10.23,56024.0
2011-07-06,10.29,10.5,10.29,10.4,42444.0
2011-07-07,10.29,10.29,9.88,10.19,9420.0
2011-07-08,9.88,9.88,9.68,9.68,11044.0
2011-07-11,10.09,10.09,9.68,9.84,6984.0
2011-07-12,9.68,9.99,9.68,9.99,2076.0
2011-07-13,9.88,10.01,9.68,9.97,18148.0
2011-07-14,9.84,10.09,9.68,10.09,3812.0
2011-07-15,9.68,9.68,9.06,9.27,13064.0
2011-07-18,9.08,9.29,9.06,9.27,4672.0
2011-07-19,9.27,9.31,9.27,9.31,3656.0
2011-07-20,9.51,9.88,9.47,9.88,2012.0
2011-07-21,9.31,10.29,9.31,10.29,7612.0
2011-07-22,9.49,9.99,9.47,9.99,10576.0
2011-07-25,9.41,9.41,9.37,9.37,2000.0
2011-07-26,9.53,9.53,9.47,9.47,984.0
2011-07-27,10.07,10.07,10.07,10.07,256.0
2011-07-28,9.88,9.88,9.88,9.88,360.0
2011-07-29,9.88,9.88,9.86,9.86,3424.0
2011-08-01,9.88,10.07,9.88,10.07,928.0
2011-08-02,9.86,9.86,9.86,9.86,96.0
2011-08-03,9.39,9.68,9.37,9.68,10812.0
2011-08-04,9.31,9.31,9.27,9.27,7548.0
2011-08-05,7.89,9.04,7.89,9.04,4628.0
2011-08-08,9.02,9.02,7.89,7.99,11764.0
2011-08-09,8.03,8.24,7.31,8.24,16412.0
2011-08-10,8.42,8.85,8.42,8.75,1640.0
2011-08-11,8.85,8.85,8.65,8.65,512.0
2011-08-15,8.94,9.06,8.24,9.06,14156.0
2011-08-16,9.06,9.06,8.96,8.96,6008.0
2011-08-17,9.88,9.88,9.88,9.88,56.0
2011-08-18,9.88,9.88,9.88,9.88,3200.0
2011-08-19,9.24,9.84,8.85,9.84,6940.0
2011-08-22,9.27,9.27,9.27,9.27,24.0
2011-08-23,9.47,9.47,9.27,9.47,5560.0
2011-08-24,9.27,9.27,9.16,9.27,2120.0
2011-08-25,9.16,9.27,9.16,9.16,4588.0
2011-08-26,9.16,9.27,8.24,9.27,11100.0
2011-08-29,8.96,8.96,8.96,8.96,2000.0
2011-08-30,9.06,9.06,8.85,8.85,948.0
2011-08-31,9.1,9.1,8.46,8.75,18960.0
2011-09-01,8.38,8.96,8.24,8.96,8368.0
2011-09-02,8.96,8.96,8.96,8.96,16.0
2011-09-05,7.97,8.67,7.93,8.13,7296.0
2011-09-06,8.03,8.13,8.03,8.03,5036.0
2011-09-07,8.03,8.32,7.64,8.32,10612.0
2011-09-08,8.01,8.4,7.93,8.4,12196.0
2011-09-12,8.11,8.26,8.11,8.26,1216.0
2011-09-13,7.72,7.72,7.21,7.21,7724.0
2011-09-14,7.04,7.21,7.04,7.21,1676.0
2011-09-15,6.75,8.24,6.75,8.24,34340.0
2011-09-16,7.21,7.93,7.21,7.82,2976.0
2011-09-19,6.92,7.76,6.92,7.72,3104.0
2011-09-20,7.31,7.31,7.21,7.21,3996.0
2011-09-21,7.21,7.21,7.21,7.21,976.0
2011-09-22,7.0,7.0,7.0,7.0,4000.0
2011-09-23,6.71,6.71,6.71,6.71,796.0
2011-09-26,6.81,6.9,6.81,6.81,10176.0
2011-09-28,6.81,6.81,6.65,6.65,6552.0
2011-09-30,6.71,6.73,6.71,6.73,6112.0
2011-10-04,7.02,7.02,7.02,7.02,2032.0
