Date,Open,High,Low,Close,Volume
2015-10-16,38.99,40.27,38.9,39.35,20335564.0
2015-10-19,39.81,40.82,39.63,39.99,1440781.0
2015-10-20,40.18,40.27,39.9,39.99,1027587.0
2015-10-21,40.18,41.09,40.09,40.27,950612.0
2015-10-22,40.64,41.18,40.18,41.18,810885.0
2015-10-23,41.46,41.46,40.54,41.0,993149.0
2015-10-26,41.37,41.64,41.18,41.64,236159.0
2015-10-27,41.55,42.19,41.28,41.37,214852.0
2015-10-28,42.28,42.28,40.27,41.0,204864.0
2015-10-29,41.18,41.46,40.27,40.27,885343.0
2015-10-30,41.18,41.18,39.35,40.27,205049.0
2015-11-02,41.64,42.1,40.73,41.18,365202.0
2015-11-03,41.64,42.47,41.37,42.37,848734.0
2015-11-04,42.56,43.93,41.92,43.56,232896.0
2015-11-05,44.39,45.12,43.66,44.39,547370.0
2015-11-06,44.85,45.03,42.28,43.66,600825.0
2015-11-09,44.3,45.12,43.93,44.11,504645.0
2015-11-10,44.66,45.03,44.11,44.39,332466.0
2015-11-11,44.85,45.21,44.3,44.66,329866.0
2015-11-12,44.66,45.12,44.48,44.48,209260.0
2015-11-13,44.66,44.85,44.3,44.39,214624.0
2015-11-17,44.85,44.85,43.93,44.39,311152.0
2015-11-18,44.39,44.66,43.75,44.02,230964.0
2015-11-19,44.11,44.39,43.66,43.75,157296.0
2015-11-20,43.75,43.93,43.29,43.93,399301.0
2015-11-24,43.66,43.66,42.28,43.11,313010.0
2015-11-25,43.11,43.75,43.11,43.38,205589.0
2015-11-26,44.3,45.3,44.3,45.3,4236791.0
2015-11-27,45.3,47.59,44.94,46.22,1019576.0
2015-11-30,46.68,50.11,46.68,49.65,402100.0
2015-12-01,49.88,52.62,49.65,49.88,1097921.0
2015-12-02,50.57,50.79,48.96,49.19,410826.0
2015-12-03,50.11,50.79,49.42,50.57,745963.0
2015-12-04,51.02,52.17,49.88,49.88,372508.0
2015-12-08,50.11,50.34,48.51,48.96,338856.0
2015-12-09,50.34,50.34,47.59,48.05,206707.0
2015-12-10,48.05,48.05,46.22,47.36,225264.0
2015-12-11,48.05,48.05,46.22,46.22,881713.0
2015-12-14,46.45,47.82,46.22,47.36,206967.0
2015-12-15,47.82,50.34,47.59,50.34,199728.0
2015-12-16,50.79,51.02,49.42,50.57,182475.0
2015-12-17,50.79,51.94,50.11,50.79,171001.0
2015-12-18,51.48,51.48,49.42,50.34,173840.0
2015-12-22,49.88,49.88,48.05,49.88,124184.0
2015-12-23,49.88,50.34,49.42,49.88,107610.0
2015-12-29,50.79,51.94,50.34,50.34,167393.0
2015-12-30,51.25,51.25,50.34,50.79,89075.0
2016-01-05,50.34,50.79,49.42,49.65,164033.0
2016-01-07,48.51,48.73,46.9,47.13,419015.0
2016-01-08,47.59,48.51,47.13,48.28,151447.0
2016-01-11,48.05,48.05,46.9,47.59,154188.0
2016-01-12,47.82,48.96,46.9,48.73,349888.0
2016-01-13,48.73,50.11,48.73,49.88,261068.0
2016-01-14,48.96,49.65,48.51,49.19,283691.0
2016-01-15,49.42,49.42,48.05,48.28,304129.0
2016-01-18,48.05,48.73,47.59,48.51,195100.0
2016-01-19,49.42,49.88,48.96,49.42,170794.0
2016-01-20,49.42,49.65,48.05,48.05,741031.0
2016-01-21,49.65,49.65,47.82,48.28,151880.0
2016-01-22,49.88,49.88,48.73,49.19,162759.0
2016-01-25,49.42,50.34,48.73,48.96,390203.0
2016-01-26,48.51,49.88,48.51,49.65,93965.0
2016-01-27,49.65,50.11,49.19,49.19,1092221.0
2016-01-28,49.42,50.57,49.19,49.88,158523.0
2016-01-29,50.57,50.57,49.19,49.42,161365.0
2016-02-01,50.11,50.11,47.59,48.28,412281.0
2016-02-02,48.96,48.96,47.82,48.28,98373.0
2016-02-03,48.28,48.73,48.05,48.51,71029.0
2016-02-04,48.73,48.73,47.59,48.05,53773.0
2016-02-05,48.05,48.51,47.82,48.28,75159.0
2016-02-08,48.28,48.28,45.76,45.76,144268.0
2016-02-09,45.76,46.68,43.66,44.66,450424.0
2016-02-10,44.85,46.45,44.39,45.99,228854.0
2016-02-11,45.76,46.22,44.66,45.67,289782.0
2016-02-12,45.99,48.51,45.76,48.51,174015.0
2016-02-15,48.73,51.48,48.51,51.48,535703.0
2016-02-16,51.48,51.48,48.51,49.19,222054.0
2016-02-17,49.42,50.11,47.82,48.96,138010.0
2016-02-18,48.96,51.02,48.05,51.02,267941.0
2016-02-19,49.42,51.25,46.68,49.19,730184.0
2016-02-22,49.19,49.42,47.59,48.05,474637.0
2016-02-23,47.59,48.28,47.36,48.28,200788.0
2016-02-24,48.28,48.28,47.36,47.82,111092.0
2016-02-25,47.82,48.51,47.82,48.51,85226.0
2016-02-26,48.28,48.73,46.68,47.36,107875.0
2016-02-29,45.99,46.68,45.67,46.68,269002.0
2016-03-01,46.68,47.59,45.99,47.36,197763.0
2016-03-02,47.13,47.59,46.68,47.59,96191.0
2016-03-03,47.36,47.36,45.99,46.22,555738.0
2016-03-04,46.22,48.28,45.76,48.28,152581.0
2016-03-07,48.28,48.96,47.59,48.51,81634.0
2016-03-08,48.51,49.65,47.82,49.65,132647.0
2016-03-09,48.28,51.02,48.28,50.57,226185.0
2016-03-10,50.34,50.79,49.88,50.34,242612.0
2016-03-11,50.34,51.02,49.42,50.57,141200.0
2016-03-14,49.88,50.79,49.88,50.57,93946.0
2016-03-15,50.11,51.02,49.88,51.02,49059.0
2016-03-16,50.57,51.48,50.34,51.48,202808.0
2016-03-17,51.71,52.62,51.25,52.62,131898.0
2016-03-18,54.0,54.23,52.85,53.08,286929.0
2016-03-21,52.85,54.0,52.85,53.08,123913.0
2016-03-22,52.85,53.54,52.4,53.54,101065.0
2016-03-23,54.0,54.0,53.08,54.0,125320.0
2016-03-24,54.0,54.0,53.31,54.0,26062.0
2016-03-29,54.0,54.68,53.54,54.68,185985.0
2016-03-30,54.91,56.29,53.54,54.0,445097.0
2016-03-31,54.0,54.68,52.17,54.68,705575.0
2016-04-01,54.46,54.68,53.31,53.31,36382.0
2016-04-04,53.31,53.54,52.85,53.54,75526.0
2016-04-05,53.54,54.46,52.85,54.46,102192.0
2016-04-06,54.46,54.91,53.08,54.91,73107.0
2016-04-07,54.91,54.91,54.0,54.68,39354.0
2016-04-08,54.46,54.91,54.23,54.91,121754.0
2016-04-11,54.91,54.91,53.54,54.23,452204.0
2016-04-12,54.46,54.46,52.17,52.85,400754.0
2016-04-13,53.08,53.31,51.25,52.62,102372.0
2016-04-14,52.62,53.08,52.17,52.62,135092.0
2016-04-15,52.62,53.31,52.62,52.85,83137.0
2016-04-18,53.08,53.77,52.62,53.31,209636.0
2016-04-19,52.85,53.54,52.4,53.08,200452.0
2016-04-20,52.85,53.08,52.4,52.62,270677.0
2016-04-21,52.4,53.77,52.4,52.4,204139.0
2016-04-22,52.4,52.85,51.02,51.71,68473.0
2016-04-25,51.71,54.0,51.71,53.08,119124.0
2016-04-26,53.08,53.08,51.94,52.17,170290.0
2016-04-27,52.62,53.08,51.48,52.62,249596.0
2016-04-28,50.79,52.17,50.79,50.79,739638.0
