Date,Open,High,Low,Close,Volume
2009-12-01,6.45,6.45,6.26,6.45,6090.0
2009-12-02,6.41,6.51,6.2,6.51,36017.0
2009-12-03,6.53,6.57,6.47,6.47,5438.0
2009-12-04,6.47,6.47,6.31,6.31,16810.0
2009-12-07,6.31,6.51,6.31,6.41,37057.0
2009-12-08,6.41,6.49,6.31,6.49,30940.0
2009-12-09,6.49,6.55,6.41,6.51,24873.0
2009-12-10,6.41,6.43,6.35,6.43,15537.0
2009-12-11,6.43,6.49,6.35,6.49,2719.0
2009-12-14,6.41,6.47,6.29,6.33,24958.0
2009-12-15,6.12,6.31,6.08,6.22,88834.0
2009-12-16,6.22,6.29,6.12,6.2,11528.0
2009-12-17,6.26,6.31,6.1,6.31,52804.0
2009-12-18,6.31,6.43,6.31,6.43,10760.0
2009-12-21,6.1,6.41,6.06,6.24,58166.0
2009-12-22,6.26,6.33,6.02,6.12,60063.0
2009-12-23,6.14,6.2,6.1,6.2,35615.0
2009-12-28,6.31,6.47,6.2,6.2,42660.0
2009-12-29,6.31,6.41,6.14,6.41,67238.0
2009-12-30,6.41,6.49,6.31,6.41,125846.0
2010-01-04,6.51,6.65,6.51,6.65,4585.0
2010-01-05,6.71,6.79,6.57,6.57,43866.0
2010-01-07,6.61,6.63,6.55,6.61,22788.0
2010-01-08,6.63,6.83,6.63,6.83,48879.0
2010-01-11,6.9,7.06,6.9,7.02,113568.0
2010-01-12,7.02,7.02,6.94,7.02,19953.0
2010-01-13,7.1,7.53,7.04,7.32,163122.0
2010-01-14,7.36,7.36,6.94,6.96,93388.0
2010-01-15,7.12,7.22,6.94,6.94,89361.0
2010-01-18,6.94,7.12,6.94,7.04,21029.0
2010-01-19,6.96,7.1,6.83,7.08,33530.0
2010-01-20,7.08,7.08,7.0,7.04,6929.0
2010-01-21,7.08,7.08,7.08,7.08,1339.0
2010-01-22,7.12,7.28,7.12,7.22,95285.0
2010-01-25,7.22,7.22,7.12,7.12,15417.0
2010-01-26,7.12,7.12,6.81,6.92,34378.0
2010-01-27,6.79,6.94,6.79,6.92,18091.0
2010-01-28,6.92,7.46,6.63,6.71,95562.0
