Date,Open,High,Low,Close,Volume
2012-02-03,2.58,3.0,1.92,1.92,40000.0
2012-02-06,1.92,3.12,1.92,2.7,204363.0
2012-02-07,2.88,2.97,2.31,2.32,69627.0
2012-02-08,2.31,2.31,1.92,2.01,90907.0
2012-02-09,2.04,2.04,1.95,1.95,15500.0
2012-02-10,1.95,1.95,1.86,1.95,24507.0
2012-02-13,1.95,1.95,1.68,1.8,5933.0
2012-02-14,1.8,1.95,1.8,1.95,175.0
2012-02-15,1.95,1.97,1.91,1.95,57082.0
2012-02-16,1.95,1.95,1.93,1.93,11902.0
2012-02-17,2.04,2.04,1.93,1.93,6333.0
2012-02-20,1.95,1.95,1.95,1.95,7937.0
2012-02-21,1.95,1.95,1.95,1.95,1667.0
2012-02-22,1.8,1.94,1.8,1.94,18460.0
2012-02-23,1.86,1.86,1.86,1.86,9042.0
2012-02-24,1.86,1.86,1.86,1.86,8453.0
2012-02-27,1.86,1.86,1.86,1.86,5750.0
2012-02-28,1.84,1.84,1.82,1.82,7603.0
2012-02-29,1.82,1.82,1.82,1.82,17268.0
2012-03-01,1.86,1.86,1.82,1.82,18550.0
2012-03-02,1.74,1.86,1.74,1.82,7700.0
2012-03-05,1.8,1.8,1.8,1.8,14883.0
2012-03-06,1.8,1.82,1.8,1.82,7967.0
2012-03-07,1.77,1.77,1.74,1.74,35295.0
2012-03-08,1.82,1.82,1.62,1.62,25000.0
2012-03-09,1.74,1.74,1.68,1.68,10058.0
2012-03-12,1.56,2.33,1.56,1.68,33367.0
2012-03-13,1.57,1.57,1.57,1.57,1167.0
2012-03-14,1.53,1.56,1.5,1.5,26062.0
2012-03-15,1.53,1.53,1.47,1.5,19870.0
2012-03-16,1.38,1.5,1.32,1.5,40710.0
2012-03-19,1.5,1.5,1.5,1.5,16667.0
2012-03-20,1.56,1.56,1.5,1.5,6200.0
2012-03-21,1.47,1.47,1.45,1.45,9133.0
2012-03-23,1.38,1.38,1.32,1.38,58555.0
2012-03-26,1.44,1.74,1.44,1.74,8400.0
2012-03-27,1.51,1.65,1.5,1.5,20650.0
2012-03-28,1.44,1.56,1.44,1.47,9127.0
2012-03-29,1.44,1.44,1.44,1.44,3333.0
2012-03-30,1.44,1.47,1.44,1.47,4652.0
2012-04-02,1.39,1.5,1.39,1.5,6417.0
2012-04-03,1.41,1.41,1.41,1.41,1833.0
2012-04-04,1.41,1.47,1.41,1.47,6667.0
2012-04-05,1.47,1.47,1.47,1.47,2500.0
2012-04-10,1.47,1.61,1.47,1.61,3017.0
2012-04-13,1.62,1.62,1.62,1.62,1667.0
2012-04-16,1.62,1.62,1.62,1.62,500.0
2012-04-17,1.74,1.74,1.74,1.74,6667.0
2012-04-18,1.74,1.74,1.73,1.73,7833.0
2012-04-19,1.73,1.74,1.73,1.74,10600.0
2012-04-20,1.74,1.74,1.74,1.74,2833.0
2012-04-23,1.76,1.8,1.65,1.65,4922.0
2012-04-27,1.75,1.77,1.74,1.74,9667.0
2012-05-02,1.95,1.95,1.95,1.95,12483.0
2012-05-04,1.66,1.66,1.66,1.66,1667.0
2012-05-07,1.8,1.86,1.8,1.86,5000.0
2012-05-09,1.8,1.8,1.8,1.8,8333.0
2012-05-14,1.74,1.74,1.74,1.74,7500.0
2012-05-21,1.7,1.71,1.7,1.71,3833.0
2012-05-24,1.62,1.62,1.62,1.62,15000.0
2012-05-25,1.62,1.62,1.62,1.62,5833.0
2012-05-28,1.73,1.73,1.62,1.62,4168.0
2012-06-01,1.8,1.8,1.8,1.8,2500.0
2012-06-07,1.71,1.71,1.65,1.65,5100.0
2012-06-12,1.69,1.69,1.69,1.69,3583.0
2012-06-14,1.65,1.65,1.65,1.65,4067.0
2012-06-15,1.61,2.03,1.61,2.03,1665.0
2012-06-18,1.68,1.95,1.62,1.95,6533.0
2012-06-26,1.92,1.92,1.92,1.92,3333.0
2012-06-27,1.98,1.98,1.98,1.98,1667.0
2012-06-29,2.04,2.04,2.04,2.04,1918.0
2012-07-02,2.16,2.16,2.16,2.16,1667.0
2012-07-03,2.04,2.04,2.04,2.04,1333.0
2012-07-11,1.8,1.8,1.8,1.8,667.0
2012-07-13,1.8,1.8,1.8,1.8,10333.0
2012-07-23,1.86,1.86,1.8,1.8,11417.0
2012-07-24,1.8,1.8,1.6,1.6,6667.0
2012-07-25,2.12,2.22,2.12,2.12,18500.0
2012-07-26,2.19,2.19,1.68,2.04,1292.0
2012-07-31,1.93,1.93,1.93,1.93,1500.0
2012-08-03,2.12,2.13,2.1,2.1,4600.0
2012-08-06,2.1,2.1,2.1,2.1,3333.0
2012-08-07,2.1,2.1,1.86,2.1,10917.0
2012-08-08,2.09,2.09,2.09,2.09,1667.0
2012-08-09,2.25,2.28,2.25,2.28,3833.0
2012-08-13,2.34,2.34,2.34,2.34,5833.0
2012-08-14,2.34,2.34,2.31,2.31,25012.0
2012-08-15,2.52,2.52,2.51,2.51,10333.0
2012-08-16,2.52,2.7,2.52,2.52,21333.0
2012-08-17,2.61,2.61,2.61,2.61,1825.0
2012-08-21,2.58,2.58,2.55,2.55,13333.0
2012-08-24,2.55,2.55,2.52,2.52,4167.0
2012-08-27,2.28,2.28,2.28,2.28,10000.0
2012-08-28,2.28,2.29,2.28,2.29,4167.0
2012-08-29,2.16,2.16,2.05,2.05,11988.0
2012-09-03,2.1,2.1,2.1,2.1,1667.0
2012-09-04,2.4,2.4,2.4,2.4,16667.0
2012-09-05,2.4,2.4,2.4,2.4,7842.0
2012-09-06,2.4,2.4,2.4,2.4,33825.0
2012-09-10,2.16,2.67,2.16,2.67,383.0
2012-09-12,2.63,2.63,2.63,2.63,167.0
2012-09-13,2.06,2.06,2.06,2.06,167.0
2012-09-17,2.18,2.6,2.18,2.4,4167.0
2012-09-18,2.4,2.4,2.4,2.4,192.0
2012-09-21,2.52,2.52,2.4,2.4,13333.0
2012-09-24,2.4,2.43,2.4,2.43,11250.0
2012-09-25,2.4,2.4,2.4,2.4,8667.0
2012-09-26,2.34,2.34,2.34,2.34,2500.0
2012-10-02,2.35,2.35,2.35,2.35,980.0
2012-10-03,2.51,2.51,2.51,2.51,1833.0
2012-10-05,2.45,2.46,2.45,2.46,4667.0
2012-10-08,2.34,2.34,2.34,2.34,217.0
2012-10-09,2.4,2.46,2.37,2.46,13950.0
2012-10-11,2.4,2.4,2.4,2.4,10750.0
2012-10-12,2.37,2.37,2.16,2.16,5000.0
2012-10-15,2.16,2.45,2.16,2.45,4417.0
2012-10-23,1.94,1.94,1.94,1.94,1333.0
2012-10-24,1.94,2.4,1.66,2.4,15433.0
2012-10-25,2.39,2.39,2.39,2.39,833.0
2012-10-29,1.95,2.38,1.95,2.38,7017.0
2012-10-31,2.36,2.36,2.36,2.36,833.0
2012-11-01,2.28,2.28,2.28,2.28,867.0
2012-11-06,2.07,2.27,2.07,2.27,4917.0
2012-11-07,2.27,2.27,2.27,2.27,1250.0
2012-11-08,2.27,2.4,2.27,2.4,11667.0
2012-11-09,2.28,2.28,2.28,2.28,583.0
2012-11-14,2.1,2.28,2.1,2.28,5000.0
2012-11-16,2.39,2.39,2.39,2.39,7333.0
2012-11-19,2.22,2.22,2.22,2.22,1667.0
2012-11-20,2.13,2.13,2.13,2.13,5000.0
2012-11-23,2.16,2.16,1.98,1.98,12833.0
2012-11-26,2.27,2.27,2.27,2.27,4400.0
2012-12-03,2.1,2.1,2.01,2.02,16907.0
2012-12-05,2.1,2.51,2.1,2.51,1668.0
2012-12-06,2.32,2.32,2.11,2.11,9050.0
2012-12-07,2.17,2.39,2.17,2.39,2750.0
2012-12-13,2.16,2.16,2.16,2.16,2500.0
2012-12-14,2.04,2.04,2.04,2.04,6917.0
2012-12-19,2.04,2.04,1.98,1.98,5077.0
2012-12-20,2.1,2.1,2.1,2.1,2150.0
2013-01-02,2.05,2.05,2.05,2.05,2500.0
2013-01-07,2.4,2.4,2.22,2.22,6667.0
2013-01-08,2.46,2.46,2.46,2.46,4167.0
2013-01-09,2.46,2.56,2.27,2.56,11960.0
2013-01-10,2.56,2.56,2.56,2.56,593.0
2013-01-11,2.56,2.56,2.4,2.4,3607.0
2013-01-14,2.48,2.48,2.29,2.29,14207.0
2013-01-15,2.46,2.46,2.4,2.46,11167.0
2013-01-16,2.41,2.7,2.41,2.7,22500.0
2013-01-17,2.7,2.7,2.46,2.7,13078.0
2013-01-18,2.64,2.64,2.5,2.5,6667.0
2013-01-22,2.64,2.64,2.64,2.64,17500.0
2013-01-23,2.47,2.55,2.46,2.52,24348.0
2013-01-24,2.46,2.46,2.46,2.46,15333.0
2013-01-25,2.48,2.49,2.48,2.49,7858.0
2013-01-28,2.46,2.49,2.41,2.43,11047.0
2013-01-29,2.43,2.49,2.4,2.49,13553.0
2013-01-30,2.49,2.49,2.46,2.46,16667.0
2013-01-31,2.46,2.46,2.46,2.46,8333.0
2013-02-01,2.54,2.54,2.46,2.46,7293.0
2013-02-04,2.57,2.57,2.57,2.57,25.0
2013-02-07,2.41,2.41,2.41,2.41,6440.0
2013-02-08,2.58,2.58,2.56,2.56,1692.0
2013-02-11,2.52,2.52,2.43,2.43,9410.0
2013-02-13,2.43,2.43,2.43,2.43,5333.0
2013-02-15,2.46,2.46,2.46,2.46,583.0
2013-02-18,2.54,2.54,2.34,2.54,4818.0
2013-02-22,2.4,2.7,2.4,2.7,25720.0
2013-02-25,2.7,2.99,2.7,2.99,4713.0
2013-02-26,2.99,2.99,2.7,2.99,21850.0
2013-02-28,2.82,2.85,2.82,2.85,6913.0
2013-03-01,2.85,2.85,2.7,2.7,5333.0
2013-03-04,2.73,2.82,2.7,2.82,6803.0
2013-03-05,2.82,2.85,2.82,2.85,2745.0
2013-03-06,3.15,3.15,3.12,3.12,2333.0
2013-03-07,3.15,3.15,2.97,3.0,6417.0
2013-03-08,3.0,3.0,3.0,3.0,2500.0
2013-03-11,3.15,3.15,2.76,3.06,7517.0
2013-03-12,3.06,3.06,3.0,3.0,8350.0
2013-03-13,2.75,2.85,2.71,2.82,16500.0
2013-03-14,2.77,2.77,2.77,2.77,38.0
2013-03-15,2.77,2.77,2.71,2.71,3912.0
2013-03-18,2.79,2.79,2.79,2.79,540.0
2013-03-19,3.12,3.12,2.97,2.97,3273.0
2013-03-20,3.0,3.15,3.0,3.15,69373.0
2013-03-21,3.0,3.0,3.0,3.0,16667.0
2013-03-25,2.94,2.94,2.89,2.89,1883.0
2013-03-26,3.0,3.09,3.0,3.09,6608.0
2013-03-27,3.09,3.09,3.0,3.0,5633.0
2013-03-28,3.0,3.0,3.0,3.0,10833.0
2013-04-02,3.06,3.06,3.06,3.06,4667.0
2013-04-03,3.0,3.0,3.0,3.0,10545.0
