Date,Open,High,Low,Close,Volume
2014-02-21,43.13,44.29,42.77,43.57,3920824.0
2014-02-24,44.02,46.02,43.57,45.8,1243725.0
2014-02-25,46.24,46.24,44.91,45.58,746662.0
2014-02-26,46.02,46.02,44.91,45.35,321251.0
2014-02-27,45.35,47.13,44.91,46.24,401200.0
2014-02-28,46.69,46.91,45.8,46.24,264307.0
2014-03-03,44.91,47.13,44.46,46.91,280153.0
2014-03-04,47.8,47.8,46.69,47.13,196169.0
2014-03-05,47.13,49.35,47.13,48.47,311255.0
2014-03-06,48.47,48.69,48.02,48.69,232771.0
2014-03-07,48.91,49.8,48.02,49.13,409773.0
2014-03-10,49.13,49.13,47.13,49.13,187161.0
2014-03-11,48.91,49.13,48.02,48.91,423367.0
2014-03-12,48.91,48.91,47.58,48.91,309753.0
2014-03-13,49.13,49.35,48.47,48.91,384040.0
2014-03-14,48.02,48.91,47.35,47.8,101331.0
2014-03-17,48.02,48.69,48.02,48.02,122333.0
2014-03-18,48.24,48.47,47.8,48.24,100133.0
2014-03-19,48.47,49.8,48.47,49.35,104188.0
2014-03-20,49.35,49.35,48.91,48.91,128036.0
2014-03-21,48.47,49.58,47.8,48.91,111762.0
2014-03-24,49.58,49.8,48.91,49.35,162466.0
2014-03-25,49.35,49.8,48.02,49.35,323872.0
2014-03-26,49.58,49.8,48.91,49.58,51057.0
2014-03-27,49.35,49.8,48.69,49.13,130923.0
2014-03-28,49.8,49.8,48.91,48.91,129939.0
2014-03-31,48.69,49.58,48.69,49.35,73920.0
2014-04-01,49.35,49.58,48.91,49.58,295428.0
2014-04-02,49.8,51.8,48.91,50.24,96040.0
2014-04-03,50.02,51.13,49.8,50.69,171119.0
2014-04-04,51.13,55.13,51.13,53.58,543463.0
2014-04-07,54.47,56.02,53.8,54.02,200521.0
2014-04-08,55.13,55.13,53.58,53.8,80526.0
2014-04-09,55.13,55.13,52.02,53.36,74138.0
2014-04-10,53.36,54.25,52.02,52.91,77459.0
2014-04-11,51.58,53.36,50.69,53.36,41340.0
2014-04-14,53.36,53.36,50.24,53.36,29036.0
2014-04-15,52.24,53.13,52.02,52.02,42187.0
2014-04-16,52.91,53.8,52.02,52.91,69623.0
2014-04-17,54.02,54.02,52.91,52.91,9106.0
2014-04-22,52.91,54.25,52.47,53.8,373094.0
2014-04-23,54.25,54.25,52.91,53.36,90672.0
2014-04-24,53.36,54.25,52.47,52.91,321620.0
2014-04-25,53.36,53.8,53.36,53.36,8573.0
2014-04-28,54.02,54.25,53.58,54.02,13316.0
2014-04-29,54.25,56.91,54.02,56.25,83396.0
2014-04-30,56.91,56.91,55.36,56.91,41828.0
2014-05-02,57.14,57.8,55.36,55.36,68184.0
2014-05-05,55.58,56.47,55.13,55.13,110270.0
2014-05-06,54.25,55.8,54.25,55.58,55186.0
2014-05-07,55.8,58.47,55.8,56.69,126011.0
