Date,Open,High,Low,Close,Volume
2011-05-20,36.71,36.71,35.37,35.44,2687752.0
2011-05-23,35.51,35.51,34.43,34.94,307869.0
2011-05-24,34.79,35.3,34.43,35.08,117670.0
2011-05-25,35.23,35.44,34.94,35.3,806800.0
2011-05-26,35.3,35.37,35.01,35.37,181461.0
2011-05-27,35.37,35.8,35.23,35.51,339228.0
2011-05-30,36.09,36.09,35.44,35.8,108067.0
2011-05-31,35.51,35.66,35.37,35.44,229099.0
2011-06-01,35.44,35.44,35.44,35.44,0.0
2011-06-03,35.44,35.44,33.85,35.01,106090.0
2011-06-07,34.86,34.86,34.36,34.72,94436.0
2011-06-08,34.0,34.65,34.0,34.65,109121.0
2011-06-09,34.0,35.44,34.0,35.44,62609.0
2011-06-10,35.44,35.44,34.36,34.72,130609.0
2011-06-13,34.5,35.23,34.36,35.23,74352.0
2011-06-14,35.23,35.23,34.36,35.01,137164.0
2011-06-15,34.72,35.15,34.36,35.01,162000.0
2011-06-16,34.72,34.72,32.26,33.2,81346.0
2011-06-17,33.27,33.63,32.91,33.56,204158.0
2011-06-20,32.55,32.55,31.1,31.83,23291.0
2011-06-21,31.83,32.55,31.75,32.48,11387.0
2011-06-22,31.75,33.63,31.75,33.63,17502.0
2011-06-23,32.55,32.55,31.1,32.55,221223.0
2011-06-27,34.0,34.0,31.83,31.83,10541.0
2011-06-28,32.91,32.91,32.4,32.84,2335.0
2011-06-29,33.27,34.36,32.55,34.0,10004.0
2011-06-30,34.36,35.37,34.14,35.37,21843.0
2011-07-01,35.3,35.3,34.94,35.15,41598.0
2011-07-04,35.23,35.66,34.94,35.66,37197.0
2011-07-05,35.44,35.73,35.23,35.59,21975.0
2011-07-06,35.59,35.73,34.72,35.73,19138.0
2011-07-07,34.94,35.8,34.94,34.94,13882.0
2011-07-08,34.94,35.37,33.92,33.92,5161.0
2011-07-11,33.63,34.0,33.27,34.0,3285.0
2011-07-12,32.69,32.69,31.61,32.19,49056.0
2011-07-13,31.83,32.69,31.83,32.55,48856.0
2011-07-14,33.27,33.27,31.46,31.83,5676.0
2011-07-15,31.54,32.26,31.1,32.26,30420.0
2011-07-18,34.65,35.44,33.27,33.92,261254.0
2011-07-19,34.43,34.43,33.34,33.85,16551.0
2011-07-20,34.0,34.57,33.71,34.0,17900.0
2011-07-21,33.27,34.0,33.27,34.0,7719.0
2011-07-22,34.0,34.0,33.71,33.78,4599.0
2011-07-25,34.0,34.0,34.0,34.0,54751.0
2011-07-26,34.0,34.0,33.63,34.0,2302.0
2011-07-27,33.49,34.0,33.42,34.0,211.0
2011-07-28,33.71,34.0,32.91,33.27,13157.0
2011-07-29,33.06,34.0,32.91,33.63,4440.0
2011-08-01,34.0,34.07,32.69,32.69,13243.0
2011-08-02,34.0,34.0,31.1,31.83,10301.0
2011-08-03,31.83,33.63,28.93,29.66,70452.0
2011-08-04,31.1,31.25,27.49,28.21,44590.0
2011-08-05,26.04,28.93,25.32,28.93,55392.0
2011-08-08,26.76,28.86,25.39,26.04,235801.0
2011-08-09,25.32,26.04,23.87,25.46,75377.0
2011-08-10,26.18,27.12,24.59,24.95,28764.0
2011-08-11,26.76,26.76,24.09,24.74,69399.0
2011-08-12,26.76,27.12,26.04,26.76,16108.0
2011-08-15,26.83,28.14,26.83,28.14,22827.0
2011-08-16,28.21,28.21,26.33,26.47,30860.0
2011-08-17,26.04,27.05,25.32,25.53,36503.0
2011-08-18,25.53,25.53,23.51,24.09,22726.0
2011-08-19,23.94,24.23,21.77,23.29,29224.0
2011-08-22,23.29,23.87,22.78,23.51,22752.0
2011-08-23,24.38,24.38,23.87,23.87,122834.0
2011-08-24,25.61,25.61,23.87,23.87,35882.0
2011-08-25,23.87,24.95,22.86,23.51,99227.0
2011-08-26,23.51,23.72,22.42,23.36,43423.0
2011-08-29,23.36,24.52,22.93,23.36,15349.0
2011-08-30,24.09,24.74,22.86,23.51,160161.0
2011-08-31,23.65,25.68,23.65,25.17,19258.0
2011-09-01,25.32,26.55,25.32,26.04,75055.0
2011-09-02,25.97,26.69,25.68,25.68,50146.0
2011-09-05,26.4,26.4,25.32,26.04,36376.0
2011-09-06,25.39,26.76,25.32,26.76,37112.0
2011-09-07,26.4,27.85,25.89,27.85,24496.0
2011-09-08,27.85,27.85,26.69,27.49,8761.0
2011-09-09,27.49,27.49,26.18,26.18,6186.0
2011-09-12,25.32,26.04,25.32,25.46,14627.0
2011-09-13,25.32,27.49,25.32,27.49,11862.0
2011-09-14,27.49,27.49,26.04,27.12,6352.0
2011-09-15,27.49,28.06,26.83,27.85,13742.0
2011-09-16,27.12,27.85,27.12,27.85,12643.0
2011-09-19,28.06,28.06,26.11,27.63,6412.0
2011-09-20,27.78,27.78,26.98,27.49,15108.0
2011-09-21,27.49,27.63,27.12,27.49,436086.0
2011-09-22,26.76,27.12,26.76,26.76,600.0
2011-09-23,26.04,27.85,26.04,27.05,6345.0
2011-09-26,27.12,27.85,27.12,27.41,5176.0
2011-09-27,27.2,27.2,26.4,27.2,4035.0
2011-09-28,27.49,27.49,26.11,27.49,6674.0
2011-09-29,26.76,27.49,26.76,27.49,253.0
2011-09-30,27.49,27.49,26.76,27.49,4596.0
2011-10-03,27.49,27.49,26.4,27.41,10552.0
2011-10-04,26.76,26.83,25.39,26.76,71767.0
2011-10-05,26.69,27.49,26.04,27.12,97241.0
2011-10-06,26.11,26.91,26.04,26.4,3633.0
2011-10-07,26.69,26.76,26.69,26.76,2319.0
2011-10-10,26.76,26.76,25.1,25.32,2225.0
2011-10-11,26.04,26.47,25.75,26.47,4600.0
2011-10-12,26.69,26.83,26.11,26.11,12419.0
2011-10-13,26.69,26.69,25.75,26.4,3365.0
2011-10-14,26.69,27.34,26.47,27.34,112948.0
2011-10-17,27.49,27.49,26.62,26.91,26056.0
2011-10-18,26.04,26.47,26.04,26.4,920.0
2011-10-19,26.76,27.49,26.76,27.49,16116.0
2011-10-20,24.59,27.27,24.59,27.27,3959.0
2011-10-21,26.62,28.06,26.62,28.06,9100.0
2011-10-24,27.41,27.99,26.76,27.99,5910.0
2011-10-25,28.21,28.21,28.14,28.14,506.0
2011-10-26,27.2,27.2,26.33,26.47,3127.0
2011-10-27,27.41,28.21,27.27,27.99,19200.0
2011-10-28,28.06,28.86,27.85,28.57,214580.0
2011-10-31,28.93,28.93,27.63,28.21,3268.0
2011-11-01,27.49,27.85,26.04,27.85,175260.0
2011-11-02,28.72,28.72,26.76,28.21,16624.0
2011-11-03,28.21,28.35,27.78,28.14,139410.0
2011-11-04,28.14,28.14,28.14,28.14,0.0
2011-11-07,28.57,28.57,27.92,27.99,42726.0
2011-11-08,27.99,28.93,27.7,28.43,202506.0
2011-11-09,28.43,28.43,27.92,28.21,74772.0
2011-11-10,27.7,28.5,27.7,28.5,22072.0
2011-11-11,28.5,29.58,28.5,29.58,128212.0
2011-11-14,29.66,30.38,28.93,29.66,22115.0
2011-11-15,29.66,29.8,28.93,29.66,27835.0
2011-11-16,29.37,29.37,29.15,29.29,3569.0
2011-11-17,29.08,29.08,28.5,28.93,7590.0
2011-11-18,28.93,28.93,28.28,28.79,5327.0
