Date,Open,High,Low,Close,Volume
2017-05-05,7.2,7.2,5.2,6.0,2150042.0
2017-05-08,6.0,6.0,5.35,5.6,279189.0
2017-05-09,5.7,5.7,5.2,5.35,165742.0
2017-05-10,5.35,5.35,5.0,5.0,112751.0
2017-05-11,5.0,5.8,4.95,5.65,122427.0
2017-05-12,5.75,5.9,5.5,5.8,51091.0
2017-05-15,5.85,6.1,5.85,6.05,46142.0
2017-05-16,5.9,5.95,5.85,5.95,29038.0
2017-05-17,5.95,5.95,5.3,5.5,55379.0
2017-05-18,5.5,5.55,4.97,5.55,35650.0
2017-05-19,5.6,5.8,5.35,5.4,2588.0
2017-05-22,5.4,5.75,5.15,5.55,22324.0
2017-05-23,5.6,5.6,5.05,5.4,26581.0
2017-05-24,5.6,5.6,5.1,5.4,30114.0
2017-05-26,5.25,5.3,5.1,5.2,34935.0
2017-05-29,5.1,5.1,4.95,4.99,56661.0
2017-05-30,5.0,5.8,4.95,5.5,158355.0
2017-05-31,5.8,5.8,5.1,5.1,47321.0
2017-06-01,5.1,5.1,4.8,5.0,13656.0
2017-06-02,5.05,5.2,4.79,4.79,61744.0
2017-06-05,4.85,5.15,4.8,5.0,18448.0
2017-06-06,5.0,5.0,5.0,5.0,0.0
2017-06-07,5.0,5.0,4.8,4.81,29994.0
2017-06-08,4.81,4.98,4.7,4.98,63421.0
2017-06-09,4.99,5.0,4.89,5.0,37636.0
2017-06-12,5.0,5.0,4.76,4.8,8792.0
2017-06-13,4.8,4.8,4.68,4.68,33892.0
2017-06-14,4.94,4.94,4.88,4.89,5206.0
2017-06-15,4.92,4.92,4.62,4.7,3243.0
2017-06-16,4.62,4.8,4.62,4.8,28074.0
2017-06-19,4.8,4.85,4.75,4.75,2096.0
2017-06-20,4.63,4.8,4.63,4.67,36530.0
2017-06-21,4.67,4.85,4.39,4.4,44126.0
2017-06-22,4.43,4.65,4.43,4.65,12699.0
2017-06-23,4.65,4.65,4.65,4.65,0.0
2017-06-26,4.65,4.7,4.39,4.58,14183.0
2017-06-27,4.6,4.6,4.4,4.41,6595.0
2017-06-28,4.44,4.57,4.44,4.57,1259.0
2017-06-29,4.5,4.5,4.19,4.3,9454.0
2017-06-30,4.3,4.39,4.15,4.39,14260.0
2017-07-03,4.39,4.4,4.38,4.4,4229.0
2017-07-04,4.4,4.4,4.4,4.4,200.0
2017-07-05,4.3,4.3,4.23,4.25,5850.0
2017-07-06,4.25,4.27,4.15,4.2,9177.0
2017-07-07,4.2,4.29,4.15,4.27,8143.0
2017-07-10,4.15,4.24,4.1,4.24,4610.0
2017-07-11,4.1,4.2,3.76,4.1,23096.0
2017-07-12,4.1,4.5,4.1,4.5,20632.0
2017-07-13,4.21,4.28,4.0,4.11,21740.0
2017-07-14,4.15,4.3,4.15,4.3,700.0
2017-07-17,4.34,4.34,3.98,4.13,22596.0
2017-07-18,4.12,4.13,4.11,4.13,1568.0
2017-07-19,4.13,4.33,4.13,4.29,2229.0
2017-07-20,4.24,4.24,4.0,4.02,15327.0
2017-07-21,4.02,4.04,4.02,4.04,3280.0
2017-07-24,4.05,4.05,3.8,3.9,8378.0
2017-07-25,3.9,4.05,3.9,4.04,16932.0
2017-07-26,4.15,4.2,3.88,3.99,3775.0
2017-07-27,3.97,3.97,3.85,3.9,8256.0
2017-07-28,3.86,3.86,3.86,3.86,1431.0
2017-07-31,3.89,3.9,3.88,3.89,17287.0
2017-08-01,3.9,4.1,3.89,4.1,8946.0
2017-08-02,4.1,4.1,4.1,4.1,99.0
2017-08-03,3.81,4.68,3.81,4.23,66939.0
2017-08-04,4.34,4.34,4.01,4.34,1176.0
2017-08-07,4.6,4.74,4.08,4.1,19869.0
2017-08-08,4.08,4.1,4.08,4.1,3309.0
2017-08-09,4.1,4.1,3.98,4.01,18267.0
2017-08-10,4.0,4.29,4.0,4.2,11000.0
2017-08-11,4.2,4.2,4.2,4.2,100.0
2017-08-14,4.04,4.04,3.9,3.9,1407.0
2017-08-15,3.9,4.0,3.9,4.0,8010.0
2017-08-16,4.0,4.0,3.9,3.99,21820.0
2017-08-17,3.99,4.22,3.9,4.22,25860.0
2017-08-18,3.96,4.0,3.95,4.0,15030.0
2017-08-21,3.95,4.0,3.95,3.95,9679.0
2017-08-22,3.95,4.17,3.94,4.09,23285.0
2017-08-23,4.19,4.19,3.6,4.11,35516.0
2017-08-24,4.1,4.1,3.95,4.08,29256.0
2017-08-25,4.05,4.08,3.98,3.98,5620.0
2017-08-28,3.98,4.09,3.95,4.07,3206.0
2017-08-29,4.07,4.07,4.07,4.07,0.0
2017-08-30,3.91,4.1,3.9,4.02,13250.0
2017-08-31,4.0,4.0,3.9,3.96,9430.0
2017-09-01,3.96,3.96,3.92,3.92,13900.0
2017-09-04,3.9,3.9,3.89,3.9,28000.0
2017-09-05,3.8,3.93,3.75,3.75,4396.0
2017-09-06,3.75,3.94,3.62,3.62,13412.0
2017-09-07,3.61,3.99,3.6,3.8,17441.0
2017-09-08,3.9,3.99,3.73,3.73,14575.0
