Date,Open,High,Low,Close,Volume
2018-12-12,63.79,63.79,55.09,61.08,91417.0
2018-12-13,59.92,59.92,57.99,59.33,3877.0
2018-12-14,59.9,60.46,58.14,60.46,12421.0
2018-12-17,60.86,62.63,59.92,62.63,6183.0
2018-12-18,61.08,62.63,61.08,62.63,1407.0
2018-12-19,62.82,62.82,60.89,61.85,3174.0
2018-12-20,60.89,61.85,60.4,61.85,3974.0
2018-12-21,60.41,61.85,60.41,61.85,7375.0
2018-12-27,62.82,63.69,61.85,61.88,1635.0
2018-12-28,61.85,63.3,60.89,63.3,10480.0
2019-01-02,62.82,62.82,60.89,62.82,798.0
2019-01-03,61.85,62.82,61.37,62.34,612.0
2019-01-04,60.92,62.82,60.89,62.82,1131.0
2019-01-07,61.85,61.85,60.89,61.85,671.0
2019-01-08,60.46,62.82,60.46,62.82,1660.0
2019-01-09,60.89,62.34,60.89,62.34,1010.0
2019-01-10,62.34,62.34,62.34,62.34,0.0
2019-01-11,60.46,61.37,57.5,61.37,827.0
2019-01-14,60.89,61.37,57.99,61.37,1850.0
2019-01-15,58.02,60.4,56.64,60.31,7988.0
2019-01-16,58.09,59.92,58.09,59.92,3420.0
2019-01-17,59.44,59.44,58.95,58.95,560.0
2019-01-18,58.95,59.73,57.29,59.34,7198.0
2019-01-21,57.52,58.94,57.52,58.94,1028.0
2019-01-22,57.05,58.94,56.82,58.94,3793.0
2019-01-23,59.44,59.91,58.71,59.87,10735.0
2019-01-24,58.95,59.42,57.18,58.95,4880.0
2019-01-25,57.99,58.95,57.42,58.95,2754.0
2019-01-28,57.02,57.99,56.79,57.78,2584.0
2019-01-29,57.99,57.99,56.05,56.68,1090.0
2019-01-30,56.39,56.39,54.72,56.04,3931.0
2019-01-31,55.28,56.04,53.64,55.03,10860.0
2019-02-01,55.03,56.05,54.14,55.25,17452.0
2019-02-04,57.03,57.97,55.57,57.01,3940.0
2019-02-05,57.99,57.99,55.87,57.18,1584.0
2019-02-06,57.01,57.02,55.86,57.02,1125.0
2019-02-07,57.01,57.02,56.05,57.02,726.0
2019-02-08,57.02,57.02,57.02,57.02,195.0
2019-02-11,57.02,57.02,56.16,57.02,999.0
2019-02-12,57.02,57.02,56.15,57.01,1335.0
2019-02-13,57.02,57.02,56.63,57.01,2076.0
2019-02-14,57.01,57.02,56.54,57.02,300.0
2019-02-15,56.54,57.02,56.54,57.02,1737.0
2019-02-18,56.54,57.99,56.54,57.99,210.0
2019-02-19,57.99,57.99,57.94,57.94,290.0
2019-02-20,57.21,57.94,57.21,57.94,1650.0
2019-02-21,58.47,61.07,58.47,60.64,34237.0
2019-02-22,60.4,60.4,58.58,60.4,5090.0
2019-02-25,60.4,60.89,60.4,60.89,1008.0
2019-02-26,60.69,60.69,59.73,60.39,499.0
2019-02-27,60.39,60.4,59.82,60.4,1690.0
2019-02-28,59.34,60.4,58.95,60.4,1120.0
2019-03-01,59.34,60.89,59.34,59.73,565.0
2019-03-04,60.4,60.4,59.44,59.92,351.0
2019-03-05,60.89,60.89,59.92,60.89,760.0
2019-03-06,59.73,60.89,58.95,60.88,1350.0
2019-03-07,58.95,60.64,58.95,60.64,230.0
2019-03-08,59.92,60.64,59.92,60.64,265.0
2019-03-11,60.87,60.87,59.92,60.64,1472.0
2019-03-12,60.87,60.87,59.92,60.87,750.0
2019-03-13,60.86,60.87,59.53,60.87,2823.0
2019-03-14,59.73,60.6,59.73,60.6,490.0
2019-03-15,59.53,60.4,59.53,60.4,2300.0
2019-03-18,60.4,60.4,59.92,60.4,1505.0
2019-03-19,59.92,60.4,59.92,60.4,882.0
2019-03-20,60.02,60.4,60.02,60.4,905.0
2019-03-21,60.02,61.76,60.02,61.76,18170.0
2019-03-22,61.85,62.34,60.16,60.89,4110.0
2019-03-25,60.89,60.89,60.79,60.79,553.0
2019-03-26,60.87,60.87,60.87,60.87,45.0
2019-03-27,59.53,60.89,59.53,60.89,1215.0
2019-03-28,60.89,61.85,60.88,61.85,1669.0
2019-03-29,62.34,62.34,60.69,62.24,457.0
2019-04-01,62.24,62.43,60.89,62.24,3410.0
2019-04-02,62.34,62.34,62.34,62.34,30.0
2019-04-03,61.85,62.34,61.85,62.34,590.0
2019-04-04,60.4,62.82,60.4,62.82,861.0
2019-04-05,62.82,63.79,62.82,62.82,1016.0
2019-04-08,62.82,63.3,62.34,62.82,1582.0
2019-04-09,62.82,62.82,61.85,62.82,1144.0
2019-04-10,62.82,62.82,62.82,62.82,447.0
2019-04-11,62.82,62.82,61.85,62.82,1066.0
2019-04-12,62.82,62.82,61.85,62.82,834.0
2019-04-15,61.37,62.82,60.4,60.89,499100.0
2019-04-16,65.24,67.65,64.27,66.2,45036.0
2019-04-17,65.72,65.72,64.75,65.72,6065.0
2019-04-18,65.24,69.1,65.24,67.65,12646.0
2019-04-23,68.13,70.55,66.69,67.65,14076.0
2019-04-24,68.62,71.03,66.69,67.65,6965.0
2019-04-25,69.58,69.58,66.69,69.1,4773.0
2019-04-26,70.55,72.0,66.2,69.58,3640.0
2019-04-29,70.07,70.55,67.17,69.58,5998.0
2019-04-30,69.58,69.58,68.13,69.1,578.0
2019-05-02,68.13,68.62,67.65,68.62,3780.0
2019-05-03,68.62,68.62,67.17,68.13,4250.0
2019-05-06,69.1,69.58,66.69,69.1,4102.0
2019-05-07,69.58,72.0,68.13,70.55,6618.0
2019-05-08,70.55,72.0,68.62,72.0,8102.0
2019-05-09,72.48,78.28,72.0,72.97,14861.0
2019-05-10,73.45,73.93,71.52,72.97,15507.0
2019-05-13,75.38,76.35,73.45,75.38,32351.0
2019-05-14,76.35,76.83,74.9,75.87,12181.0
2019-05-15,76.35,77.32,75.38,76.35,6109.0
2019-05-16,76.35,76.83,73.45,74.9,17595.0
2019-05-17,75.5,75.5,73.0,75.5,8514.0
2019-05-20,76.0,76.0,74.5,76.0,3524.0
2019-05-21,76.0,76.0,71.0,75.0,3189.0
2019-05-22,73.5,74.5,71.5,73.5,4465.0
2019-05-23,76.0,76.0,71.5,73.0,2237.0
2019-05-24,74.0,74.0,71.5,72.0,2880.0
2019-05-27,72.5,74.0,71.5,74.0,5506.0
2019-05-28,74.0,74.0,72.5,73.5,5226.0
2019-05-29,73.5,73.5,72.0,73.0,1346.0
2019-05-31,72.5,74.0,71.0,74.0,9475.0
