Date,Open,High,Low,Close,Volume
2018-06-29,45.05,47.5,45.05,46.99,1933756.0
2018-07-02,46.9,46.9,45.13,45.13,162759.0
2018-07-03,45.16,45.5,45.0,45.4,375670.0
2018-07-04,45.64,45.64,44.9,45.0,339942.0
2018-07-05,45.0,45.2,45.0,45.1,53662.0
2018-07-06,45.1,45.49,44.95,45.3,131810.0
2018-07-09,45.5,49.0,45.5,47.85,100417.0
2018-07-10,48.5,49.19,48.33,48.6,41881.0
2018-07-11,50.51,59.96,48.38,54.31,326589.0
2018-07-12,54.99,55.25,52.01,54.41,92056.0
2018-07-13,54.39,54.39,52.5,53.5,77776.0
2018-07-16,53.76,59.0,53.76,57.3,153105.0
2018-07-17,57.31,59.19,56.77,57.0,59739.0
2018-07-18,57.2,57.96,54.7,55.39,29191.0
2018-07-19,55.38,55.39,52.5,53.71,52969.0
2018-07-20,52.6,53.49,52.0,53.21,15441.0
2018-07-23,53.0,55.54,52.0,54.75,30767.0
2018-07-24,55.55,55.55,53.12,54.09,39389.0
2018-07-25,55.0,55.4,53.02,53.5,22880.0
2018-07-26,53.0,53.48,47.1,52.35,27250.0
2018-07-27,52.35,53.0,52.3,52.4,156488.0
2018-07-30,52.39,52.4,50.05,50.25,51216.0
2018-07-31,50.01,50.99,48.51,49.3,41464.0
2018-08-01,49.5,49.83,48.42,48.47,18001.0
2018-08-02,48.01,49.0,48.0,48.47,12764.0
2018-08-03,49.1,49.12,47.01,48.0,20730.0
2018-08-06,48.26,51.8,48.26,50.42,47475.0
2018-08-07,51.45,52.0,50.2,51.46,25478.0
2018-08-08,52.39,52.39,48.51,49.75,26311.0
2018-08-09,51.21,51.21,50.0,50.72,17600.0
2018-08-10,50.94,51.83,49.88,49.88,34998.0
2018-08-13,49.0,50.61,49.0,49.94,24309.0
2018-08-14,49.96,52.66,49.96,52.0,35131.0
2018-08-15,51.99,54.99,51.01,51.84,20371.0
2018-08-16,51.51,51.51,50.0,50.38,33900.0
2018-08-17,52.71,52.76,50.31,50.75,227353.0
2018-08-20,51.0,51.97,49.5,50.7,26674.0
2018-08-21,50.5,50.5,48.49,48.8,39687.0
2018-08-22,51.0,51.0,48.0,48.79,27023.0
2018-08-23,49.67,49.7,47.5,48.19,26720.0
2018-08-24,47.0,48.9,47.0,47.82,38414.0
2018-08-27,49.5,49.5,48.0,48.5,17292.0
2018-08-28,48.5,49.0,47.8,49.0,17493.0
2018-08-29,49.37,51.98,48.0,49.6,55356.0
2018-08-30,50.0,50.9,49.7,50.9,31848.0
2018-08-31,51.0,51.99,50.24,50.98,38352.0
2018-09-03,53.06,54.0,51.02,51.6,130220.0
2018-09-04,53.5,55.93,52.6,52.99,444247.0
2018-09-05,54.0,54.45,53.0,53.75,125164.0
2018-09-06,54.01,54.82,53.0,53.95,165016.0
2018-09-07,54.01,56.99,53.5,53.72,44832.0
2018-09-10,53.73,54.29,51.01,51.59,41284.0
2018-09-11,50.83,51.39,50.0,50.96,48428.0
2018-09-12,50.51,52.44,50.5,51.95,16218.0
2018-09-13,51.5,53.5,51.41,51.51,26414.0
2018-09-14,51.4,52.52,51.2,51.47,22286.0
2018-09-17,51.11,52.4,51.11,51.4,27944.0
2018-09-18,51.11,52.0,49.9,50.87,52404.0
2018-09-19,50.0,52.5,50.0,50.99,16078.0
2018-09-20,51.49,51.49,50.01,51.0,30782.0
2018-09-21,51.0,52.61,50.55,50.55,16786.0
2018-09-24,50.51,51.57,50.3,50.86,21983.0
2018-09-25,51.03,52.48,51.03,52.48,12089.0
2018-09-26,54.5,54.5,52.5,53.5,74170.0
2018-09-27,52.56,54.25,52.51,54.25,28215.0
2018-09-28,54.4,54.4,53.0,53.4,22596.0
2018-10-01,54.29,54.4,53.05,53.25,14744.0
2018-10-02,53.26,56.97,53.26,55.02,248378.0
2018-10-03,55.04,55.87,52.6,52.6,47171.0
2018-10-04,53.01,53.5,52.1,52.5,178691.0
2018-10-05,52.51,53.92,52.33,53.44,25924.0
2018-10-08,53.44,53.82,52.04,52.78,24607.0
2018-10-09,53.2,54.99,53.2,54.0,47642.0
2018-10-10,55.0,55.0,51.68,52.07,26642.0
2018-10-11,51.24,51.24,46.01,47.0,113226.0
2018-10-12,47.5,48.0,46.0,46.88,76621.0
2018-10-15,46.69,46.69,44.24,45.2,61842.0
2018-10-16,45.21,46.5,44.1,46.0,109889.0
2018-10-17,46.0,46.45,44.8,45.25,53514.0
2018-10-18,44.8,45.69,43.01,44.75,34865.0
2018-10-19,44.68,44.99,43.1,43.8,31883.0
2018-10-22,45.83,45.83,43.22,43.6,17375.0
2018-10-23,43.81,43.81,41.03,43.4,115000.0
2018-10-24,43.4,45.0,41.9,43.0,36765.0
2018-10-25,42.0,42.25,40.7,41.1,56363.0
2018-10-26,41.1,42.08,40.5,41.5,43168.0
2018-10-29,41.0,43.75,41.0,42.82,29884.0
2018-10-30,42.1,46.45,42.1,45.87,33770.0
2018-10-31,46.31,47.8,43.65,46.81,27846.0
2018-11-01,46.51,46.81,45.0,45.02,16397.0
2018-11-02,46.47,46.47,44.92,44.92,13008.0
2018-11-05,45.01,45.5,42.0,44.03,159521.0
2018-11-06,44.75,45.5,44.22,45.0,18332.0
2018-11-07,44.24,45.44,43.9,44.9,11869.0
2018-11-08,45.08,45.08,43.69,43.69,11542.0
2018-11-09,44.35,46.96,43.0,45.39,24108.0
2018-11-12,46.0,46.14,44.15,45.05,7490.0
2018-11-13,44.99,45.33,42.5,44.19,51018.0
2018-11-14,43.99,45.17,42.53,44.2,28647.0
2018-11-15,44.0,45.4,42.0,45.21,22841.0
2018-11-16,45.0,45.0,43.49,44.28,11391.0
2018-11-19,44.0,44.2,43.0,43.2,8563.0
2018-11-20,43.2,43.2,41.0,41.79,85255.0
2018-11-21,40.01,42.5,40.01,41.5,22837.0
2018-11-22,41.49,43.01,41.1,41.62,239330.0
2018-11-23,42.3,43.01,40.51,40.83,112058.0
2018-11-26,40.83,41.48,40.83,41.4,141897.0
2018-11-27,40.78,41.97,40.5,40.5,8535.0
2018-11-28,40.6,40.6,39.13,39.4,737106.0
2018-11-29,40.8,45.13,40.0,42.3,156230.0
2018-11-30,44.74,46.9,43.0,46.5,162631.0
2018-12-03,48.05,51.19,47.5,47.6,138247.0
2018-12-04,48.24,48.4,45.7,46.0,77280.0
2018-12-05,45.0,46.0,43.7,46.0,31988.0
2018-12-06,46.5,46.5,43.6,43.91,20678.0
2018-12-07,44.5,45.5,43.5,44.33,9510.0
2018-12-10,45.99,45.99,42.05,42.48,17796.0
2018-12-11,42.06,45.19,42.06,43.71,24947.0
2018-12-12,45.25,45.9,43.7,45.42,27412.0
2018-12-13,45.5,46.95,45.5,45.5,19973.0
2018-12-14,45.0,46.21,45.0,46.0,36353.0
2018-12-17,45.42,46.6,44.2,45.53,20171.0
2018-12-18,44.81,48.88,44.09,45.65,18378.0
2018-12-19,46.99,47.0,43.1,43.17,74342.0
2018-12-20,43.17,44.74,41.1,43.67,43761.0
2018-12-21,44.56,44.56,42.85,43.1,15482.0
2018-12-27,41.2,46.03,41.2,41.49,15973.0
2018-12-28,41.5,44.59,41.5,44.0,18080.0
2019-01-02,44.01,45.99,43.01,43.1,14857.0
2019-01-03,43.1,44.16,42.9,43.75,3551.0
2019-01-04,44.15,44.72,43.01,44.17,3208.0
2019-01-07,43.0,44.99,43.0,43.68,6801.0
2019-01-08,43.95,47.0,43.95,44.22,22467.0
2019-01-09,45.97,46.22,45.03,45.2,5395.0
2019-01-10,45.6,45.6,43.72,44.17,17009.0
2019-01-11,46.94,46.94,43.71,44.81,4056.0
2019-01-14,45.0,46.44,44.1,44.55,4111.0
2019-01-15,44.55,46.49,44.24,44.5,10000.0
2019-01-16,45.0,46.93,44.1,44.99,14018.0
2019-01-17,46.99,46.99,45.03,45.61,6236.0
2019-01-18,46.33,46.33,45.1,45.3,80355.0
2019-01-21,46.19,46.19,44.01,44.63,10104.0
2019-01-22,44.24,45.3,43.75,44.09,8877.0
2019-01-23,44.0,44.24,43.13,43.53,9555.0
2019-01-24,44.78,44.78,42.0,42.1,39330.0
2019-01-25,44.79,44.79,42.6,42.94,52375.0
2019-01-28,42.94,42.94,41.6,41.85,9058.0
2019-01-29,43.0,43.81,42.01,42.56,11173.0
2019-01-30,43.49,43.49,41.8,41.9,4344.0
2019-01-31,43.94,43.94,41.9,42.0,105149.0
2019-02-01,42.1,43.49,42.1,42.12,8837.0
2019-02-04,41.5,42.12,41.5,41.8,9164.0
2019-02-05,41.85,48.0,41.85,44.42,170165.0
2019-02-06,43.33,44.08,42.83,42.9,6831.0
2019-02-07,42.9,43.92,42.0,42.0,19424.0
2019-02-08,42.3,45.44,41.81,42.75,41636.0
2019-02-11,42.75,44.24,42.5,43.71,10803.0
2019-02-12,45.99,46.88,43.3,43.4,53827.0
2019-02-13,46.3,46.3,42.21,43.29,16714.0
2019-02-14,42.33,44.17,42.12,42.35,11869.0
2019-02-15,42.99,43.0,42.35,42.45,56183.0
2019-02-18,42.46,43.92,42.45,43.13,6077.0
2019-02-19,42.8,43.88,42.7,43.69,7599.0
2019-02-20,42.65,44.0,42.65,43.27,10765.0
2019-02-21,43.27,43.27,42.5,42.5,6844.0
2019-02-22,42.51,43.0,42.0,42.31,10401.0
2019-02-25,42.31,42.97,42.01,42.3,6111.0
2019-02-26,42.01,42.2,41.7,42.0,10931.0
2019-02-27,42.3,43.0,41.92,43.0,3641.0
2019-02-28,43.0,43.0,41.02,41.19,103801.0
2019-03-01,41.21,42.35,41.0,41.0,16715.0
2019-03-04,41.26,42.74,41.1,41.1,8345.0
2019-03-05,41.15,42.2,40.0,41.4,182752.0
2019-03-06,41.4,41.96,41.4,41.61,13270.0
2019-03-07,41.62,42.49,40.85,41.02,10315.0
2019-03-08,41.0,41.01,39.95,40.7,30140.0
2019-03-11,40.01,41.9,40.01,41.08,7223.0
2019-03-12,41.0,41.51,40.04,41.01,17733.0
2019-03-13,40.81,41.65,40.81,41.4,10829.0
2019-03-14,41.49,41.89,41.0,41.51,10530.0
2019-03-15,41.5,41.9,41.06,41.9,19475.0
2019-03-18,41.6,41.9,41.25,41.6,23889.0
2019-03-19,41.6,41.6,40.88,41.11,16154.0
2019-03-20,40.5,41.47,40.5,41.17,20427.0
2019-03-21,41.1,41.9,41.1,41.69,7225.0
2019-03-22,41.6,41.65,40.58,40.88,9605.0
2019-03-25,40.88,45.0,40.0,43.5,66937.0
2019-03-26,43.5,45.22,43.26,44.43,14492.0
2019-03-27,46.4,48.0,45.94,46.65,27733.0
2019-03-28,46.65,46.65,45.0,46.3,35098.0
2019-03-29,47.65,47.65,44.37,46.56,22697.0
2019-04-01,46.6,46.6,45.0,46.3,130834.0
2019-04-02,46.3,46.45,45.0,45.4,6571.0
2019-04-03,45.4,46.6,44.15,44.95,51791.0
2019-04-04,45.25,46.0,44.15,45.3,6606.0
2019-04-05,45.3,46.0,45.3,45.35,5724.0
2019-04-08,45.95,45.95,44.5,45.7,6571.0
2019-04-09,44.9,45.35,43.15,44.35,4035.0
2019-04-10,43.75,50.1,43.75,48.6,87241.0
2019-04-11,50.0,54.7,50.0,53.0,199384.0
2019-04-12,54.7,55.5,53.0,55.0,122840.0
2019-04-15,56.6,57.6,54.2,55.4,73365.0
2019-04-16,55.6,57.4,53.1,54.3,65759.0
2019-04-17,53.9,53.9,49.0,50.8,59994.0
2019-04-18,49.4,49.95,48.0,49.85,23739.0
2019-04-23,49.05,50.0,48.3,50.0,12775.0
2019-04-24,49.95,49.95,47.45,49.4,33049.0
2019-04-25,49.0,49.1,47.55,49.0,27874.0
2019-04-26,49.0,49.1,46.55,48.1,40651.0
2019-04-29,48.5,48.7,47.35,47.85,12830.0
2019-04-30,47.9,47.9,47.0,47.9,6110.0
2019-05-02,47.9,50.6,46.75,48.4,18742.0
2019-05-03,48.45,48.8,47.1,48.45,6704.0
2019-05-06,47.2,48.05,45.6,47.8,16467.0
2019-05-07,48.2,48.5,46.55,47.95,12579.0
2019-05-08,45.9,47.0,45.5,46.05,29242.0
2019-05-09,46.0,46.55,45.65,46.15,10643.0
2019-05-10,46.5,46.95,45.55,46.7,6536.0
2019-05-13,46.5,47.4,45.05,47.1,13682.0
2019-05-14,46.0,47.5,45.8,46.6,7077.0
2019-05-15,46.6,46.6,45.5,45.5,7476.0
2019-05-16,45.5,47.0,45.5,47.0,9092.0
2019-05-17,47.5,49.45,47.5,48.55,7509.0
2019-05-20,48.55,49.2,47.75,49.15,2846.0
2019-05-21,49.25,49.75,48.25,49.25,9477.0
2019-05-22,49.25,49.25,48.0,49.25,10662.0
2019-05-23,49.25,50.0,47.75,48.9,16395.0
2019-05-24,49.5,49.5,48.3,48.8,3458.0
2019-05-27,48.8,48.8,48.15,48.8,4068.0
2019-05-28,48.8,49.9,46.55,49.5,43026.0
2019-05-29,50.0,50.0,49.05,49.1,12006.0
2019-05-31,49.0,49.55,48.6,49.2,67730.0
2019-06-03,49.0,49.0,46.9,47.35,10495.0
2019-06-04,47.3,50.0,46.75,48.9,12245.0
2019-06-05,48.95,49.0,47.3,48.35,8030.0
2019-06-07,48.35,50.0,47.35,48.8,8082.0
2019-06-11,60.4,60.4,57.9,58.0,106040.0
2019-06-12,57.8,57.8,55.1,57.5,26756.0
2019-06-13,57.6,58.9,56.2,58.6,58434.0
2019-06-14,58.6,60.2,56.8,59.9,40998.0
2019-06-18,63.0,69.5,63.0,67.5,135638.0
2019-06-19,69.1,69.7,63.7,64.9,73956.0
2019-06-20,67.2,67.2,64.1,65.8,29080.0
2019-06-24,65.9,66.6,65.0,65.6,16963.0
2019-06-25,65.2,65.2,62.2,63.1,22333.0
2019-06-26,62.8,62.8,60.3,60.6,31528.0
2019-06-27,60.8,65.2,60.8,65.0,44226.0
2019-06-28,65.0,65.0,62.2,65.0,29857.0
2019-07-01,65.0,65.0,62.1,64.2,20133.0
2019-07-02,64.1,64.9,62.5,64.8,25041.0
2019-07-03,62.7,64.8,62.0,62.0,1622971.0
2019-07-04,62.0,63.0,61.0,63.0,52693.0
2019-07-05,64.1,64.2,62.2,63.2,47836.0
2019-07-08,63.3,63.9,61.1,62.0,33892.0
2019-07-09,61.8,62.2,61.4,61.8,25894.0
2019-07-10,61.9,62.3,61.1,61.3,19264.0
2019-07-11,61.9,61.9,60.7,61.1,24815.0
2019-07-12,61.1,61.9,60.0,61.2,32394.0
2019-07-15,61.2,63.0,61.2,62.5,24624.0
2019-07-16,62.5,63.2,61.5,61.8,24080.0
2019-07-17,61.8,62.5,60.5,60.9,15718.0
2019-07-18,61.0,61.0,58.1,59.5,32609.0
2019-07-19,58.0,61.5,57.8,59.9,9750.0
2019-07-22,60.0,61.1,58.9,60.4,7079.0
2019-07-23,60.5,61.1,59.0,59.9,9628.0
2019-07-24,59.9,61.9,59.2,60.5,12770.0
2019-07-25,60.9,61.9,60.1,60.8,14555.0
2019-07-26,60.7,61.4,59.0,59.6,12125.0
2019-07-29,59.7,60.5,59.0,59.6,14231.0
2019-07-30,59.9,60.0,58.0,58.0,13780.0
2019-07-31,57.9,58.0,55.9,57.6,14178.0
2019-08-01,57.6,58.7,56.8,58.0,9326.0
2019-08-02,57.9,58.2,54.9,57.0,59152.0
2019-08-06,53.3,55.9,53.0,54.5,14938.0
2019-08-07,53.6,57.0,53.6,55.3,38443.0
2019-08-08,55.3,56.3,54.0,55.2,13248.0
2019-08-09,55.2,56.5,55.2,55.7,6470.0
2019-08-12,56.7,60.2,55.0,55.8,64296.0
2019-08-13,56.0,57.5,54.2,56.2,13503.0
2019-08-14,56.1,59.0,54.8,54.8,22974.0
2019-08-15,56.1,58.7,52.6,52.8,68078.0
2019-08-16,53.1,54.3,51.1,53.0,48823.0
2019-08-19,52.5,54.0,52.5,53.9,50366.0
2019-08-20,54.0,54.8,53.4,53.4,10571.0
2019-08-21,53.1,53.5,52.7,52.8,17257.0
2019-08-22,52.8,53.2,51.0,52.3,36747.0
2019-08-23,52.0,52.2,50.7,51.2,34593.0
2019-08-26,50.6,52.3,50.4,50.5,44888.0
2019-08-27,50.6,52.7,50.6,52.0,74281.0
2019-08-28,52.1,53.6,51.2,53.6,68755.0
2019-08-29,53.8,55.0,51.4,52.4,128496.0
2019-08-30,51.6,52.0,51.2,52.0,64031.0
2019-09-02,52.0,53.5,51.5,51.8,22449.0
2019-09-03,58.8,58.8,53.3,53.9,189708.0
2019-09-04,54.2,54.8,53.0,54.1,70125.0
2019-09-05,54.4,54.8,53.7,53.8,39687.0
2019-09-06,54.1,55.9,53.6,55.1,64411.0
2019-09-09,55.8,55.8,53.1,53.5,37074.0
2019-09-10,53.4,54.3,51.4,52.0,35186.0
2019-09-11,51.8,53.9,51.4,51.5,72627.0
2019-09-12,52.0,53.7,52.0,52.9,36407.0
2019-09-13,52.7,53.7,51.8,52.7,44432.0
2019-09-16,53.0,53.0,51.1,52.7,57412.0
2019-09-17,52.4,52.4,51.3,52.0,20691.0
2019-09-18,51.6,52.0,51.2,51.9,17043.0
2019-09-19,51.8,52.3,51.3,51.8,17020.0
2019-09-20,52.5,52.5,51.4,51.9,24782.0
2019-09-23,51.9,52.1,51.3,52.0,63473.0
2019-09-24,52.0,52.9,51.8,52.0,44633.0
2019-09-25,52.0,52.5,51.7,51.9,25373.0
2019-09-26,51.8,53.8,51.8,52.8,21531.0
2019-09-27,52.4,53.6,52.4,53.3,5751.0
2019-09-30,53.3,54.4,52.2,52.6,48600.0
2019-10-01,54.7,57.9,54.4,55.7,200075.0
2019-10-02,55.5,55.5,53.5,53.8,39542.0
2019-10-03,53.7,54.0,50.4,51.8,437516.0
2019-10-04,51.9,53.0,51.6,53.0,112867.0
2019-10-07,53.0,53.9,52.5,52.9,49098.0
2019-10-08,52.0,53.9,52.0,52.5,11047.0
2019-10-09,52.4,53.8,52.2,53.5,46319.0
2019-10-10,53.5,56.4,52.5,52.5,88057.0
2019-10-11,53.0,55.0,52.6,54.2,70375.0
2019-10-14,54.3,55.2,54.3,55.0,103174.0
2019-10-15,55.0,56.4,54.1,56.4,24000.0
2019-10-16,56.5,57.2,55.7,56.3,36527.0
2019-10-17,56.3,57.8,56.1,57.5,19485.0
2019-10-18,57.9,57.9,57.1,57.2,8411.0
2019-10-21,57.3,58.6,56.5,57.9,90335.0
2019-10-22,57.9,59.0,57.1,58.4,19007.0
2019-10-23,56.6,58.8,56.5,58.0,15312.0
2019-10-24,57.7,59.0,57.7,59.0,40615.0
2019-10-25,59.0,61.8,58.8,59.6,106983.0
2019-10-28,59.8,60.0,58.0,58.0,15823.0
2019-10-29,59.0,59.0,57.1,57.1,8744.0
2019-10-30,57.0,57.4,55.5,57.0,16487.0
2019-10-31,56.6,58.7,56.4,58.5,35931.0
2019-11-01,58.5,59.0,58.0,59.0,5197.0
2019-11-04,58.9,61.5,58.2,60.4,26582.0
2019-11-05,60.4,61.2,59.6,60.6,35632.0
2019-11-06,60.0,62.8,60.0,62.8,25725.0
2019-11-07,63.0,65.0,62.0,63.7,25662.0
2019-11-08,63.2,65.8,63.0,65.0,40753.0
2019-11-11,64.9,66.5,64.1,66.0,19709.0
2019-11-12,66.0,66.4,64.1,66.0,30614.0
2019-11-13,66.0,66.2,62.3,64.4,25726.0
2019-11-14,63.0,63.2,60.0,61.4,24418.0
2019-11-15,61.4,62.0,60.0,61.7,30899.0
2019-11-18,61.8,63.0,60.0,62.0,13745.0
2019-11-19,61.7,63.0,61.5,62.9,54662.0
2019-11-20,61.0,62.5,59.0,60.0,21830.0
2019-11-21,59.9,61.6,58.1,61.6,15564.0
2019-11-22,61.8,62.3,60.0,60.7,9218.0
2019-11-25,60.8,63.0,60.8,62.0,15545.0
2019-11-26,62.1,63.2,62.0,62.5,36247.0
2019-11-27,63.9,63.9,62.1,63.5,17729.0
2019-11-28,64.1,64.4,63.5,63.5,20767.0
2019-11-29,63.5,64.4,63.5,64.4,20634.0
2019-12-02,65.2,67.9,64.7,66.3,63028.0
2019-12-03,68.0,69.6,66.4,68.9,69171.0
2019-12-04,69.9,69.9,67.0,68.0,202392.0
2019-12-05,65.5,68.7,65.1,68.0,115449.0
2019-12-06,68.0,68.7,66.8,68.4,29479.0
2019-12-09,67.9,69.0,67.0,68.1,14844.0
2019-12-10,67.8,70.5,66.7,70.0,33631.0
2019-12-11,70.0,70.0,68.0,69.3,34110.0
2019-12-12,68.9,71.5,68.8,71.5,36773.0
2019-12-13,71.9,71.9,70.0,70.1,20495.0
2019-12-16,70.0,72.9,70.0,71.5,34631.0
2019-12-17,70.3,72.1,69.1,70.4,58046.0
2019-12-18,71.9,72.0,69.1,71.6,27303.0
2019-12-19,71.0,73.0,71.0,72.7,20582.0
2019-12-20,71.1,74.4,71.1,74.2,22122.0
2019-12-23,74.2,75.0,73.4,74.6,12259.0
2019-12-27,75.0,75.5,72.0,75.5,20389.0
2019-12-30,75.5,76.0,73.5,75.7,8697.0
2020-01-02,75.1,75.5,73.2,74.6,7190.0
