Date,Open,High,Low,Close,Volume
2015-10-02,22.24,24.95,22.24,24.58,142092.0
2015-10-05,25.02,26.05,24.73,25.46,27173.0
2015-10-06,25.9,25.9,24.58,24.73,166066.0
2015-10-07,24.73,24.73,24.29,24.51,18203.0
2015-10-08,24.51,24.95,24.51,24.58,4799.0
2015-10-09,24.44,24.58,24.44,24.44,2586.0
2015-10-12,24.51,24.95,24.51,24.88,9371.0
2015-10-13,24.8,25.24,24.73,25.02,10156.0
2015-10-14,24.95,25.17,24.8,25.1,4095.0
2015-10-15,25.32,25.39,25.02,25.02,10327.0
2015-10-16,25.1,25.17,25.02,25.17,3713.0
2015-10-19,25.24,26.05,25.24,25.61,3167.0
2015-10-20,25.39,25.46,25.17,25.46,8401.0
2015-10-21,25.46,25.46,25.24,25.24,1159.0
2015-10-22,25.32,25.54,25.1,25.1,3580.0
2015-10-23,25.39,25.39,25.17,25.39,2116.0
2015-10-26,25.17,25.83,25.17,25.76,7088.0
2015-10-27,25.76,25.76,25.68,25.68,4713.0
2015-10-28,25.39,25.68,25.39,25.54,5962.0
2015-10-29,25.32,25.83,25.32,25.32,2559.0
2015-10-30,25.39,25.39,25.24,25.24,2816.0
2015-11-02,25.32,25.68,25.32,25.68,1620.0
2015-11-03,25.54,25.61,25.32,25.61,19507.0
2015-11-04,25.39,25.83,25.39,25.83,7909.0
2015-11-05,25.83,25.83,25.39,25.61,8543.0
2015-11-06,25.39,26.49,25.24,26.49,32412.0
2015-11-09,26.57,26.57,25.76,26.42,6047.0
2015-11-10,26.71,26.71,26.42,26.42,104320.0
2015-11-11,26.42,26.57,26.42,26.57,2117.0
2015-11-12,26.71,27.45,26.64,27.45,3225.0
2015-11-13,27.23,27.45,27.15,27.45,1803.0
2015-11-17,27.01,27.15,26.79,27.15,8700.0
2015-11-18,27.15,27.15,26.79,26.79,2605.0
2015-11-19,27.01,27.01,27.01,27.01,1737.0
2015-11-20,27.01,27.01,26.64,26.64,1305.0
2015-11-24,26.64,26.64,26.12,26.64,5284.0
2015-11-25,26.64,27.15,26.64,26.64,5260.0
2015-11-26,26.71,26.79,26.42,26.71,1733.0
2015-11-30,26.71,26.71,26.27,26.57,641.0
2015-12-01,26.27,26.27,25.98,26.27,12518.0
2015-12-02,26.05,27.08,26.05,27.08,4939.0
2015-12-03,26.49,26.49,26.42,26.42,752.0
2015-12-04,26.27,29.13,26.27,29.13,13133.0
2015-12-07,28.62,29.65,27.96,28.91,7015.0
2015-12-08,28.91,28.91,28.33,28.91,943.0
2015-12-09,28.91,28.91,27.15,27.89,4576.0
2015-12-10,27.08,27.52,26.42,27.52,7702.0
2015-12-11,27.52,27.81,27.15,27.15,2162.0
