Date,Open,High,Low,Close,Volume
2010-01-04,39.42,39.83,39.01,39.83,640805.0
2010-01-05,39.96,40.23,39.69,40.23,309123.0
2010-01-07,40.23,40.23,38.88,39.01,931588.0
2010-01-08,39.15,39.29,38.47,38.74,727438.0
2010-01-11,39.01,39.29,38.61,38.61,436827.0
2010-01-12,38.74,38.88,37.8,37.93,759740.0
2010-01-13,37.66,38.07,37.25,37.25,1232425.0
2010-01-14,37.39,37.8,37.25,37.39,1476160.0
2010-01-15,37.52,37.8,37.39,37.8,991802.0
2010-01-18,37.93,38.47,37.8,38.34,396701.0
2010-01-19,38.47,38.47,37.93,38.07,562639.0
2010-01-20,37.8,38.07,36.85,36.85,1346304.0
2010-01-21,37.12,37.25,36.58,36.58,680627.0
2010-01-22,36.44,36.85,35.63,35.63,807607.0
2010-01-25,35.36,36.71,35.36,36.03,919063.0
2010-01-26,36.03,36.44,35.63,36.44,959003.0
2010-01-27,36.44,36.71,35.9,36.44,712961.0
2010-01-28,36.71,37.12,36.44,36.85,628153.0
2010-01-29,36.98,36.98,36.03,36.44,688638.0
2010-02-01,36.71,36.98,36.31,36.71,890388.0
2010-02-02,36.85,37.25,36.58,37.25,407690.0
2010-02-03,37.12,37.52,37.12,37.39,347783.0
2010-02-04,37.52,37.66,37.12,37.12,487007.0
2010-02-05,37.25,37.25,36.44,36.98,615885.0
2010-02-08,37.12,37.12,36.31,36.31,572031.0
2010-02-09,36.44,36.71,36.1,36.44,392667.0
2010-02-10,36.58,36.85,36.44,36.71,624769.0
2010-02-11,36.85,36.98,36.58,36.58,419798.0
2010-02-12,36.58,36.85,36.44,36.71,493469.0
2010-02-15,36.71,36.71,36.58,36.71,349206.0
2010-02-16,36.71,36.98,36.44,36.98,230306.0
2010-02-17,36.98,37.66,36.98,37.66,267473.0
2010-02-18,37.52,38.47,37.39,38.47,493804.0
2010-02-19,38.07,38.61,37.93,38.47,415693.0
2010-02-22,38.61,38.61,37.93,38.07,268123.0
2010-02-23,38.07,38.34,37.8,37.93,441457.0
2010-02-24,37.93,38.07,37.8,37.8,217716.0
2010-02-25,37.8,38.2,37.66,37.8,706353.0
2010-02-26,37.93,38.34,37.66,38.34,441955.0
2010-03-01,38.47,38.88,38.2,38.47,466347.0
2010-03-02,38.61,38.88,38.47,38.88,473421.0
2010-03-03,38.88,39.15,38.74,39.15,342966.0
2010-03-04,39.15,39.56,38.88,39.29,341846.0
2010-03-05,39.42,39.42,39.01,39.42,347919.0
2010-03-08,39.29,39.83,39.29,39.56,398265.0
2010-03-09,39.69,39.83,39.15,39.69,350595.0
2010-03-10,39.69,39.83,39.56,39.56,696247.0
2010-03-11,39.69,40.1,39.42,39.56,862560.0
2010-03-12,39.56,40.1,39.42,39.83,2081881.0
2010-03-15,39.69,40.1,39.56,39.83,365325.0
2010-03-16,39.96,41.45,39.96,41.18,706267.0
2010-03-17,41.18,41.45,40.91,41.05,1294100.0
2010-03-18,40.91,41.18,40.78,40.91,883232.0
2010-03-19,40.91,40.91,39.56,40.23,1907112.0
2010-03-22,40.1,40.37,39.96,40.1,1573612.0
2010-03-23,40.1,40.23,39.83,40.1,889281.0
2010-03-24,40.1,40.23,39.69,40.1,780540.0
2010-03-25,40.1,40.23,39.83,39.96,965737.0
2010-03-26,40.41,40.41,39.98,40.27,1190570.0
2010-03-29,40.27,40.99,40.27,40.99,1657718.0
2010-03-30,40.99,41.85,40.7,41.7,1529431.0
2010-03-31,41.56,41.7,41.13,41.7,1063122.0
2010-04-01,41.56,42.42,41.56,42.28,395803.0
2010-04-06,42.13,42.56,41.7,42.13,806061.0
2010-04-07,41.99,42.13,41.7,41.99,743980.0
2010-04-08,41.7,41.85,41.27,41.42,462647.0
2010-04-09,41.42,41.7,41.27,41.42,528808.0
2010-04-12,41.56,41.85,41.42,41.56,315235.0
2010-04-13,41.56,41.7,40.99,41.42,514954.0
2010-04-14,41.42,41.56,40.27,40.84,449942.0
2010-04-15,40.7,41.13,40.56,40.99,561236.0
2010-04-16,40.7,40.99,40.13,40.41,365690.0
2010-04-19,40.27,40.41,39.41,39.41,331065.0
2010-04-20,39.84,40.13,39.41,39.98,576331.0
2010-04-21,40.13,40.13,39.55,39.98,354017.0
2010-04-22,40.13,40.13,38.69,39.27,1029336.0
2010-04-23,39.12,39.27,38.84,38.98,587798.0
2010-04-26,38.98,39.12,38.41,38.41,655193.0
2010-04-27,38.69,38.69,37.4,37.69,857481.0
2010-04-28,37.55,37.83,36.83,36.83,805956.0
2010-04-29,36.83,38.26,36.83,37.98,930356.0
2010-04-30,38.12,38.12,37.69,37.83,259284.0
2010-05-03,38.41,38.55,37.98,38.55,292391.0
2010-05-04,38.69,38.98,37.26,37.26,515361.0
2010-05-05,37.55,37.55,35.4,36.26,832577.0
2010-05-06,35.97,36.83,35.4,35.68,1568622.0
2010-05-07,35.11,35.4,33.53,33.68,1359750.0
2010-05-10,35.25,36.54,35.25,36.26,749806.0
2010-05-11,36.11,36.4,34.82,35.4,693378.0
2010-05-12,35.54,37.12,35.4,36.97,447776.0
2010-05-14,37.12,37.12,35.68,35.68,701306.0
2010-05-17,35.54,36.83,35.54,36.69,673057.0
2010-05-18,37.12,37.26,36.83,37.26,901245.0
2010-05-19,36.97,37.4,36.26,36.54,1049776.0
2010-05-20,36.83,37.26,36.11,36.69,1002300.0
2010-05-21,36.54,36.97,36.4,36.97,1136589.0
2010-05-24,36.97,37.55,36.97,37.4,586057.0
2010-05-25,37.12,37.12,35.97,36.69,1290013.0
2010-05-26,37.12,37.4,36.54,36.97,825016.0
2010-05-27,37.26,38.12,37.26,38.12,846501.0
2010-05-28,38.26,38.84,38.12,38.55,757761.0
2010-05-31,38.55,39.55,38.41,39.41,282749.0
2010-06-01,39.27,39.27,38.55,38.84,622182.0
2010-06-02,38.41,39.27,38.41,39.27,374632.0
2010-06-03,39.7,40.13,39.55,40.13,334516.0
2010-06-04,40.13,40.27,39.27,39.41,1224613.0
2010-06-07,39.18,39.52,38.52,38.84,337263.0
2010-06-08,38.98,39.04,37.72,37.98,544353.0
2010-06-09,38.35,38.61,38.01,38.58,604316.0
2010-06-10,38.64,39.95,38.64,39.93,667068.0
2010-06-11,39.95,39.98,38.98,39.41,370472.0
2010-06-14,39.67,39.78,39.44,39.72,257877.0
2010-06-15,39.61,40.1,39.5,39.95,509121.0
2010-06-16,40.13,40.41,39.78,40.13,501338.0
2010-06-17,40.13,40.93,40.07,40.84,774043.0
2010-06-18,40.93,41.33,40.84,41.22,891011.0
2010-06-21,41.27,42.05,41.22,42.02,665739.0
2010-06-22,41.27,42.65,41.27,42.65,767929.0
2010-06-23,42.13,43.31,42.02,42.82,716773.0
2010-06-24,42.99,43.14,41.01,41.27,461587.0
2010-06-28,40.96,41.59,40.96,41.16,490837.0
2010-06-29,41.16,41.33,40.47,40.47,473910.0
2010-06-30,40.41,41.16,40.13,40.76,501740.0
2010-07-01,40.53,41.01,39.7,40.04,882321.0
2010-07-02,40.36,40.36,39.12,39.81,702091.0
2010-07-05,39.93,40.07,39.55,39.98,328303.0
2010-07-06,40.1,40.53,39.84,40.47,608002.0
2010-07-07,40.56,42.25,40.27,42.02,538628.0
2010-07-08,42.48,42.56,41.87,42.42,361609.0
2010-07-09,42.93,42.93,41.93,41.93,417393.0
2010-07-12,41.99,42.39,41.85,41.87,308833.0
2010-07-13,41.85,42.56,41.85,42.42,614890.0
2010-07-14,42.05,42.39,41.96,42.05,581956.0
2010-07-15,41.93,42.42,41.76,42.13,528553.0
2010-07-16,42.42,42.68,41.16,41.42,375385.0
2010-07-19,41.47,42.42,41.13,42.02,345658.0
2010-07-20,42.13,42.16,41.59,42.07,318795.0
2010-07-21,42.71,42.71,42.02,42.5,797202.0
2010-07-22,42.59,43.08,42.33,42.88,661797.0
2010-07-23,43.05,43.42,42.85,43.22,292408.0
2010-07-26,43.25,43.77,43.25,43.65,314210.0
2010-07-27,43.68,43.85,43.51,43.74,764568.0
2010-07-28,43.74,43.74,43.02,43.05,519203.0
2010-07-29,43.57,43.57,42.99,42.99,716758.0
2010-07-30,42.99,43.25,42.48,42.88,442252.0
2010-08-02,42.79,43.82,42.76,43.82,620290.0
2010-08-03,43.79,44.02,43.65,43.85,912403.0
2010-08-04,43.85,44.0,43.59,43.85,831266.0
2010-08-05,43.85,44.6,43.85,44.08,489528.0
2010-08-06,44.08,44.68,43.57,43.57,419846.0
2010-08-09,43.85,44.48,43.71,44.14,191564.0
2010-08-10,44.25,44.31,43.51,43.57,566604.0
2010-08-11,43.57,43.65,42.53,42.62,668693.0
2010-08-12,42.62,42.88,41.96,42.5,1642230.0
2010-08-13,42.3,42.88,42.13,42.73,635485.0
2010-08-16,42.62,42.76,42.33,42.76,1014480.0
2010-08-17,43.08,43.91,42.96,43.85,777611.0
2010-08-18,43.45,43.85,42.93,43.11,317608.0
2010-08-19,43.19,43.19,42.42,42.65,443128.0
2010-08-20,42.39,42.53,42.13,42.28,344032.0
2010-08-23,42.13,42.79,42.13,42.71,190785.0
2010-08-24,42.39,42.59,41.79,42.13,470379.0
2010-08-25,42.19,42.71,41.62,42.19,488767.0
2010-08-26,42.16,43.05,41.9,42.65,381291.0
2010-08-27,42.62,44.0,42.56,43.97,599735.0
2010-08-30,43.91,44.11,43.39,43.82,160255.0
2010-08-31,43.48,43.48,42.82,43.39,1042971.0
2010-09-01,43.39,44.4,43.22,44.14,583165.0
2010-09-02,44.43,44.71,44.0,44.37,421093.0
2010-09-03,44.31,45.03,44.25,44.77,386521.0
2010-09-06,44.86,45.6,44.86,45.17,524059.0
2010-09-07,45.26,45.34,44.8,44.97,506402.0
2010-09-08,45.0,45.4,44.8,45.23,487808.0
2010-09-09,45.23,45.57,45.08,45.4,647513.0
2010-09-10,45.46,45.86,45.29,45.54,688313.0
2010-09-13,46.09,46.2,45.34,45.86,494420.0
2010-09-14,45.92,46.14,45.74,45.89,754373.0
2010-09-15,46.0,46.6,45.89,46.55,1072877.0
