Date,Open,High,Low,Close,Volume
2009-12-01,7.7,7.92,7.7,7.92,9900.0
2009-12-02,7.74,7.83,7.65,7.83,16800.0
2009-12-03,7.74,7.74,7.7,7.74,5700.0
2009-12-04,7.7,7.7,7.7,7.7,15200.0
2009-12-07,7.7,7.87,7.7,7.74,9100.0
2009-12-08,7.92,7.92,7.65,7.92,20900.0
2009-12-09,7.92,7.92,7.52,7.83,23200.0
2009-12-10,7.74,7.74,7.74,7.74,2000.0
2009-12-11,7.57,7.79,7.52,7.79,7000.0
2009-12-14,7.57,7.57,7.57,7.57,100.0
2009-12-15,7.57,7.83,7.48,7.83,36900.0
2009-12-16,7.57,7.83,7.57,7.83,33900.0
2009-12-17,7.52,7.57,7.52,7.52,17500.0
2009-12-18,7.48,7.79,7.48,7.65,14000.0
2009-12-21,7.21,7.61,7.21,7.61,72300.0
2009-12-22,7.48,7.65,7.21,7.21,26800.0
2009-12-23,7.35,7.65,7.3,7.65,63700.0
2009-12-28,7.39,7.57,7.39,7.39,0.0
2009-12-29,7.57,7.74,7.35,7.74,22400.0
2009-12-30,7.74,7.83,7.43,7.65,6600.0
2010-01-04,7.52,7.61,7.52,7.61,4200.0
2010-01-05,7.35,7.61,7.35,7.61,43900.0
2010-01-07,7.65,7.65,7.39,7.61,179400.0
2010-01-08,7.43,7.79,7.35,7.65,71100.0
2010-01-11,7.61,7.61,7.43,7.48,17800.0
2010-01-12,7.48,7.48,7.35,7.48,9200.0
2010-01-13,7.3,7.48,7.26,7.48,4500.0
2010-01-14,7.3,7.48,7.3,7.39,121400.0
2010-01-15,7.48,7.48,7.3,7.48,27900.0
2010-01-18,7.26,7.43,7.26,7.43,34600.0
2010-01-19,7.17,7.43,7.13,7.43,8500.0
2010-01-20,7.48,7.48,7.17,7.43,26700.0
2010-01-21,7.39,7.43,7.39,7.43,96400.0
2010-01-22,7.39,7.52,7.26,7.43,22100.0
2010-01-25,7.21,7.52,7.21,7.39,26700.0
2010-01-26,7.21,7.35,7.21,7.35,3400.0
2010-01-27,7.21,7.43,7.21,7.39,1700.0
2010-01-28,7.04,7.39,7.04,7.26,3500.0
2010-01-29,7.26,7.39,7.26,7.3,14200.0
2010-02-01,7.3,7.43,7.13,7.13,2500.0
2010-02-02,7.43,7.43,7.43,7.43,39100.0
2010-02-03,7.43,7.43,7.35,7.43,79100.0
2010-02-04,7.43,7.43,7.39,7.43,3800.0
2010-02-05,7.21,7.57,7.21,7.52,26200.0
2010-02-08,7.65,7.74,7.17,7.17,105900.0
2010-02-09,7.43,7.43,7.17,7.21,48200.0
2010-02-10,7.21,7.21,7.17,7.21,66100.0
2010-02-11,7.13,7.21,7.13,7.17,20600.0
2010-02-12,7.21,7.21,7.04,7.17,17400.0
2010-02-15,7.17,7.17,7.04,7.04,39600.0
2010-02-16,7.21,7.21,6.86,7.04,13300.0
2010-02-17,7.04,7.04,6.86,7.04,10200.0
2010-02-18,6.86,7.04,6.86,7.04,10000.0
2010-02-19,7.04,7.17,6.86,7.04,30000.0
2010-02-22,7.04,7.26,7.04,7.17,81100.0
2010-02-23,7.13,7.17,7.04,7.04,38400.0
2010-02-24,7.13,7.21,7.04,7.17,177500.0
2010-02-25,7.26,7.26,7.08,7.17,7100.0
2010-02-26,7.26,7.74,7.26,7.74,756200.0
2010-03-01,7.65,7.65,7.35,7.65,159500.0
2010-03-02,7.65,7.65,7.48,7.65,167000.0
2010-03-03,7.65,7.65,7.39,7.65,78200.0
2010-03-04,7.65,7.65,7.39,7.65,68200.0
2010-03-05,7.65,7.65,7.48,7.57,49700.0
2010-03-08,7.7,7.83,7.57,7.7,464900.0
2010-03-09,7.7,7.7,7.48,7.65,175900.0
2010-03-10,7.65,7.65,7.57,7.61,141000.0
2010-03-11,7.65,7.7,7.57,7.7,216700.0
2010-03-12,7.7,7.74,7.65,7.65,277500.0
2010-03-15,7.7,7.74,7.65,7.7,154200.0
2010-03-16,7.7,7.74,7.65,7.7,150800.0
2010-03-17,7.7,7.74,7.61,7.74,126500.0
2010-03-18,7.7,7.74,7.65,7.65,159000.0
2010-03-19,7.65,7.7,7.61,7.7,56900.0
2010-03-22,7.7,7.74,7.65,7.7,121700.0
2010-03-23,7.7,7.74,7.7,7.74,94400.0
2010-03-24,7.7,7.79,7.61,7.7,94100.0
2010-03-25,7.7,7.7,7.65,7.65,57300.0
2010-03-26,7.7,7.7,7.61,7.7,106200.0
2010-03-29,7.65,8.23,7.61,7.83,1287800.0
2010-03-30,7.96,8.09,7.87,7.92,367100.0
2010-03-31,7.87,8.09,7.87,7.96,168000.0
2010-04-01,8.01,8.01,8.01,8.01,0.0
2010-04-06,8.09,8.09,7.96,8.09,245400.0
2010-04-07,8.05,8.36,7.92,8.18,181900.0
2010-04-08,8.27,8.31,8.09,8.18,27300.0
2010-04-09,8.18,8.36,8.18,8.36,89200.0
2010-04-12,8.36,8.36,8.01,8.18,61600.0
2010-04-13,8.01,8.27,7.96,7.96,121700.0
2010-04-14,7.96,8.09,7.96,8.01,43700.0
2010-04-15,8.09,8.09,7.96,8.01,41300.0
2010-04-16,8.09,8.09,8.01,8.01,13500.0
2010-04-19,7.96,8.01,7.74,7.96,85600.0
2010-04-20,8.01,8.01,7.87,7.92,71900.0
2010-04-21,7.83,7.92,7.7,7.79,55400.0
2010-04-22,7.7,7.7,7.7,7.7,0.0
2010-04-23,7.83,7.92,7.61,7.74,69500.0
2010-04-26,7.65,7.79,7.57,7.65,128800.0
2010-04-27,7.57,7.61,7.43,7.43,151900.0
2010-04-28,7.08,7.65,7.08,7.48,168500.0
2010-04-29,7.48,7.61,7.39,7.61,41300.0
2010-04-30,7.35,7.7,7.35,7.61,29900.0
2010-05-03,7.74,7.74,7.57,7.57,22500.0
2010-05-04,7.48,7.48,7.17,7.48,137600.0
2010-05-05,7.3,7.35,7.04,7.26,132700.0
2010-05-06,7.04,7.35,6.91,7.21,150800.0
2010-05-07,6.78,6.95,6.6,6.82,181100.0
2010-05-10,6.73,7.26,6.69,7.13,95900.0
2010-05-11,7.13,7.13,6.78,6.91,71300.0
2010-05-12,7.13,7.13,7.04,7.13,6000.0
2010-05-14,7.13,7.13,6.82,7.0,20600.0
2010-05-17,7.0,7.08,6.78,7.0,47000.0
2010-05-18,6.91,7.04,6.86,6.86,36500.0
2010-05-19,6.91,7.04,6.78,6.95,57400.0
2010-05-20,6.95,7.08,6.64,6.78,69700.0
2010-05-21,6.69,7.0,6.51,6.86,58200.0
2010-05-24,6.78,6.78,6.78,6.78,0.0
2010-05-25,6.78,6.78,6.42,6.51,108000.0
2010-05-26,7.08,7.92,7.08,7.83,1658300.0
2010-05-27,7.92,7.92,7.65,7.83,493600.0
2010-05-28,7.87,7.96,7.65,7.83,197500.0
2010-05-31,7.92,8.14,7.87,8.05,541100.0
2010-06-01,8.09,8.09,7.87,7.92,128400.0
2010-06-02,7.92,8.01,7.92,8.01,127200.0
2010-06-03,8.01,8.31,8.01,8.27,465400.0
2010-06-04,8.23,8.31,8.23,8.31,228300.0
2010-06-07,8.27,8.36,7.96,8.27,139800.0
2010-06-08,8.23,8.45,8.23,8.45,144600.0
2010-06-09,8.4,8.97,8.4,8.97,274600.0
2010-06-10,8.97,9.5,8.67,9.28,257800.0
2010-06-11,9.24,9.28,8.84,9.24,144000.0
2010-06-14,9.19,9.28,8.84,9.19,87900.0
2010-06-15,9.19,9.5,9.19,9.5,310600.0
2010-06-16,9.33,9.46,9.28,9.41,188100.0
2010-06-17,9.77,9.77,9.77,9.77,0.0
2010-06-18,9.77,10.56,9.72,10.47,273300.0
2010-06-21,10.91,10.91,9.94,10.38,65800.0
2010-06-22,10.38,10.47,10.21,10.29,137500.0
2010-06-23,10.47,10.47,10.12,10.29,58300.0
2010-06-24,10.47,10.56,10.21,10.56,40200.0
2010-06-28,10.43,10.43,9.85,10.21,90800.0
2010-06-29,10.21,10.21,9.33,9.9,38500.0
2010-06-30,9.68,10.29,9.59,9.77,39000.0
2010-07-01,9.37,10.29,9.37,9.46,26100.0
2010-07-02,9.5,9.59,9.33,9.59,12200.0
2010-07-05,9.33,9.81,9.33,9.81,38400.0
2010-07-06,9.55,9.94,9.55,9.59,7300.0
2010-07-07,9.59,9.68,9.59,9.59,3900.0
2010-07-08,9.63,9.63,9.59,9.63,20600.0
2010-07-09,9.55,9.77,9.41,9.63,18100.0
2010-07-12,9.59,9.99,9.59,9.99,37300.0
2010-07-13,10.03,10.38,9.68,10.29,63700.0
2010-07-14,10.21,10.29,10.12,10.12,3200.0
2010-07-15,10.07,10.07,9.77,9.77,27000.0
2010-07-16,10.03,10.03,9.68,9.94,14900.0
2010-07-19,9.77,9.77,9.68,9.68,2000.0
2010-07-20,9.68,9.85,9.68,9.68,38300.0
2010-07-21,9.68,9.85,9.68,9.68,13000.0
2010-07-22,9.77,9.99,9.68,9.68,13700.0
2010-07-23,9.68,9.68,9.68,9.68,28500.0
2010-07-26,9.68,9.94,9.68,9.68,33700.0
2010-07-27,9.85,10.29,9.72,10.29,107900.0
2010-07-28,10.29,10.29,9.9,10.21,6900.0
2010-07-29,10.25,10.29,9.9,10.29,91300.0
2010-07-30,10.25,10.29,9.99,10.25,5500.0
2010-08-02,10.34,10.34,10.03,10.29,96900.0
2010-08-03,10.16,10.29,10.12,10.25,29700.0
2010-08-04,10.21,10.34,10.16,10.34,16700.0
2010-08-05,10.34,10.34,10.21,10.34,37100.0
2010-08-06,10.21,10.47,10.21,10.47,34800.0
2010-08-09,10.34,10.43,10.25,10.34,29700.0
2010-08-10,10.38,10.47,10.21,10.29,21500.0
2010-08-11,10.38,10.38,10.12,10.12,13700.0
2010-08-12,10.12,10.12,9.85,10.12,13000.0
2010-08-13,10.29,10.29,10.12,10.12,7700.0
2010-08-16,10.12,10.12,9.99,10.03,54600.0
2010-08-17,10.29,10.29,10.07,10.12,50800.0
2010-08-18,10.12,10.12,9.9,10.12,11300.0
2010-08-19,9.94,10.07,9.85,10.03,32400.0
2010-08-20,9.81,9.9,9.63,9.68,51300.0
2010-08-23,9.85,9.85,9.68,9.85,44100.0
2010-08-24,9.77,9.77,9.33,9.77,33400.0
2010-08-25,9.77,9.77,9.11,9.68,110500.0
2010-08-26,9.68,9.68,9.37,9.63,61300.0
2010-08-27,9.33,9.68,9.15,9.33,41300.0
2010-08-30,9.15,9.63,9.06,9.5,23100.0
2010-08-31,9.33,9.41,9.24,9.37,105200.0
2010-09-01,9.15,9.24,8.97,9.24,21800.0
2010-09-02,9.24,9.24,9.15,9.24,71800.0
2010-09-03,9.28,9.28,9.15,9.28,116800.0
2010-09-06,9.15,9.33,9.15,9.24,36100.0
2010-09-07,9.24,9.5,9.24,9.5,18000.0
2010-09-08,9.24,9.46,9.19,9.41,44800.0
2010-09-09,9.24,9.5,9.24,9.5,65300.0
2010-09-10,9.5,9.68,9.5,9.68,30900.0
2010-09-13,9.68,9.77,9.33,9.5,72700.0
2010-09-14,9.5,9.59,9.33,9.5,31300.0
2010-09-15,9.5,9.5,9.19,9.19,51000.0
2010-09-16,9.24,9.46,9.24,9.46,13100.0
