Date,Open,High,Low,Close,Volume
2011-10-20,14.72,14.72,14.72,14.72,6734.0
2011-10-21,14.72,14.72,14.62,14.72,11390.0
2011-10-24,14.72,14.72,13.77,14.72,14720.0
2011-10-25,12.39,12.39,12.34,12.39,4489.0
2011-10-26,12.34,12.34,12.34,12.34,2088.0
2011-10-27,11.87,11.87,11.87,11.87,2088.0
2011-10-31,12.77,14.15,12.77,12.82,21448.0
2011-11-01,12.82,12.82,12.58,12.58,4228.0
2011-11-02,12.58,12.82,12.44,12.82,9396.0
2011-11-03,12.34,12.34,12.34,12.34,1253.0
2011-11-04,12.82,12.82,12.82,12.82,1044.0
2011-11-07,12.34,12.34,12.34,12.34,1801.0
2011-11-08,12.11,12.11,12.11,12.11,418.0
2011-11-09,12.11,12.11,12.11,12.11,1.0
2011-11-10,12.11,12.34,12.11,12.34,17397.0
2011-11-11,12.58,12.58,12.58,12.58,491.0
2011-11-15,12.77,12.77,12.77,12.77,2088.0
2011-11-16,13.29,13.29,12.58,12.58,3184.0
2011-11-17,12.58,12.58,12.58,12.58,1044.0
2011-11-18,13.77,13.77,13.77,13.77,522.0
2011-11-21,13.91,13.96,13.48,13.77,48744.0
2011-11-22,13.58,13.58,13.05,13.58,1404417.0
2011-11-23,13.29,13.29,12.49,12.82,11442.0
2011-11-24,13.29,13.29,13.29,13.29,77705.0
2011-11-25,13.29,13.29,12.82,13.29,26554.0
2011-11-28,13.29,13.29,12.53,13.29,25296.0
2011-11-29,13.29,13.29,13.29,13.29,24325.0
2011-11-30,12.82,13.29,12.34,13.29,25498.0
2011-12-01,13.29,13.29,13.29,13.29,417606.0
2011-12-02,13.29,13.29,13.29,13.29,31.0
2011-12-05,12.34,13.2,12.34,12.82,1384.0
2011-12-06,13.1,13.1,12.82,12.82,2182.0
2011-12-07,12.86,12.86,12.82,12.86,12218.0
2011-12-08,12.86,12.86,12.86,12.86,0.0
2011-12-13,12.34,12.34,12.34,12.34,1462.0
2011-12-14,12.39,13.29,12.39,13.29,4489.0
2011-12-15,13.2,13.29,13.2,13.29,13468.0
2011-12-16,13.2,13.2,13.2,13.2,626.0
2011-12-19,13.2,13.2,13.2,13.2,0.0
2011-12-20,12.82,13.24,12.39,13.24,19314.0
2011-12-21,12.91,12.91,12.91,12.91,104.0
2011-12-22,13.01,13.29,12.91,12.91,9970.0
2011-12-23,12.91,12.91,12.91,12.91,0.0
2011-12-27,13.67,13.67,13.39,13.39,3497.0
2011-12-28,13.29,13.29,13.2,13.29,11275.0
2011-12-29,12.91,13.29,12.91,13.01,9356.0
2011-12-30,13.01,13.01,13.01,13.01,0.0
2012-01-02,13.2,13.24,13.2,13.24,1796.0
2012-01-03,13.29,13.34,13.29,13.29,3711.0
2012-01-04,13.29,13.34,13.24,13.24,4512.0
2012-01-05,13.2,13.29,13.1,13.29,3719.0
2012-01-09,13.29,13.29,12.91,13.15,12744.0
2012-01-10,13.15,13.29,13.05,13.29,14962.0
2012-01-11,13.2,13.2,13.1,13.2,6688.0
2012-01-12,13.2,13.48,13.2,13.48,17978.0
2012-01-13,13.62,13.62,13.39,13.58,15107.0
2012-01-16,13.58,13.96,13.58,13.96,755118.0
2012-01-17,13.96,14.24,13.91,14.24,119695.0
2012-01-18,13.86,14.15,13.77,13.77,24728.0
2012-01-19,14.05,15.95,14.05,15.76,1071142.0
2012-01-20,14.72,15.57,14.72,15.19,12752.0
2012-01-23,15.19,15.19,15.19,15.19,3654.0
2012-01-24,14.91,14.91,14.72,14.91,4333.0
2012-01-25,14.72,14.72,14.72,14.72,1044.0
2012-01-26,14.72,14.72,14.24,14.43,41770.0
2012-01-27,14.81,15.29,14.81,15.29,37505.0
2012-01-30,15.19,15.29,15.1,15.29,23059.0
2012-01-31,15.0,15.29,15.0,15.29,27144.0
2012-02-01,14.81,15.1,14.81,15.0,4698.0
2012-02-02,15.1,15.1,14.91,14.91,4855.0
2012-02-03,15.0,15.0,15.0,15.0,8367.0
2012-02-06,14.72,15.0,14.72,15.0,6473.0
2012-02-08,14.72,15.1,14.72,14.72,16944.0
2012-02-09,14.62,14.72,14.62,14.72,3132.0
2012-02-10,15.1,15.67,15.1,15.67,83622.0
2012-02-13,15.19,15.57,14.91,15.57,10503.0
2012-02-14,15.57,15.67,15.38,15.67,25698.0
2012-02-15,15.67,15.86,15.67,15.86,10315.0
2012-02-16,15.67,15.67,15.19,15.19,6368.0
2012-02-17,14.91,15.29,14.91,15.29,4855.0
2012-02-20,15.38,15.67,15.19,15.67,44140.0
2012-02-21,15.67,15.67,15.48,15.57,6796.0
2012-02-22,15.57,16.14,15.57,16.14,66842.0
2012-02-23,16.14,17.56,15.95,17.56,39881.0
2012-02-24,17.56,17.85,17.56,17.85,25506.0
2012-02-27,17.85,18.51,17.75,18.51,9926.0
2012-02-28,18.04,18.04,17.47,17.47,28585.0
2012-02-29,17.56,17.56,16.14,17.09,51836.0
2012-03-01,17.09,18.23,16.81,17.75,19487.0
2012-03-02,17.94,18.42,17.94,18.13,235252.0
2012-03-05,18.42,20.03,18.42,19.46,112591.0
2012-03-06,19.27,19.56,19.27,19.56,2234.0
2012-03-07,19.56,20.41,19.56,20.22,9485.0
2012-03-08,19.84,19.84,18.99,18.99,8571.0
2012-03-09,19.46,21.46,19.27,20.89,181552.0
2012-03-12,22.03,22.79,21.84,22.79,51224.0
2012-03-13,22.69,22.79,21.27,22.79,91746.0
2012-03-14,20.98,22.41,20.89,21.74,25422.0
2012-03-15,21.17,21.74,19.46,21.65,22811.0
2012-03-16,21.36,21.65,20.89,21.55,11210.0
2012-03-19,22.22,22.22,20.7,21.17,19506.0
2012-03-20,21.27,21.27,20.41,21.08,9190.0
2012-03-21,21.08,21.36,20.98,20.98,3852.0
2012-03-22,21.36,21.36,20.51,20.89,9122.0
2012-03-23,21.17,21.17,20.51,20.51,671.0
2012-03-26,21.36,21.36,21.36,21.36,3654.0
2012-03-27,21.36,21.36,21.17,21.36,3602.0
2012-03-28,21.36,21.36,21.36,21.36,271.0
2012-03-29,21.36,21.46,21.27,21.46,11451.0
2012-03-30,21.46,21.46,21.27,21.27,10902.0
2012-04-02,20.98,21.46,20.22,21.46,32265.0
2012-04-03,21.46,21.46,21.27,21.27,91801.0
2012-04-04,21.17,21.27,21.08,21.08,3541.0
2012-04-05,21.17,21.17,20.89,21.17,5298.0
2012-04-10,21.36,21.36,20.03,20.89,5685.0
2012-04-11,20.7,20.89,20.6,20.6,5705.0
2012-04-12,20.51,21.27,20.51,21.27,17090.0
2012-04-13,21.08,21.08,21.08,21.08,619.0
2012-04-16,21.65,22.41,21.17,21.93,66247.0
2012-04-17,22.22,22.79,21.27,21.93,43244.0
2012-04-18,22.31,22.31,21.93,22.03,14869.0
2012-04-19,22.22,22.22,22.03,22.22,6682.0
2012-04-20,21.84,22.12,21.36,22.12,12029.0
2012-04-23,22.41,22.41,21.46,22.03,5619.0
2012-04-24,21.27,22.03,21.27,22.03,4886.0
2012-04-25,22.03,22.31,22.03,22.31,1289.0
2012-04-26,22.31,22.31,22.03,22.03,4988.0
2012-04-27,22.69,22.79,22.41,22.41,66498.0
2012-04-30,22.41,22.79,22.41,22.79,2159.0
2012-05-02,22.79,22.79,22.41,22.41,8109.0
2012-05-03,22.12,22.12,21.84,21.84,3623.0
2012-05-04,22.12,22.12,20.03,20.22,23073.0
2012-05-07,20.72,21.86,20.53,21.38,13697.0
2012-05-08,21.38,21.38,20.72,20.91,4894.0
2012-05-09,20.91,20.91,20.91,20.91,3602.0
2012-05-10,21.38,21.38,21.38,21.38,261.0
2012-05-11,21.48,21.48,21.29,21.29,4435.0
2012-05-14,21.29,21.38,20.72,21.1,2605.0
2012-05-15,20.91,20.91,20.62,20.62,7281.0
2012-05-16,20.72,20.91,20.43,20.91,31529.0
2012-05-18,20.62,20.91,20.43,20.91,28042.0
2012-05-21,20.72,20.91,20.72,20.91,6488.0
2012-05-22,20.81,20.81,20.72,20.72,37433.0
2012-05-23,20.24,20.81,20.24,20.24,7851.0
2012-05-24,20.81,20.91,20.34,20.34,3346.0
2012-05-25,20.72,20.72,19.96,19.96,50221.0
2012-05-28,19.96,19.96,19.29,19.29,2245.0
2012-05-29,19.29,20.24,19.29,19.48,3978.0
2012-05-30,20.24,20.72,20.24,20.72,4208.0
2012-05-31,20.91,20.91,20.43,20.43,415626.0
2012-06-01,20.91,20.91,20.24,20.24,845245.0
2012-06-04,20.91,20.91,20.24,20.81,1425.0
2012-06-05,20.15,20.91,19.96,19.96,33591.0
2012-06-07,20.81,20.81,20.34,20.53,45239.0
2012-06-08,19.96,20.72,19.96,20.72,12606.0
2012-06-11,20.24,20.43,19.67,20.43,4342.0
2012-06-12,20.53,20.72,20.05,20.05,2175.0
2012-06-13,19.96,20.72,19.96,19.96,109226.0
2012-06-14,20.72,20.72,20.15,20.43,66790.0
2012-06-15,20.05,20.91,19.96,20.43,6932.0
2012-06-18,20.43,20.43,20.43,20.43,0.0
2012-06-19,19.96,19.96,19.96,19.96,209.0
2012-06-20,19.96,20.72,19.96,20.15,12520.0
2012-06-21,20.62,20.81,20.62,20.62,7075.0
2012-06-25,20.72,20.91,20.72,20.91,39894.0
2012-06-26,20.91,20.91,20.91,20.91,8871.0
2012-06-27,20.81,20.91,20.81,20.91,26679.0
2012-06-28,20.81,20.91,20.81,20.91,24757.0
2012-06-29,20.91,20.91,20.72,20.81,41464.0
2012-07-02,20.91,20.91,20.91,20.91,5697.0
2012-07-03,20.53,20.81,20.53,20.81,3685.0
2012-07-04,20.81,20.91,20.05,20.91,72202.0
2012-07-05,20.91,20.91,20.91,20.91,1050.0
2012-07-06,20.81,20.91,20.81,20.91,110664.0
2012-07-09,20.91,20.91,20.53,20.53,1891.0
2012-07-10,20.15,20.34,19.96,20.34,9078.0
2012-07-11,20.34,20.43,19.96,20.43,3863.0
2012-07-12,20.24,20.24,20.24,20.24,2714.0
2012-07-13,20.43,20.43,20.43,20.43,3132.0
2012-07-16,20.43,20.43,18.82,19.2,8738.0
2012-07-17,19.01,19.01,17.3,17.3,22763.0
2012-07-18,17.49,17.87,17.49,17.49,2609.0
2012-07-19,17.39,17.39,16.44,16.44,10377.0
2012-07-20,16.63,16.63,15.97,15.97,11628.0
2012-07-23,16.06,16.06,15.4,15.4,10436.0
2012-07-24,15.21,15.87,15.11,15.87,22726.0
2012-07-25,15.49,15.68,15.02,15.02,10654.0
2012-07-26,15.21,15.59,14.92,15.21,10962.0
2012-07-27,15.68,19.2,15.68,19.2,25931.0
2012-07-30,19.39,19.48,18.91,19.48,9409.0
