Date,Open,High,Low,Close,Volume
2014-05-21,23.1,23.1,18.0,19.3,309203.0
2014-05-22,19.7,19.8,18.4,18.8,89392.0
2014-05-23,18.8,18.8,17.8,18.0,58776.0
2014-05-26,18.0,18.0,16.5,17.0,68554.0
2014-05-27,17.0,18.5,16.6,17.0,61587.0
2014-05-28,16.7,18.2,16.7,17.6,11114.0
2014-05-30,17.8,17.8,16.7,17.0,21440.0
2014-06-02,17.0,17.5,17.0,17.2,35540.0
2014-06-03,17.2,17.4,16.6,17.0,67160.0
2014-06-04,16.8,17.1,16.1,17.0,29255.0
2014-06-05,17.2,17.2,16.5,16.9,13186.0
2014-06-09,16.9,16.9,16.2,16.7,17978.0
2014-06-10,16.3,18.2,16.3,17.0,42096.0
2014-06-11,17.0,17.1,16.7,17.0,22730.0
2014-06-12,16.7,17.3,16.7,17.3,119455.0
2014-06-13,17.0,17.1,16.7,16.7,15722.0
2014-06-16,16.8,16.8,16.3,16.5,15009.0
2014-06-17,16.2,16.2,15.5,15.5,17422.0
2014-06-18,15.6,16.8,15.5,16.3,11576.0
2014-06-19,16.4,17.1,16.4,16.7,16486.0
2014-06-23,16.6,17.1,15.7,15.7,30099.0
2014-06-24,15.5,15.5,15.1,15.2,8345.0
2014-06-25,15.2,15.4,14.5,14.7,16180.0
2014-06-26,15.0,15.7,14.3,14.85,16983.0
2014-06-27,15.1,15.1,14.65,14.8,10263.0
2014-06-30,14.6,15.2,14.2,14.2,11100.0
2014-07-01,14.3,15.0,14.3,15.0,4510.0
2014-07-02,14.9,15.0,14.3,14.5,24173.0
2014-07-03,14.5,14.6,14.35,14.6,5683.0
2014-07-04,14.8,18.0,14.3,16.2,29086.0
2014-07-07,16.0,17.7,14.6,15.8,31910.0
2014-07-08,16.3,16.9,16.2,16.5,11392.0
2014-07-09,16.5,16.5,16.0,16.2,16210.0
2014-07-10,16.4,16.7,15.8,15.8,4007.0
2014-07-11,16.2,16.2,15.6,15.6,4617.0
2014-07-14,14.85,15.6,14.85,15.0,10881.0
2014-07-15,15.5,15.5,14.6,14.6,10825.0
2014-07-16,14.9,14.9,14.5,14.6,10634.0
2014-07-17,14.5,15.0,14.5,14.9,11920.0
2014-07-18,14.9,15.3,14.8,15.3,11095.0
2014-07-21,15.3,16.0,15.3,15.4,11865.0
2014-07-22,16.0,16.5,15.0,15.0,19962.0
2014-07-23,15.5,16.5,15.5,16.5,13759.0
2014-07-24,17.4,19.7,17.3,17.7,261456.0
2014-07-25,17.8,19.0,17.7,18.3,48402.0
2014-07-28,18.5,18.8,17.1,17.4,63938.0
2014-07-29,17.4,17.5,17.0,17.5,9592.0
2014-07-30,17.7,18.4,17.3,17.3,22410.0
2014-07-31,17.3,18.6,17.3,17.5,26714.0
2014-08-01,18.0,18.2,16.6,17.0,25884.0
2014-08-04,17.7,19.4,17.3,18.4,80670.0
2014-08-05,18.5,19.0,17.9,18.3,63924.0
2014-08-06,18.3,18.4,17.6,17.7,37348.0
2014-08-07,17.7,18.2,17.6,17.7,10865.0
2014-08-08,17.1,17.9,17.1,17.5,32336.0
2014-08-11,17.6,18.0,17.4,17.5,84657.0
2014-08-12,17.8,17.8,17.3,17.7,34150.0
2014-08-13,17.7,17.9,17.5,17.9,47242.0
2014-08-14,17.9,18.0,17.5,17.7,12155.0
2014-08-15,17.5,17.9,17.2,17.2,12956.0
2014-08-18,17.2,17.2,16.1,16.1,16255.0
2014-08-19,16.5,16.7,16.5,16.6,12319.0
2014-08-20,16.6,16.7,15.4,16.4,31403.0
2014-08-21,16.1,16.1,15.0,15.1,31010.0
2014-08-22,15.1,15.7,15.0,15.6,26359.0
2014-08-25,15.2,15.7,15.2,15.7,15173.0
2014-08-26,15.5,15.5,13.3,14.95,66714.0
2014-08-27,15.0,15.4,13.6,14.4,33880.0
2014-08-28,14.35,16.4,13.9,16.0,41695.0
2014-08-29,16.6,16.6,14.5,15.4,38353.0
2014-09-01,15.5,15.9,14.8,15.5,17209.0
2014-09-02,15.7,15.7,14.9,14.9,14908.0
2014-09-03,15.0,15.0,14.5,14.95,51446.0
2014-09-04,15.3,16.4,15.3,15.8,34424.0
2014-09-05,16.2,16.8,15.9,16.0,33358.0
2014-09-08,16.0,17.0,16.0,16.2,24913.0
2014-09-09,16.6,17.0,15.5,15.6,39682.0
2014-09-10,16.3,16.3,15.4,15.9,18008.0
2014-09-11,15.4,16.5,15.0,15.2,29508.0
2014-09-12,15.3,16.0,15.2,15.5,3940.0
2014-09-15,15.5,16.0,15.5,15.6,14425.0
2014-09-16,15.9,16.3,15.5,15.6,44819.0
2014-09-17,16.0,17.5,15.7,16.8,76975.0
2014-09-18,17.0,17.5,16.2,16.5,73219.0
2014-09-19,17.0,17.5,16.6,16.6,27664.0
2014-09-22,17.0,17.0,16.3,16.5,28580.0
2014-09-23,16.8,17.5,16.6,16.6,40255.0
2014-09-24,16.4,16.9,15.1,16.0,24915.0
2014-09-25,16.1,16.6,15.1,16.0,14627.0
2014-09-26,16.0,16.3,15.2,16.2,23453.0
2014-09-29,16.0,16.3,15.6,15.9,12115.0
2014-09-30,16.1,16.4,16.0,16.0,11130.0
2014-10-01,16.2,16.7,16.2,16.2,19852.0
2014-10-02,16.1,16.4,15.3,15.3,26374.0
2014-10-03,16.0,16.0,15.0,15.3,20124.0
2014-10-06,15.9,16.8,15.9,16.0,27928.0
2014-10-07,16.3,16.3,15.5,15.6,25028.0
2014-10-08,15.8,15.8,15.1,15.1,38980.0
2014-10-09,15.3,15.6,15.2,15.2,15848.0
2014-10-10,15.1,15.3,15.0,15.3,17221.0
2014-10-13,15.3,15.3,14.6,14.6,31107.0
2014-10-14,14.5,14.5,14.2,14.2,9180.0
2014-10-15,14.0,14.1,13.6,14.0,16336.0
2014-10-16,13.75,13.75,13.1,13.7,4504.0
2014-10-17,13.7,14.05,13.6,13.9,9200.0
2014-10-20,14.0,15.0,13.6,15.0,9380.0
2014-10-21,15.0,15.0,14.0,14.2,12250.0
2014-10-22,14.2,14.65,14.0,14.4,8230.0
2014-10-23,14.6,15.6,14.6,15.3,12751.0
2014-10-24,15.4,16.4,15.4,15.6,41244.0
2014-10-27,15.3,16.0,15.3,16.0,5152.0
2014-10-28,16.1,16.2,15.7,16.0,9631.0
2014-10-29,15.9,16.4,15.8,16.4,22410.0
2014-10-30,16.2,16.2,15.8,16.1,14976.0
2014-10-31,15.8,17.5,15.8,16.5,17620.0
2014-11-03,16.5,16.9,16.1,16.4,13551.0
2014-11-04,16.6,16.9,16.0,16.3,20437.0
2014-11-05,15.9,16.3,15.8,16.1,20227.0
2014-11-06,15.9,16.0,15.3,15.3,25665.0
2014-11-07,15.0,15.3,14.45,14.8,17900.0
2014-11-10,14.8,14.8,14.1,14.8,28671.0
2014-11-11,14.5,15.2,14.4,15.0,24819.0
2014-11-12,15.0,15.1,14.8,14.95,15320.0
2014-11-13,14.65,14.65,14.25,14.25,6323.0
2014-11-14,14.35,16.1,14.35,14.6,22972.0
2014-11-17,14.3,15.0,13.8,14.1,29619.0
2014-11-18,14.0,14.8,14.0,14.4,13928.0
2014-11-19,14.45,15.0,14.4,14.5,17561.0
2014-11-20,14.5,14.9,14.3,14.7,7430.0
2014-11-21,14.3,14.7,14.0,14.2,20580.0
2014-11-24,14.4,15.0,14.4,14.8,114405.0
