Date,Open,High,Low,Close,Volume
2015-06-03,9.8,11.23,9.55,10.14,601571.0
2015-06-04,10.09,10.09,9.3,9.7,138107.0
2015-06-05,9.65,10.64,9.4,10.39,145118.0
2015-06-08,10.39,12.57,9.9,11.13,199979.0
2015-06-09,11.38,11.58,10.14,10.14,92969.0
2015-06-10,10.14,11.63,9.85,11.63,196974.0
2015-06-11,11.63,11.63,10.93,10.93,51025.0
2015-06-12,10.93,10.98,10.19,10.39,41145.0
2015-06-15,10.39,10.64,9.75,9.75,35412.0
2015-06-16,9.99,10.19,9.7,10.19,32909.0
2015-06-17,10.19,10.19,9.65,9.85,22294.0
2015-06-18,9.6,10.93,9.45,9.99,118327.0
2015-06-22,10.39,10.44,9.9,9.9,33632.0
2015-06-23,9.9,10.09,9.8,9.99,17461.0
2015-06-24,9.9,9.99,9.7,9.7,17016.0
2015-06-25,9.9,9.9,9.35,9.75,31512.0
2015-06-26,9.8,9.85,9.5,9.8,17493.0
2015-06-29,9.35,9.55,8.76,9.5,34110.0
2015-06-30,9.1,9.4,9.0,9.2,10218.0
2015-07-01,9.05,10.09,9.05,9.55,4376.0
2015-07-02,9.55,9.65,9.55,9.55,16765.0
2015-07-03,9.75,9.8,9.5,9.5,1858.0
2015-07-06,9.1,9.4,9.1,9.4,3848.0
2015-07-07,9.15,9.8,9.15,9.75,2818.0
2015-07-08,9.3,9.3,9.15,9.3,4401.0
2015-07-09,9.15,9.9,9.15,9.7,21454.0
2015-07-10,9.4,9.75,9.4,9.75,1605.0
2015-07-13,9.65,9.75,9.4,9.75,7508.0
2015-07-14,9.7,10.09,9.4,9.8,12432.0
2015-07-15,9.8,9.8,9.4,9.8,5306.0
2015-07-16,9.8,9.99,9.5,9.99,11413.0
2015-07-17,9.99,9.99,9.6,9.65,12919.0
2015-07-20,9.9,9.9,9.75,9.9,2971.0
2015-07-21,9.85,9.9,9.55,9.6,5543.0
2015-07-22,9.5,9.85,9.4,9.4,7982.0
2015-07-23,9.8,9.9,9.8,9.85,23456.0
2015-07-24,9.9,10.39,9.9,10.29,21150.0
2015-07-27,10.34,10.69,9.9,10.49,84590.0
2015-07-28,11.08,11.68,10.59,11.68,59998.0
2015-07-29,12.07,12.62,11.78,12.32,66965.0
2015-07-30,13.36,13.41,12.22,12.27,68259.0
2015-07-31,12.22,12.22,11.18,11.38,46043.0
2015-08-03,11.28,11.48,10.88,11.28,17020.0
2015-08-04,11.48,12.17,11.48,12.17,37629.0
2015-08-05,11.58,12.72,11.58,12.27,45345.0
2015-08-06,12.27,13.36,12.27,13.26,42597.0
2015-08-07,13.41,14.15,13.41,13.95,72778.0
2015-08-10,14.84,17.42,14.1,17.32,268920.0
2015-08-11,17.81,18.6,15.83,18.11,263328.0
2015-08-12,18.8,18.8,14.94,15.83,161233.0
2015-08-13,15.83,15.83,14.15,14.64,96173.0
2015-08-14,14.45,15.24,14.35,14.94,38926.0
2015-08-17,15.44,16.23,14.79,15.83,48066.0
2015-08-18,16.03,16.03,13.95,14.69,93989.0
2015-08-19,14.45,14.74,14.15,14.69,22386.0
2015-08-20,14.64,14.84,13.06,13.85,49741.0
